Table:CsvActivity,,,,,,
tid,name:s,type:ActivityType,act_tid,start_time:d,end_time:d,forever:b
18,折扣贩卖,折扣贩卖,1,2017-02-04 05:00,2017-02-06 04:50,0
19,积分转盘,积分转盘,101,2017-02-05 05:00,2017-02-07 04:50,0
20,跨服神将,跨服神将,60101,2017-02-06 12:00,2017-02-09 05:00,0
21,充值积分,充值积分,11001,2017-02-06 05:00,2017-02-07 04:50,0
22,集字换宝,集字换宝,5001,2017-02-07 05:00,2017-02-08 04:50,0
23,充值积分,充值积分,3001,2017-02-07 05:00,2017-02-09 04:50,0
24,折扣贩卖,折扣贩卖,1,2017-02-08 05:00,2017-02-10 04:50,0
25,炼金术,炼金术,8001,2017-02-09 05:00,2017-02-14 04:50,0
26,充值积分,充值积分,12001,2017-02-09 05:00,2017-02-10 04:50,0
27,消费积分,消费积分,100001,2017-02-09 05:00,2017-02-11 04:50,0
28,连续登录奖励,连续登录奖励,2001,2017-02-10 05:00,2017-02-13 04:50,0
29,集字换宝,集字换宝,2001,2017-02-10 05:00,2017-02-11 04:50,0
30,充值积分,充值积分,9001,2017-02-10 05:00,2017-02-12 04:50,0
31,占星有奖,占星有奖,10001,2017-02-11 05:00,2017-02-13 04:50,0
32,消费积分,消费积分,70001,2017-02-11 05:00,2017-02-13 04:50,0
33,充值积分,充值积分,2001,2017-02-12 05:00,2017-02-13 04:50,0
34,跨服神将,跨服神将,10101,2017-02-11 12:00,2017-02-14 05:00,0
35,集字换宝,集字换宝,5001,2017-02-13 05:00,2017-02-14 04:50,0
36,充值积分,充值积分,3001,2017-02-13 05:00,2017-02-14 04:50,0
37,折扣贩卖,折扣贩卖,1,2017-02-13 05:00,2017-02-15 04:50,0
38,充值积分,充值积分,8001,2017-02-14 05:00,2017-02-16 04:50,0
39,消费积分,消费积分,40001,2017-02-14 05:00,2017-02-15 04:50,0
40,财神到奖励,财神到奖励,5001,2017-02-14 05:00,2017-02-15 04:50,0
41,集字换宝,集字换宝,6001,2017-02-15 05:00,2017-02-16 04:50,0
42,充值积分,充值积分,9001,2017-02-16 05:00,2017-02-18 04:50,0
43,夺宝送礼,夺宝送礼,1,2017-02-16 05:00,2017-02-18 04:50,0
44,消费积分,消费积分,80001,2017-02-15 05:00,2017-02-17 04:50,0
45,炼金术,炼金术,8001,2017-02-17 05:00,2017-02-22 04:50,0
46,跨服神将,跨服神将,30101,2017-02-17 12:00,2017-02-19 05:00,0
47,折扣贩卖,折扣贩卖,1,2017-02-17 05:00,2017-02-20 04:50,0
48,充值积分,充值积分,12001,2017-02-18 05:00,2017-02-19 04:50,0
49,消费积分,消费积分,30001,2017-02-19 05:00,2017-02-21 04:50,0
50,充值积分,充值积分,1001,2017-02-19 05:00,2017-02-21 04:50,0
51,占星有奖,占星有奖,10001,2017-02-20 05:00,2017-02-22 04:50,0
52,充值积分,充值积分,5001,2017-02-21 05:00,2017-02-22 04:50,0
53,消费积分,消费积分,50001,2017-02-21 05:00,2017-02-22 04:50,0
54,跨服神将,跨服神将,40101,2017-02-21 12:00,2017-02-24 05:00,0
55,折扣贩卖,折扣贩卖,1,2017-02-22 05:00,2017-02-24 04:50,0
56,集字换宝,集字换宝,4001,2017-02-22 05:00,2017-02-23 04:50,0
57,炼金术,炼金术,8001,2017-02-23 05:00,2017-02-28 04:50,0
58,充值积分,充值积分,11001,2017-02-23 05:00,2017-02-25 04:50,0
59,积分转盘,积分转盘,201,2017-02-24 05:00,2017-02-26 04:50,0
60,充值积分,充值积分,8001,2017-02-25 05:00,2017-02-27 04:50,0
61,跨服神将,跨服神将,20101,2017-02-25 12:00,2017-02-28 05:00,0
62,消费积分,消费积分,60001,2017-02-26 05:00,2017-02-28 04:50,0
63,财神到奖励,财神到奖励,5001,2017-02-27 05:00,2017-02-28 04:50,0
64,折扣贩卖,折扣贩卖,1,2017-02-27 05:00,2017-03-01 04:50,0
65,充值积分,充值积分,11001,2017-02-28 05:00,2017-03-01 04:50,0
66,集字换宝,集字换宝,7001,2017-02-28 05:00,2017-03-01 04:50,0
67,消费积分,消费积分,10001,2017-03-01 05:00,2017-03-03 04:50,0
68,充值积分,充值积分,13001,2017-03-01 05:00,2017-03-02 04:50,0
69,跨服神将,跨服神将,50101,2017-03-01 12:00,2017-03-04 05:00,0
70,充值积分,充值积分,6001,2017-03-02 05:00,2017-03-04 04:50,0
71,夺宝送礼,夺宝送礼,1,2017-03-02 05:00,2017-03-04 04:50,0
#,限时兑换,限时兑换,1001,2017-03-02 05:00,2017-03-04 04:50,0
73,炼金术,炼金术,8001,2017-03-03 05:00,2017-03-08 04:50,0
74,消费积分,消费积分,70001,2017-03-04 05:00,2017-03-05 04:50,0
75,充值积分,充值积分,8001,2017-03-04 05:00,2017-03-06 04:50,0
76,折扣贩卖,折扣贩卖,1,2017-03-04 05:00,2017-03-06 04:50,0
77,积分转盘,积分转盘,101,2017-03-05 05:00,2017-03-07 04:50,0
78,跨服神将,跨服神将,60101,2017-03-06 12:00,2017-03-09 05:00,0
79,充值积分,充值积分,11001,2017-03-06 05:00,2017-03-07 04:50,0
80,集字换宝,集字换宝,5001,2017-03-07 05:00,2017-03-08 04:50,0
81,充值积分,充值积分,3001,2017-03-07 05:00,2017-03-09 04:50,0
82,折扣贩卖,折扣贩卖,1,2017-03-08 05:00,2017-03-10 04:50,0
83,炼金术,炼金术,8001,2017-03-09 05:00,2017-03-14 04:50,0
84,充值积分,充值积分,12001,2017-03-09 05:00,2017-03-10 04:50,0
85,消费积分,消费积分,100001,2017-03-09 05:00,2017-03-11 04:50,0
86,连续登录奖励,连续登录奖励,2001,2017-03-10 05:00,2017-03-13 04:50,0
87,集字换宝,集字换宝,2001,2017-03-10 05:00,2017-03-11 04:50,0
88,充值积分,充值积分,9001,2017-03-10 05:00,2017-03-12 04:50,0
89,占星有奖,占星有奖,10001,2017-03-11 05:00,2017-03-13 04:50,0
90,消费积分,消费积分,70001,2017-03-11 05:00,2017-03-13 04:50,0
91,充值积分,充值积分,2001,2017-03-12 05:00,2017-03-13 04:50,0
92,跨服神将,跨服神将,10101,2017-03-11 12:00,2017-03-14 05:00,0
93,集字换宝,集字换宝,5001,2017-03-13 05:00,2017-03-14 04:50,0
94,充值积分,充值积分,3001,2017-03-13 05:00,2017-03-14 04:50,0
95,折扣贩卖,折扣贩卖,1,2017-03-13 05:00,2017-03-15 04:50,0
96,充值积分,充值积分,8001,2017-03-14 05:00,2017-03-16 04:50,0
97,消费积分,消费积分,40001,2017-03-14 05:00,2017-03-15 04:50,0
98,财神到奖励,财神到奖励,5001,2017-03-15 05:00,2017-03-16 04:50,0
99,集字换宝,集字换宝,6001,2017-03-15 05:00,2017-03-16 04:50,0
100,充值积分,充值积分,9001,2017-03-16 05:00,2017-03-18 04:50,0
101,夺宝送礼,夺宝送礼,1,2017-03-16 05:00,2017-03-18 04:50,0
102,消费积分,消费积分,80001,2017-03-15 05:00,2017-03-17 04:50,0
103,炼金术,炼金术,8001,2017-03-17 05:00,2017-03-22 04:50,0
104,跨服神将,跨服神将,30101,2017-03-17 12:00,2017-03-20 05:00,0
105,折扣贩卖,折扣贩卖,1,2017-03-17 05:00,2017-03-19 04:50,0
106,充值积分,充值积分,12001,2017-03-18 05:00,2017-03-19 04:50,0
107,消费积分,消费积分,30001,2017-03-18 05:00,2017-03-20 04:50,0
108,充值积分,充值积分,1001,2017-03-19 05:00,2017-03-21 04:50,0
109,消费积分,消费积分,70001,2017-03-20 05:00,2017-03-21 04:50,0
110,充值积分,充值积分,5001,2017-03-21 05:00,2017-03-22 04:50,0
111,消费积分,消费积分,50001,2017-03-21 05:00,2017-03-23 04:50,0
112,跨服神将,跨服神将,40101,2017-03-21 12:00,2017-03-24 05:00,0
113,占星有奖,占星有奖,10001,2017-03-21 05:00,2017-03-23 04:50,0
114,充值积分,充值积分,9001,2017-03-22 05:00,2017-03-23 04:50,0
115,折扣贩卖,折扣贩卖,1,2017-03-22 05:00,2017-03-24 04:50,0
116,集字换宝,集字换宝,4001,2017-03-22 05:00,2017-03-23 04:50,0
117,炼金术,炼金术,8001,2017-03-23 05:00,2017-03-28 04:50,0
118,充值积分,充值积分,11001,2017-03-23 05:00,2017-03-25 04:50,0
119,积分转盘,积分转盘,201,2017-03-24 05:00,2017-03-26 04:50,0
120,充值积分,充值积分,8001,2017-03-25 05:00,2017-03-27 04:50,0
121,跨服神将,跨服神将,20101,2017-03-26 12:00,2017-03-29 05:00,0
122,消费积分,消费积分,60001,2017-03-26 05:00,2017-03-28 04:50,0
123,财神到奖励,财神到奖励,5001,2017-03-27 05:00,2017-03-28 04:50,0
124,折扣贩卖,折扣贩卖,1,2017-03-27 05:00,2017-03-29 04:50,0
125,充值积分,充值积分,12001,2017-03-28 05:00,2017-03-29 04:50,0
126,集字换宝,集字换宝,7001,2017-03-28 05:00,2017-03-29 04:50,0
127,充值积分,充值积分,1001,2017-03-29 05:00,2017-03-31 04:50,0
128,消费积分,消费积分,40001,2017-03-29 05:00,2017-03-31 04:50,0
129,充值积分,充值积分,11001,2017-03-31 05:00,2017-04-01 04:50,0
130,消费积分,消费积分,20001,2017-03-31 05:00,2017-04-01 04:50,0
131,消费积分,消费积分,10001,2017-04-01 05:00,2017-04-02 04:50,0
132,折扣贩卖,折扣贩卖,1,2017-04-01 05:00,2017-04-03 04:50,0
133,充值积分,充值积分,13001,2017-04-01 05:00,2017-04-02 04:50,0
134,炼金术,炼金术,8001,2017-04-01 05:00,2017-04-06 04:50,0
135,跨服神将,跨服神将,50101,2017-04-01 12:00,2017-04-04 05:00,0
136,充值积分,充值积分,6001,2017-04-02 05:00,2017-04-03 04:50,0
137,冒险礼物,冒险礼物,40001,2017-04-02 05:00,2017-04-05 04:50,0
138,连续登录奖励,连续登录奖励,2001,2017-04-02 05:00,2017-04-05 04:50,0
139,消费积分,消费积分,70001,2017-04-03 05:00,2017-04-05 04:50,0
140,充值积分,充值积分,8001,2017-04-03 05:00,2017-04-05 04:50,0
141,积分转盘,积分转盘,101,2017-04-04 05:00,2017-04-06 04:50,0
142,夺宝送礼,夺宝送礼,1,2017-04-05 05:00,2017-04-07 04:50,0
143,跨服神将,跨服神将,60101,2017-04-06 12:00,2017-04-09 05:00,0
144,充值积分,充值积分,11001,2017-04-05 05:00,2017-04-06 04:50,0
145,集字换宝,集字换宝,5001,2017-04-06 05:00,2017-04-07 04:50,0
146,充值积分,充值积分,3001,2017-04-06 05:00,2017-04-08 04:50,0
147,消费积分,消费积分,70001,2017-04-06 05:00,2017-04-08 04:50,0
148,折扣贩卖,折扣贩卖,1,2017-04-08 05:00,2017-04-10 04:50,0
149,炼金术,炼金术,8001,2017-04-08 05:00,2017-04-13 04:50,0
150,充值积分,充值积分,12001,2017-04-08 05:00,2017-04-10 04:50,0
151,消费积分,消费积分,100001,2017-04-09 05:00,2017-04-11 04:50,0
152,占星有奖,占星有奖,10001,2017-04-10 05:00,2017-04-12 04:50,0
153,跨服神将,跨服神将,10101,2017-04-11 12:00,2017-04-14 05:00,0
154,充值积分,充值积分,2001,2017-04-10 05:00,2017-04-12 04:50,0
155,集字换宝,集字换宝,2001,2017-04-12 05:00,2017-04-13 04:50,0
156,消费积分,消费积分,30001,2017-04-11 05:00,2017-04-13 04:50,0
157,充值积分,充值积分,16001,2017-04-12 05:00,2017-04-14 04:50,0
158,财神到奖励,财神到奖励,5001,2017-04-14 05:00,2017-04-15 04:50,0
159,集字换宝,集字换宝,6001,2017-04-15 05:00,2017-04-16 04:50,0
160,充值积分,充值积分,9001,2017-04-16 05:00,2017-04-18 04:50,0
161,夺宝送礼,夺宝送礼,1,2017-04-16 05:00,2017-04-18 04:50,0
162,消费积分,消费积分,80001,2017-04-15 05:00,2017-04-17 04:50,0
163,炼金术,炼金术,8001,2017-04-15 05:00,2017-04-20 04:50,0
164,跨服神将,跨服神将,30101,2017-04-17 12:00,2017-04-19 05:00,0
165,限时兑换,限时兑换,1001,2017-04-18 05:00,2017-04-20 04:50,0
166,充值积分,充值积分,12001,2017-04-18 05:00,2017-04-19 04:50,0
167,消费积分,消费积分,30001,2017-04-19 05:00,2017-04-21 04:50,0
168,充值积分,充值积分,1001,2017-04-19 05:00,2017-04-21 04:50,0
169,折扣贩卖,折扣贩卖,1,2017-04-20 05:00,2017-04-21 04:50,0
170,充值积分,充值积分,5001,2017-04-21 05:00,2017-04-22 04:50,0
171,消费积分,消费积分,50001,2017-04-21 05:00,2017-04-22 04:50,0
172,跨服神将,跨服神将,40101,2017-04-21 12:00,2017-04-24 05:00,0
173,充值积分,充值积分,7001,2017-04-22 05:00,2017-04-23 04:50,0
174,集字换宝,集字换宝,4001,2017-04-22 05:00,2017-04-23 04:50,0
175,炼金术,炼金术,8001,2017-04-23 05:00,2017-04-28 04:50,0
176,充值积分,充值积分,11001,2017-04-23 05:00,2017-04-25 04:50,0
177,积分转盘,积分转盘,201,2017-04-24 05:00,2017-04-26 04:50,0
178,充值积分,充值积分,8001,2017-04-25 05:00,2017-04-27 04:50,0
179,跨服神将,跨服神将,20101,2017-04-25 12:00,2017-04-28 05:00,0
180,消费积分,消费积分,60001,2017-04-26 05:00,2017-04-28 04:50,0
181,财神到奖励,财神到奖励,5001,2017-04-27 05:00,2017-04-28 04:50,0
182,折扣贩卖,折扣贩卖,1,2017-04-27 05:00,2017-04-29 04:50,0
183,充值积分,充值积分,6001,2017-04-27 05:00,2017-04-29 04:50,0
184,集字换宝,集字换宝,7001,2017-04-28 05:00,2017-04-29 04:50,0
185,占星有奖,占星有奖,10001,2017-04-28 05:00,2017-04-30 04:50,0
186,充值积分,充值积分,2001,2017-04-29 05:00,2017-05-01 04:50,0
187,消费积分,消费积分,70001,2017-04-29 05:00,2017-05-01 04:50,0
188,夺宝送礼,夺宝送礼,1,2017-04-29 05:00,2017-05-01 04:50,0
189,超值月卡,月卡,5001,2016-1-1,2048-1-1,1
#,积分福利,积分转盘,1,2016-8-1,2016-9-2,0
#,积分抽奖,积分抽奖,10101,2017-03-04 09:00,2017-03-07 05:00,0
