Table:CsvNpc,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,modelTid,occupation:Occupation,color:ItemColor,isBoss,level,hp,phyAttack,magicAttack,phyDefence,magicDefence,speed,skill1,skill2,skill3,skill4,initNuqi,recoverNuqi,energyAddWhenTeammateDie,buffs:a,inCombatMotion,scaleDelta:f
10205126,狗头人,33,其它,,,8,405,83,83,12,12,4,2035,,,0,50,50,180,0,,
10205131,狗头人矿工,134,其它,,,8,476,97,97,14,14,5,1000008,,,0,50,50,180,"30048,0",,
10205133,狗头人矿工,134,其它,,,8,476,97,97,14,14,5,1000008,,,0,50,50,180,"30048,0",,
10205135,狗头人,33,其它,,,8,476,97,97,14,14,5,2035,,,0,50,50,180,0,,
10206111,河爪豺狼人,127,其它,,,9,366,120,120,17,17,7,1000008,,,0,50,50,180,0,,
10206113,河爪豺狼人,127,其它,,,9,366,116,116,17,17,5,1000008,,,0,50,50,180,0,,
10206115,霍格,46,其它,蓝,1,9,1249,132,132,26,44,22,2030,,,1045,50,50,180,0,,
10206211,河爪豺狼人,127,其它,,,10,427,140,140,20,0,8,1000008,,,0,50,50,180,0,,
10206213,河爪豺狼人,127,其它,,,10,427,135,135,20,0,6,1000008,,,0,50,50,180,0,,
10206215,霍格,46,其它,蓝,1,10,1457,154,154,30,0,25,2030,,,1045,50,50,180,0,,
10301111,秃鹫,110,其它,,,9,578,117,117,17,17,7,2058,,,0,50,50,180,"30043,0",,
10301113,秃鹫,110,其它,,,9,587,117,117,17,17,7,2058,,,0,50,50,180,"30043,0",,
10301115,秃鹫,110,其它,,,9,587,120,120,17,17,7,2058,,,0,50,50,180,"30043,0",,
10301211,秃鹫,110,其它,,,10,674,137,137,20,20,8,2058,,,0,50,50,180,"30043,0",,
10301213,秃鹫,110,其它,,,10,684,137,137,20,20,8,2058,,,0,50,50,180,"30043,0",,
10301215,秃鹫,110,其它,,,10,684,140,140,20,20,8,2058,,,0,50,50,180,"30043,0",,
10302111,狗头人矿工,134,其它,,,10,674,135,135,20,20,7,1000008,,,0,50,50,180,"30048,0",,
10302113,狗头人矿工,134,其它,,,10,674,135,135,20,20,7,1000008,,,0,50,50,180,"30048,0",,
10302115,狗头人,33,其它,,,10,736,149,149,25,25,17,2035,,,0,50,50,180,0,,
10302211,狗头人矿工,134,其它,,,11,792,159,159,24,24,9,1000008,,,0,50,50,180,"30048,0",,
10302213,狗头人矿工,134,其它,,,11,792,159,159,24,24,9,1000008,,,0,50,50,180,"30048,0",,
10302215,狗头人,33,其它,,,11,865,175,175,30,30,20,2035,,,0,50,50,180,0,,
10303111,鱼人,16,其它,,,10,530,120,120,20,20,8,2034,,,1026,50,50,180,0,,
10303112,鱼人,16,其它,,,10,478,128,128,20,20,8,2034,,,1026,50,50,180,0,,
10303113,鱼人,16,其它,,,10,530,120,120,20,20,8,2034,,,1026,50,50,180,0,,
10303115,老瞎眼,78,其它,蓝,1,10,1148,145,145,25,51,17,2046,,,1024,50,50,180,"10015,0",,
10303211,鱼人,16,其它,,,11,623,141,141,24,24,10,2034,,,1026,50,50,180,0,,
10303212,鱼人,16,其它,,,11,562,151,151,24,24,10,2034,,,1026,50,50,180,0,,
10303213,鱼人,16,其它,,,11,623,141,141,24,24,10,2034,,,1026,50,50,180,0,,
10303215,老瞎眼,78,其它,蓝,1,11,1349,171,171,30,60,20,2046,,,1024,50,50,180,"10015,0",,
10304111,野猪,142,其它,,,11,756,135,135,24,24,10,2028,,,0,50,50,180,"10080,0",,
10304112,野猪,142,其它,,,11,726,145,145,24,24,10,2028,,,0,50,50,180,"10080,0",,
10304113,野猪,142,其它,,,11,756,135,135,24,24,10,2028,,,0,50,50,180,"10080,0",,
10304115,野猪,142,其它,,,11,756,166,166,24,24,10,2028,,,0,50,50,180,"10080,0",,
10304211,野猪,142,其它,,,12,880,158,158,28,28,11,2028,,,0,50,50,180,"10080,0",,
10304212,野猪,142,其它,,,12,845,169,169,28,28,11,2028,,,0,50,50,180,"10080,0",,
10304213,野猪,142,其它,,,12,880,158,158,28,28,11,2028,,,0,50,50,180,"10080,0",,
10304215,野猪,142,其它,,,12,880,193,193,28,28,11,2028,,,0,50,50,180,"10080,0",,
10305111,荒野豺狼人,127,其它,,,11,726,145,145,24,24,10,1000008,,,0,50,50,180,0,,
10305113,荒野豺狼人,127,其它,,,11,726,145,145,24,24,10,1000008,,,0,50,50,180,0,,
10305114,荒野豺狼人,127,其它,,,11,756,156,156,24,24,14,1000008,,,0,50,50,180,0,,
10305116,荒野豺狼人,127,其它,,,11,756,156,156,24,24,14,1000008,,,0,50,50,180,0,,
10305211,荒野豺狼人,127,其它,,,12,845,169,169,28,28,11,1000008,,,0,50,50,180,0,,
10305213,荒野豺狼人,127,其它,,,12,845,169,169,28,28,11,1000008,,,0,50,50,180,0,,
10305214,荒野豺狼人,127,其它,,,12,880,181,181,28,28,16,1000008,,,0,50,50,180,0,,
10305216,荒野豺狼人,127,其它,,,12,880,181,181,28,28,16,1000008,,,0,50,50,180,0,,
10306112,迪菲亚秘术师,53,其它,,,12,894,154,154,28,28,11,2035,,,1005,50,50,180,0,,
10306114,迪菲亚秘术师,53,其它,,,12,866,152,152,28,28,7,2003,,,1020,50,50,180,0,,
10306115,迪菲亚秘术师,53,其它,,,12,929,165,165,28,28,16,2035,,,1005,50,50,180,0,,
10306116,迪菲亚秘术师,53,其它,,,12,901,164,164,28,28,11,2003,,,1020,50,50,180,0,,
10306212,迪菲亚秘术师,53,其它,,,13,1021,176,176,32,32,13,2035,,,1005,50,50,180,0,,
10306214,迪菲亚秘术师,53,其它,,,13,988,174,174,32,32,8,2003,,,1020,50,50,180,0,,
10306215,迪菲亚秘术师,53,其它,,,13,1061,189,189,32,32,18,2035,,,1005,50,50,180,0,,
10306216,迪菲亚秘术师,53,其它,,,13,1029,187,187,32,32,13,2003,,,1020,50,50,180,0,,
10307111,迪菲亚秘术师,53,其它,,,12,725,152,152,28,28,7,2003,,,1020,50,50,180,0,,
10307112,迪菲亚秘术师,53,其它,,,12,725,164,164,28,28,11,2003,,,1020,50,50,180,0,,
10307113,迪菲亚秘术师,53,其它,,,12,654,169,169,28,28,7,2003,,,1020,50,50,180,0,,
10307115,迪菲亚信使,23,其它,蓝,1,12,1633,147,147,35,35,39,2025,,,0,50,50,180,"10154,0",,
10307211,迪菲亚秘术师,53,其它,,,13,828,174,174,32,32,8,2003,,,1020,50,50,180,0,,
10307212,迪菲亚秘术师,53,其它,,,13,828,187,187,32,32,13,2003,,,1020,50,50,180,0,,
10307213,迪菲亚秘术师,53,其它,,,13,747,192,192,32,32,8,2003,,,1020,50,50,180,0,,
10307215,迪菲亚信使,23,其它,蓝,1,13,1865,168,168,40,40,45,2025,,,0,50,50,180,"10154,0",,
10307311,迪菲亚秘术师,53,其它,,,14,930,195,195,36,0,9,2003,,,1020,50,50,180,0,,
10307312,迪菲亚秘术师,53,其它,,,14,930,210,210,36,0,15,2003,,,1020,50,50,180,0,,
10307313,迪菲亚秘术师,53,其它,,,14,840,216,216,36,0,9,2003,,,1020,50,50,180,0,,
10307315,迪菲亚信使,23,其它,蓝,1,14,2096,188,188,45,0,51,2025,,,0,50,50,180,"10154,0",,
10401112,狼,48,其它,,,12,866,169,169,28,28,7,2028,,,0,50,50,180,"20047,0",,
10401114,狼,48,其它,,,12,901,173,173,28,28,11,2028,,,0,50,50,180,"20047,0",,
10401115,狼,48,其它,,,12,901,180,180,28,28,11,2028,,,0,50,50,180,"20047,0",,
10401116,狼,48,其它,,,12,901,180,180,28,28,11,2028,,,0,50,50,180,"20047,0",,
10401212,狼,48,其它,,,13,988,192,192,32,32,8,2028,,,0,50,50,180,"20047,0",,
10401214,狼,48,其它,,,13,1029,198,198,32,32,13,2028,,,0,50,50,180,"20047,0",,
10401215,狼,48,其它,,,13,1029,206,206,32,32,13,2028,,,0,50,50,180,"20047,0",,
10401216,狼,48,其它,,,13,1029,206,206,32,32,13,2028,,,0,50,50,180,"20047,0",,
10401312,狼,48,其它,,,14,1111,216,216,36,36,9,2028,,,0,50,50,180,"20047,0",,
10401314,狼,48,其它,,,14,1156,222,222,36,36,15,2028,,,0,50,50,180,"20047,0",,
10401315,狼,48,其它,,,14,1156,231,231,36,36,15,2028,,,0,50,50,180,"20047,0",,
10401316,狼,48,其它,,,14,1156,231,231,36,36,15,2028,,,0,50,50,180,"20047,0",,
10402111,荒野豺狼人,127,其它,,,13,1005,193,193,32,32,13,1000008,,,0,50,50,180,0,,
10402112,荒野豺狼人,127,其它,,,13,1005,193,193,32,32,18,1000008,,,0,50,50,180,0,,
10402113,荒野豺狼人,127,其它,,,13,1005,207,207,32,32,13,1000008,,,0,50,50,180,0,,
10402115,女妖,91,其它,,,13,1278,241,241,40,40,46,2040,,,0,50,50,180,"20044,0",,
10402211,荒野豺狼人,127,其它,,,14,1129,217,217,36,36,15,1000008,,,0,50,50,180,0,,
10402212,荒野豺狼人,127,其它,,,14,1129,217,217,36,36,21,1000008,,,0,50,50,180,0,,
10402213,荒野豺狼人,127,其它,,,14,1129,233,233,36,36,15,1000008,,,0,50,50,180,0,,
10402215,女妖,91,其它,,,14,1437,271,271,45,45,52,2040,,,0,50,50,180,"20044,0",,
10402311,荒野豺狼人,127,其它,,,15,1244,240,240,39,39,16,1000008,,,0,50,50,180,0,,
10402312,荒野豺狼人,127,其它,,,15,1244,240,240,39,39,23,1000008,,,0,50,50,180,0,,
10402313,荒野豺狼人,127,其它,,,15,1244,256,256,39,39,16,1000008,,,0,50,50,180,0,,
10402315,女妖,91,其它,,,15,1583,298,298,49,49,58,2040,,,0,50,50,180,"20044,0",,
10403112,腐皮豺狼人,127,其它,,,13,1037,182,182,32,32,14,1000008,,,0,50,50,180,0,,
10403114,腐皮豺狼人,127,其它,,,13,1037,190,190,32,32,14,1000008,,,0,50,50,180,0,,
10403115,腐皮豺狼人,127,其它,,,13,1077,201,201,32,32,20,1000008,,,0,50,50,180,0,,
10403116,腐皮豺狼人,127,其它,,,13,1077,201,201,32,32,20,1000008,,,0,50,50,180,0,,
10403212,腐皮豺狼人,127,其它,,,14,1165,205,205,36,36,16,1000008,,,0,50,50,180,0,,
10403214,腐皮豺狼人,127,其它,,,14,1165,214,214,36,36,16,1000008,,,0,50,50,180,0,,
10403215,腐皮豺狼人,127,其它,,,14,1211,226,226,36,36,22,1000008,,,0,50,50,180,0,,
10403216,腐皮豺狼人,127,其它,,,14,1211,226,226,36,36,22,1000008,,,0,50,50,180,0,,
10403312,腐皮豺狼人,127,其它,,,15,1284,225,225,39,39,18,1000008,,,0,50,50,180,0,,
10403314,腐皮豺狼人,127,其它,,,15,1284,235,235,39,39,18,1000008,,,0,50,50,180,0,,
10403315,腐皮豺狼人,127,其它,,,15,1334,249,249,39,39,24,1000008,,,0,50,50,180,0,,
10403316,腐皮豺狼人,127,其它,,,15,1334,249,249,39,39,24,1000008,,,0,50,50,180,0,,
10404111,食尸鬼,43,其它,,,13,715,135,135,20,20,13,2034,,,0,50,50,180,"30039,0",,
10404113,食尸鬼,43,其它,,,13,715,135,135,20,20,13,2034,,,0,50,50,180,"30039,0",,
10404115,食尸鬼,43,其它,,,13,700,141,141,20,20,9,2034,,,0,50,50,180,"30039,0",,
10404122,无脑的僵尸,108,其它,,,13,861,167,167,25,25,11,2034,,,0,50,50,180,"30039,0",,
10404124,无脑的僵尸,108,其它,,,13,880,167,167,25,25,16,2034,,,0,50,50,180,"30039,0",,
10404126,无脑的僵尸,108,其它,,,13,880,173,173,25,25,16,2034,,,0,50,50,180,"30039,0",,
10404131,食尸鬼,43,其它,,,13,1034,196,196,30,30,18,2034,,,0,50,50,180,"30039,0",,
10404133,食尸鬼,43,其它,,,13,1012,196,196,30,30,13,2034,,,0,50,50,180,"30039,0",,
10404134,无脑的僵尸,108,其它,,,13,1012,203,203,30,30,18,2034,,,0,50,50,180,"30039,0",,
10404136,无脑的僵尸,108,其它,,,13,1012,203,203,30,30,18,2034,,,0,50,50,180,"30039,0",,
10404211,食尸鬼,43,其它,,,14,804,152,152,23,23,14,2034,,,0,50,50,180,"30039,0",,
10404213,食尸鬼,43,其它,,,14,804,152,152,23,23,14,2034,,,0,50,50,180,"30039,0",,
10404215,食尸鬼,43,其它,,,14,787,158,158,23,23,10,2034,,,0,50,50,180,"30039,0",,
10404222,无脑的僵尸,108,其它,,,14,968,188,188,28,28,12,2034,,,0,50,50,180,"30039,0",,
10404224,无脑的僵尸,108,其它,,,14,990,188,188,28,28,17,2034,,,0,50,50,180,"30039,0",,
10404226,无脑的僵尸,108,其它,,,14,990,195,195,28,28,17,2034,,,0,50,50,180,"30039,0",,
10404231,食尸鬼,43,其它,,,14,1163,220,220,33,33,20,2034,,,0,50,50,180,"30039,0",,
10404233,食尸鬼,43,其它,,,14,1138,220,220,33,33,15,2034,,,0,50,50,180,"30039,0",,
10404234,无脑的僵尸,108,其它,,,14,1138,229,229,33,33,20,2034,,,0,50,50,180,"30039,0",,
10404236,无脑的僵尸,108,其它,,,14,1138,229,229,33,33,20,2034,,,0,50,50,180,"30039,0",,
10404311,食尸鬼,43,其它,,,15,886,168,168,25,25,15,2034,,,0,50,50,180,"30039,0",,
10404313,食尸鬼,43,其它,,,15,886,168,168,25,25,15,2034,,,0,50,50,180,"30039,0",,
10404315,食尸鬼,43,其它,,,15,867,174,174,25,25,11,2034,,,0,50,50,180,"30039,0",,
10404322,无脑的僵尸,108,其它,,,15,1067,207,207,31,31,14,2034,,,0,50,50,180,"30039,0",,
10404324,无脑的僵尸,108,其它,,,15,1091,207,207,31,31,19,2034,,,0,50,50,180,"30039,0",,
10404326,无脑的僵尸,108,其它,,,15,1091,215,215,31,31,19,2034,,,0,50,50,180,"30039,0",,
10404331,食尸鬼,43,其它,,,15,1282,243,243,36,36,22,2034,,,0,50,50,180,"30039,0",,
10404333,食尸鬼,43,其它,,,15,1253,243,243,36,36,16,2034,,,0,50,50,180,"30039,0",,
10404334,无脑的僵尸,108,其它,,,15,1253,252,252,36,36,22,2034,,,0,50,50,180,"30039,0",,
10404336,无脑的僵尸,108,其它,,,15,1253,252,252,36,36,22,2034,,,0,50,50,180,"30039,0",,
10405111,天灾战士,158,其它,,,14,1003,200,200,36,36,18,1000008,,,1046,50,50,180,0,,
10405112,天灾战士,158,其它,,,14,1003,215,215,36,36,24,1000008,,,1046,50,50,180,0,,
10405113,天灾战士,158,其它,,,14,912,200,200,36,36,18,1000008,,,1046,50,50,180,0,,
10405115,图勒鸦爪,131,其它,蓝,1,14,2042,257,257,45,45,39,2035,,,0,50,50,180,0,,
10405211,天灾战士,158,其它,,,15,1105,220,220,39,39,19,1000008,,,1046,50,50,180,0,,
10405212,天灾战士,158,其它,,,15,1105,237,237,39,39,26,1000008,,,1046,50,50,180,0,,
10405213,天灾战士,158,其它,,,15,1005,220,220,39,39,19,1000008,,,1046,50,50,180,0,,
10405215,图勒鸦爪,131,其它,蓝,1,15,2250,283,283,49,49,43,2035,,,0,50,50,180,0,,
10405311,天灾战士,158,其它,,,16,1197,238,238,43,43,21,1000008,,,1046,50,50,180,0,,
10405312,天灾战士,158,其它,,,16,1197,256,256,43,43,28,1000008,,,1046,50,50,180,0,,
10405313,天灾战士,158,其它,,,16,1089,238,238,43,43,21,1000008,,,1046,50,50,180,0,,
10405315,图勒鸦爪,131,其它,蓝,1,16,2438,307,307,53,53,46,2035,,,0,50,50,180,0,,
10406111,熊,115,其它,,,14,1202,206,206,36,36,18,2032,,,0,50,50,180,0,,
10406112,熊,115,其它,,,14,1183,221,221,36,36,24,2032,,,0,50,50,180,0,,
10406113,熊,115,其它,,,14,1229,221,221,36,36,18,2032,,,0,50,50,180,0,,
10406115,熊,115,其它,,,14,1256,236,236,36,36,24,2032,,,0,50,50,180,0,,
10406211,熊,115,其它,,,15,1324,227,227,39,39,19,2032,,,0,50,50,180,0,,
10406212,熊,115,其它,,,15,1304,243,243,39,39,26,2032,,,0,50,50,180,0,,
10406213,熊,115,其它,,,15,1354,243,243,39,39,19,2032,,,0,50,50,180,0,,
10406215,熊,115,其它,,,15,1384,260,260,39,39,26,2032,,,0,50,50,180,0,,
10406311,熊,115,其它,,,16,1434,245,245,43,43,21,2032,,,0,50,50,180,0,,
10406312,熊,115,其它,,,16,1413,263,263,43,43,28,2032,,,0,50,50,180,0,,
10406313,熊,115,其它,,,16,1467,263,263,43,43,21,2032,,,0,50,50,180,0,,
10406315,熊,115,其它,,,16,1499,281,281,43,43,28,2032,,,0,50,50,180,0,,
10407111,人类法师,130,其它,,,14,1202,230,230,36,36,18,2009,,,1018,50,50,180,0,,
10407112,人类法师,130,其它,,,14,1202,236,236,36,36,18,2009,,,0,50,50,180,0,,
10407113,人类法师,130,其它,,,14,1256,236,236,36,36,9,2035,,,0,50,50,180,0,,
10407115,人类法师,130,其它,,,14,1256,239,239,36,36,24,2035,,,1005,50,50,180,0,,
10407211,人类法师,130,其它,,,15,1324,253,253,39,39,19,2009,,,1018,50,50,180,0,,
10407212,人类法师,130,其它,,,15,1324,260,260,39,39,19,2009,,,0,50,50,180,0,,
10407213,人类法师,130,其它,,,15,1384,260,260,39,39,9,2035,,,0,50,50,180,0,,
10407215,人类法师,130,其它,,,15,1384,263,263,39,39,26,2035,,,1005,50,50,180,0,,
10407311,人类法师,130,其它,,,16,1434,274,274,43,43,21,2009,,,1018,50,50,180,0,,
10407312,人类法师,130,其它,,,16,1434,281,281,43,43,21,2009,,,0,50,50,180,0,,
10407313,人类法师,130,其它,,,16,1499,281,281,43,43,10,2035,,,0,50,50,180,0,,
10407315,人类法师,130,其它,,,16,1499,285,285,43,43,28,2035,,,1005,50,50,180,0,,
10408111,影牙堡主之子,20,其它,,,14,1256,245,245,36,36,24,2034,,,0,50,50,180,0,,
10408112,影牙堡主之子,20,其它,,,14,1274,245,245,36,36,24,2034,,,0,50,50,180,0,,
10408113,影牙堡主之子,20,其它,,,14,1247,245,245,36,36,18,2034,,,0,50,50,180,0,,
10408115,影牙堡主之子,20,其它,,,14,1247,251,251,36,36,24,2034,,,0,50,50,180,0,,
10408211,影牙堡主之子,20,其它,,,15,1384,270,270,39,39,26,2034,,,0,50,50,180,0,,
10408212,影牙堡主之子,20,其它,,,15,1404,270,270,39,39,26,2034,,,0,50,50,180,0,,
10408213,影牙堡主之子,20,其它,,,15,1374,270,270,39,39,19,2034,,,0,50,50,180,0,,
10408215,影牙堡主之子,20,其它,,,15,1374,276,276,39,39,26,2034,,,0,50,50,180,0,,
10408311,影牙堡主之子,20,其它,,,16,1499,292,292,43,43,28,2034,,,0,50,50,180,0,,
10408312,影牙堡主之子,20,其它,,,16,1521,292,292,43,43,28,2034,,,0,50,50,180,0,,
10408313,影牙堡主之子,20,其它,,,16,1488,292,292,43,43,21,2034,,,0,50,50,180,0,,
10408315,影牙堡主之子,20,其它,,,16,1488,299,299,43,43,28,2034,,,0,50,50,180,0,,
10409111,熊,115,其它,,,15,1354,260,260,39,39,19,2032,,,0,50,50,180,0,,
10409113,熊,115,其它,,,15,1354,260,260,39,39,19,2032,,,0,50,50,180,0,,
10409114,熊,115,其它,,,15,1384,276,276,39,39,26,2032,,,0,50,50,180,0,,
10409116,熊,115,其它,,,15,1404,270,270,39,39,26,2032,,,0,50,50,180,0,,
10409211,熊,115,其它,,,16,1467,281,281,43,43,21,2032,,,0,50,50,180,0,,
10409213,熊,115,其它,,,16,1467,281,281,43,43,21,2032,,,0,50,50,180,0,,
10409214,熊,115,其它,,,16,1499,299,299,43,43,28,2032,,,0,50,50,180,0,,
10409216,熊,115,其它,,,16,1521,292,292,43,43,28,2032,,,0,50,50,180,0,,
10409311,熊,115,其它,,,17,1576,302,302,46,46,23,2032,,,0,50,50,180,0,,
10409313,熊,115,其它,,,17,1576,302,302,46,46,23,2032,,,0,50,50,180,0,,
10409314,熊,115,其它,,,17,1611,322,322,46,46,30,2032,,,0,50,50,180,0,,
10409316,熊,115,其它,,,17,1634,314,314,46,46,30,2032,,,0,50,50,180,0,,
10410111,影牙堡主之子,20,其它,,,15,1384,276,276,39,39,26,2034,,,0,50,50,180,0,,
10410113,影牙堡主之子,20,其它,,,15,1354,260,260,39,39,19,2034,,,0,50,50,180,0,,
10410114,影牙堡主之子,20,其它,,,15,1384,276,276,39,39,26,2034,,,0,50,50,180,0,,
10410116,影牙堡主之子,20,其它,,,15,1404,276,276,39,39,26,2034,,,0,50,50,180,0,,
10410211,影牙堡主之子,20,其它,,,16,1499,299,299,43,43,28,2034,,,0,50,50,180,0,,
10410213,影牙堡主之子,20,其它,,,16,1467,281,281,43,43,21,2034,,,0,50,50,180,0,,
10410214,影牙堡主之子,20,其它,,,16,1499,299,299,43,43,28,2034,,,0,50,50,180,0,,
10410216,影牙堡主之子,20,其它,,,16,1521,299,299,43,43,28,2034,,,0,50,50,180,0,,
10410311,影牙堡主之子,20,其它,,,17,1611,322,322,46,46,30,2034,,,0,50,50,180,0,,
10410313,影牙堡主之子,20,其它,,,17,1576,302,302,46,46,23,2034,,,0,50,50,180,0,,
10410314,影牙堡主之子,20,其它,,,17,1611,322,322,46,46,30,2034,,,0,50,50,180,0,,
10410316,影牙堡主之子,20,其它,,,17,1634,322,322,46,46,30,2034,,,0,50,50,180,0,,
10501111,暮光之锤法师,138,其它,,,15,1374,254,254,39,39,21,2009,,,1018,50,50,180,0,,
10501112,暮光之锤法师,147,其它,,,15,1424,271,271,39,39,28,2009,,,0,50,50,180,0,,
10501113,暮光之锤法师,147,其它,,,15,1404,271,271,39,39,28,2035,,,0,50,50,180,0,,
10501115,暮光之锤法师,138,其它,,,15,1404,271,271,39,39,28,2035,,,1005,50,50,180,0,,
10501211,暮光之锤法师,138,其它,,,16,1488,276,276,43,43,23,2009,,,1018,50,50,180,0,,
10501212,暮光之锤法师,147,其它,,,16,1542,294,294,43,43,30,2009,,,0,50,50,180,0,,
10501213,暮光之锤法师,147,其它,,,16,1521,294,294,43,43,30,2035,,,0,50,50,180,0,,
10501215,暮光之锤法师,138,其它,,,16,1521,294,294,43,43,30,2035,,,1005,50,50,180,0,,
10501311,暮光之锤法师,138,其它,,,17,1599,296,296,46,46,25,2009,,,1018,50,50,180,0,,
10501312,暮光之锤法师,147,其它,,,17,1657,315,315,46,46,32,2009,,,0,50,50,180,0,,
10501313,暮光之锤法师,147,其它,,,17,1634,315,315,46,46,32,2035,,,0,50,50,180,0,,
10501315,暮光之锤法师,138,其它,,,17,1634,315,315,46,46,32,2035,,,1005,50,50,180,0,,
10502112,黑曜石卫兵,76,其它,,,16,6959,500,500,43,43,32,2030,,,0,50,50,180,0,,
10502212,黑曜石卫兵,76,其它,,,17,7476,537,537,46,46,34,2030,,,0,50,50,180,0,,
10502312,黑曜石卫兵,76,其它,,,19,9316,669,669,57,57,43,2030,,,0,50,50,180,0,,
10503111,熊怪,126,其它,,,16,1542,302,302,43,43,32,2034,,,0,50,50,180,"30042,0",,
10503112,熊怪,126,其它,,,16,1510,284,284,43,43,25,2034,,,0,50,50,180,"30042,0",,
10503113,熊怪,126,其它,,,16,1510,284,284,43,43,25,2034,,,0,50,50,180,"30042,0",,
10503115,熊怪,126,其它,,,16,1564,302,302,43,43,32,2034,,,0,50,50,180,"30042,0",,
10503211,熊怪,126,其它,,,17,1657,324,324,46,46,34,2034,,,0,50,50,180,"30042,0",,
10503212,熊怪,126,其它,,,17,1622,305,305,46,46,27,2034,,,0,50,50,180,"30042,0",,
10503213,熊怪,126,其它,,,17,1622,305,305,46,46,27,2034,,,0,50,50,180,"30042,0",,
10503215,熊怪,126,其它,,,17,1680,324,324,46,46,34,2034,,,0,50,50,180,"30042,0",,
10503311,熊怪,126,其它,,,19,2065,404,404,57,57,43,2034,,,0,50,50,180,"30042,0",,
