Table:CsvDrop,,,,,,
tid,type:DropType,group,desc:s,itemTid,itemCount,probability
202,英雄,2,钻石抽将-紫,1117,1,476
203,英雄,2,钻石抽将-紫,1122,1,476
204,英雄,2,钻石抽将-紫,1128,1,476
205,英雄,2,钻石抽将-紫,1104,1,476
206,英雄,2,钻石抽将-紫,1124,1,476
207,英雄,2,钻石抽将-紫,1109,1,476
208,英雄,2,钻石抽将-紫,1111,1,476
209,英雄,2,钻石抽将-紫,1115,1,476
210,英雄,2,钻石抽将-紫,1110,1,476
211,英雄,2,钻石抽将-紫,1113,1,476
212,英雄,2,钻石抽将-紫,1125,1,476
213,英雄,2,钻石抽将-紫,1114,1,476
214,英雄,2,钻石抽将-紫,1106,1,476
215,英雄,2,钻石抽将-紫,1116,1,477
216,英雄,2,钻石抽将-紫,1118,1,477
217,英雄,2,钻石抽将-紫,1120,1,477
218,英雄,2,钻石抽将-紫,1127,1,477
219,英雄,2,钻石抽将-紫,1104,1,476
220,英雄,2,钻石抽将-紫,1105,1,476
221,英雄,2,钻石抽将-紫,1107,1,476
222,英雄,3,钻石抽将-橙橙,1006,1,909
223,英雄,3,钻石抽将-橙,1014,1,909
224,英雄,3,钻石抽将-橙,1026,1,909
225,英雄,3,钻石抽将-橙,1030,1,909
226,英雄,3,钻石抽将-橙,1029,1,909
227,英雄,3,钻石抽将-橙,1017,1,909
228,英雄,3,钻石抽将-橙,1021,1,910
229,英雄,3,钻石抽将-橙,1005,1,909
230,英雄,3,钻石抽将-橙,1009,1,909
231,英雄,3,钻石抽将-橙,1015,1,909
232,英雄,3,钻石抽将-橙,1018,1,909
401,英雄,4,普通战令抽将-首抽,1130,1,10000
501,英雄,5,普通战令抽将,1212,1,707
502,英雄,5,普通战令抽将,1217,1,707
503,英雄,5,普通战令抽将,1225,1,707
504,英雄,5,普通战令抽将,1205,1,707
505,英雄,5,普通战令抽将,1228,1,707
506,英雄,5,普通战令抽将,1227,1,707
507,英雄,5,普通战令抽将,1214,1,707
508,英雄,5,普通战令抽将,1223,1,707
509,英雄,5,普通战令抽将,1230,1,707
510,英雄,5,普通战令抽将,1204,1,707
511,英雄,5,普通战令抽将,1206,1,707
512,英雄,5,普通战令抽将,1209,1,707
513,英雄,5,普通战令抽将,1211,1,708
514,英雄,5,普通战令抽将,1218,1,708
515,英雄,5,普通战令抽将,1105,1,5
516,英雄,5,普通战令抽将,1107,1,5
517,英雄,5,普通战令抽将,1112,1,5
518,英雄,5,普通战令抽将,1117,1,5
519,英雄,5,普通战令抽将,1122,1,4
520,英雄,5,普通战令抽将,1128,1,5
521,英雄,5,普通战令抽将,1130,1,4
522,英雄,5,普通战令抽将,1104,1,5
523,英雄,5,普通战令抽将,1124,1,5
524,英雄,5,普通战令抽将,1109,1,5
525,英雄,5,普通战令抽将,1111,1,5
526,英雄,5,普通战令抽将,1115,1,5
527,英雄,5,普通战令抽将,1110,1,5
528,英雄,5,普通战令抽将,1113,1,5
529,英雄,5,普通战令抽将,1125,1,4
530,英雄,5,普通战令抽将,1114,1,5
531,英雄,5,普通战令抽将,1106,1,4
532,英雄,5,普通战令抽将,1116,1,5
533,英雄,5,普通战令抽将,1118,1,4
534,英雄,5,普通战令抽将,1120,1,5
535,英雄,5,普通战令抽将,1127,1,5
601,英雄,6,神将活动-克总,1011,1,10000
701,英雄,7,神将活动-逐日者,1012,1,10000
801,英雄,8,神将活动-牛头人酋长,1027,1,10000
#,,,,,,
901,道具,9,抢夺-翻牌奖励,2212,1,77
902,道具,9,抢夺-翻牌奖励,2217,1,77
903,道具,9,抢夺-翻牌奖励,2225,1,77
904,道具,9,抢夺-翻牌奖励,2228,1,77
905,道具,9,抢夺-翻牌奖励,2205,1,77
906,道具,9,抢夺-翻牌奖励,2227,1,77
907,道具,9,抢夺-翻牌奖励,2214,1,77
908,道具,9,抢夺-翻牌奖励,2223,1,77
909,道具,9,抢夺-翻牌奖励,2230,1,77
910,道具,9,抢夺-翻牌奖励,2204,1,77
911,道具,9,抢夺-翻牌奖励,2206,1,77
912,道具,9,抢夺-翻牌奖励,2209,1,77
913,道具,9,抢夺-翻牌奖励,2211,1,76
914,道具,9,抢夺-翻牌奖励,2104,1,1
915,道具,9,抢夺-翻牌奖励,2105,1,1
916,道具,9,抢夺-翻牌奖励,2107,1,1
917,道具,9,抢夺-翻牌奖励,2112,1,1
918,道具,9,抢夺-翻牌奖励,2117,1,1
919,道具,9,抢夺-翻牌奖励,2122,1,1
920,道具,9,抢夺-翻牌奖励,2128,1,1
921,道具,9,抢夺-翻牌奖励,2130,1,1
922,道具,9,抢夺-翻牌奖励,2124,1,1
923,道具,9,抢夺-翻牌奖励,2109,1,1
924,道具,9,抢夺-翻牌奖励,200611,1,100
925,道具,9,抢夺-翻牌奖励,200711,1,100
926,道具,9,抢夺-翻牌奖励,200911,1,100
927,道具,9,抢夺-翻牌奖励,201011,1,100
928,道具,9,抢夺-翻牌奖励,201111,1,100
929,道具,9,抢夺-翻牌奖励,201211,1,100
930,道具,9,抢夺-翻牌奖励,200621,1,2
931,道具,9,抢夺-翻牌奖励,200721,1,2
932,道具,9,抢夺-翻牌奖励,200921,1,2
933,道具,9,抢夺-翻牌奖励,201021,1,2
934,道具,9,抢夺-翻牌奖励,201121,1,2
935,道具,9,抢夺-翻牌奖励,201221,1,2
936,道具,9,抢夺-翻牌奖励,50018,1,2200
937,道具,9,抢夺-翻牌奖励,50019,1,500
938,道具,9,抢夺-翻牌奖励,50020,1,900
939,道具,9,抢夺-翻牌奖励,50014,1,100
940,道具,9,抢夺-翻牌奖励,90001,1,1080
941,道具,9,抢夺-翻牌奖励,90002,1,1000
942,道具,9,抢夺-翻牌奖励,90003,1,1000
943,道具,9,抢夺-翻牌奖励,11011,1,13
944,道具,9,抢夺-翻牌奖励,11012,1,13
945,道具,9,抢夺-翻牌奖励,11013,1,13
946,道具,9,抢夺-翻牌奖励,11014,1,13
947,道具,9,抢夺-翻牌奖励,11021,1,12
948,道具,9,抢夺-翻牌奖励,11022,1,12
949,道具,9,抢夺-翻牌奖励,11023,1,12
950,道具,9,抢夺-翻牌奖励,11024,1,12
951,道具,9,抢夺-翻牌奖励,60003,1,890
952,道具,9,抢夺-翻牌奖励,60002,1,98
953,道具,9,抢夺-翻牌奖励,60001,1,10
954,道具,9,抢夺-翻牌奖励,50002,1,500
#,,,,,,
1001,英雄,10,神将活动-半神塞纳留斯,1020,1,10000
1101,英雄,11,神将活动-格罗姆地狱咆哮,1025,1,10000
1201,英雄,12,神将活动-图拉扬,1004,1,10000
1301,道具,13,征战宝箱3,100030,1,10000
1501,数值型,15,采集-必得物品,107,10000,10000
1601,道具,16,采集-可能得物品,40023,1,10000
1701,数值型,17,采集援助奖励,105,2,10000
1801,数值型,18,采集被援助事主获得奖励,103,20,3000
1802,数值型,18,采集被援助事主获得奖励,107,20000,3500
1803,数值型,18,采集被援助事主获得奖励,108,200,3500
1901,道具,19,采集被援助事主获得奖励,40020,1,10000
#,,,,,,
500101,道具,5001,四选一饰品宝箱,900008,1,10000
510101,道具,5101,四选一饰品宝箱,900009,1,10000
520101,道具,5201,四选一饰品宝箱,900010,1,10000
530101,道具,5301,四选一饰品宝箱,900011,1,10000
540101,道具,5401,橙将四选一宝箱,2015,50,10000
550101,道具,5501,橙将四选一宝箱,2026,50,10000
560101,道具,5601,橙将四选一宝箱,2029,50,10000
570101,道具,5701,橙将四选一宝箱,2006,50,10000
580101,道具,5801,稀有橙将四选一宝箱,2022,50,10000
590101,道具,5901,稀有橙将四选一宝箱,2008,50,10000
600101,道具,6001,稀有橙将四选一宝箱,2013,50,10000
610101,道具,6101,稀有橙将四选一宝箱,2010,50,10000
620101,道具,6201,10品质紫装四选一宝箱,100910,1,10000
630101,道具,6301,10品质紫装四选一宝箱,100920,1,10000
640101,道具,6401,10品质紫装四选一宝箱,100930,1,10000
650101,道具,6501,10品质紫装四选一宝箱,100940,1,10000
660101,道具,6601,15品质紫装四选一宝箱,101200,1,10000
670101,道具,6701,15品质紫装四选一宝箱,101210,1,10000
680101,道具,6801,15品质紫装四选一宝箱,101220,1,10000
690101,道具,6901,15品质紫装四选一宝箱,101230,1,10000
700101,道具,7001,20品质紫装四选一宝箱,101420,1,10000
710101,道具,7101,20品质紫装四选一宝箱,101430,1,10000
720101,道具,7201,20品质紫装四选一宝箱,101450,1,10000
730101,道具,7301,20品质紫装四选一宝箱,101460,1,10000
740101,道具,7401,限时神将四选一宝箱,2011,50,10000
750101,道具,7501,限时神将四选一宝箱,2012,50,10000
760101,道具,7601,限时神将四选一宝箱,2020,50,10000
770101,道具,7701,限时神将四选一宝箱,2025,50,10000
#,,,,,,
1000101,英雄,10001,神将活动-钻石抽将,1212,1,322
1000102,英雄,10001,神将活动-钻石抽将,1217,1,322
1000103,英雄,10001,神将活动-钻石抽将,1225,1,322
1000104,英雄,10001,神将活动-钻石抽将,1205,1,322
1000105,英雄,10001,神将活动-钻石抽将,1228,1,322
1000106,英雄,10001,神将活动-钻石抽将,1227,1,322
1000107,英雄,10001,神将活动-钻石抽将,1214,1,321
1000108,英雄,10001,神将活动-钻石抽将,1223,1,321
1000109,英雄,10001,神将活动-钻石抽将,1230,1,321
1000110,英雄,10001,神将活动-钻石抽将,1204,1,321
1000111,英雄,10001,神将活动-钻石抽将,1206,1,321
1000112,英雄,10001,神将活动-钻石抽将,1209,1,321
1000113,英雄,10001,神将活动-钻石抽将,1211,1,321
1000114,英雄,10001,神将活动-钻石抽将,1218,1,321
1000115,英雄,10001,神将活动-钻石抽将,1105,1,262
1000116,英雄,10001,神将活动-钻石抽将,1107,1,262
1000117,英雄,10001,神将活动-钻石抽将,1112,1,261
1000118,英雄,10001,神将活动-钻石抽将,1117,1,261
1000119,英雄,10001,神将活动-钻石抽将,1122,1,262
1000120,英雄,10001,神将活动-钻石抽将,1128,1,262
1000121,英雄,10001,神将活动-钻石抽将,1130,1,262
1000122,英雄,10001,神将活动-钻石抽将,1104,1,262
1000123,英雄,10001,神将活动-钻石抽将,1124,1,262
1000124,英雄,10001,神将活动-钻石抽将,1109,1,262
1000125,英雄,10001,神将活动-钻石抽将,1111,1,262
1000126,英雄,10001,神将活动-钻石抽将,1115,1,262
1000127,英雄,10001,神将活动-钻石抽将,1110,1,262
1000128,英雄,10001,神将活动-钻石抽将,1113,1,262
1000129,英雄,10001,神将活动-钻石抽将,1125,1,262
1000130,英雄,10001,神将活动-钻石抽将,1114,1,262
1000131,英雄,10001,神将活动-钻石抽将,1106,1,262
1000132,英雄,10001,神将活动-钻石抽将,1116,1,262
1000133,英雄,10001,神将活动-钻石抽将,1118,1,262
1000134,英雄,10001,神将活动-钻石抽将,1120,1,262
1000135,英雄,10001,神将活动-钻石抽将,1127,1,262
#,,,,,,
1010101,数值型,10101,怪物攻城-守城成功全服奖励,103,150,10000
1020101,数值型,10201,怪物攻城-守城失败全服奖励,103,50,10000
1110101,道具,11101,怪物攻城-补刀奖励-怪物类型1,50023,1,10000
1110102,道具,11101,怪物攻城-补刀奖励-怪物类型1,50022,1,10000
1110103,道具,11101,怪物攻城-补刀奖励-怪物类型1,50017,1,10000
1110104,道具,11101,怪物攻城-补刀奖励-怪物类型1,40023,10,10000
1110105,道具,11101,怪物攻城-补刀奖励-怪物类型1,50021,1,10000
1110106,道具,11101,怪物攻城-补刀奖励-怪物类型1,40012,9,10000
1120101,道具,11201,怪物攻城-补刀奖励-怪物类型2,50023,1,10000
1120102,道具,11201,怪物攻城-补刀奖励-怪物类型2,50022,1,10000
1120103,道具,11201,怪物攻城-补刀奖励-怪物类型2,50017,1,10000
1120104,道具,11201,怪物攻城-补刀奖励-怪物类型2,40023,10,10000
1120105,道具,11201,怪物攻城-补刀奖励-怪物类型2,50021,1,10000
1120106,道具,11201,怪物攻城-补刀奖励-怪物类型2,40012,9,10000
1130101,道具,11301,怪物攻城-补刀奖励-怪物类型3,50023,1,10000
1130102,道具,11301,怪物攻城-补刀奖励-怪物类型3,50022,1,10000
1130103,道具,11301,怪物攻城-补刀奖励-怪物类型3,50017,1,10000
1130104,道具,11301,怪物攻城-补刀奖励-怪物类型3,40023,10,10000
1130105,道具,11301,怪物攻城-补刀奖励-怪物类型3,50021,1,10000
1130106,道具,11301,怪物攻城-补刀奖励-怪物类型3,40012,9,10000
1140101,道具,11401,怪物攻城-补刀奖励-怪物类型4,50023,1,10000
1140102,道具,11401,怪物攻城-补刀奖励-怪物类型4,50022,1,10000
1140103,道具,11401,怪物攻城-补刀奖励-怪物类型4,50017,1,10000
1140104,道具,11401,怪物攻城-补刀奖励-怪物类型4,40023,10,10000
1140105,道具,11401,怪物攻城-补刀奖励-怪物类型4,50021,1,10000
1140106,道具,11401,怪物攻城-补刀奖励-怪物类型4,40012,9,10000
1150101,道具,11501,怪物攻城-补刀奖励-怪物类型5,50023,1,10000
1150102,道具,11501,怪物攻城-补刀奖励-怪物类型5,50022,1,10000
1150103,道具,11501,怪物攻城-补刀奖励-怪物类型5,50017,1,10000
1150104,道具,11501,怪物攻城-补刀奖励-怪物类型5,40023,10,10000
1150105,道具,11501,怪物攻城-补刀奖励-怪物类型5,50021,1,10000
1150106,道具,11501,怪物攻城-补刀奖励-怪物类型5,40012,9,10000
1160101,道具,11601,怪物攻城-补刀奖励-怪物类型6,50023,1,10000
1160102,道具,11601,怪物攻城-补刀奖励-怪物类型6,50022,1,10000
1160103,道具,11601,怪物攻城-补刀奖励-怪物类型6,50017,1,10000
1160104,道具,11601,怪物攻城-补刀奖励-怪物类型6,40023,10,10000
1160105,道具,11601,怪物攻城-补刀奖励-怪物类型6,50021,1,10000
1160106,道具,11601,怪物攻城-补刀奖励-怪物类型6,40012,9,10000
1170101,道具,11701,怪物攻城-补刀奖励-怪物类型7,50023,1,10000
1170102,道具,11701,怪物攻城-补刀奖励-怪物类型7,50022,1,10000
1170103,道具,11701,怪物攻城-补刀奖励-怪物类型7,50017,1,10000
1170104,道具,11701,怪物攻城-补刀奖励-怪物类型7,40023,10,10000
1170105,道具,11701,怪物攻城-补刀奖励-怪物类型7,50021,1,10000
1170106,道具,11701,怪物攻城-补刀奖励-怪物类型7,40012,9,10000
1180101,道具,11801,怪物攻城-补刀奖励-怪物类型8,50023,1,10000
1180102,道具,11801,怪物攻城-补刀奖励-怪物类型8,50022,1,10000
1180103,道具,11801,怪物攻城-补刀奖励-怪物类型8,50017,1,10000
1180104,道具,11801,怪物攻城-补刀奖励-怪物类型8,40023,10,10000
1180105,道具,11801,怪物攻城-补刀奖励-怪物类型8,50021,1,10000
1180106,道具,11801,怪物攻城-补刀奖励-怪物类型8,40012,9,10000
1190101,道具,11901,怪物攻城-补刀奖励-怪物类型9,50023,1,10000
1190102,道具,11901,怪物攻城-补刀奖励-怪物类型9,50022,1,10000
1190103,道具,11901,怪物攻城-补刀奖励-怪物类型9,50017,1,10000
1190104,道具,11901,怪物攻城-补刀奖励-怪物类型9,40023,10,10000
1190105,道具,11901,怪物攻城-补刀奖励-怪物类型9,50021,1,10000
1190106,道具,11901,怪物攻城-补刀奖励-怪物类型9,40012,9,10000
1310101,数值型,13101,怪物攻城-第1名奖励,107,360000,10000
1320101,数值型,13201,怪物攻城-第2名奖励,107,320000,10000
1330101,数值型,13301,怪物攻城-第3名奖励,107,280000,10000
1340101,数值型,13401,怪物攻城-第4名奖励,107,240000,10000
1350101,数值型,13501,怪物攻城-第5名奖励,107,220000,10000
1360101,数值型,13601,怪物攻城-第6名奖励,107,200000,10000
1370101,数值型,13701,怪物攻城-第7名奖励,107,190000,10000
1380101,数值型,13801,怪物攻城-第8名奖励,107,180000,10000
1390101,数值型,13901,怪物攻城-第9名奖励,107,170000,10000
1400101,数值型,14001,怪物攻城-第10名奖励,107,160000,10000
#,,,,,,
2510101,道具,25101,军团boss参与奖,50012,1,10000
2510201,道具,25102,军团boss参与奖,44002,2,1500
2510202,道具,25102,军团boss参与奖,40053,1,1500
2510203,道具,25102,军团boss参与奖,60001,1,800
2510204,道具,25102,军团boss参与奖,42101,2,100
2510205,道具,25102,军团boss参与奖,50041,1,1590
2510206,道具,25102,军团boss参与奖,60002,1,1300
2510207,道具,25102,军团boss参与奖,50056,1,10
2510208,道具,25102,军团boss参与奖,60003,1,1200
2510209,道具,25102,军团boss参与奖,50055,1,500
2510210,道具,25102,军团boss参与奖,50025,1,1500
2520101,道具,25201,军团boss击杀奖励,50005,1,2000
2520102,道具,25201,军团boss击杀奖励,50013,1,2000
2520103,道具,25201,军团boss击杀奖励,50016,1,2000
2520104,道具,25201,军团boss击杀奖励,40022,10,2000
2520105,道具,25201,军团boss击杀奖励,40012,9,2000
2530101,道具,25301,军团boss获胜奖-地精打孔装置,40051,1,1200
2530102,道具,25301,军团boss获胜奖-地精打孔装置*2,40051,2,400
2530103,道具,25301,军团boss获胜奖-稀有英雄碎片-小黑1022,2022,1,90
2530104,道具,25301,军团boss获胜奖-稀有英雄碎片-小黑1022*2,2022,2,10
2530105,道具,25301,军团boss获胜奖-稀有英雄碎片-维纶1008,2008,1,90
2530106,道具,25301,军团boss获胜奖-稀有英雄碎片-维纶1008*2,2008,2,10
2530107,道具,25301,军团boss获胜奖-稀有英雄碎片-安东尼达斯1010,2010,1,90
2530108,道具,25301,军团boss获胜奖-稀有英雄碎片-安东尼达斯1010*2,2010,2,10
2530109,道具,25301,军团boss获胜奖-稀有英雄碎片-阿卡玛1013,2013,1,90
2530110,道具,25301,军团boss获胜奖-稀有英雄碎片-阿卡玛1013*2,2013,2,10
2530111,道具,25301,军团boss获胜奖-稀有英雄碎片-寇加尔1016,2016,1,90
2530112,道具,25301,军团boss获胜奖-稀有英雄碎片-寇加尔1016*2,2016,2,10
2530113,道具,25301,军团boss获胜奖-20附魔材料*10,44001,10,300
2530114,道具,25301,军团boss获胜奖-20附魔材料*15,44001,15,200
2530115,道具,25301,军团boss获胜奖-20附魔材料*20,44001,20,100
2530116,道具,25301,军团boss获胜奖-20附魔材料*25,44001,25,20
2530117,道具,25301,军团boss获胜奖-20附魔材料*50,44001,50,3
2530118,道具,25301,军团boss获胜奖-50附魔材料*4,44002,4,300
2530119,道具,25301,军团boss获胜奖-50附魔材料*6,44002,6,300
2530120,道具,25301,军团boss获胜奖-50附魔材料*8,44002,8,100
2530121,道具,25301,军团boss获胜奖-50附魔材料*10,44002,10,40
2530122,道具,25301,军团boss获胜奖-50附魔材料*20,44002,20,3
2530123,道具,25301,军团boss获胜奖-200附魔材料,44003,1,300
2530124,道具,25301,军团boss获胜奖-200附魔材料*2,44003,2,320
2530125,道具,25301,军团boss获胜奖-200附魔材料*3,44003,3,140
2530126,道具,25301,军团boss获胜奖-200附魔材料*4,44003,4,40
2530127,道具,25301,军团boss获胜奖-200附魔材料*8,44003,8,4
2530128,道具,25301,军团boss获胜奖-500附魔材料,44004,1,20
2530129,道具,25301,军团boss获胜奖-500附魔材料*2,44004,2,5
2530130,道具,25301,军团boss获胜奖-500附魔材料*3,44004,3,3
2530131,道具,25301,军团boss获胜奖-500附魔材料*4,44004,4,2
2530132,道具,25301,军团boss获胜奖-熔炼石,40052,1,1200
2530133,道具,25301,军团boss获胜奖-熔炼石*2,40052,2,400
2530134,道具,25301,军团boss获胜奖-突破石*5,42101,5,100
2530135,道具,25301,军团boss获胜奖-突破石*8,42101,8,40
2530136,道具,25301,军团boss获胜奖-突破石*10,42101,10,10
2530137,道具,25301,军团boss获胜奖-氪金宝箱,60001,1,900
2530138,道具,25301,军团boss获胜奖-氪金宝箱*2,60001,2,200
2530139,道具,25301,军团boss获胜奖-氪金宝箱*3,60001,3,50
2530140,道具,25301,军团boss获胜奖-氪金宝箱*5,60001,5,20
2530141,道具,25301,军团boss获胜奖-橙色英雄碎片包,50024,1,2000
2530142,道具,25301,军团boss获胜奖-橙色英雄碎片包*2,50024,2,200
2530143,道具,25301,军团boss获胜奖-随机神将碎片宝箱,50043,1,200
2530144,道具,25301,军团boss获胜奖-饰品碎片宝箱,50056,1,190
2530145,道具,25301,军团boss获胜奖-饰品碎片宝箱*2,50056,2,10
2530146,数值型,25301,军团boss获胜奖-,103,100,80
2530147,道具,25301,军团boss获胜奖-,40022,2,100
#,,,,,,
2610101,数值型,26101,转盘活动1号格子,108,500,4000
2610102,数值型,26101,转盘活动1号格子,108,600,2500
2610103,数值型,26101,转盘活动1号格子,108,800,2000
2610104,数值型,26101,转盘活动1号格子,108,1000,1500
2620101,道具,26201,转盘活动2号格子,60001,1,4000
2620102,道具,26201,转盘活动2号格子,60001,2,1000
2620103,道具,26201,转盘活动2号格子,40009,1,2500
2620104,道具,26201,转盘活动2号格子,40009,2,2500
2630101,道具,26301,转盘活动3号格子,40053,2,6500
2630102,道具,26301,转盘活动3号格子,40053,3,2500
2630103,道具,26301,转盘活动3号格子,40053,4,800
2630104,道具,26301,转盘活动3号格子,40053,5,200
2640101,道具,26401,转盘活动4号格子,40041,1,10000
2650101,道具,26501,转盘活动5号格子,40023,1,6000
2650102,道具,26501,转盘活动5号格子,40023,2,2000
2650103,道具,26501,转盘活动5号格子,40023,3,1000
2650104,道具,26501,转盘活动5号格子,40023,4,500
2650105,道具,26501,转盘活动5号格子,40024,1,500
2660101,道具,26601,转盘活动6号格子,40051,1,5000
2660102,道具,26601,转盘活动6号格子,40052,1,5000
2670101,道具,26701,转盘活动7号格子,90004,2,1334
2670102,道具,26701,转盘活动7号格子,90005,2,1333
2670103,道具,26701,转盘活动7号格子,90006,2,1333
2670104,道具,26701,转盘活动7号格子,90004,3,1334
2670105,道具,26701,转盘活动7号格子,90005,3,1333
2670106,道具,26701,转盘活动7号格子,90006,3,1333
2670107,道具,26701,转盘活动7号格子,90007,1,667
2670108,道具,26701,转盘活动7号格子,90008,1,667
2670109,道具,26701,转盘活动7号格子,90009,1,666
2680101,道具,26801,转盘活动8号格子,70001,2,6000
2680102,道具,26801,转盘活动8号格子,70001,3,4000
#,,,,,,
170101,数值型,1701,采集-援助（程序写死的掉落组）,107,20000,10000
170201,道具,1702,采集-援助（程序写死的掉落组）,40021,1,10000
180101,道具,1801,采集-被援助（程序写死的掉落组）,40021,1,10000
200101,道具,2001,采集-可能得物品,42011,1,3500
200102,道具,2001,采集-可能得物品,42012,1,3500
200103,道具,2001,采集-可能得物品,42013,1,3000
210101,道具,2101,采集-可能得物品,41011,2,7000
210102,道具,2101,采集-可能得物品,41011,1,3000
220101,数值型,2201,采集-可能得物品,107,100000,5000
220102,数值型,2201,采集-可能得物品,108,1000,5000
230101,道具,2301,采集-可能得物品,42015,5,1500
230102,道具,2301,采集-可能得物品,42014,5,1500
230103,道具,2301,采集-可能得物品,42013,6,2335
230104,道具,2301,采集-可能得物品,42012,6,2335
230105,道具,2301,采集-可能得物品,42011,6,2330
240101,道具,2401,采集-可能得物品,41012,1,2000
240102,道具,2401,采集-可能得物品,41011,5,2500
240103,道具,2401,采集-可能得物品,41011,4,5500
250101,数值型,2501,采集-可能得物品,107,18000,5000
250102,数值型,2501,采集-可能得物品,108,180,5000
260101,道具,2601,采集-可能得物品,42015,7,1500
260102,道具,2601,采集-可能得物品,42014,7,1500
260103,道具,2601,采集-可能得物品,42013,9,2335
260104,道具,2601,采集-可能得物品,42012,9,2335
260105,道具,2601,采集-可能得物品,42011,9,2330
270101,道具,2701,采集-可能得物品,41012,1,1000
270102,道具,2701,采集-可能得物品,41011,2,3000
270103,道具,2701,采集-可能得物品,41011,1,6000
280101,数值型,2801,采集-可能得物品,107,68000,5000
280102,数值型,2801,采集-可能得物品,108,680,5000
290101,道具,2901,采集-可能得物品,42015,1,1000
290102,道具,2901,采集-可能得物品,42014,1,1000
290103,道具,2901,采集-可能得物品,42013,1,2666
290104,道具,2901,采集-可能得物品,42012,1,2667
290105,道具,2901,采集-可能得物品,42011,1,2667
300101,道具,3001,采集-可能得物品,41012,1,1000
300102,道具,3001,采集-可能得物品,41011,2,5500
300103,道具,3001,采集-可能得物品,41011,1,3500
310101,数值型,3101,采集-可能得物品,107,88000,5000
310102,数值型,3101,采集-可能得物品,108,880,5000
320101,道具,3201,采集-可能得物品,42015,5,2000
320102,道具,3201,采集-可能得物品,42014,5,2000
320103,道具,3201,采集-可能得物品,42013,6,2000
320104,道具,3201,采集-可能得物品,42012,6,2000
320105,道具,3201,采集-可能得物品,42011,6,2000
330101,道具,3301,采集-可能得物品,41012,1,3000
330102,道具,3301,采集-可能得物品,41011,5,2500
330103,道具,3301,采集-可能得物品,41011,4,4500
340101,道具,3401,采集-可能得物品,107,26000,5000
340102,道具,3401,采集-可能得物品,108,260,5000
#,,,,,,
3010101,数值型,30101,10绑钻,103,10,10000
3020101,数值型,30201,20绑钻,103,20,10000
3030101,数值型,30301,50绑钻,103,50,10000
3040101,数值型,30401,100绑钻,103,100,10000
3050101,数值型,30501,10英魂,201,10,10000
3060101,数值型,30601,20英魂,201,20,10000
3070101,数值型,30701,50英魂,201,50,10000
3080101,数值型,30801,100英魂,201,100,10000
3090101,数值型,30901,10000铜币,107,10000,10000
3100101,数值型,31001,20000铜币,107,20000,10000
3110101,数值型,31101,50000铜币,107,50000,10000
3120101,数值型,31201,100000铜币,107,100000,10000
3130101,数值型,31301,200战魂,108,200,10000
3140101,数值型,31401,500战魂,108,500,10000
3150101,数值型,31501,1000战魂,108,1000,10000
