Table:CsvBattleMap,,,,,,,,,,,,,,
tid,name:s,need_level,battle_num,star1,drop_group1,star2,drop_group2,star3,drop_group3,prefab:s,dungeon,,,
214,斯坦索姆血色区,斯坦索姆曾经是洛丹伦一颗璀璨的明珠，然而如今却变成恐怖的瘟疫之地。,Dungeon/fuben_siwangkuangjing,DungeonMap/siwangkuangjing,"1141,1142,1143,1144,1145,1146","1800,1800,1800,2600,1000,1000,","3141,3142,3143,3144,3145,3146,","1800,1800,1800,2600,1000,1000,","4141,4142,4143,4144,4145,4146,","1800,1800,1800,2600,1000,1000,","5141,5142,5143,5144,5145,5146,","1800,1800,1800,2600,1000,1000,","6141,6142,6143,6144,6145,6146,","1800,1800,1800,2600,1000,1000,"
215,斯坦索姆亡灵区,斯坦索姆曾经是洛丹伦一颗璀璨的明珠，然而如今却变成恐怖的瘟疫之地。,Dungeon/fuben_yingyachengbao,DungeonMap/yingyachengbao,"1151,1152,1153,1154,1155,1156","1800,1800,1800,2600,1000,1000,","3151,3152,3153,3154,3155,3156,","1800,1800,1800,2600,1000,1000,","4151,4152,4153,4154,4155,4156,","1800,1800,1800,2600,1000,1000,","5151,5152,5153,5154,5155,5156,","1800,1800,1800,2600,1000,1000,","6151,6152,6153,6154,6155,6156,","1800,1800,1800,2600,1000,1000,"
216,黑石塔下层,黑石山中那固若金汤的要塞便是矮人建筑师弗兰克罗恩·铸铁精心设计的杰作。,Dungeon/fuben_heishishenyuan,DungeonMap/heishishenyuan,"1161,1162,1163,1164,1165,1166","1800,1800,1800,2600,1000,1000,","3161,3162,3163,3164,3165,3166,","1800,1800,1800,2600,1000,1000,","4161,4162,4163,4164,4165,4166,","1800,1800,1800,2600,1000,1000,","5161,5162,5163,5164,5165,5166,","1800,1800,1800,2600,1000,1000,","6161,6162,6163,6164,6165,6166,","1800,1800,1800,2600,1000,1000,"
217,黑石塔上层,黑石山中那固若金汤的要塞便是矮人建筑师弗兰克罗恩·铸铁精心设计的杰作。,Dungeon/fuben_heishishenyuan,DungeonMap/heishishenyuan,"1171,1172,1173,1174,1175,1176","1800,1800,1800,2600,1000,1000,","3171,3172,3173,3174,3175,3176,","1800,1800,1800,2600,1000,1000,","4171,4172,4173,4174,4175,4176,","1800,1800,1800,2600,1000,1000,","5171,5172,5173,5174,5175,5176,","1800,1800,1800,2600,1000,1000,","6171,6172,6173,6174,6175,6176,","1800,1800,1800,2600,1000,1000,"
,,,,,,,,,,,,,,
# 战役购买次数表,,,,,,,,,,,,,,
# 这张表的tid必须按从1开始,,,,,,,,,,,,,,
Table:CsvDungeonBuyTimes,,,,,,,,,,,,,,
tid,diamand_price,,,,,,,,,,,,,
#,购买消耗钻石,,,,,,,,,,,,,
1,100,,,,,,,,,,,,,
2,150,,,,,,,,,,,,,
3,249,,,,,,,,,,,,,
4,350,,,,,,,,,,,,,
5,600,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#副本掉落预览表,,,,,,,,,,,,,,
Table:CsvDungeonPreAward,,,,,,,,,,,,,,
tid,items:a,,,,,,,,,,,,,
#跟CsvDungeonMap的tid保持一致,预览物品id,,,,,,,,,,,,,
201,"100890,100110,100120,100130,100140,50003,",,,,,,,,,,,,,
202,"100900,100210,100220,100230,100240,50003,",,,,,,,,,,,,,
203,"100910,11089,11090,11091,11092,11093,11094,",,,,,,,,,,,,,
204,"100920,41011,11089,11090,11091,11092,11093,11094,",,,,,,,,,,,,,
205,"100930,41011,11089,11090,11091,11092,11093,11094,",,,,,,,,,,,,,
206,"100940,41012,41011,11089,11090,11091,11092,11093,11094,",,,,,,,,,,,,,
207,"101180,41013,41012,41011,11118,11119,11120,11121,11122,11123,",,,,,,,,,,,,,
208,"101190,41013,41012,41011,11118,11119,11120,11121,11122,11123,",,,,,,,,,,,,,
209,"101200,41013,41012,41011,11118,11119,11120,11121,11122,11123,",,,,,,,,,,,,,
210,"101210,41013,41012,41011,11118,11119,11120,11121,11122,11123,",,,,,,,,,,,,,
211,"101220,41021,41022,41013,41012,41011,11118,11119,11120,11121,11122,11123,",,,,,,,,,,,,,
212,"101230,41021,41022,41013,41012,41011,11118,11119,11120,11121,11122,11123,",,,,,,,,,,,,,
213,"101410,101420,11141,11142,41021,41022,41013,41012,41011,",,,,,,,,,,,,,
214,"101430,101450,11143,11145,41021,41022,41013,41012,41011,",,,,,,,,,,,,,
215,"101460,101440,11146,11144,41021,41022,41013,41012,41011,",,,,,,,,,,,,,
216,"101520,101510,11152,11151,41021,41022,41013,41012,41011,",,,,,,,,,,,,,
217,"101490,101480,11149,11148,41021,41022,41013,41012,41011,",,,,,,,,,,,,,
