Table:CsvFavorCrit,,,,
tid,total_relation_region,actual_prob,display_prob,crit_prob
10004,1176,180,180,500
10005,1512,260,260,500
10006,1848,500,500,500
10007,2184,800,800,500
10008,2520,1500,1500,500
10009,2856,3000,3000,500
10010,3192,5000,5000,500
10011,3360,10000,10000,500
11001,0,0,100,500
11002,592,100,100,500
11003,987,110,110,500
11004,1382,180,180,500
11005,1777,240,240,500
11006,2172,300,300,500
11007,2567,400,400,500
11008,2962,800,800,500
11009,3357,1500,1500,500
11010,3752,2000,2000,500
11011,3950,10000,10000,500
12001,0,0,100,500
12002,688,100,100,500
12003,1147,110,110,500
12004,1606,180,180,500
12005,2065,240,240,500
12006,2524,300,300,500
12007,2983,400,400,500
12008,3442,800,800,500
12009,3901,1500,1500,500
12010,4360,2000,2000,500
12011,4590,10000,10000,500
13001,0,0,100,500
13002,792,100,100,500
13003,1320,110,110,500
13004,1848,180,180,500
13005,2376,240,240,500
13006,2904,300,300,500
13007,3432,400,400,500
13008,3960,500,500,500
13009,4488,600,600,500
13010,5016,700,700,500
13011,5280,10000,10000,500
14001,0,0,100,500
14002,903,100,100,500
14003,1505,110,110,500
14004,2107,180,180,500
14005,2709,240,240,500
14006,3311,300,300,500
14007,3913,400,400,500
14008,4515,500,500,500
14009,5117,600,600,500
14010,5719,700,700,500
14011,6020,10000,10000,500
15001,0,0,100,500
15002,1020,100,100,500
15003,1700,110,110,500
15004,2380,180,180,500
15005,3060,240,240,500
15006,3740,300,300,500
15007,4420,400,400,500
15008,5100,500,500,500
15009,5780,600,600,500
15010,6460,700,700,500
15011,6800,10000,10000,500
16001,0,0,100,500
16002,1144,100,100,500
16003,1907,110,110,500
16004,2670,180,180,500
16005,3433,240,240,500
16006,4196,300,300,500
16007,4959,400,400,500
16008,5722,500,500,500
16009,6485,600,600,500
16010,7553,700,700,500
16011,7630,10000,10000,500
17001,0,0,100,500
17002,1276,100,100,500
17003,2127,110,110,500
17004,2978,180,180,500
17005,3829,240,240,500
17006,4680,300,300,500
17007,5531,400,400,500
17008,6382,500,500,500
17009,7233,600,600,500
17010,8424,700,700,500
17011,8510,10000,10000,500
18001,0,0,100,500
18002,1416,100,100,500
18003,2360,110,110,500
18004,3304,180,180,500
18005,4248,240,240,500
18006,5192,300,300,500
18007,6136,400,400,500
18008,7080,500,500,500
18009,8024,600,600,500
18010,9345,700,700,500
18011,9440,10000,10000,500
19001,0,0,100,500
19002,1563,100,100,500
19003,2605,110,110,500
19004,3647,180,180,500
19005,4689,240,240,500
19006,5731,300,300,500
19007,6773,400,400,500
19008,7815,500,500,500
19009,8857,600,600,500
19010,10315,700,700,500
19011,10420,10000,10000,500
20001,0,0,100,500
20002,1716,0,100,500
20003,2860,0,100,500
20004,4004,0,100,500
20005,5148,100,100,500
20006,6292,110,110,500
20007,7436,150,150,500
20008,8580,200,200,500
20009,9724,250,250,500
20010,11325,300,300,500
20011,11440,10000,10000,500
21001,0,0,100,500
21002,1876,0,100,500
21003,3127,0,100,500
21004,4378,0,100,500
21005,5629,100,100,500
21006,6880,110,110,500
21007,8131,150,150,500
21008,9382,200,200,500
21009,10633,250,250,500
21010,12384,300,300,500
21011,12510,10000,10000,500
22001,0,0,100,500
22002,2044,0,100,500
22003,3407,0,100,500
22004,4770,0,100,500
22005,6133,100,100,500
22006,7496,110,110,500
22007,8859,150,150,500
22008,10222,200,200,500
22009,11585,250,250,500
22010,13493,300,300,500
22011,13630,10000,10000,500
23001,0,0,100,500
23002,2220,0,100,500
23003,3700,0,100,500
23004,5180,0,100,500
23005,6660,100,100,500
23006,8140,110,110,500
23007,9620,150,150,500
23008,11100,200,200,500
23009,12580,250,250,500
23010,14652,300,300,500
23011,14800,10000,10000,500
24001,0,0,100,500
24002,2403,0,100,500
24003,4005,0,100,500
24004,5607,0,100,500
24005,7209,100,100,500
24006,8811,110,110,500
24007,10413,150,150,500
24008,12015,200,200,500
24009,13617,250,250,500
24010,15859,300,300,500
24011,16020,10000,10000,500
25001,0,0,100,500
25002,2592,0,100,500
25003,4320,0,100,500
25004,6048,0,100,500
25005,7776,100,100,500
25006,9504,110,110,500
25007,11232,150,150,500
25008,12960,200,200,500
25009,14688,250,250,500
25010,17107,300,300,500
25011,17280,10000,10000,500
26001,0,0,100,500
26002,2788,0,100,500
26003,4647,0,100,500
26004,6506,0,100,500
26005,8365,100,100,500
26006,10224,110,110,500
26007,12083,150,150,500
26008,13942,200,200,500
26009,15801,250,250,500
26010,18404,300,300,500
26011,18590,10000,10000,500
27001,0,0,100,500
27002,2992,0,100,500
27003,4987,0,100,500
27004,6982,0,100,500
27005,8977,100,100,500
27006,10972,110,110,500
27007,12967,150,150,500
27008,14962,200,200,500
27009,16957,250,250,500
27010,19750,300,300,500
27011,19950,10000,10000,500
28001,0,0,100,500
28002,3204,0,100,500
28003,5340,0,100,500
28004,7476,0,100,500
28005,9612,100,100,500
28006,11748,110,110,500
28007,13884,150,150,500
28008,16020,200,200,500
28009,18156,250,250,500
28010,21146,300,300,500
28011,21360,10000,10000,500
29001,0,0,100,500
29002,3423,0,100,500
29003,5705,0,100,500
29004,7987,0,100,500
29005,10269,100,100,500
29006,12551,110,110,500
29007,14833,150,150,500
29008,17115,200,200,500
29009,19397,250,250,500
29010,22591,300,300,500
29011,22820,10000,10000,500
30001,0,0,100,500
30002,3648,0,100,500
30003,6080,0,100,500
30004,8512,0,100,500
30005,10944,50,100,500
30006,13376,100,100,500
30007,15808,120,120,500
30008,18240,150,150,500
30009,20672,200,200,500
30010,24076,250,250,500
30011,24320,10000,10000,500
31001,0,0,100,500
31002,3880,0,100,500
31003,6467,0,100,500
31004,9054,0,100,500
31005,11641,50,100,500
31006,14228,100,100,500
31007,16815,120,120,500
31008,19402,150,150,500
31009,21989,200,200,500
31010,25611,250,250,500
31011,25870,10000,10000,500
32001,0,0,100,500
32002,4120,0,100,500
32003,6867,0,100,500
32004,9614,0,100,500
32005,12361,50,100,500
32006,15108,100,100,500
32007,17855,120,120,500
32008,20602,150,150,500
32009,23349,200,200,500
32010,27195,250,250,500
32011,27470,10000,10000,500
33001,0,0,100,500
33002,4368,0,100,500
33003,7280,0,100,500
33004,10192,0,100,500
33005,13104,50,100,500
33006,16016,100,100,500
33007,18928,120,120,500
33008,21840,150,150,500
33009,24752,200,200,500
33010,28828,250,250,500
33011,29120,10000,10000,500
34001,0,0,100,500
34002,4623,0,110,500
34003,7705,0,120,500
34004,10787,0,130,500
34005,13869,50,140,500
34006,16951,60,150,500
34007,20033,80,160,500
34008,23115,100,170,500
34009,26197,120,180,500
34010,30511,150,190,500
34011,30820,10000,10000,500
35001,0,0,100,500
35002,4884,0,110,500
35003,8140,0,120,500
35004,11396,0,130,500
35005,14652,50,140,500
35006,17908,60,150,500
35007,21164,80,160,500
35008,24420,100,170,500
35009,27676,120,180,500
35010,32234,150,190,500
35011,32560,10000,10000,500
36001,0,0,100,500
36002,5152,0,110,500
36003,8587,0,120,500
36004,12022,0,130,500
36005,15457,50,140,500
36006,18892,60,150,500
36007,22327,80,160,500
36008,25762,100,170,500
36009,29197,120,180,500
36010,34006,150,190,500
36011,34350,10000,10000,500
37001,0,0,100,500
37002,5428,0,110,500
37003,9047,0,120,500
37004,12666,0,130,500
37005,16285,50,140,500
37006,19904,60,150,500
37007,23523,80,160,500
37008,27142,100,170,500
37009,30761,120,180,500
37010,35828,150,190,500
37011,36190,10000,10000,500
38001,0,0,100,500
38002,5712,0,110,500
38003,9520,0,120,500
38004,13328,0,130,500
38005,17136,50,140,500
38006,20944,60,150,500
38007,24752,80,160,500
38008,28560,100,170,500
38009,32368,120,180,500
38010,37699,150,190,500
38011,38080,10000,10000,500
39001,0,0,100,500
39002,6003,0,110,500
39003,10005,0,120,500
39004,14007,0,130,500
39005,18009,50,140,500
39006,22011,60,150,500
39007,26013,80,160,500
39008,30015,100,170,500
39009,34017,120,180,500
39010,39619,150,190,500
39011,40020,10000,10000,500
40001,0,0,100,500
40002,6300,0,110,500
40003,10500,0,120,500
40004,14700,0,130,500
40005,18900,50,140,500
40006,23100,60,150,500
40007,27300,80,160,500
40008,31500,100,170,500
40009,35700,120,180,500
40010,41580,150,190,500
40011,42000,10000,10000,500
41001,0,0,100,500
41002,6604,0,110,500
41003,11007,0,120,500
41004,15410,0,130,500
41005,19813,50,140,500
41006,24216,60,150,500
41007,28619,80,160,500
41008,33022,100,170,500
41009,37425,120,180,500
41010,43589,150,190,500
41011,44030,10000,10000,500
42001,0,0,100,500
42002,6916,0,110,500
42003,11527,0,120,500
42004,16138,0,130,500
42005,20749,50,140,500
42006,25360,60,150,500
42007,29971,80,160,500
42008,34582,100,170,500
42009,39193,120,180,500
42010,45648,150,190,500
42011,46110,10000,10000,500
43001,0,0,100,500
43002,7236,0,110,500
43003,12060,0,120,500
43004,16884,0,130,500
43005,21708,50,140,500
43006,26532,60,150,500
43007,31356,80,160,500
43008,36180,100,170,500
43009,41004,120,180,500
43010,47757,150,190,500
43011,48240,10000,10000,500
44001,0,0,100,500
44002,7563,0,110,500
44003,12605,0,120,500
44004,17647,0,130,500
44005,22689,50,140,500
44006,27731,60,150,500
44007,32773,80,160,500
44008,37815,100,170,500
44009,42857,120,180,500
44010,49915,150,190,500
44011,50420,10000,10000,500
45001,0,0,100,500
45002,7896,0,110,500
45003,13160,0,120,500
45004,18424,0,130,500
45005,23688,50,140,500
45006,28952,60,150,500
45007,34216,80,160,500
45008,39480,100,170,500
45009,44744,120,180,500
45010,52113,150,190,500
45011,52640,10000,10000,500
46001,0,0,100,500
46002,8236,0,110,500
46003,13727,0,120,500
46004,19218,0,130,500
46005,24709,50,140,500
46006,30200,60,150,500
46007,35691,80,160,500
46008,41182,100,170,500
46009,46673,120,180,500
46010,54360,150,190,500
46011,54910,10000,10000,500
47001,0,0,100,500
47002,8584,0,110,500
47003,14307,0,120,500
47004,20030,0,130,500
47005,25753,50,140,500
47006,31476,60,150,500
47007,37199,80,160,500
47008,42922,100,170,500
47009,48645,120,180,500
47010,56657,150,190,500
47011,57230,10000,10000,500
48001,0,0,100,500
48002,8940,0,110,500
48003,14900,0,120,500
48004,20860,0,130,500
48005,26820,50,140,500
48006,32780,60,150,500
48007,38740,80,160,500
48008,44700,100,170,500
48009,50660,120,180,500
48010,59004,150,190,500
48011,59600,10000,10000,500
49001,0,0,100,500
49002,9303,0,110,500
49003,15505,0,120,500
49004,21707,0,130,500
49005,27909,50,140,500
49006,34111,60,150,500
49007,40313,80,160,500
49008,46515,100,170,500
49009,52717,120,180,500
49010,61399,150,190,500
49011,62020,10000,10000,500
50001,0,0,100,500
50002,9742,0,110,500
50003,16237,0,120,500
50004,22732,0,130,500
50005,29227,50,140,500
50006,35722,60,150,500
50007,42217,80,160,500
50008,48712,100,170,500
50009,55207,120,180,500
50010,64300,150,190,500
50011,64950,10000,10000,500
51001,0,0,100,200
51002,10287,0,110,200
51003,17145,0,120,200
51004,24003,0,130,200
51005,30861,40,140,200
51006,37719,50,150,200
51007,44577,60,160,200
51008,51435,70,170,200
51009,58293,80,180,200
51010,67894,110,190,200
51011,68580,10000,10000,200
52001,0,0,100,200
52002,10840,0,110,200
52003,18067,0,120,200
52004,25294,0,130,200
52005,32521,40,140,200
52006,39748,50,150,200
52007,46975,60,160,200
52008,54202,70,170,200
52009,61429,80,180,200
52010,71547,110,190,200
52011,72270,10000,10000,200
53001,0,0,100,200
53002,11406,0,110,200
53003,19010,0,120,200
53004,26614,0,130,200
53005,34218,40,140,200
53006,41822,50,150,200
53007,49426,60,160,200
53008,57030,70,170,200
53009,64634,80,180,200
53010,75279,110,190,200
53011,76040,10000,10000,200
54001,0,0,100,200
54002,11980,0,110,200
54003,19967,0,120,200
54004,27954,0,130,200
54005,35941,40,140,200
54006,43928,50,150,200
54007,51915,60,160,200
54008,59902,70,170,200
54009,67889,80,180,200
54010,79071,110,190,200
54011,79870,10000,10000,200
55001,0,0,100,200
55002,12567,0,110,200
55003,20945,0,120,200
55004,29323,0,130,200
55005,37701,40,140,200
55006,46079,50,150,200
55007,54457,60,160,200
55008,62835,70,170,200
55009,71213,80,180,200
55010,82942,110,190,200
55011,83780,10000,10000,200
56001,0,0,100,200
56002,13162,0,110,200
56003,21937,0,120,200
56004,30712,0,130,200
56005,39487,40,140,200
56006,48262,50,150,200
56007,57037,60,160,200
56008,65812,70,170,200
56009,74587,80,180,200
56010,86872,110,190,200
56011,87750,10000,10000,200
57001,0,0,100,200
57002,13770,0,110,200
57003,22950,0,120,200
57004,32130,0,130,200
57005,41310,40,140,200
57006,50490,50,150,200
57007,59670,60,160,200
57008,68850,70,170,200
57009,78030,80,180,200
57010,90882,110,190,200
57011,91800,10000,10000,200
58001,0,0,100,200
58002,14386,0,110,200
58003,23977,0,120,200
58004,33568,0,130,200
58005,43159,40,140,200
58006,52750,50,150,200
58007,62341,60,160,200
58008,71932,70,170,200
58009,81523,80,180,200
58010,94950,110,190,200
58011,95910,10000,10000,200
59001,0,0,100,200
59002,15015,0,110,200
59003,25025,0,120,200
59004,35035,0,130,200
59005,45045,40,140,200
59006,55055,50,150,200
59007,65065,60,160,200
59008,75075,70,170,200
59009,85085,80,180,200
59010,99099,110,190,200
59011,100100,10000,10000,200
60001,0,0,100,200
60002,15652,0,110,200
60003,26087,0,120,200
60004,36522,0,130,200
60005,46957,40,140,200
60006,57392,50,150,200
60007,67827,60,160,200
60008,78262,70,170,200
60009,88697,80,180,200
60010,103306,110,190,200
60011,104350,10000,10000,200
