Table:CsvServiceHappy,,,,,,,,,,
tid,name:s,service_day_num,tab_type:ServiceHappyType,finish_type:ServiceHappyFinishType,op:MathOp,op_value,premise_op:MathOp,premise_op_value,items:a,items_count:a
20020,半价抢购:熔炼石,2,半价抢购,半价抢购,等于,,等于,350,40052,7
20021,半价抢购:地精打孔装置,2,半价抢购,半价抢购,等于,,等于,350,40051,7
20022,半价抢购：战魂,2,半价抢购,半价抢购,等于,,等于,500,108,10000
20023,半价抢购：中级技能经验书,2,半价抢购,半价抢购,等于,,等于,1250,40042,5
# 第三天,,,,,,,,,,
30001,登入奖励：第三天,3,每日福利,登入奖励,大于等于,1,大于等于,3,"103,40014","100,1"
30002,累计充值800元,3,每日福利,累计充值,大于等于,800,大于等于,,110003,1
30003,累计充值1200元,3,每日福利,累计充值,大于等于,1200,大于等于,,201,1000
30004,战力达到30000,3,每日福利,战力GS,大于等于,30000,大于等于,,103,100
30005,远征重置1次,3,远征,远征重置次数,大于等于,1,大于等于,,60002,5
30006,远征重置2次,3,远征,远征重置次数,大于等于,2,大于等于,,60002,5
30007,远征重置3次,3,远征,远征重置次数,大于等于,3,大于等于,,60002,5
30008,远征排名进入前一百,3,远征,远征排名,小于等于,1,小于等于,100,111,500
30009,远征排名进入前五十,3,远征,远征排名,小于等于,1,小于等于,50,111,500
30010,远征排名进入前二十,3,远征,远征排名,小于等于,1,小于等于,20,111,500
30011,祭祀5次,3,远征,祭祀次数,大于等于,5,大于等于,,40012,1
30012,祭祀10次,3,远征,祭祀次数,大于等于,10,大于等于,,40012,2
30013,祭祀15次,3,远征,祭祀次数,大于等于,15,大于等于,,40012,3
30014,祭祀20次,3,远征,祭祀次数,大于等于,20,大于等于,,40012,3
30015,全部英雄穿齐装备并升到装等30级,3,装备,全部装备强化等级,大于等于,30,大于等于,,"40051,40052","1,1"
30016,全部英雄穿齐装备并升到装等40级,3,装备,全部装备强化等级,大于等于,40,大于等于,,"40051,40052","1,1"
30017,全部英雄穿齐装备并升到装等60级,3,装备,全部装备强化等级,大于等于,60,大于等于,,"40051,40052","1,1"
30018,全部英雄穿齐装备并升到装等80级,3,装备,全部装备强化等级,大于等于,80,大于等于,,"40051,40052","1,1"
30019,激活指挥官-战士,3,装备,激活指挥官,大于等于,3,大于等于,,60001,2
30020,激活指挥官-猎人,3,装备,激活指挥官,大于等于,4,大于等于,,60001,2
30021,激活指挥官-圣骑士,3,装备,激活指挥官,大于等于,5,大于等于,,60001,2
30022,半价抢购:随机进阶材料宝箱,3,半价抢购,半价抢购,等于,,等于,500,50042,100
30023,半价抢购:强效不灭精华,3,半价抢购,半价抢购,等于,,等于,600,44003,15
30024,半价抢购:橙将四选一宝箱,3,半价抢购,半价抢购,等于,,等于,2250,110002,1
30025,半价抢购:饰品四选一宝箱,3,半价抢购,半价抢购,等于,,等于,2500,110001,1
# 第四天,,,,,,,,,,
40001,登入奖励：第四天,4,每日福利,登入奖励,大于等于,1,大于等于,4,"103,40017","100,1"
40002,累计充值1500元,4,每日福利,累计充值,大于等于,1500,大于等于,,900007,1
40003,累计充值2500元,4,每日福利,累计充值,大于等于,2500,大于等于,,110003,1
40004,战力达到40000,4,每日福利,战力GS,大于等于,40000,大于等于,,103,100
40005,六个英雄进阶到一阶,4,进阶,英雄进阶次数,大于等于,6,大于等于,1,50042,10
40006,六个英雄进阶到二阶,4,进阶,英雄进阶次数,大于等于,6,大于等于,2,50042,20
40007,拥有3个橙色英雄,4,进阶,拥有橙色英雄数量,大于等于,3,大于等于,,50025,10
40008,拥有4个橙色英雄,4,进阶,拥有橙色英雄数量,大于等于,4,大于等于,,50025,10
40009,拥有5个橙色英雄,4,进阶,拥有橙色英雄数量,大于等于,5,大于等于,,50025,10
40010,刷新5次神秘商店,4,进阶,神秘商店刷新次数,大于等于,5,大于等于,,70001,1
40011,刷新15次神秘商店,4,进阶,神秘商店刷新次数,大于等于,15,大于等于,,70001,2
40012,刷新25次神秘商店,4,进阶,神秘商店刷新次数,大于等于,25,大于等于,,70001,3
40013,刷新50次神秘商店,4,进阶,神秘商店刷新次数,大于等于,50,大于等于,,70001,5
40014,占星20次,4,占星,占星次数,大于等于,20,大于等于,,107,20000
40015,占星50次,4,占星,占星次数,大于等于,50,大于等于,,107,50000
40016,占星100次,4,占星,占星次数,大于等于,100,大于等于,,107,100000
40017,占星300次,4,占星,占星次数,大于等于,300,大于等于,,107,300000
40018,装备星座5个,4,占星,装备星座个数,大于等于,5,大于等于,,30201,1
40019,装备星座10个,4,占星,装备星座个数,大于等于,10,大于等于,,30201,1
40020,装备星座15个,4,占星,装备星座个数,大于等于,15,大于等于,,30201,1
40021,装备橙色星座1个,4,占星,装备橙色星座,大于等于,1,大于等于,,30201,1
40022,装备橙色星座3个,4,占星,装备橙色星座,大于等于,3,大于等于,,30201,1
40023,半价抢购：凤凰座,4,半价抢购,半价抢购,等于,,等于,100,31025,1
40024,半价抢购：半人马座,4,半价抢购,半价抢购,等于,,等于,300,31044,1
40025,半价抢购：星座碎片,4,半价抢购,半价抢购,等于,,等于,600,30201,10
40026,半价抢购：处女座,4,半价抢购,半价抢购,等于,,等于,1200,31069,1
# 第五天,,,,,,,,,,
50001,登入奖励：第五天,5,每日福利,登入奖励,大于等于,1,大于等于,5,"103,40014","100,1"
50002,累计充值3000元,5,每日福利,累计充值,大于等于,3000,大于等于,,110001,1
50003,累计充值5000元,5,每日福利,累计充值,大于等于,5000,大于等于,,40043,8
50004,战力达到50000,5,每日福利,战力GS,大于等于,50000,大于等于,,103,100
50005,英雄好感总等级达到10级,5,英雄,英雄好感总等级达到,大于等于,10,大于等于,,50025,10
50006,英雄好感总等级达到20级,5,英雄,英雄好感总等级达到,大于等于,20,大于等于,,50025,10
50007,英雄好感总等级达到30级,5,英雄,英雄好感总等级达到,大于等于,30,大于等于,,50025,10
50008,英雄好感总等级达到40级,5,英雄,英雄好感总等级达到,大于等于,40,大于等于,,50025,10
50009,英雄好感总等级达到50级,5,英雄,英雄好感总等级达到,大于等于,50,大于等于,,50025,10
50010,学习被动技能3个,5,英雄,学习被动技能个数,大于等于,3,大于等于,,40041,1
50011,学习被动技能6个,5,英雄,学习被动技能个数,大于等于,6,大于等于,,40041,1
50012,学习被动技能9个,5,英雄,学习被动技能个数,大于等于,9,大于等于,,40041,1
50013,学习被动技能12个,5,英雄,学习被动技能个数,大于等于,12,大于等于,,40041,1
50014,学习被动技能15个,5,英雄,学习被动技能个数,大于等于,15,大于等于,,40033,1
50015,加入一个军团,5,军团,加入一个军团,大于等于,1,大于等于,,40012,2
50016,军团进行每日贡献,5,军团,军团进行每日贡献,大于等于,1,大于等于,,40012,2
50017,军团进行每周贡献,5,军团,军团进行每周贡献,大于等于,1,大于等于,,40032,1
50018,攻打军团Boss1次,5,军团,攻打军团Boss次数,大于等于,1,大于等于,,107,10000
50019,攻打军团Boss3次,5,军团,攻打军团Boss次数,大于等于,3,大于等于,,107,10000
50020,攻打军团Boss5次,5,军团,攻打军团Boss次数,大于等于,5,大于等于,,107,10000
50021,攻打军团Boss7次,5,军团,攻打军团Boss次数,大于等于,7,大于等于,,107,10000
50022,军团商店购买道具1次,5,军团,军团商店购买道具次数,大于等于,1,大于等于,,50040,5
50023,军团商店购买道具3次,5,军团,军团商店购买道具次数,大于等于,3,大于等于,,50042,5
50024,军团商店购买道具5次,5,军团,军团商店购买道具次数,大于等于,5,大于等于,,50041,5
50025,一折抢购：英雄好感道具,5,半价抢购,半价抢购,等于,,等于,200,50025,100
50026,半价抢购：中级血量之一,5,半价抢购,半价抢购,等于,,等于,400,200721,1
50027,半价抢购：高级血量之一,5,半价抢购,半价抢购,等于,,等于,800,200731,1
50028,半价抢购：高级技能经验书,5,半价抢购,半价抢购,等于,,等于,2500,40043,5
