Table:CsvModel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,res:s,texReplace:s,selRadius:f,selHeight:f,selYOffset:f,halfWidth:f,originalHeight:f,attackDis1:f,attackDis2:f,attackDis3:f,scaleDelta:f,attackProcessType1:AttackProcessType,attackProcessType2:AttackProcessType,attackProcessType3:AttackProcessType,attackNode1:s,attackNode2:s,attackNode3:s,hurtNode1:s,otherNode1:s,otherNode2:s,otherNode3:s,deadSound:s,facePositionStr:s,faceRotationStr:s,l_conversationPositionStr:s,l_conversationRotationStr:s,r_conversationPositionStr:s,r_conversationRotationStr:s,delayDownload,replaceTid
38,海盗女,haidaonv_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.4,0.94","0,176.3999,0","-0.044,-1.06,2.3","0,150,0","-0.044,-1.06,2.3","0,207,0",10,4
39,影牙堡主,alugao_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,gongji01_1,,gongji01_1,,"0.05,-1.37,1.18","0,162.91,0","-0.044,-1.03,2.47","0,157,0","-0.044,-1.03,2.47","0,199,0",0,4
40,娜迦海妖,najiahaiyao_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,Bip01 L Finger1,,,,"0.14,-1.55,1.12","0,162.66,0","0.05,-1.35,2.64","0,152,0","0.05,-1.35,2.64","0,232,0",14,4
41,牛头人酋长,kaienxueti_01,,0.75,3.5,,0.5,1.85,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.19,-1.4,1.54","0,154.37,0","-0.1,-1.15,2.56","0,144,0","-0.1,-1.02,2.72","0,204,0",0,4
42,先知,xianzhiweilun_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,Bone13,,"0.09,-1.32,1.28","0,168.21,0","0.02,-1.05,2.39","0,149,0","0.02,-1.05,2.39","0,205,0",0,4
43,食尸鬼,shishigui_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.13,1.32","0,146.87,0","0,-1,2.36","0,147,0","0,-1,2.36","0,201,0",11,4
44,卡扎克,kazhake_01,,0.75,3.5,,0.5,1.95,1,1,1,0.2,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-2.67,2.84","0,168.243,0","0.15,-2.26,5.06","0,154,0","0,-2.15,5.06","0,201,0",0,4
45,血色战士,xuesezhanshi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.33,1.37","0,173.75,0","0.12,-1.02,2.47","0,196,0","0.12,-1.02,2.47","0,203,0",34,4
46,豺狼人,chailangren_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.28,-1.28,1.55","0,145.74,0","-0.044,-1.09,2.46","0,154,0","-0.044,-1.09,2.46","0,202,0",0,4
47,刺客,jialuona_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.36,1.35","0,162.06,0","-0.044,-1.07,2.4","0,160,0","-0.044,-1.07,2.4","0,211,0",0,4
48,黑狼,lang_01,,0.75,3.5,,0.5,0.9,1.6,1.6,1.6,0.5,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.35,-0.67,1.34","0,143.78,0","-0.2,-0.6,1.7","0,136,0","0.12,-0.79,2.08","0,234,0",0,4
49,黑手,leideheishou_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.3,1.25","0,152.76,0","-0.044,-1,2.15","0,147,0","-0.044,-1,2.15","0,208,0",0,4
50,鬣狗,liegou_01,,0.75,3.5,,0.5,0.9,1,1,1,0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.2,-0.55,1.25","0,151.7,0","-0.12,-0.63,1.7","0,137,0","0,-0.63,1.7","0,214,0",0,4
51,石腭怪,shieguai_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.24,1.55","0,168.243,0","0.08,-1.08,2.6","0,160,0","0.08,-1.08,2.6","0,203,0",46,4
52,野猪人战士,yezhurenzhanshi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.02,-1.04,1.71","0,149.55,0","-0.04,-1.08,2.7","0,131,0","-0.04,-1.08,2.7","0,181,0",22,4
53,迪菲亚秘术师,difeiyamishushi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"-0.05,-1.32,1.12","0,168.0099,0","-0.044,-0.99,2.19","0,151,0","-0.044,-0.99,2.19","0,209,0",0,4
54,野猪人法师,yezhurenfashi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.23,1.25","0,168.243,0","-0.044,-0.9,2.22","0,150,0","-0.044,-0.9,2.22","0,199,0",0,4
55,海盗男,haidaonan_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.32,1.14","0,154.35,0","-0.044,-0.96,2.13","0,153.8,0","-0.044,-0.9,2.13","0,196,0",11,4
56,艾茉拉铜须,aimolatongxu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 L Finger0,Bip01 L Finger0,Bip01 L Finger0,Bip01,,,,,"0.02,-1.1,0.93","0,167.9,0","0.02,-0.82,1.76","0,153,0","0.02,-0.82,1.76","0,210,0",0,4
57,灰舌死誓者,akama_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.42,1.17","0,157.75,0","0.05,-1.08,2.74","0,147,0","0.05,-1.08,2.74","0,187,0",0,4
58,加尔鲁什,jiaerlushen_01,jiaerlushen_01,0.75,3.5,,0.5,1.95,1.6,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.04,-1.86,1.88","0,168.243,0","0.14,-1.45,3.21","0,147,0","0.14,-1.45,3.21","0,198,0",0,4
59,加加恩火锤,jiajiaenhuochui_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 R Finger01,Bip01 R Finger01,Bip01 R Finger01,Bip01,,,,,"-0.03,-1.5,1.15","0,156.5,0","-0.044,-1.09,2.51","7.4,156.27,-4.41","0.11,-0.97,2.6","8.8,197,357.9",46,4
60,大主教,benniditasi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.48,1.25","0,169.98,0","-0.044,-1.1,2.45","0,158,0","-0.044,-1.1,2.45","0,206,0",0,4
61,恶魔猎手,yilidan_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-1.3,1.45","0,157.3699,0","-0.1,-1.1,2.52","0,164.85,0","-0.1,-1.1,2.52","0,200,0",0,4
62,食人魔,shirenmo_01,,0.75,3.5,,0.5,2.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.07,-2.2,1.7","0,168.243,0","0.17,-1.45,3.5","0,150,0","0.17,-1.45,3.5","0,198,0",10,4
63,血色指挥官,leinuomogelaini_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.42,1.3","0,160.72,0","0.05,-0.99,2.47","0,156,0","0.05,-0.99,2.47","0,203,0",0,4
64,曲奇船长,quqi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 R Finger2Nub,Bip01 R Finger2Nub,Bip01 R Finger2Nub,Bip01,,,,,"0.02,-1.4,1.94","0,148.97,0","0.15,-1.25,3.01","0,149,0","0.15,-1.25,3.01","0,199,0",0,4
65,蓝色乌龟,wugui_01,,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.07,-0.5,1.76","0,161.33,0","-0.044,-0.86,2.6","0,149,0","-0.044,-0.76,2.5","0,212,0",0,4
66,绿阿塔莱祭司,atalaijisi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.4,1.01","0,164.1,0","-0.044,-1,2.2","0,152,0","0,-1,2.2","0,198,0",49,4
67,绿色鞭笞者,bianchizhe_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.08,-1.51,1.8","-0.08,-1.51,1.8","0.09,-1.19,2.92","0,130,0","0.09,-1.19,2.92","0,227,0",0,4
68,火元素,huoyuansu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.3,1.5","0,168.243,0","0.1,-1.05,1.95","0,162,0","0.05,1.9,2.24","0,206,0",46,4
69,蓝色水元素,shuiyuansu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-1.42,1.38","0,165.64,0","0.05,-1.2,2.24","0,153,0","-0.05,-1.2,2.24","0,198,0",21,4
70,白老虎,xiaolaohu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.2,-0.81,2.02","0,150.3699,0","-0.17,-0.95,2.68","0,137,0","0.24,-0.95,2.68","0,218.51,0",49,4
71,蜥蜴,xiyi_01,,0.75,2.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.4,-0.82,2","0,160.5,0","-0.3,-0.8,2.68","0,136,0","0.3,-0.8,2.68","0,221.99,0",49,4
72,虚空行者,xukongxingzhe_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.36,1.25","0,168.243,0","0.05,-1.2,2","0,163,0","-0.1,-1.2,2","0,214,0",10,4
73,蓝色迅猛龙,xunmenglong_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.49,-1.5,1.63","0,129.27,0","-0.1,-1.1,2.5","0,136,0","0.3,-1,2.5","0,235,0",22,4
74,降落伞,jiangluosan_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.020,-1.59,1.250","357.541,168.243,0.047","-0.044,-1.07,2.520","12.813,164.635,359.116","0.080,-0.96,3.150","12.81,174.28,359.11",0,4
75,凡妮莎,fannishafankelifu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.05,-1.35,1.37","0,163.98,0","-0.05,-1,2.26","0,152,0","-0.05,-1,2.26","0,200,0",0,4
76,黑曜石哨兵,heiyaoshishaobing_01,,0.75,3.5,,0.5,2.8,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.11,-1.93,2.67","0,163.9,0","0,-1.58,3.73","0,147,0","0,-1.58,3.73","0,206,0",13,4
77,灰葬男爵,huizangnanjue_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.48,1.78","0,171.9,0","-0.03,-1.35,2.9","0,158,0","-0.03,-1.25,2.9","0,214,0",0,4
78,老瞎眼,laoxiayan_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.2,-1,1.42","0,147.27,0","0.21,-1.13,2.62","0,153,0","0.16,-0.98,2.62","0,201,0",0,4
79,天灾首领,naiaozu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bone15,Bone15,Bone15,Bip01,,,,,"-0.08,-1.45,0.7","0,155.43,0","-0.05,-1.1,2.42","0,163.58,0","0,-1.1,2.42","0,210.1,0",0,4
80,血色牧师,xuesemushi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01 R Finger1,Bip01 L Finger1,,,"0,-1.24,0.92","0,156.09,0","-0.01,-0.97,2.14","0,151,0","-0.01,-0.97,2.14","0,206,0",34,4
81,指挥官斯普雷瓦尔,zhihuiguansipuleiwaer_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji02,gongji01,gongji01,Bip01,gongji03,,,,"-0.13,-1.36,1.49","0,161.04,0","0,-1,2.39","0,167,0","0,-1,2.39","0,186,0",0,4
82,毒牙之王,duyazhiwang_01,,0.75,3.5,,0.5,2.5,1,1,1,,普通远程,普通远程2,普通远程3,gongji02,gongji02,gongji02,Bip01,,,,,"-0.13,-2.54,1.56","0,161.04,0","0,-1.8,3.38","0,140,0","0.03,-1.8,3.38","0,212,0",22,4
83,鳄鱼,eyu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.35,-0.55,2.2","0,155.7,0","-0.09,-0.83,2.6","0,156,0","0.16,-0.83,2.6","0,207,0",0,4
84,灵魂医者,linhunyizhe_01,,1,3.5,0.5,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01 R Finger1,Bip01 L Finger1,,,"0.1,-3,2.1","0,162.45,0","0,-2.5,3.41","0,154,0","0,-2.5,3.41","0,207,0",0,4
