Table:CsvLangTrans,,,
tid,name:s,ch_text:s,
100164,NotEnoughScore,积分不足,
100165,FailTimesOver,本轮失败次数超过两次,
100166,DieNumLimit,阵亡人数超出限制,
100167,HpLimit,气血总量低于限制,
100168,RoundsLimit,战斗回合数超出限制,
100169,HeroNumMaxOver,您的英雄太多了，您可以通过分解，回收一些不用的英雄,
100170,ItemIsNotFrag,此物品不是碎片,
100171,YouNotEnoughLevel,您的等级不满足条件,
100172,CanNotFindItemInYourBag,您的包裹中此物品已不存在,
100173,CanNotFindItemInOppBag,此物品已不存您的对手包裹中,
100174,OpponentIsAvoidCombat,您的对手已开启免战,
100175,OpponentNotEnoughLevel,您的对手等级不满足条件,
100176,TheRoundAlreadHelped,该轮答题已经求助过,
100177,NotEnoughConsteTimes,占星成功次数不足,
100178,CanNotFindOrder,订单不存在,
100179,OrderError,订单号错误,
100180,ReceiptError,凭证已失效,
100181,ChargeFail,充值失败,
100182,InTheEBTeam,您已经在队伍中,
100183,NotInTheEBTeam,没有在队伍中,
100184,TeamAlreadFull,队伍人数已满,
100185,HasNotCanJoinTeam,没有可加入的队伍,
100186,EBTeamNotEnoughMember,队伍人数不足,
100187,NotFindTheEBLevel,没有找到该关卡,
100188,OnlyChallengeMaxLevel,本关卡今日已挑战,
100189,NotBattleHero,阵上没有英雄,
100190,ActivityNotEnd,活动还未结束,
100191,CanNotClear,该装备不能洗炼,
100192,ContainPreAttr,该装备包含预览属性,
100193,NotFoundConfig,找不到对应配置,
100194,NotEnougStoneLevel,不满足洗练石使用等级,
100195,LockFail,锁定失败,
100196,OutOfBound,越界,
100197,Unknown,未知原因,
#,,,
#,ItemType 物品类型,,
#,,,
#,200001,Diamond,钻石
200002,BindDiamond,绑定钻石,
#,200003,PhysicPower,体力
200004,Exp,经验,
#,200005,Money,铜币
#,200006,FightingSpirit,战魂
#,200007,HeroSoul,英魂
#,200008,Vigour,精力
#,200009,Star,冒险星数 
200010,ExpeditionScore,远征积分,
200011,Equip,装备,
200012,EquipFragment,装备碎片,
200013,SkillBook,技能书,
200014,SkillBookFragment,技能书碎片,
200015,Gift,礼包,
200016,Box,宝箱,
200017,BoxKey,宝箱钥匙,
200018,HeroExpBook,英雄经验书,
200019,SkillLockFlag,技能锁定符,
200020,Const,星座,
200021,ConstFrag,星座碎片,
200022,ConstTrash,星座垃圾,
200023,ConstSoul,星魂,
200024,Hero,英雄,
200025,HeroFragment,英雄碎片,
200026,RecruitToken,初级召唤石,
200027,HeroToken,高级召唤石 ,
200028,EightStarStone,芒星石,
200029,Like,进阶材料,
#,200029,Flower,鲜花
200030,RefreshToken,密保刷新牌,
200031,PhysicPowerPill,体力丹,
200032,VigourPill,精力丹,
200033,AvoidCombatToken,和平勋章,
#,200034,ArmyGroupToken,军团号角
#,200035,RosefinchToken,军团徽记 
200036,SkillBookExpBook,技能经验书,
200037,MagicBall,奥术之尘,
200038,EquipGem,装备宝石,
200039,Favor,好感,
200040,PunchMachine,打孔装置,
200041,ExtractionItem,熔炼之石,
200042,TripledReward,三倍奖励,
200043,TakeOneMore,再走一步,
200044,CheckBox,多选宝箱,
200045,TreasureStart,起点奖励,
200046,AppraisalStone,鉴定书,
200047,HeroExp,英雄经验,
200048,VIPExp,VIP经验,
200049,EnchantSpar,附魔晶石,
200050,Epigraph,铭文,
200051,EquipClearStone,洗炼石,
#,职业,,
#,,,
#,None,其他,
300001,Master,法师,
300002,Druid,德鲁伊,
300003,DeathKnight,死亡骑士,
300004,Shaman,萨满,
300005,Warlock,术士,
300006,Minister,牧师,
300007,Warrior,战士,
300008,Paladin,圣骑士,
300009,Rogue,盗贼,
300010,Hunter,猎人,
#,赛场类型,,
#,,,
#,,,
400001,MoneyArena,铜币赛场,
400002,DiamondArena,钻石赛场,
#,,,
#,包裹分页,,
500001,Skill,技能书,
500002,Item,物品,
#,活动关卡类型,,
600001,MoneyLevel,铜币关卡,
600002,FightSpiritLevel,战魂关卡,
600003,FavorLevel,好感关卡,
600004,PunchMachineLevel,附魔关卡,
600005,BreakLevel,突破石关卡,
600006,AppraisalAndExtractionLevel,熔炼石关卡,
#,活动关卡难度,,
700001,Easy,简单,
700002,Simple,普通,
700003,Hard,困难,
#,700004,Hero,英雄
700005,Nightmare,噩梦,
700006,Hell,地狱,
#,,,
800001,Neutral,中立,
800002,Alience,联盟,
800003,Horde,部落,
800004,BurningLegion,燃烧军团,
800005,ScourgeLegion,天灾军团,
#,奇遇类型,,
900001,LimitedShop,限时商店,
900002,OccasionalWelfare,偶遇福利,
900003,RareElite,稀有精英,
900004,WelfareFromSky,天降宝物,
#,,,
1000000,login in other place,账号已在别处登录，您被迫退出。请退出游戏后重新登录。,
#,,,
#军团活跃,军团活跃类型,,
1100000,E_ATTACKBOSS,攻击军团boss,
1100001,E_ARMYGROUPDONATE,军团捐献,
1100002,E_HEROTRAIN,英雄培养,
1100003,E_CHALLENGESPEC,挑战特殊副本,
1100004,E_GETVIPAWARD,领取vip奖励,
1100005,E_BUYPHYSICPOWERPILL,购买体力丹,
1100006,E_BUYVIGOURPILL,购买精力丹,
1100007,E_EATCHICKEN,吃大烤鸡,
1100008,E_BUYCHALLENGETIME,购买竞技场挑战次数,
1100009,E_CONSTE,占星,
#军团战,,,
1200001,ArmyGroupHasOpp,军团已有对手,
1200002,HasForInBattle,该英雄已经在军团战中上阵,
1200003,ArmyTeamHasNoPos,军团战队伍已没有位置,
1200004,ArmyTeamHasFull,此军团队伍已经满员,
1200005,ArmyTeamPosHasHero,此位置已经有英雄,
1200006,ArmyTeamNumOutOfMaxNum,超过队伍上限人数,
1200007,OutOfDuleTime,“12：00~12:30”方可使用决斗令进行指定军团挑战。 ,
1200008,OutOfEnlistTime,不在报名时间内,
1200009,CanGetOnFighting,军团战期间不能领取,
1200010,ArmyGroupBattleNoReady,正在初始化军团战数据,
#稀有精英,,,
1300001,CanNotFindREBoss,Boss已逃跑或被击杀,
1300002,REBossEscape,Boss逃跑了,
1300003,REBossDie,Boss已被击杀,
1300004,SameBossInterval1M,相同稀有精英发送间隔1分钟,
1300005,NonHelpREBossTimes,协助挑战次数不足，请明日再来,
