Table:CsvLimitedShop,,,,,,,,,
tid,level,commodity_group,num,is_free,paid_refresh,commodity_id,discription:s,price_type:PriceType,price
112030,1,2,1,1,10,11122,烈焰之环碎片,钻石,120
112031,1,2,1,1,10,11123,闪避之靴碎片,钻石,120
112032,1,2,1,1,10,11124,龙之召唤碎片,钻石,120
112033,1,2,1,1,5,11141,院长之杖碎片,钻石,200
112034,1,2,1,1,5,11142,奥兰纳的拥抱碎片,钻石,200
112035,1,2,1,1,5,11143,泰坦护腿碎片,钻石,200
112036,1,2,1,1,5,11144,瑞文戴尔之剑碎片,钻石,200
112037,1,2,1,1,5,11145,纳尔维之盔碎片,钻石,200
112038,1,2,1,1,5,11146,熔岩犬皮靴碎片,钻石,200
113001,1,3,1,1,4800,40041,初级技能经验书,英魂,100
113002,1,3,1,1,2400,40042,中级技能经验书,钻石,400
113003,1,3,1,1,800,40043,高级技能经验书,钻石,800
113004,1,3,1,1,183,201524,中级受治疗之四,钻石,900
113005,1,3,1,1,184,201324,中级穿透之四,钻石,900
113006,1,3,1,1,150,201224,中级法术防御之四,英魂,800
113007,1,3,1,1,150,201124,中级法术攻击之四,英魂,800
113008,1,3,1,1,150,201024,中级物理防御之四,英魂,800
113009,1,3,1,1,150,200924,中级物理攻击之四,英魂,800
113010,1,3,1,1,184,200824,中级韧性之四,钻石,900
113011,1,3,1,1,150,200724,中级血量之四,英魂,800
113012,1,3,1,1,150,200624,中级速度之四,钻石,900
113013,1,3,1,1,0,200524,中级暴伤之四,钻石,1500
113014,1,3,1,1,0,200424,中级暴击之四,钻石,900
113015,1,3,1,1,0,200324,中级闪避之四,钻石,900
113016,1,3,1,1,183,200224,中级命中之四,钻石,900
113017,1,3,1,1,183,200124,中级抵抗之四,钻石,900
113018,1,3,1,1,183,200024,中级格挡之四,钻石,900
113019,1,3,1,1,0,201534,高级受治疗之四,钻石,5000
113020,1,3,1,1,0,201334,高级穿透之四,钻石,5000
113021,1,3,1,1,0,201234,高级法术防御之四,英魂,5000
113022,1,3,1,1,0,201134,高级法术攻击之四,英魂,5000
113023,1,3,1,1,0,201034,高级物理防御之四,英魂,5000
113024,1,3,1,1,0,200934,高级物理攻击之四,英魂,5000
113025,1,3,1,1,0,200834,高级韧性之四,钻石,5000
113026,1,3,1,1,0,200734,高级血量之四,英魂,5000
113027,1,3,1,1,0,200634,高级速度之四,钻石,5000
113028,1,3,1,1,0,200534,高级暴伤之四,钻石,5000
113029,1,3,1,1,0,200434,高级暴击之四,钻石,5000
113030,1,3,1,1,0,200334,高级闪避之四,钻石,5000
113031,1,3,1,1,0,200234,高级命中之四,钻石,5000
113032,1,3,1,1,0,200134,高级抵抗之四,钻石,5000
113033,1,3,1,1,0,200034,高级格挡之四,钻石,5000
114001,1,4,1,1,408,2006,暴风摄政王碎片,英魂,90
114002,1,4,1,1,408,2014,霜狼督军碎片,英魂,90
114003,1,4,1,1,408,2017,基丹碎片,英魂,90
114004,1,4,1,1,408,2029,守望者碎片,英魂,90
114005,1,4,1,1,408,2030,刺客碎片,英魂,90
114006,1,4,1,1,408,2026,山丘之王碎片,英魂,90
114007,1,4,1,1,408,2005,银白十字军碎片,英魂,90
114008,1,4,1,1,408,2024,暗矛巨魔碎片,英魂,90
114009,1,4,1,1,408,2009,大主教碎片,英魂,90
114010,1,4,1,1,407,2015,天灾首领碎片,英魂,90
114011,1,4,1,1,407,2021,符文图腾碎片,英魂,90
114012,1,4,1,1,407,2018,恐惧魔王碎片,英魂,90
114013,1,4,1,1,407,2023,盘牙女王碎片,英魂,90
114014,1,4,1,1,50,2104,影牙指挥官碎片,英魂,30
114015,1,4,1,1,50,2105,血色指挥官碎片,英魂,30
114016,1,4,1,1,50,2107,大检察官碎片,英魂,30
114017,1,4,1,1,50,2112,影牙堡主碎片,英魂,30
114018,1,4,1,1,50,2117,灰葬男爵碎片,英魂,30
114019,1,4,1,1,50,2122,荆棘谷猎手碎片,英魂,30
114020,1,4,1,1,50,2128,大范碎片,英魂,30
114021,1,4,1,1,50,2130,凡妮莎碎片,英魂,30
114022,1,4,1,1,50,2124,沙顶酋长碎片,英魂,30
114023,1,4,1,1,50,2109,审讯官碎片,英魂,30
114024,1,4,1,1,50,2111,巫妖碎片,英魂,30
114025,1,4,1,1,50,2115,督军碎片,英魂,30
114026,1,4,1,1,50,2110,奥法师碎片,英魂,30
114027,1,4,1,1,50,2114,水占师碎片,英魂,30
114028,1,4,1,1,50,2113,预言者碎片,英魂,30
114029,1,4,1,1,50,2125,赫洛德碎片,英魂,30
114030,1,4,1,1,50,2116,加丁碎片,英魂,30
114031,1,4,1,1,50,2106,大帝碎片,英魂,30
114032,1,4,1,1,50,2118,巴纳扎尔碎片,英魂,30
114033,1,4,1,1,50,2120,被诅咒的塞雷布拉斯碎片,英魂,30
114034,1,4,1,1,50,2127,黑手碎片,英魂,30
114035,1,4,2,1,281,2006,暴风摄政王碎片,英魂,180
114036,1,4,2,1,280,2014,霜狼督军碎片,英魂,180
114037,1,4,2,1,281,2017,基丹碎片,英魂,180
114038,1,4,2,1,281,2029,守望者碎片,英魂,180
114039,1,4,2,1,281,2030,刺客碎片,英魂,180
114040,1,4,2,1,281,2026,山丘之王碎片,英魂,180
114041,1,4,2,1,281,2005,银白十字军碎片,英魂,180
114042,1,4,2,1,280,2024,暗矛巨魔碎片,英魂,180
114043,1,4,2,1,281,2009,大主教碎片,英魂,180
114044,1,4,2,1,281,2015,天灾首领碎片,英魂,180
114045,1,4,2,1,281,2021,符文图腾碎片,英魂,180
114046,1,4,2,1,280,2018,恐惧魔王碎片,英魂,180
114047,1,4,2,1,281,2023,盘牙女王碎片,英魂,180
115001,1,5,1,1,952,201513,初级受治疗之三,钻石,100
115002,1,5,1,1,952,201313,初级穿透之三,钻石,100
115003,1,5,1,1,715,201213,初级法术防御之三,英魂,100
115004,1,5,1,1,714,201113,初级法术攻击之三,英魂,100
115005,1,5,1,1,715,201013,初级物理防御之三,英魂,100
115006,1,5,1,1,714,200913,初级物理攻击之三,英魂,100
115007,1,5,1,1,952,200813,初级韧性之三,钻石,100
115008,1,5,1,1,715,200713,初级血量之三,英魂,100
115009,1,5,1,1,715,200613,初级速度之三,英魂,100
115010,1,5,1,1,0,200413,初级暴击之三,钻石,100
115011,1,5,1,1,0,200313,初级闪避之三,钻石,100
115012,1,5,1,1,952,200213,初级命中之三,钻石,100
115013,1,5,1,1,952,200113,初级抵抗之三,钻石,100
115014,1,5,1,1,952,200013,初级格挡之三,钻石,100
116001,1,6,1,1,1400,42001,宁神花,英魂,10
116002,1,6,1,1,1400,42002,银叶草,英魂,10
116003,1,6,1,1,1300,42003,石南草,英魂,10
116004,1,6,1,1,900,42004,荆棘藻,英魂,10
116005,1,6,2,1,1120,42001,宁神花,英魂,20
116006,1,6,2,1,1120,42002,银叶草,英魂,20
116007,1,6,2,1,1040,42003,石南草,英魂,20
116008,1,6,2,1,720,42004,荆棘藻,英魂,20
116009,1,6,3,1,280,42001,宁神花,英魂,30
116010,1,6,3,1,280,42002,银叶草,英魂,30
116011,1,6,3,1,260,42003,石南草,英魂,30
116012,1,6,3,1,180,42004,荆棘藻,英魂,30
121001,1,1,1,2,1100,2012,逐日者碎片,英魂,270
121002,1,1,1,2,1100,2011,克总碎片,英魂,270
121003,1,1,1,2,1100,2027,牛头人酋长碎片,英魂,270
121004,1,1,1,2,1100,2020,半神碎片,英魂,270
121005,1,1,1,2,1100,2025,地狱咆哮碎片,英魂,270
121006,1,1,1,2,1100,2004,图拉扬碎片,英魂,270
121007,1,1,1,2,500,2008,先知碎片,英魂,135
121008,1,1,1,2,500,2010,大法师碎片,英魂,135
121009,1,1,1,2,500,2013,灰舌死誓者碎片,英魂,135
121010,1,1,1,2,500,2016,暮光首领碎片,英魂,135
121011,1,1,1,2,500,2003,血魔碎片,英魂,135
121012,1,1,1,2,30,2006,暴风摄政王碎片,英魂,90
121013,1,1,1,2,30,2014,霜狼督军碎片,英魂,90
121014,1,1,1,2,30,2017,基丹碎片,英魂,90
121015,1,1,1,2,30,2029,守望者碎片,英魂,90
121016,1,1,1,2,30,2030,刺客碎片,英魂,90
121017,1,1,1,2,30,2026,山丘之王碎片,英魂,90
121018,1,1,1,2,30,2005,银白十字军碎片,英魂,90
121019,1,1,1,2,30,2024,暗矛巨魔碎片,英魂,90
121020,1,1,1,2,30,2009,大主教碎片,英魂,90
121021,1,1,1,2,30,2015,天灾首领碎片,英魂,90
121022,1,1,1,2,30,2021,符文图腾碎片,英魂,90
121023,1,1,1,2,30,2018,恐惧魔王碎片,英魂,90
121024,1,1,1,2,30,2023,盘牙女王碎片,英魂,90
121025,1,1,2,2,40,2006,暴风摄政王碎片,英魂,180
121026,1,1,2,2,39,2014,霜狼督军碎片,英魂,180
121027,1,1,2,2,40,2017,基丹碎片,英魂,180
121028,1,1,2,2,39,2029,守望者碎片,英魂,180
121029,1,1,2,2,39,2030,刺客碎片,英魂,180
121030,1,1,2,2,39,2026,山丘之王碎片,英魂,180
121031,1,1,2,2,40,2005,银白十字军碎片,英魂,180
121032,1,1,2,2,39,2024,暗矛巨魔碎片,英魂,180
121033,1,1,2,2,39,2009,大主教碎片,英魂,180
121034,1,1,2,2,39,2015,天灾首领碎片,英魂,180
121035,1,1,2,2,39,2021,符文图腾碎片,英魂,180
121036,1,1,2,2,39,2018,恐惧魔王碎片,英魂,180
121037,1,1,2,2,39,2023,盘牙女王碎片,英魂,180
122001,1,2,1,2,496,100890,乔丹法杖,英魂,1000
122002,1,2,1,2,496,100900,一闪,英魂,1000
122003,1,2,1,2,497,100910,法力风暴护腿,英魂,1000
122004,1,2,1,2,497,100920,狮心头盔,英魂,1000
122005,1,2,1,2,497,100930,洞察法袍,英魂,1000
122006,1,2,1,2,497,100940,黑色龙鳞战靴,英魂,1000
122007,1,2,1,2,2,101180,亮木法杖,钻石,1200
122008,1,2,1,2,2,101190,斩首者康恩,钻石,1200
122009,1,2,1,2,2,101200,踏云腿甲,钻石,1200
122010,1,2,1,2,2,101210,风蛇的拥抱,钻石,1200
122011,1,2,1,2,2,101220,烈焰之环,钻石,1200
122012,1,2,1,2,2,101230,闪避之靴,钻石,1200
122013,1,2,1,2,2,101240,龙之召唤,钻石,1200
122014,1,2,1,2,1,101410,院长之杖,钻石,2000
122015,1,2,1,2,1,101420,奥兰纳的拥抱,钻石,2000
122016,1,2,1,2,1,101430,泰坦护腿,钻石,2000
122017,1,2,1,2,1,101440,瑞文戴尔之剑,钻石,2000
122018,1,2,1,2,1,101450,纳尔维之盔,钻石,2000
122019,1,2,1,2,1,101460,熔岩犬皮靴,钻石,2000
122020,1,2,1,2,1150,11089,乔丹法杖碎片,英魂,100
122021,1,2,1,2,1150,11090,一闪碎片,英魂,100
122022,1,2,1,2,1150,11091,法力风暴护腿碎片,英魂,100
122023,1,2,1,2,1150,11092,狮心头盔碎片,英魂,100
122024,1,2,1,2,1150,11093,洞察法袍碎片,英魂,100
122025,1,2,1,2,1150,11094,黑色龙鳞战靴碎片,英魂,100
122026,1,2,1,2,10,11118,亮木法杖碎片,钻石,120
122027,1,2,1,2,10,11119,斩首者康恩碎片,钻石,120
122028,1,2,1,2,10,11120,踏云腿甲碎片,钻石,120
122029,1,2,1,2,10,11121,风蛇的拥抱碎片,钻石,120
122030,1,2,1,2,10,11122,烈焰之环碎片,钻石,120
122031,1,2,1,2,10,11123,闪避之靴碎片,钻石,120
122032,1,2,1,2,10,11124,龙之召唤碎片,钻石,120
122033,1,2,1,2,5,11141,院长之杖碎片,钻石,200
122034,1,2,1,2,5,11142,奥兰纳的拥抱碎片,钻石,200
122035,1,2,1,2,5,11143,泰坦护腿碎片,钻石,200
122036,1,2,1,2,5,11144,瑞文戴尔之剑碎片,钻石,200
122037,1,2,1,2,5,11145,纳尔维之盔碎片,钻石,200
122038,1,2,1,2,5,11146,熔岩犬皮靴碎片,钻石,200
123001,1,3,1,2,4800,40041,初级技能经验书,英魂,100
123002,1,3,1,2,2400,40042,中级技能经验书,钻石,400
123003,1,3,1,2,800,40043,高级技能经验书,钻石,800
123004,1,3,1,2,183,201524,中级受治疗之四,钻石,900
123005,1,3,1,2,184,201324,中级穿透之四,钻石,900
123006,1,3,1,2,150,201224,中级法术防御之四,英魂,800
123007,1,3,1,2,150,201124,中级法术攻击之四,英魂,800
123008,1,3,1,2,150,201024,中级物理防御之四,英魂,800
123009,1,3,1,2,150,200924,中级物理攻击之四,英魂,800
123010,1,3,1,2,184,200824,中级韧性之四,钻石,900
123011,1,3,1,2,150,200724,中级血量之四,英魂,800
123012,1,3,1,2,150,200624,中级速度之四,钻石,900
123013,1,3,1,2,0,200524,中级暴伤之四,钻石,1500
123014,1,3,1,2,0,200424,中级暴击之四,钻石,900
123015,1,3,1,2,0,200324,中级闪避之四,钻石,900
123016,1,3,1,2,183,200224,中级命中之四,钻石,900
123017,1,3,1,2,183,200124,中级抵抗之四,钻石,900
123018,1,3,1,2,183,200024,中级格挡之四,钻石,900
123019,1,3,1,2,0,201534,高级受治疗之四,钻石,5000
123020,1,3,1,2,0,201334,高级穿透之四,钻石,5000
123021,1,3,1,2,0,201234,高级法术防御之四,英魂,5000
123022,1,3,1,2,0,201134,高级法术攻击之四,英魂,5000
123023,1,3,1,2,0,201034,高级物理防御之四,英魂,5000
123024,1,3,1,2,0,200934,高级物理攻击之四,英魂,5000
123025,1,3,1,2,0,200834,高级韧性之四,钻石,5000
123026,1,3,1,2,0,200734,高级血量之四,英魂,5000
123027,1,3,1,2,0,200634,高级速度之四,钻石,5000
123028,1,3,1,2,0,200534,高级暴伤之四,钻石,5000
123029,1,3,1,2,0,200434,高级暴击之四,钻石,5000
123030,1,3,1,2,0,200334,高级闪避之四,钻石,5000
123031,1,3,1,2,0,200234,高级命中之四,钻石,5000
123032,1,3,1,2,0,200134,高级抵抗之四,钻石,5000
123033,1,3,1,2,0,200034,高级格挡之四,钻石,5000
124001,1,4,1,2,408,2006,暴风摄政王碎片,英魂,90
124002,1,4,1,2,408,2014,霜狼督军碎片,英魂,90
124003,1,4,1,2,408,2017,基丹碎片,英魂,90
124004,1,4,1,2,408,2029,守望者碎片,英魂,90
124005,1,4,1,2,408,2030,刺客碎片,英魂,90
124006,1,4,1,2,408,2026,山丘之王碎片,英魂,90
124007,1,4,1,2,408,2005,银白十字军碎片,英魂,90
124008,1,4,1,2,408,2024,暗矛巨魔碎片,英魂,90
124009,1,4,1,2,408,2009,大主教碎片,英魂,90
124010,1,4,1,2,407,2015,天灾首领碎片,英魂,90
124011,1,4,1,2,407,2021,符文图腾碎片,英魂,90
124012,1,4,1,2,407,2018,恐惧魔王碎片,英魂,90
124013,1,4,1,2,407,2023,盘牙女王碎片,英魂,90
124014,1,4,1,2,50,2104,影牙指挥官碎片,英魂,30
124015,1,4,1,2,50,2105,血色指挥官碎片,英魂,30
124016,1,4,1,2,50,2107,大检察官碎片,英魂,30
124017,1,4,1,2,50,2112,影牙堡主碎片,英魂,30
124018,1,4,1,2,50,2117,灰葬男爵碎片,英魂,30
124019,1,4,1,2,50,2122,荆棘谷猎手碎片,英魂,30
124020,1,4,1,2,50,2128,大范碎片,英魂,30
124021,1,4,1,2,50,2130,凡妮莎碎片,英魂,30
124022,1,4,1,2,50,2124,沙顶酋长碎片,英魂,30
124023,1,4,1,2,50,2109,审讯官碎片,英魂,30
124024,1,4,1,2,50,2111,巫妖碎片,英魂,30
124025,1,4,1,2,50,2115,督军碎片,英魂,30
124026,1,4,1,2,50,2110,奥法师碎片,英魂,30
124027,1,4,1,2,50,2114,水占师碎片,英魂,30
124028,1,4,1,2,50,2113,预言者碎片,英魂,30
124029,1,4,1,2,50,2125,赫洛德碎片,英魂,30
124030,1,4,1,2,50,2116,加丁碎片,英魂,30
124031,1,4,1,2,50,2106,大帝碎片,英魂,30
124032,1,4,1,2,50,2118,巴纳扎尔碎片,英魂,30
124033,1,4,1,2,50,2120,被诅咒的塞雷布拉斯碎片,英魂,30
124034,1,4,1,2,50,2127,黑手碎片,英魂,30
124035,1,4,2,2,281,2006,暴风摄政王碎片,英魂,180
124036,1,4,2,2,280,2014,霜狼督军碎片,英魂,180
124037,1,4,2,2,281,2017,基丹碎片,英魂,180
124038,1,4,2,2,281,2029,守望者碎片,英魂,180
124039,1,4,2,2,281,2030,刺客碎片,英魂,180
124040,1,4,2,2,281,2026,山丘之王碎片,英魂,180
124041,1,4,2,2,281,2005,银白十字军碎片,英魂,180
124042,1,4,2,2,280,2024,暗矛巨魔碎片,英魂,180
124043,1,4,2,2,281,2009,大主教碎片,英魂,180
124044,1,4,2,2,281,2015,天灾首领碎片,英魂,180
124045,1,4,2,2,281,2021,符文图腾碎片,英魂,180
124046,1,4,2,2,280,2018,恐惧魔王碎片,英魂,180
124047,1,4,2,2,281,2023,盘牙女王碎片,英魂,180
125001,1,5,1,2,952,201513,初级受治疗之三,钻石,100
125002,1,5,1,2,952,201313,初级穿透之三,钻石,100
125003,1,5,1,2,715,201213,初级法术防御之三,英魂,100
125004,1,5,1,2,714,201113,初级法术攻击之三,英魂,100
125005,1,5,1,2,715,201013,初级物理防御之三,英魂,100
125006,1,5,1,2,714,200913,初级物理攻击之三,英魂,100
125007,1,5,1,2,952,200813,初级韧性之三,钻石,100
125008,1,5,1,2,715,200713,初级血量之三,英魂,100
125009,1,5,1,2,715,200613,初级速度之三,英魂,100
125010,1,5,1,2,0,200413,初级暴击之三,钻石,100
125011,1,5,1,2,0,200313,初级闪避之三,钻石,100
125012,1,5,1,2,952,200213,初级命中之三,钻石,100
125013,1,5,1,2,952,200113,初级抵抗之三,钻石,100
125014,1,5,1,2,952,200013,初级格挡之三,钻石,100
126001,1,6,1,2,1400,42001,宁神花,英魂,10
126002,1,6,1,2,1400,42002,银叶草,英魂,10
126003,1,6,1,2,1300,42003,石南草,英魂,10
126004,1,6,1,2,900,42004,荆棘藻,英魂,10
126005,1,6,2,2,1120,42001,宁神花,英魂,20
126006,1,6,2,2,1120,42002,银叶草,英魂,20
126007,1,6,2,2,1040,42003,石南草,英魂,20
126008,1,6,2,2,720,42004,荆棘藻,英魂,20
126009,1,6,3,2,280,42001,宁神花,英魂,30
126010,1,6,3,2,280,42002,银叶草,英魂,30
126011,1,6,3,2,260,42003,石南草,英魂,30
126012,1,6,3,2,180,42004,荆棘藻,英魂,30
2011001,20,1,1,1,1100,2012,逐日者碎片,英魂,270
2011002,20,1,1,1,1100,2011,克总碎片,英魂,270
2011003,20,1,1,1,1100,2027,牛头人酋长碎片,英魂,270
2011004,20,1,1,1,1100,2020,半神碎片,英魂,270
2011005,20,1,1,1,1100,2025,地狱咆哮碎片,英魂,270
2011006,20,1,1,1,1100,2004,图拉扬碎片,英魂,270
2011007,20,1,1,1,500,2008,先知碎片,英魂,135
2011008,20,1,1,1,500,2010,大法师碎片,英魂,135
2011009,20,1,1,1,500,2013,灰舌死誓者碎片,英魂,135
2011010,20,1,1,1,500,2016,暮光首领碎片,英魂,135
2011011,20,1,1,1,500,2003,血魔碎片,英魂,135
2011012,20,1,1,1,30,2006,暴风摄政王碎片,英魂,90
2011013,20,1,1,1,30,2014,霜狼督军碎片,英魂,90
2011014,20,1,1,1,30,2017,基丹碎片,英魂,90
2011015,20,1,1,1,30,2029,守望者碎片,英魂,90
2011016,20,1,1,1,30,2030,刺客碎片,英魂,90
2011017,20,1,1,1,30,2026,山丘之王碎片,英魂,90
2011018,20,1,1,1,30,2005,银白十字军碎片,英魂,90
2011019,20,1,1,1,30,2024,暗矛巨魔碎片,英魂,90
2011020,20,1,1,1,30,2009,大主教碎片,英魂,90
2011021,20,1,1,1,30,2015,天灾首领碎片,英魂,90
2011022,20,1,1,1,30,2021,符文图腾碎片,英魂,90
2011023,20,1,1,1,30,2018,恐惧魔王碎片,英魂,90
2011024,20,1,1,1,30,2023,盘牙女王碎片,英魂,90
2011025,20,1,2,1,40,2006,暴风摄政王碎片,英魂,180
2011026,20,1,2,1,39,2014,霜狼督军碎片,英魂,180
2011027,20,1,2,1,40,2017,基丹碎片,英魂,180
2011028,20,1,2,1,39,2029,守望者碎片,英魂,180
2011029,20,1,2,1,39,2030,刺客碎片,英魂,180
2011030,20,1,2,1,39,2026,山丘之王碎片,英魂,180
2011031,20,1,2,1,40,2005,银白十字军碎片,英魂,180
2011032,20,1,2,1,39,2024,暗矛巨魔碎片,英魂,180
2011033,20,1,2,1,39,2009,大主教碎片,英魂,180
2011034,20,1,2,1,39,2015,天灾首领碎片,英魂,180
2011035,20,1,2,1,39,2021,符文图腾碎片,英魂,180
2011036,20,1,2,1,39,2018,恐惧魔王碎片,英魂,180
2011037,20,1,2,1,39,2023,盘牙女王碎片,英魂,180
2012001,20,2,1,1,496,100890,乔丹法杖,英魂,1000
2012002,20,2,1,1,496,100900,一闪,英魂,1000
2012003,20,2,1,1,497,100910,法力风暴护腿,英魂,1000
2012004,20,2,1,1,497,100920,狮心头盔,英魂,1000
2012005,20,2,1,1,497,100930,洞察法袍,英魂,1000
2012006,20,2,1,1,497,100940,黑色龙鳞战靴,英魂,1000
2012007,20,2,1,1,2,101180,亮木法杖,钻石,1200
2012008,20,2,1,1,2,101190,斩首者康恩,钻石,1200
2012009,20,2,1,1,2,101200,踏云腿甲,钻石,1200
2012010,20,2,1,1,2,101210,风蛇的拥抱,钻石,1200
2012011,20,2,1,1,2,101220,烈焰之环,钻石,1200
2012012,20,2,1,1,2,101230,闪避之靴,钻石,1200
2012013,20,2,1,1,2,101240,龙之召唤,钻石,1200
2012014,20,2,1,1,1,101410,院长之杖,钻石,2000
2012015,20,2,1,1,1,101420,奥兰纳的拥抱,钻石,2000
2012016,20,2,1,1,1,101430,泰坦护腿,钻石,2000
2012017,20,2,1,1,1,101440,瑞文戴尔之剑,钻石,2000
2012018,20,2,1,1,1,101450,纳尔维之盔,钻石,2000
2012019,20,2,1,1,1,101460,熔岩犬皮靴,钻石,2000
2012020,20,2,1,1,1150,11089,乔丹法杖碎片,英魂,100
2012021,20,2,1,1,1150,11090,一闪碎片,英魂,100
2012022,20,2,1,1,1150,11091,法力风暴护腿碎片,英魂,100
2012023,20,2,1,1,1150,11092,狮心头盔碎片,英魂,100
2012024,20,2,1,1,1150,11093,洞察法袍碎片,英魂,100
2012025,20,2,1,1,1150,11094,黑色龙鳞战靴碎片,英魂,100
2012026,20,2,1,1,10,11118,亮木法杖碎片,钻石,120
2012027,20,2,1,1,10,11119,斩首者康恩碎片,钻石,120
2012028,20,2,1,1,10,11120,踏云腿甲碎片,钻石,120
2012029,20,2,1,1,10,11121,风蛇的拥抱碎片,钻石,120
2012030,20,2,1,1,10,11122,烈焰之环碎片,钻石,120
2012031,20,2,1,1,10,11123,闪避之靴碎片,钻石,120
2012032,20,2,1,1,10,11124,龙之召唤碎片,钻石,120
2012033,20,2,1,1,5,11141,院长之杖碎片,钻石,200
2012034,20,2,1,1,5,11142,奥兰纳的拥抱碎片,钻石,200
2012035,20,2,1,1,5,11143,泰坦护腿碎片,钻石,200
2012036,20,2,1,1,5,11144,瑞文戴尔之剑碎片,钻石,200
2012037,20,2,1,1,5,11145,纳尔维之盔碎片,钻石,200
2012038,20,2,1,1,5,11146,熔岩犬皮靴碎片,钻石,200
2013001,20,3,1,1,4800,40041,初级技能经验书,英魂,100
2013002,20,3,1,1,2400,40042,中级技能经验书,钻石,400
2013003,20,3,1,1,800,40043,高级技能经验书,钻石,800
