Table:CsvEquipAddAttr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,AttrNum,attr1:AttrType,value_min1,value_max1,Probability1,color1:ItemColor,attr2:AttrType,value_min2,value_max2,Probability2,color2:ItemColor,attr3:AttrType,value_min3,value_max3,Probability3,color3:ItemColor,attr4:AttrType,value_min4,value_max4,Probability4,color4:ItemColor,attr5:AttrType,value_min5,value_max5,Probability5,color5:ItemColor,attr6:AttrType,value_min6,value_max6,Probability6,color6:ItemColor,attr7:AttrType,value_min7,value_max7,Probability7,color7:ItemColor,attr8:AttrType,value_min8,value_max8,Probability8,color8:ItemColor,attr9:AttrType,value_min9,value_max9,Probability9,color9:ItemColor,attr10:AttrType,value_min10,value_max10,Probability10,color10:ItemColor,attr11:AttrType,value_min11,value_max11,Probability11,color11:ItemColor,attr12:AttrType,value_min12,value_max12,Probability12,color12:ItemColor,attr13:AttrType,value_min13,value_max13,Probability13,color13:ItemColor,attr14:AttrType,value_min14,value_max14,Probability14,color14:ItemColor,attr15:AttrType,value_min15,value_max15,Probability15,color15:ItemColor,attr16:AttrType,value_min16,value_max16,Probability16,color16:ItemColor,attr17:AttrType,value_min17,value_max17,Probability17,color17:ItemColor
1001502,2,格挡,50,50,625,蓝,抵抗,50,50,625,蓝,智力,1,2,625,蓝,敏捷,1,2,625,蓝,力量,1,2,625,蓝,耐力,1,2,625,蓝,物理攻击,20,30,625,蓝,物理防御,12,18,625,蓝,法术攻击,20,30,625,蓝,法术防御,12,18,625,蓝,血量,60,90,625,蓝,速度,10,15,625,蓝,治疗效果,50,50,625,蓝,受治疗效果,50,50,625,蓝,最终伤害增加,20,30,625,蓝,最终伤害减免,20,30,625,蓝,,,,,
1001601,1,闪避,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1001602,2,闪避,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1002101,1,暴击,100,100,833,蓝,敏捷,3,3,833,蓝,力量,3,3,833,蓝,耐力,3,3,833,蓝,物理攻击,50,50,833,蓝,物理防御,30,30,833,蓝,法术防御,30,30,833,蓝,血量,150,150,833,蓝,速度,25,25,833,蓝,受治疗效果,100,100,833,蓝,最终伤害增加,50,50,833,蓝,最终伤害减免,50,50,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1002102,2,暴击,50,50,833,蓝,敏捷,1,2,833,蓝,力量,1,2,833,蓝,耐力,1,2,833,蓝,物理攻击,20,30,833,蓝,物理防御,12,18,833,蓝,法术防御,12,18,833,蓝,血量,60,90,833,蓝,速度,10,15,833,蓝,受治疗效果,50,50,833,蓝,最终伤害增加,20,30,833,蓝,最终伤害减免,20,30,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1002201,1,命中,100,100,769,蓝,智力,3,3,769,蓝,敏捷,3,3,769,蓝,耐力,3,3,769,蓝,物理防御,30,30,769,蓝,法术攻击,50,50,769,蓝,法术防御,30,30,769,蓝,血量,150,150,769,蓝,速度,25,25,769,蓝,治疗效果,100,100,769,蓝,受治疗效果,100,100,769,蓝,最终伤害增加,50,50,769,蓝,最终伤害减免,50,50,769,蓝,,,,,,,,,,,,,,,,,,,,
1002202,2,命中,50,50,769,蓝,智力,1,2,769,蓝,敏捷,1,2,769,蓝,耐力,1,2,769,蓝,物理防御,12,18,769,蓝,法术攻击,20,30,769,蓝,法术防御,12,18,769,蓝,血量,60,90,769,蓝,速度,10,15,769,蓝,治疗效果,50,50,769,蓝,受治疗效果,50,50,769,蓝,最终伤害增加,20,30,769,蓝,最终伤害减免,20,30,769,蓝,,,,,,,,,,,,,,,,,,,,
1002301,1,韧性,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1002302,2,韧性,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1002401,1,穿透,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1002402,2,穿透,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1002501,1,格挡,100,100,625,蓝,抵抗,100,100,625,蓝,智力,3,3,625,蓝,敏捷,3,3,625,蓝,力量,3,3,625,蓝,耐力,3,3,625,蓝,物理攻击,50,50,625,蓝,物理防御,30,30,625,蓝,法术攻击,50,50,625,蓝,法术防御,30,30,625,蓝,血量,150,150,625,蓝,速度,25,25,625,蓝,治疗效果,100,100,625,蓝,受治疗效果,100,100,625,蓝,最终伤害增加,50,50,625,蓝,最终伤害减免,50,50,625,蓝,,,,,
1002502,2,格挡,50,50,625,蓝,抵抗,50,50,625,蓝,智力,1,2,625,蓝,敏捷,1,2,625,蓝,力量,1,2,625,蓝,耐力,1,2,625,蓝,物理攻击,20,30,625,蓝,物理防御,12,18,625,蓝,法术攻击,20,30,625,蓝,法术防御,12,18,625,蓝,血量,60,90,625,蓝,速度,10,15,625,蓝,治疗效果,50,50,625,蓝,受治疗效果,50,50,625,蓝,最终伤害增加,20,30,625,蓝,最终伤害减免,20,30,625,蓝,,,,,
1002601,1,闪避,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1002602,2,闪避,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1003101,1,暴击,100,100,833,蓝,敏捷,3,3,833,蓝,力量,3,3,833,蓝,耐力,3,3,833,蓝,物理攻击,50,50,833,蓝,物理防御,30,30,833,蓝,法术防御,30,30,833,蓝,血量,150,150,833,蓝,速度,25,25,833,蓝,受治疗效果,100,100,833,蓝,最终伤害增加,50,50,833,蓝,最终伤害减免,50,50,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1003102,2,暴击,50,50,833,蓝,敏捷,1,2,833,蓝,力量,1,2,833,蓝,耐力,1,2,833,蓝,物理攻击,20,30,833,蓝,物理防御,12,18,833,蓝,法术防御,12,18,833,蓝,血量,60,90,833,蓝,速度,10,15,833,蓝,受治疗效果,50,50,833,蓝,最终伤害增加,20,30,833,蓝,最终伤害减免,20,30,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1003201,1,命中,100,100,769,蓝,智力,3,3,769,蓝,敏捷,3,3,769,蓝,耐力,3,3,769,蓝,物理防御,30,30,769,蓝,法术攻击,50,50,769,蓝,法术防御,30,30,769,蓝,血量,150,150,769,蓝,速度,25,25,769,蓝,治疗效果,100,100,769,蓝,受治疗效果,100,100,769,蓝,最终伤害增加,50,50,769,蓝,最终伤害减免,50,50,769,蓝,,,,,,,,,,,,,,,,,,,,
1003202,2,命中,50,50,769,蓝,智力,1,2,769,蓝,敏捷,1,2,769,蓝,耐力,1,2,769,蓝,物理防御,12,18,769,蓝,法术攻击,20,30,769,蓝,法术防御,12,18,769,蓝,血量,60,90,769,蓝,速度,10,15,769,蓝,治疗效果,50,50,769,蓝,受治疗效果,50,50,769,蓝,最终伤害增加,20,30,769,蓝,最终伤害减免,20,30,769,蓝,,,,,,,,,,,,,,,,,,,,
1003301,1,韧性,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1003302,2,韧性,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1003401,1,穿透,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1003402,2,穿透,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1003501,1,格挡,100,100,625,蓝,抵抗,100,100,625,蓝,智力,3,3,625,蓝,敏捷,3,3,625,蓝,力量,3,3,625,蓝,耐力,3,3,625,蓝,物理攻击,50,50,625,蓝,物理防御,30,30,625,蓝,法术攻击,50,50,625,蓝,法术防御,30,30,625,蓝,血量,150,150,625,蓝,速度,25,25,625,蓝,治疗效果,100,100,625,蓝,受治疗效果,100,100,625,蓝,最终伤害增加,50,50,625,蓝,最终伤害减免,50,50,625,蓝,,,,,
1003502,2,格挡,50,50,625,蓝,抵抗,50,50,625,蓝,智力,1,2,625,蓝,敏捷,1,2,625,蓝,力量,1,2,625,蓝,耐力,1,2,625,蓝,物理攻击,20,30,625,蓝,物理防御,12,18,625,蓝,法术攻击,20,30,625,蓝,法术防御,12,18,625,蓝,血量,60,90,625,蓝,速度,10,15,625,蓝,治疗效果,50,50,625,蓝,受治疗效果,50,50,625,蓝,最终伤害增加,20,30,625,蓝,最终伤害减免,20,30,625,蓝,,,,,
1003601,1,闪避,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1003602,2,闪避,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1004101,1,暴击,100,100,833,蓝,敏捷,3,3,833,蓝,力量,3,3,833,蓝,耐力,3,3,833,蓝,物理攻击,50,50,833,蓝,物理防御,30,30,833,蓝,法术防御,30,30,833,蓝,血量,150,150,833,蓝,速度,25,25,833,蓝,受治疗效果,100,100,833,蓝,最终伤害增加,50,50,833,蓝,最终伤害减免,50,50,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1004102,2,暴击,50,50,833,蓝,敏捷,1,2,833,蓝,力量,1,2,833,蓝,耐力,1,2,833,蓝,物理攻击,20,30,833,蓝,物理防御,12,18,833,蓝,法术防御,12,18,833,蓝,血量,60,90,833,蓝,速度,10,15,833,蓝,受治疗效果,50,50,833,蓝,最终伤害增加,20,30,833,蓝,最终伤害减免,20,30,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1004201,1,命中,100,100,769,蓝,智力,3,3,769,蓝,敏捷,3,3,769,蓝,耐力,3,3,769,蓝,物理防御,30,30,769,蓝,法术攻击,50,50,769,蓝,法术防御,30,30,769,蓝,血量,150,150,769,蓝,速度,25,25,769,蓝,治疗效果,100,100,769,蓝,受治疗效果,100,100,769,蓝,最终伤害增加,50,50,769,蓝,最终伤害减免,50,50,769,蓝,,,,,,,,,,,,,,,,,,,,
1004202,2,命中,50,50,769,蓝,智力,1,2,769,蓝,敏捷,1,2,769,蓝,耐力,1,2,769,蓝,物理防御,12,18,769,蓝,法术攻击,20,30,769,蓝,法术防御,12,18,769,蓝,血量,60,90,769,蓝,速度,10,15,769,蓝,治疗效果,50,50,769,蓝,受治疗效果,50,50,769,蓝,最终伤害增加,20,30,769,蓝,最终伤害减免,20,30,769,蓝,,,,,,,,,,,,,,,,,,,,
1004301,1,韧性,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1004302,2,韧性,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1004401,1,穿透,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1004402,2,穿透,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1004501,1,格挡,100,100,625,蓝,抵抗,100,100,625,蓝,智力,3,3,625,蓝,敏捷,3,3,625,蓝,力量,3,3,625,蓝,耐力,3,3,625,蓝,物理攻击,50,50,625,蓝,物理防御,30,30,625,蓝,法术攻击,50,50,625,蓝,法术防御,30,30,625,蓝,血量,150,150,625,蓝,速度,25,25,625,蓝,治疗效果,100,100,625,蓝,受治疗效果,100,100,625,蓝,最终伤害增加,50,50,625,蓝,最终伤害减免,50,50,625,蓝,,,,,
1004502,2,格挡,50,50,625,蓝,抵抗,50,50,625,蓝,智力,1,2,625,蓝,敏捷,1,2,625,蓝,力量,1,2,625,蓝,耐力,1,2,625,蓝,物理攻击,20,30,625,蓝,物理防御,12,18,625,蓝,法术攻击,20,30,625,蓝,法术防御,12,18,625,蓝,血量,60,90,625,蓝,速度,10,15,625,蓝,治疗效果,50,50,625,蓝,受治疗效果,50,50,625,蓝,最终伤害增加,20,30,625,蓝,最终伤害减免,20,30,625,蓝,,,,,
1004601,1,闪避,100,100,666,蓝,智力,3,3,666,蓝,敏捷,3,3,666,蓝,力量,3,3,666,蓝,耐力,3,3,666,蓝,物理攻击,50,50,666,蓝,物理防御,30,30,666,蓝,法术攻击,50,50,666,蓝,法术防御,30,30,666,蓝,血量,150,150,666,蓝,速度,25,25,666,蓝,治疗效果,100,100,666,蓝,受治疗效果,100,100,666,蓝,最终伤害增加,50,50,666,蓝,最终伤害减免,50,50,666,蓝,,,,,,,,,,
1004602,2,闪避,50,50,666,蓝,智力,1,2,666,蓝,敏捷,1,2,666,蓝,力量,1,2,666,蓝,耐力,1,2,666,蓝,物理攻击,20,30,666,蓝,物理防御,12,18,666,蓝,法术攻击,20,30,666,蓝,法术防御,12,18,666,蓝,血量,60,90,666,蓝,速度,10,15,666,蓝,治疗效果,50,50,666,蓝,受治疗效果,50,50,666,蓝,最终伤害增加,20,30,666,蓝,最终伤害减免,20,30,666,蓝,,,,,,,,,,
1005101,1,暴击,100,100,833,蓝,敏捷,3,3,833,蓝,力量,3,3,833,蓝,耐力,3,3,833,蓝,物理攻击,50,50,833,蓝,物理防御,30,30,833,蓝,法术防御,30,30,833,蓝,血量,150,150,833,蓝,速度,25,25,833,蓝,受治疗效果,100,100,833,蓝,最终伤害增加,50,50,833,蓝,最终伤害减免,50,50,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1005102,2,暴击,50,50,833,蓝,敏捷,1,2,833,蓝,力量,1,2,833,蓝,耐力,1,2,833,蓝,物理攻击,20,30,833,蓝,物理防御,12,18,833,蓝,法术防御,12,18,833,蓝,血量,60,90,833,蓝,速度,10,15,833,蓝,受治疗效果,50,50,833,蓝,最终伤害增加,20,30,833,蓝,最终伤害减免,20,30,833,蓝,,,,,,,,,,,,,,,,,,,,,,,,,
1005201,1,命中,100,100,769,蓝,智力,3,3,769,蓝,敏捷,3,3,769,蓝,耐力,3,3,769,蓝,物理防御,30,30,769,蓝,法术攻击,50,50,769,蓝,法术防御,30,30,769,蓝,血量,150,150,769,蓝,速度,25,25,769,蓝,治疗效果,100,100,769,蓝,受治疗效果,100,100,769,蓝,最终伤害增加,50,50,769,蓝,最终伤害减免,50,50,769,蓝,,,,,,,,,,,,,,,,,,,,
