Table:CsvEquipClearAttr,,,,,,,,,,,,
tid,name:s,attrtype:AttrType,value1:a,value2:a,value3:a,value4:a,,,,,,
22,,穿透,"80,150,6500,5000,4000,","160,230,3500,3800,4800,","240,310,0,1200,1000,","320,400,0,0,200,",,,,,,
23,,穿透,"120,200,6500,5000,4000,","210,290,3500,3800,4800,","300,390,0,1200,1000,","400,500,0,0,200,",,,,,,
24,,穿透,"160,250,6500,5000,4000,","260,350,3500,3800,4800,","360,460,0,1200,1000,","470,600,0,0,200,",,,,,,
25,,穿透,"170,260,6500,5000,4000,","270,360,3500,3800,4800,","370,470,0,1200,1000,","480,600,0,0,200,",,,,,,
26,,暴击,"40,75,6500,5000,4000,","80,115,3500,3800,4800,","120,155,0,1200,1000,","160,200,0,0,200,",,,,,,
27,,暴击,"80,150,6500,5000,4000,","160,230,3500,3800,4800,","240,310,0,1200,1000,","320,400,0,0,200,",,,,,,
28,,暴击,"120,200,6500,5000,4000,","210,290,3500,3800,4800,","300,390,0,1200,1000,","400,500,0,0,200,",,,,,,
29,,暴击,"160,250,6500,5000,4000,","260,350,3500,3800,4800,","360,460,0,1200,1000,","470,600,0,0,200,",,,,,,
30,,暴击,"170,260,6500,5000,4000,","270,360,3500,3800,4800,","370,470,0,1200,1000,","480,600,0,0,200,",,,,,,
31,,韧性,"40,75,6500,5000,4000,","80,115,3500,3800,4800,","120,155,0,1200,1000,","160,200,0,0,200,",,,,,,
32,,韧性,"80,150,6500,5000,4000,","160,230,3500,3800,4800,","240,310,0,1200,1000,","320,400,0,0,200,",,,,,,
33,,韧性,"120,200,6500,5000,4000,","210,290,3500,3800,4800,","300,390,0,1200,1000,","400,500,0,0,200,",,,,,,
34,,韧性,"160,250,6500,5000,4000,","260,350,3500,3800,4800,","360,460,0,1200,1000,","470,600,0,0,200,",,,,,,
35,,韧性,"170,260,6500,5000,4000,","270,360,3500,3800,4800,","370,470,0,1200,1000,","480,600,0,0,200,",,,,,,
36,,智力,"1,3,6500,5000,4000,","3,6,3500,3800,4800,","7,10,0,1200,1000,","10,14,0,0,200,",,,,,,
37,,智力,"2,6,6500,5000,4000,","7,13,3500,3800,4800,","14,20,0,1200,1000,","21,28,0,0,200,",,,,,,
38,,智力,"2,7,6500,5000,4000,","8,15,3500,3800,4800,","16,23,0,1200,1000,","24,32,0,0,200,",,,,,,
39,,智力,"2,8,6500,5000,4000,","9,17,3500,3800,4800,","18,26,0,1200,1000,","27,36,0,0,200,",,,,,,
40,,智力,"2,9,6500,5000,4000,","10,19,3500,3800,4800,","20,29,0,1200,1000,","30,40,0,0,200,",,,,,,
41,,敏捷,"1,3,6500,5000,4000,","3,6,3500,3800,4800,","7,10,0,1200,1000,","10,14,0,0,200,",,,,,,
42,,敏捷,"2,6,6500,5000,4000,","7,13,3500,3800,4800,","14,20,0,1200,1000,","21,28,0,0,200,",,,,,,
43,,敏捷,"2,7,6500,5000,4000,","8,15,3500,3800,4800,","16,23,0,1200,1000,","24,32,0,0,200,",,,,,,
44,,敏捷,"2,8,6500,5000,4000,","9,17,3500,3800,4800,","18,26,0,1200,1000,","27,36,0,0,200,",,,,,,
45,,敏捷,"2,9,6500,5000,4000,","10,19,3500,3800,4800,","20,29,0,1200,1000,","30,40,0,0,200,",,,,,,
46,,力量,"1,3,6500,5000,4000,","3,6,3500,3800,4800,","7,10,0,1200,1000,","10,14,0,0,200,",,,,,,
47,,力量,"2,6,6500,5000,4000,","7,13,3500,3800,4800,","14,20,0,1200,1000,","21,28,0,0,200,",,,,,,
48,,力量,"2,7,6500,5000,4000,","8,15,3500,3800,4800,","16,23,0,1200,1000,","24,32,0,0,200,",,,,,,
49,,力量,"2,8,6500,5000,4000,","9,17,3500,3800,4800,","18,26,0,1200,1000,","27,36,0,0,200,",,,,,,
50,,力量,"2,9,6500,5000,4000,","10,19,3500,3800,4800,","20,29,0,1200,1000,","30,40,0,0,200,",,,,,,
51,,耐力,"1,3,6500,5000,4000,","3,6,3500,3800,4800,","7,10,0,1200,1000,","10,14,0,0,200,",,,,,,
52,,耐力,"2,6,6500,5000,4000,","7,13,3500,3800,4800,","14,20,0,1200,1000,","21,28,0,0,200,",,,,,,
53,,耐力,"2,7,6500,5000,4000,","8,15,3500,3800,4800,","16,23,0,1200,1000,","24,32,0,0,200,",,,,,,
54,,耐力,"2,8,6500,5000,4000,","9,17,3500,3800,4800,","18,26,0,1200,1000,","27,36,0,0,200,",,,,,,
55,,耐力,"2,9,6500,5000,4000,","10,19,3500,3800,4800,","20,29,0,1200,1000,","30,40,0,0,200,",,,,,,
56,,物理攻击,"25,74,6500,5000,4000,","75,124,3500,3800,4800,","125,187,0,1200,1000,","188,250,0,0,200,",,,,,,
57,,物理攻击,"50,149,6500,5000,4000,","150,249,3500,3800,4800,","250,374,0,1200,1000,","375,500,0,0,200,",,,,,,
58,,物理攻击,"60,199,6500,5000,4000,","200,349,3500,3800,4800,","350,524,0,1200,1000,","525,700,0,0,200,",,,,,,
59,,物理攻击,"80,224,6500,5000,4000,","225,449,3500,3800,4800,","450,674,0,1200,1000,","675,900,0,0,200,",,,,,,
60,,物理攻击,"80,274,6500,5000,4000,","275,549,3500,3800,4800,","550,824,0,1200,1000,","825,1100,0,0,200,",,,,,,
61,,物理防御,"15,44,6500,5000,4000,","45,74,3500,3800,4800,","75,112,0,1200,1000,","113,150,0,0,200,",,,,,,
62,,物理防御,"30,89,6500,5000,4000,","90,149,3500,3800,4800,","150,224,0,1200,1000,","225,300,0,0,200,",,,,,,
63,,物理防御,"36,119,6500,5000,4000,","120,209,3500,3800,4800,","210,314,0,1200,1000,","315,420,0,0,200,",,,,,,
64,,物理防御,"48,134,6500,5000,4000,","135,269,3500,3800,4800,","270,404,0,1200,1000,","405,540,0,0,200,",,,,,,
65,,物理防御,"48,164,6500,5000,4000,","165,329,3500,3800,4800,","330,494,0,1200,1000,","495,660,0,0,200,",,,,,,
66,,法术攻击,"25,74,6500,5000,4000,","75,124,3500,3800,4800,","125,187,0,1200,1000,","188,250,0,0,200,",,,,,,
67,,法术攻击,"50,149,6500,5000,4000,","150,249,3500,3800,4800,","250,374,0,1200,1000,","375,500,0,0,200,",,,,,,
68,,法术攻击,"60,199,6500,5000,4000,","200,349,3500,3800,4800,","350,524,0,1200,1000,","525,700,0,0,200,",,,,,,
69,,法术攻击,"80,224,6500,5000,4000,","225,449,3500,3800,4800,","450,674,0,1200,1000,","675,900,0,0,200,",,,,,,
70,,法术攻击,"80,274,6500,5000,4000,","275,549,3500,3800,4800,","550,824,0,1200,1000,","825,1100,0,0,200,",,,,,,
71,,法术防御,"15,44,6500,5000,4000,","45,74,3500,3800,4800,","75,112,0,1200,1000,","113,150,0,0,200,",,,,,,
72,,法术防御,"30,89,6500,5000,4000,","90,149,3500,3800,4800,","150,224,0,1200,1000,","225,300,0,0,200,",,,,,,
73,,法术防御,"36,119,6500,5000,4000,","120,209,3500,3800,4800,","210,314,0,1200,1000,","315,420,0,0,200,",,,,,,
74,,法术防御,"48,134,6500,5000,4000,","135,269,3500,3800,4800,","270,404,0,1200,1000,","405,540,0,0,200,",,,,,,
75,,法术防御,"48,164,6500,5000,4000,","165,329,3500,3800,4800,","330,494,0,1200,1000,","495,660,0,0,200,",,,,,,
76,,血量,"100,298,6500,5000,4000,","300,498,3500,3800,4800,","500,748,0,1200,1000,","750,1000,0,0,200,",,,,,,
77,,血量,"200,799,6500,5000,4000,","800,1499,3500,3800,4800,","1500,2249,0,1200,1000,","2250,3000,0,0,200,",,,,,,
78,,血量,"260,1099,6500,5000,4000,","1100,2099,3500,3800,4800,","2100,3149,0,1200,1000,","3150,4200,0,0,200,",,,,,,
79,,血量,"320,1349,6500,5000,4000,","1350,2699,3500,3800,4800,","2700,4049,0,1200,1000,","4050,5400,0,0,200,",,,,,,
80,,血量,"320,1649,6500,5000,4000,","1650,3299,3500,3800,4800,","3300,4949,0,1200,1000,","4950,6600,0,0,200,",,,,,,
81,,速度,"12,37,6500,5000,4000,","38,62,3500,3800,4800,","63,93,0,1200,1000,","94,125,0,0,200,",,,,,,
82,,速度,"25,74,6500,5000,4000,","75,124,3500,3800,4800,","125,187,0,1200,1000,","187,250,0,0,200,",,,,,,
83,,速度,"30,99,6500,5000,4000,","100,174,3500,3800,4800,","175,262,0,1200,1000,","262,350,0,0,200,",,,,,,
84,,速度,"40,112,6500,5000,4000,","112,224,3500,3800,4800,","225,337,0,1200,1000,","337,450,0,0,200,",,,,,,
85,,速度,"40,137,6500,5000,4000,","137,274,3500,3800,4800,","275,412,0,1200,1000,","412,550,0,0,200,",,,,,,
86,,治疗效果,"40,75,6500,5000,4000,","80,115,3500,3800,4800,","120,155,0,1200,1000,","160,200,0,0,200,",,,,,,
87,,治疗效果,"80,150,6500,5000,4000,","160,230,3500,3800,4800,","240,310,0,1200,1000,","320,400,0,0,200,",,,,,,
88,,治疗效果,"120,200,6500,5000,4000,","210,290,3500,3800,4800,","300,390,0,1200,1000,","400,500,0,0,200,",,,,,,
89,,治疗效果,"160,250,6500,5000,4000,","260,350,3500,3800,4800,","360,460,0,1200,1000,","470,600,0,0,200,",,,,,,
90,,治疗效果,"170,260,6500,5000,4000,","270,360,3500,3800,4800,","370,470,0,1200,1000,","480,600,0,0,200,",,,,,,
91,,受治疗效果,"40,75,6500,5000,4000,","80,115,3500,3800,4800,","120,155,0,1200,1000,","160,200,0,0,200,",,,,,,
92,,受治疗效果,"80,150,6500,5000,4000,","160,230,3500,3800,4800,","240,310,0,1200,1000,","320,400,0,0,200,",,,,,,
93,,受治疗效果,"120,200,6500,5000,4000,","210,290,3500,3800,4800,","300,390,0,1200,1000,","400,500,0,0,200,",,,,,,
94,,受治疗效果,"160,250,6500,5000,4000,","260,350,3500,3800,4800,","360,460,0,1200,1000,","470,600,0,0,200,",,,,,,
95,,受治疗效果,"170,260,6500,5000,4000,","270,360,3500,3800,4800,","370,470,0,1200,1000,","480,600,0,0,200,",,,,,,
96,,暴伤,"100,100,6500,5000,4000,","100,100,3500,3800,4800,","100,100,0,1200,1000,","100,100,0,0,200,",,,,,,
97,,暴伤,"100,100,6500,5000,4000,","100,100,3500,3800,4800,","100,100,0,1200,1000,","100,100,0,0,200,",,,,,,
98,,暴伤,"100,100,6500,5000,4000,","100,100,3500,3800,4800,","100,100,0,1200,1000,","100,100,0,0,200,",,,,,,
99,,暴伤,"100,100,6500,5000,4000,","100,100,3500,3800,4800,","100,100,0,1200,1000,","100,100,0,0,200,",,,,,,
100,,暴伤,"100,100,6500,5000,4000,","100,100,3500,3800,4800,","100,100,0,1200,1000,","100,100,0,0,200,",,,,,,
101,,最终伤害增加,"25,74,6500,5000,4000,","75,124,3500,3800,4800,","125,187,0,1200,1000,","188,250,0,0,200,",,,,,,
102,,最终伤害增加,"50,149,6500,5000,4000,","150,249,3500,3800,4800,","250,374,0,1200,1000,","375,500,0,0,200,",,,,,,
103,,最终伤害增加,"60,199,6500,5000,4000,","200,349,3500,3800,4800,","350,524,0,1200,1000,","525,700,0,0,200,",,,,,,
104,,最终伤害增加,"80,224,6500,5000,4000,","225,449,3500,3800,4800,","450,674,0,1200,1000,","675,900,0,0,200,",,,,,,
105,,最终伤害增加,"80,274,6500,5000,4000,","275,549,3500,3800,4800,","550,824,0,1200,1000,","825,1100,0,0,200,",,,,,,
106,,最终伤害减免,"25,74,6500,5000,4000,","75,124,3500,3800,4800,","125,187,0,1200,1000,","188,250,0,0,200,",,,,,,
107,,最终伤害减免,"50,149,6500,5000,4000,","150,249,3500,3800,4800,","250,374,0,1200,1000,","375,500,0,0,200,",,,,,,
108,,最终伤害减免,"60,199,6500,5000,4000,","200,349,3500,3800,4800,","350,524,0,1200,1000,","525,700,0,0,200,",,,,,,
109,,最终伤害减免,"80,224,6500,5000,4000,","225,449,3500,3800,4800,","450,674,0,1200,1000,","675,900,0,0,200,",,,,,,
110,,最终伤害减免,"80,274,6500,5000,4000,","275,549,3500,3800,4800,","550,824,0,1200,1000,","825,1100,0,0,200,",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table:CsvEquipClearSuitAttr,,,,,,,,,,,,
tid,name:s,attrtype1:s,value1:s,occupation1:Occupation,attrtype2:s,value2:s,occupation2:Occupation,attrtype3:s,value3:s,occupation3:Occupation,color:ItemColor,occupation_attr:Occupation
# 套装属性tid,套装名字（前缀代码中自己加上”之“字）,集齐两件属性类型,集齐两件属性加成(方便对照都使用#号隔开),集齐两件属性加成适合的职业（用其它表示全体都适用）,集齐三件属性类型,集齐三件属性加成,集齐三件属性加成适合的职业,集齐四件属性类型,集齐四件属性加成,集齐四件属性加成适合的职业,颜色,适合的职业(显示用)
1,预言,血量,2400,其它,攻击,400,其它,X4,200,牧师,绿,牧师
2,卓越,血量,3000,其它,攻击,500,其它,X4#X3,200#200,牧师,蓝,牧师
3,信仰,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,牧师,紫,牧师
4,奥术师,血量,2400,其它,攻击,400,其它,X4,200,法师,绿,法师
5,灵风,血量,3000,其它,攻击,500,其它,X4#X3,200#200,法师,蓝,法师
6,霜火,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,法师,紫,法师
7,大地之怒,血量,2400,其它,攻击,400,其它,X4,200,萨满,绿,萨满
8,无尽风暴,血量,3000,其它,攻击,500,其它,X4#X3,200#200,萨满,蓝,萨满
9,碎地者,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,萨满,紫,萨满
10,塞纳里奥,血量,2400,其它,攻击,400,其它,X4,200,德鲁伊,绿,德鲁伊
11,怒风,血量,3000,其它,攻击,500,其它,X4#X3,200#200,德鲁伊,蓝,德鲁伊
12,梦游者,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,德鲁伊,紫,德鲁伊
13,巨人追猎者,血量,2400,其它,攻击,400,其它,X4,200,猎人,绿,猎人
14,巨龙追猎者,血量,3000,其它,攻击,500,其它,X4#X3,200#200,猎人,蓝,猎人
15,地穴追猎者,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,猎人,紫,猎人
16,力量,血量,2400,其它,攻击,400,其它,X4,200,战士,绿,战士
17,愤怒,血量,3000,其它,攻击,500,其它,X4#X3,200#200,战士,蓝,战士
18,无畏,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,战士,紫,战士
19,夜幕杀手,血量,2400,其它,攻击,400,其它,X4,200,盗贼,绿,盗贼
20,血牙,血量,3000,其它,攻击,500,其它,X4#X3,200#200,盗贼,蓝,盗贼
21,骨镰,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,盗贼,紫,盗贼
22,秩序之源,血量,2400,其它,攻击,400,其它,X4,200,圣骑士,绿,圣骑士
23,审判,血量,3000,其它,攻击,500,其它,X4#X3,200#200,圣骑士,蓝,圣骑士
24,救赎,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,圣骑士,紫,圣骑士
25,恶魔之心,血量,2400,其它,攻击,400,其它,X4,200,术士,绿,术士
26,复仇,血量,3000,其它,攻击,500,其它,X4#X3,200#200,术士,蓝,术士
27,瘟疫之心,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,术士,紫,术士
28,天灾苦痛,血量,2400,其它,攻击,400,其它,X4,200,死亡骑士,绿,死亡骑士
29,黑暗符印,血量,3000,其它,攻击,500,其它,X4#X3,200#200,死亡骑士,蓝,死亡骑士
30,死亡源质,血量#防御,3600#360,其它,攻击#速度,600#300,其它,X4#X3,400#400,死亡骑士,紫,死亡骑士
