Table:CsvDropMgr,,,,
tid,name:s,group,probability,sub_group
6501,10品质紫装四选一宝箱,65,10000,6501
6601,15品质紫装四选一宝箱,66,10000,6601
6701,15品质紫装四选一宝箱,67,10000,6701
6801,15品质紫装四选一宝箱,68,10000,6801
6901,15品质紫装四选一宝箱,69,10000,6901
7001,20品质紫装四选一宝箱,70,10000,7001
7101,20品质紫装四选一宝箱,71,10000,7101
7201,20品质紫装四选一宝箱,72,10000,7201
7301,20品质紫装四选一宝箱,73,10000,7301
7401,限时神将四选一宝箱,74,10000,7401
7501,限时神将四选一宝箱,75,10000,7501
7601,限时神将四选一宝箱,76,10000,7601
7701,限时神将四选一宝箱,77,10000,7701
#,,,,
10001,神将活动-钻石抽将,100,10000,10001
#,,,,
10101,怪物攻城-守城成功全服奖励,101,10000,10101
10201,怪物攻城-守城失败全服奖励,102,10000,10201
11101,怪物攻城-补刀奖励-怪物类型1,111,10000,11101
11201,怪物攻城-补刀奖励-怪物类型2,112,10000,11201
11301,怪物攻城-补刀奖励-怪物类型3,113,10000,11301
11401,怪物攻城-补刀奖励-怪物类型4,114,10000,11401
11501,怪物攻城-补刀奖励-怪物类型5,115,10000,11501
11601,怪物攻城-补刀奖励-怪物类型6,116,10000,11601
11701,怪物攻城-补刀奖励-怪物类型7,117,10000,11701
11801,怪物攻城-补刀奖励-怪物类型8,118,10000,11801
11901,怪物攻城-补刀奖励-怪物类型9,119,10000,11901
13101,怪物攻城-第1名奖励,131,10000,13101
13201,怪物攻城-第2名奖励,132,10000,13201
13301,怪物攻城-第3名奖励,133,10000,13301
13401,怪物攻城-第4名奖励,134,10000,13401
13501,怪物攻城-第5名奖励,135,10000,13501
13601,怪物攻城-第6名奖励,136,10000,13601
13701,怪物攻城-第7名奖励,137,10000,13701
13801,怪物攻城-第8名奖励,138,10000,13801
13901,怪物攻城-第9名奖励,139,10000,13901
14001,怪物攻城-第10名奖励,140,10000,14001
20101,天降宝物10级奖励,201,10000,20101
20201,天降宝物20级奖励,202,10000,20201
20301,天降宝物30级奖励,203,10000,20301
20401,天降宝物40级奖励,204,10000,20401
20501,天降宝物50级奖励,205,10000,20501
20601,天降宝物60级奖励,206,10000,20601
20701,天降宝物70级奖励,207,10000,20701
20801,天降宝物80级奖励,208,10000,20801
20901,天降宝物90级奖励,209,10000,20901
21001,天降宝物100级奖励,210,10000,21001
21101,天降宝物110级奖励,211,10000,21101
21201,天降宝物120级奖励,212,10000,21201
#,,,,
25101,军团boss参与奖,251,10000,25101
25102,军团boss参与奖,251,10000,25102
25201,军团boss击杀奖励,252,10000,25201
25301,军团boss获胜奖,253,10000,25301
#,,,,
26101,转盘活动1号格子,261,10000,26101
26201,转盘活动2号格子,262,10000,26201
26301,转盘活动3号格子,263,10000,26301
26401,转盘活动4号格子,264,10000,26401
26501,转盘活动5号格子,265,10000,26501
26601,转盘活动6号格子,266,10000,26601
26701,转盘活动7号格子,267,10000,26701
26801,转盘活动8号格子,268,10000,26801
#,,,,
30101,10绑钻,301,10000,30101
30201,20绑钻,302,10000,30201
30301,50绑钻,303,10000,30301
30401,100绑钻,304,10000,30401
30501,10英魂,305,10000,30501
30601,20英魂,306,10000,30601
30701,50英魂,307,10000,30701
30801,100英魂,308,10000,30801
30901,10000铜币,309,10000,30901
31001,20000铜币,310,10000,31001
31101,50000铜币,311,10000,31101
31201,100000铜币,312,10000,31201
31301,200战魂,313,10000,31301
31401,500战魂,314,10000,31401
31501,1000战魂,315,10000,31501
31601,2000战魂,316,10000,31601
31701,2000铜币,317,10000,31701
31801,3000铜币,318,10000,31801
31901,100战魂,319,10000,31901
32001,200英魂,320,10000,32001
32101,500000铜币,321,10000,32101
32201,200钻石,322,10000,32201
32301,橙色英雄碎片包,323,10000,32301
32401,随机好感物品宝箱,324,10000,32401
32501,紫色装备碎片包,325,10000,32501
32601,5%芒星石宝箱,326,10000,32601
32701,5%打孔装置宝箱,327,10000,32701
32801,5%奥术之尘宝箱,328,10000,32801
#,,,,
32901,VIP1级礼包,329,10000,32901
32902,VIP1级礼包,329,10000,32902
32903,VIP1级礼包,329,10000,32903
32904,VIP1级礼包,329,10000,32904
33001,VIP2级礼包,330,10000,33001
33002,VIP2级礼包,330,10000,33002
33003,VIP2级礼包,330,10000,33003
33004,VIP2级礼包,330,10000,33004
33101,VIP3级礼包,331,10000,33101
33102,VIP3级礼包,331,10000,33102
33103,VIP3级礼包,331,10000,33103
33104,VIP3级礼包,331,10000,33104
33201,VIP4级礼包,332,10000,33201
33202,VIP4级礼包,332,10000,33202
33203,VIP4级礼包,332,10000,33203
33204,VIP4级礼包,332,10000,33204
33301,VIP5级礼包,333,10000,33301
33302,VIP5级礼包,333,10000,33302
33303,VIP5级礼包,333,10000,33303
33304,VIP5级礼包,333,10000,33304
33401,VIP6级礼包,334,10000,33401
33402,VIP6级礼包,334,10000,33402
33403,VIP6级礼包,334,10000,33403
33404,VIP6级礼包,334,10000,33404
33501,VIP7级礼包,335,10000,33501
33502,VIP7级礼包,335,10000,33502
33503,VIP7级礼包,335,10000,33503
33504,VIP7级礼包,335,10000,33504
33601,VIP8级礼包,336,10000,33601
33602,VIP8级礼包,336,10000,33602
33603,VIP8级礼包,336,10000,33603
33604,VIP8级礼包,336,10000,33604
33701,VIP9级礼包,337,10000,33701
33702,VIP9级礼包,337,10000,33702
33703,VIP9级礼包,337,10000,33703
33704,VIP9级礼包,337,10000,33704
33801,VIP10级礼包,338,10000,33801
33802,VIP10级礼包,338,10000,33802
33803,VIP10级礼包,338,10000,33803
33804,VIP10级礼包,338,10000,33804
33901,蓝色装备碎片宝箱,339,10000,33901
34001,紫色英雄碎片宝箱,340,10000,34001
34101,随机进阶材料宝箱,341,10000,34101
34201,随机神将碎片宝箱,342,10000,34201
34301,橙色英雄包,343,10000,34301
34401,高级闪避大礼包,344,10000,34401
34402,高级闪避大礼包,344,10000,34402
34403,高级闪避大礼包,344,10000,34403
34404,高级闪避大礼包,344,10000,34404
34501,高级命中大礼包,345,10000,34501
34502,高级命中大礼包,345,10000,34502
34503,高级命中大礼包,345,10000,34503
34504,高级命中大礼包,345,10000,34504
34601,高级暴击大礼包,346,10000,34601
34602,高级暴击大礼包,346,10000,34602
34603,高级暴击大礼包,346,10000,34603
34604,高级暴击大礼包,346,10000,34604
34701,高级韧性大礼包,347,10000,34701
34702,高级韧性大礼包,347,10000,34702
34703,高级韧性大礼包,347,10000,34703
34704,高级韧性大礼包,347,10000,34704
34801,高级格挡大礼包,348,10000,34801
34802,高级格挡大礼包,348,10000,34802
34803,高级格挡大礼包,348,10000,34803
34804,高级格挡大礼包,348,10000,34804
34901,高级穿透大礼包,349,10000,34901
34902,高级穿透大礼包,349,10000,34902
34903,高级穿透大礼包,349,10000,34903
34904,高级穿透大礼包,349,10000,34904
35001,高级抵抗大礼包,350,10000,35001
35002,高级抵抗大礼包,350,10000,35002
35003,高级抵抗大礼包,350,10000,35003
35004,高级抵抗大礼包,350,10000,35004
35101,鉴定之书*2,351,10000,35101
35201,鉴定之书*3,352,10000,35201
35301,鉴定之书*4,353,10000,35301
35401,10品质装备碎片宝箱,354,10000,35401
35501,饰品碎片宝箱,355,10000,35501
35601,5%附魔材料宝箱,356,10000,35601
35701,军团战优胜宝箱,357,10000,35701
35801,军团战宝箱,358,10000,35801
35901,铭文宝箱,359,10000,35901
36001,5%血魔碎片宝箱,360,10000,36001
#,,,,
40101,天降宝物-保底奖励-蓝武器,401,10000,40101
40201,天降宝物-保底奖励-蓝装,402,10000,40201
40301,天降宝物-保底奖励-紫装,403,10000,40301
40401,天降宝物-保底奖励-蓝装,404,10000,40401
40501,天降宝物-保底奖励-蓝装,405,10000,40501
#,,,,
45101,爬塔-胜利-1星铜币,451,10000,45101
45201,爬塔-胜利-2星铜币,452,10000,45201
45301,爬塔-胜利-3星铜币,453,10000,45301
#,,,,
46101,节日活动-冒险-掉落,461,5000,46101
#,,,,
48101,军团战获胜,481,10000,48101
48201,军团战平局,482,10000,48201
48202,军团战平局,482,10000,48202
48301,军团战失败,483,10000,48301
#,,,,
50101,活动副本-铜币-简单,501,10000,50101
50102,活动副本-铜币-简单,501,10000,50102
50103,活动副本-铜币-简单,501,10000,50103
50201,活动副本-铜币-普通,502,10000,50201
50202,活动副本-铜币-普通,502,10000,50202
50203,活动副本-铜币-普通,502,10000,50203
50301,活动副本-铜币-困难,503,10000,50301
50302,活动副本-铜币-困难,503,10000,50302
50303,活动副本-铜币-困难,503,10000,50303
50401,活动副本-铜币-英雄,504,10000,50401
50402,活动副本-铜币-英雄,504,10000,50402
50403,活动副本-铜币-英雄,504,10000,50403
50501,活动副本-铜币-噩梦,505,10000,50501
50502,活动副本-铜币-噩梦,505,10000,50502
50503,活动副本-铜币-噩梦,505,10000,50503
50601,活动副本-铜币-地狱,506,10000,50601
50602,活动副本-铜币-地狱,506,10000,50602
50603,活动副本-铜币-地狱,506,10000,50603
52101,活动副本-战魂-简单,521,10000,52101
52102,活动副本-战魂-简单,521,10000,52102
52103,活动副本-战魂-简单,521,10000,52103
52201,活动副本-战魂-普通,522,10000,52201
52202,活动副本-战魂-普通,522,10000,52202
52203,活动副本-战魂-普通,522,10000,52203
52301,活动副本-战魂-困难,523,10000,52301
52302,活动副本-战魂-困难,523,10000,52302
52303,活动副本-战魂-困难,523,10000,52303
52401,活动副本-战魂-英雄,524,10000,52401
52402,活动副本-战魂-英雄,524,10000,52402
52403,活动副本-战魂-英雄,524,10000,52403
52501,活动副本-战魂-噩梦,525,10000,52501
52502,活动副本-战魂-噩梦,525,10000,52502
52503,活动副本-战魂-噩梦,525,10000,52503
52601,活动副本-战魂-地狱,526,10000,52601
52602,活动副本-战魂-地狱,526,10000,52602
52603,活动副本-战魂-地狱,526,10000,52603
54101,好感-简单,541,10000,54101
54102,好感-简单,541,10000,54102
54103,好感-简单,541,10000,54103
54201,好感-普通,542,10000,54201
54202,好感-普通,542,10000,54202
54203,好感-普通,542,10000,54203
54301,好感-困难,543,10000,54301
54302,好感-困难,543,10000,54302
54303,好感-困难,543,10000,54303
54401,好感-英雄,544,10000,54401
54402,好感-英雄,544,10000,54402
54403,好感-英雄,544,10000,54403
54501,好感-噩梦,545,10000,54501
54502,好感-噩梦,545,10000,54502
54503,好感-噩梦,545,10000,54503
54601,好感-地狱,546,10000,54601
54602,好感-地狱,546,10000,54602
54603,好感-地狱,546,10000,54603
56101,附魔-简单,561,10000,56101
56102,附魔-简单,561,10000,56102
56103,附魔-简单,561,10000,56103
56201,附魔-普通,562,10000,56201
56202,附魔-普通,562,10000,56202
56203,附魔-普通,562,10000,56203
56301,附魔-困难,563,10000,56301
56302,附魔-困难,563,10000,56302
56303,附魔-困难,563,10000,56303
56401,附魔-英雄,564,10000,56401
56402,附魔-英雄,564,10000,56402
56403,附魔-英雄,564,10000,56403
56501,附魔-噩梦,565,10000,56501
56502,附魔-噩梦,565,10000,56502
56503,附魔-噩梦,565,10000,56503
56601,附魔-地狱,566,10000,56601
56602,附魔-地狱,566,10000,56602
56603,附魔-地狱,566,10000,56603
58101,突破-简单,581,10000,58101
58201,突破-普通,582,10000,58201
58301,突破-困难,583,10000,58301
58401,突破-英雄,584,10000,58401
58501,突破-噩梦,585,10000,58501
58601,突破-地狱,586,10000,58601
59101,鉴定熔炼-简单,591,10000,59101
59102,鉴定熔炼-简单,591,10000,59102
59201,鉴定熔炼-普通,592,10000,59201
59202,鉴定熔炼-普通,592,10000,59202
59301,鉴定熔炼-困难,593,10000,59301
59302,鉴定熔炼-困难,593,10000,59302
59401,鉴定熔炼-英雄,594,10000,59401
59402,鉴定熔炼-英雄,594,10000,59402
59501,鉴定熔炼-噩梦,595,10000,59501
59502,鉴定熔炼-噩梦,595,10000,59502
59601,鉴定熔炼-地狱,596,10000,59601
59602,鉴定熔炼-地狱,596,10000,59602
#,,,,
60101,爬塔-第一关-1星奖励,601,10000,60101
60102,爬塔-第一关-1星奖励,601,10000,60102
60201,爬塔-第一关-2星奖励,602,10000,60201
60202,爬塔-第一关-2星奖励,602,10000,60202
60301,爬塔-第一关-3星奖励,603,10000,60301
60302,爬塔-第一关-3星奖励,603,10000,60302
60601,爬塔-第二关-1星奖励,606,10000,60601
60602,爬塔-第二关-1星奖励,606,10000,60602
60701,爬塔-第二关-2星奖励,607,10000,60701
60702,爬塔-第二关-2星奖励,607,10000,60702
60801,爬塔-第二关-3星奖励,608,10000,60801
60802,爬塔-第二关-3星奖励,608,10000,60802
61101,爬塔-第三关-1星奖励,611,10000,61101
61102,爬塔-第三关-1星奖励,611,10000,61102
61201,爬塔-第三关-2星奖励,612,10000,61201
61202,爬塔-第三关-2星奖励,612,10000,61202
61301,爬塔-第三关-3星奖励,613,10000,61301
61302,爬塔-第三关-3星奖励,613,10000,61302
61601,爬塔-第四关-1星奖励,616,10000,61601
61602,爬塔-第四关-1星奖励,616,10000,61602
61701,爬塔-第四关-2星奖励,617,10000,61701
61702,爬塔-第四关-2星奖励,617,10000,61702
61801,爬塔-第四关-3星奖励,618,10000,61801
61802,爬塔-第四关-3星奖励,618,10000,61802
62101,爬塔-第五关-1星奖励,621,10000,62101
62102,爬塔-第五关-1星奖励,621,10000,62102
62201,爬塔-第五关-2星奖励,622,10000,62201
62202,爬塔-第五关-2星奖励,622,10000,62202
62301,爬塔-第五关-3星奖励,623,10000,62301
62302,爬塔-第五关-3星奖励,623,10000,62302
62601,爬塔-第六关-1星奖励,626,10000,62601
62602,爬塔-第六关-1星奖励,626,10000,62602
62701,爬塔-第六关-2星奖励,627,10000,62701
62702,爬塔-第六关-2星奖励,627,10000,62702
62801,爬塔-第六关-3星奖励,628,10000,62801
62802,爬塔-第六关-3星奖励,628,10000,62802
63101,爬塔-第七关-1星奖励,631,10000,63101
63102,爬塔-第七关-1星奖励,631,10000,63102
63201,爬塔-第七关-2星奖励,632,10000,63201
63202,爬塔-第七关-2星奖励,632,10000,63202
63301,爬塔-第七关-3星奖励,633,10000,63301
63302,爬塔-第七关-3星奖励,633,10000,63302
63601,爬塔-第八关-1星奖励,636,10000,63601
63602,爬塔-第八关-1星奖励,636,10000,63602
63701,爬塔-第八关-2星奖励,637,10000,63701
63702,爬塔-第八关-2星奖励,637,10000,63702
63801,爬塔-第八关-3星奖励,638,10000,63801
63802,爬塔-第八关-3星奖励,638,10000,63802
64101,爬塔-第九关-1星奖励,641,10000,64101
64102,爬塔-第九关-1星奖励,641,10000,64102
64201,爬塔-第九关-2星奖励,642,10000,64201
64202,爬塔-第九关-2星奖励,642,10000,64202
64301,爬塔-第九关-3星奖励,643,10000,64301
64302,爬塔-第九关-3星奖励,643,10000,64302
64601,爬塔-第十关-1星奖励,646,10000,64601
64602,爬塔-第十关-1星奖励,646,10000,64602
64701,爬塔-第十关-2星奖励,647,10000,64701
64702,爬塔-第十关-2星奖励,647,10000,64702
64801,爬塔-第十关-3星奖励,648,10000,64801
64802,爬塔-第十关-3星奖励,648,10000,64802
65101,爬塔-第十一关-1星奖励,651,10000,65101
65102,爬塔-第十一关-1星奖励,651,10000,65102
65201,爬塔-第十一关-2星奖励,652,10000,65201
65202,爬塔-第十一关-2星奖励,652,10000,65202
65301,爬塔-第十一关-3星奖励,653,10000,65301
65302,爬塔-第十一关-3星奖励,653,10000,65302
65601,爬塔-第十二关-1星奖励,656,10000,65601
65602,爬塔-第十二关-1星奖励,656,10000,65602
65701,爬塔-第十二关-2星奖励,657,10000,65701
65702,爬塔-第十二关-2星奖励,657,10000,65702
65801,爬塔-第十二关-3星奖励,658,10000,65801
65802,爬塔-第十二关-3星奖励,658,10000,65802
66101,爬塔-第十三关-1星奖励,661,10000,66101
66102,爬塔-第十三关-1星奖励,661,10000,66102
66201,爬塔-第十三关-2星奖励,662,10000,66201
66202,爬塔-第十三关-2星奖励,662,10000,66202
66301,爬塔-第十三关-3星奖励,663,10000,66301
66302,爬塔-第十三关-3星奖励,663,10000,66302
66601,爬塔-第十四关-1星奖励,666,10000,66601
66602,爬塔-第十四关-1星奖励,666,10000,66602
66701,爬塔-第十四关-2星奖励,667,10000,66701
66702,爬塔-第十四关-2星奖励,667,10000,66702
66801,爬塔-第十四关-3星奖励,668,10000,66801
66802,爬塔-第十四关-3星奖励,668,10000,66802
67101,爬塔-第十五关-1星奖励,671,10000,67101
67102,爬塔-第十五关-1星奖励,671,10000,67102
67201,爬塔-第十五关-2星奖励,672,10000,67201
67202,爬塔-第十五关-2星奖励,672,10000,67202
67301,爬塔-第十五关-3星奖励,673,10000,67301
67302,爬塔-第十五关-3星奖励,673,10000,67302
67601,爬塔-第十六关-1星奖励,676,10000,67601
67602,爬塔-第十六关-1星奖励,676,10000,67602
67701,爬塔-第十六关-2星奖励,677,10000,67701
67702,爬塔-第十六关-2星奖励,677,10000,67702
67801,爬塔-第十六关-3星奖励,678,10000,67801
67802,爬塔-第十六关-3星奖励,678,10000,67802
68101,爬塔-第十七关-1星奖励,681,10000,68101
68102,爬塔-第十七关-1星奖励,681,10000,68102
68201,爬塔-第十七关-2星奖励,682,10000,68201
68202,爬塔-第十七关-2星奖励,682,10000,68202
68301,爬塔-第十七关-3星奖励,683,10000,68301
68302,爬塔-第十七关-3星奖励,683,10000,68302
#,,,,
75101,精英副本-第一关-铜币,751,10000,75101
75102,精英副本-第一关-石头,751,10000,75102
75103,精英副本-第一关-鉴定书,751,5000,75103
75201,精英副本-第二关-铜币,752,10000,75201
75202,精英副本-第二关-石头,752,10000,75202
75203,精英副本-第二关-鉴定书,752,5000,75203
75301,精英副本-第三关-铜币,753,10000,75301
75302,精英副本-第三关-石头,753,10000,75302
75303,精英副本-第三关-鉴定书,753,5000,75303
75401,精英副本-第四关-铜币,754,10000,75401
75402,精英副本-第四关-石头,754,10000,75402
75403,精英副本-第四关-鉴定书,754,5000,75403
75501,精英副本-第五关-铜币,755,10000,75501
75502,精英副本-第五关-石头,755,10000,75502
75503,精英副本-第五关-鉴定书,755,5000,75503
75601,精英副本-第六关-铜币,756,10000,75601
75602,精英副本-第六关-石头,756,10000,75602
75603,精英副本-第六关-鉴定书,756,5000,75603
75701,精英副本-第七关-铜币,757,10000,75701
75702,精英副本-第七关-石头,757,10000,75702
75703,精英副本-第七关-鉴定书,757,5000,75703
75801,精英副本-第八关-铜币,758,10000,75801
75802,精英副本-第八关-石头,758,10000,75802
75803,精英副本-第八关-鉴定书,758,5000,75803
75901,精英副本-第九关-铜币,759,10000,75901
75902,精英副本-第九关-石头,759,10000,75902
75903,精英副本-第九关-鉴定书,759,5000,75903
76001,精英副本-第十关-铜币,760,10000,76001
76002,精英副本-第十关-石头,760,10000,76002
76003,精英副本-第十关-鉴定书,760,5000,76003
76101,精英副本-第十一关-铜币,761,10000,76101
76102,精英副本-第十一关-石头,761,10000,76102
76103,精英副本-第十一关-鉴定书,761,5000,76103
76201,精英副本-第十二关-铜币,762,10000,76201
76202,精英副本-第十二关-石头,762,10000,76202
76203,精英副本-第十二关-鉴定书,762,5000,76203
76301,精英副本-第十三关-铜币,763,10000,76301
76302,精英副本-第十三关-石头,763,10000,76302
76303,精英副本-第十三关-鉴定书,763,5000,76303
76401,精英副本-第十四关-铜币,764,10000,76401
76402,精英副本-第十四关-石头,764,10000,76402
76403,精英副本-第十四关-鉴定书,764,5000,76403
#,,,,
80101,大富翁-白-奖励,801,10000,80101
80201,大富翁-绿-奖励,802,10000,80201
80301,大富翁-蓝-奖励,803,10000,80301
80401,大富翁-紫-奖励,804,10000,80401
80501,大富翁-橙-奖励,805,10000,80501
#,,,,
90101,稀有精英-发现者奖励,901,10000,90101
90102,稀有精英-发现者奖励,901,10000,90102
90201,稀有精英-发现者奖励,902,10000,90201
90202,稀有精英-发现者奖励,902,10000,90202
90301,稀有精英-发现者奖励,903,10000,90301
90302,稀有精英-发现者奖励,903,10000,90302
90401,稀有精英-发现者奖励,904,10000,90401
90402,稀有精英-发现者奖励,904,10000,90402
90501,稀有精英-发现者奖励,905,10000,90501
90502,稀有精英-发现者奖励,905,10000,90502
90601,稀有精英-发现者奖励,906,10000,90601
90602,稀有精英-发现者奖励,906,10000,90602
90701,稀有精英-发现者奖励,907,10000,90701
90702,稀有精英-发现者奖励,907,10000,90702
90801,稀有精英-发现者奖励,908,10000,90801
90802,稀有精英-发现者奖励,908,10000,90802
90901,稀有精英-发现者奖励,909,10000,90901
90902,稀有精英-发现者奖励,909,10000,90902
91001,稀有精英-发现者奖励,910,10000,91001
91002,稀有精英-发现者奖励,910,10000,91002
91101,稀有精英-发现者奖励,911,10000,91101
91102,稀有精英-发现者奖励,911,10000,91102
91201,稀有精英-发现者奖励,912,10000,91201
91202,稀有精英-发现者奖励,912,10000,91202
91301,稀有精英-发现者奖励,913,10000,91301
91302,稀有精英-发现者奖励,913,10000,91302
91401,稀有精英-发现者奖励,914,10000,91401
91402,稀有精英-发现者奖励,914,10000,91402
91501,稀有精英-发现者奖励,915,10000,91501
91502,稀有精英-发现者奖励,915,10000,91502
91601,稀有精英-发现者奖励,916,10000,91601
91602,稀有精英-发现者奖励,916,10000,91602
91701,稀有精英-发现者奖励,917,10000,91701
91702,稀有精英-发现者奖励,917,10000,91702
91801,稀有精英-发现者奖励,918,10000,91801
91802,稀有精英-发现者奖励,918,10000,91802
91901,稀有精英-发现者奖励,919,10000,91901
91902,稀有精英-发现者奖励,919,10000,91902
92001,稀有精英-发现者奖励,920,10000,92001
92002,稀有精英-发现者奖励,920,10000,92002
92101,稀有精英-发现者奖励,921,10000,92101
92102,稀有精英-发现者奖励,921,10000,92102
92201,稀有精英-发现者奖励,922,10000,92201
92202,稀有精英-发现者奖励,922,10000,92202
92301,稀有精英-发现者奖励,923,10000,92301
92302,稀有精英-发现者奖励,923,10000,92302
92401,稀有精英-发现者奖励,924,10000,92401
92402,稀有精英-发现者奖励,924,10000,92402
92501,稀有精英-发现者奖励,925,10000,92501
92502,稀有精英-发现者奖励,925,10000,92502
92601,稀有精英-发现者奖励,926,10000,92601
92602,稀有精英-发现者奖励,926,10000,92602
92701,稀有精英-发现者奖励,927,10000,92701
92702,稀有精英-发现者奖励,927,10000,92702
#,,,,
95101,稀有精英-击杀者奖励,951,10000,95101
95201,稀有精英-击杀者奖励,952,10000,95201
95301,稀有精英-击杀者奖励,953,10000,95301
95401,稀有精英-击杀者奖励,954,10000,95401
95501,稀有精英-击杀者奖励,955,10000,95501
95601,稀有精英-击杀者奖励,956,10000,95601
95701,稀有精英-击杀者奖励,957,10000,95701
95801,稀有精英-击杀者奖励,958,10000,95801
95901,稀有精英-击杀者奖励,959,10000,95901
96001,稀有精英-击杀者奖励,960,10000,96001
96101,稀有精英-击杀者奖励,961,10000,96101
96201,稀有精英-击杀者奖励,962,10000,96201
96301,稀有精英-击杀者奖励,963,10000,96301
96401,稀有精英-击杀者奖励,964,10000,96401
96501,稀有精英-击杀者奖励,965,10000,96501
96601,稀有精英-击杀者奖励,966,10000,96601
96701,稀有精英-击杀者奖励,967,10000,96701
96801,稀有精英-击杀者奖励,968,10000,96801
96901,稀有精英-击杀者奖励,969,10000,96901
97001,稀有精英-击杀者奖励,970,10000,97001
97101,稀有精英-击杀者奖励,971,10000,97101
97201,稀有精英-击杀者奖励,972,10000,97201
97301,稀有精英-击杀者奖励,973,10000,97301
97401,稀有精英-击杀者奖励,974,10000,97401
97501,稀有精英-击杀者奖励,975,10000,97501
97601,稀有精英-击杀者奖励,976,10000,97601
97701,稀有精英-击杀者奖励,977,10000,97701
#,,,,
101101,战役特殊第1关1--1星,1011,10000,101101
101201,战役特殊第1关2--1星,1012,10000,101201
101301,战役特殊第1关3--1星,1013,10000,101301
101401,战役特殊第1关4--1星,1014,10000,101401
101501,战役特殊第1关5--1星,1015,10000,101501
101601,战役特殊第1关6--1星,1016,10000,101601
102101,战役特殊第2关1--1星,1021,10000,102101
102201,战役特殊第2关2--1星,1022,10000,102201
102301,战役特殊第2关3--1星,1023,10000,102301
102401,战役特殊第2关4--1星,1024,10000,102401
102501,战役特殊第2关5--1星,1025,10000,102501
102601,战役特殊第2关6--1星,1026,10000,102601
103101,战役特殊第3关1--1星,1031,10000,103101
103201,战役特殊第3关2--1星,1032,10000,103201
103301,战役特殊第3关3--1星,1033,10000,103301
103401,战役特殊第3关4--1星,1034,10000,103401
103501,战役特殊第3关5--1星,1035,10000,103501
103601,战役特殊第3关6--1星,1036,10000,103601
104101,战役特殊第4关1--1星,1041,10000,104101
104201,战役特殊第4关2--1星,1042,10000,104201
104301,战役特殊第4关3--1星,1043,10000,104301
104401,战役特殊第4关4--1星,1044,10000,104401
104501,战役特殊第4关5--1星,1045,10000,104501
104601,战役特殊第4关6--1星,1046,10000,104601
105101,战役特殊第5关1--1星,1051,10000,105101
105201,战役特殊第5关2--1星,1052,10000,105201
105301,战役特殊第5关3--1星,1053,10000,105301
105401,战役特殊第5关4--1星,1054,10000,105401
105501,战役特殊第5关5--1星,1055,10000,105501
105601,战役特殊第5关6--1星,1056,10000,105601
106101,战役特殊第6关1--1星,1061,10000,106101
106201,战役特殊第6关2--1星,1062,10000,106201
106301,战役特殊第6关3--1星,1063,10000,106301
106401,战役特殊第6关4--1星,1064,10000,106401
106501,战役特殊第6关5--1星,1065,10000,106501
106601,战役特殊第6关6--1星,1066,10000,106601
107101,战役特殊第7关1--1星,1071,10000,107101
107201,战役特殊第7关2--1星,1072,10000,107201
107301,战役特殊第7关3--1星,1073,10000,107301
