Table:CsvBulletSubtitle,,,,,,
tid,content:s,time:f,color:ItemColor,sceneid:s,,
1030217,我就想知道狗头人背篓里有神马,9,红,103021,詹戈洛德矿洞,
1030218,啧啧啧，狗头人还是弱啊,11,红,103021,詹戈洛德矿洞,
1030219,谁点一下下面的逃跑按钮，安慰一下狗头人,12,红,103021,詹戈洛德矿洞,
1030311,老瞎眼,3,红,103031,岸边的威胁,1
1030312,当初杀了我好多次,3,红,103031,岸边的威胁,
1030313,哈哈哈，是我报仇的时候了,4,红,103031,岸边的威胁,
1030314,天降正义,8,红,103031,岸边的威胁,
1030315,火球补刀，强，无敌,9,红,103031,岸边的威胁,
1030316,听说鱼人永不败,11,红,103031,岸边的威胁,
1030411,又是一群猪,3,红,103041,萨丁农场,1
1030412,好气啊,3,红,103041,萨丁农场,
1030413,麦田守望者,4,红,103041,萨丁农场,
1030414,你们的公主我都宰了,8,红,103041,萨丁农场,
1030415,你们来报仇的吗？,9,红,103041,萨丁农场,
1030416,晚上有烤猪肉吃了,11,红,103041,萨丁农场,
1030511,狼牙山四壮士？,4,红,103051,荒野豺狼人,1
1030512,两百斤不含头,3,红,103051,荒野豺狼人,
1030513,得罪造型师系列,4,红,103051,荒野豺狼人,
1030514,豺狼人和狗头人是亲戚么,7,红,103051,荒野豺狼人,
1030515,这个头略大,9,红,103051,荒野豺狼人,
1030611,总算看到人了,3,红,103061,清理荒野,1
1030612,秘术师会什么秘术,3,红,103061,清理荒野,
1030613,我的叫奥法师,5,红,103061,清理荒野,
1030614,讲道理这是男的还是女的,8,红,103061,清理荒野,
1030615,爱玩火法的火法的火球,11,红,103061,清理荒野,
1030711,信使都能做boss的咯,4,红,103071,月溪镇,1
1030712,送信的都开始带小弟了,3,红,103071,月溪镇,
1030713,两国交战先斩来使,5,红,103071,月溪镇,
1030714,这任务是死矿前面的吧,8,红,103071,月溪镇,
1030715,信使打人这么疼,11,红,103071,月溪镇,
1040111,前面还是狼人现在直接是狼了,1,红,104011,荒野之心,1
1040112,能不能选猎人抓狼的,3,红,104011,荒野之心,
1040113,前面想抓狼的那个你不是一个人,5,红,104011,荒野之心,
1040114,打得有点吃力了,8,红,104011,荒野之心,
1040115,没有啊我觉得还好,11,红,104011,荒野之心,
1040211,大变活人,4,红,104021,亡者农场,1
1040212,上一关的豺狼人变成女妖了,3,红,104021,亡者农场,
1040213,看上去很强,5,红,104021,亡者农场,
1040214,女妖是不死族的吧,8,红,104021,亡者农场,
1040215,就是dota里的dp,11,红,104021,亡者农场,
1040311,又变回来了,4,红,104031,豺狼人的脓液,1
1040312,女妖没了？,3,红,104031,豺狼人的脓液,
1040313,女妖又没了,5,红,104031,豺狼人的脓液,
1040314,发个弹幕看下,8,红,104031,豺狼人的脓液,
1040315,腐皮是皮烂了么,11,红,104031,豺狼人的脓液,
1040411,食尸鬼,1,红,104041,破旧渡口,3
1040412,小狗不去伐木跑这来干嘛,4,红,104041,破旧渡口,
1040413,挠人不疼,6,红,104041,破旧渡口,
1040414,这关好简单,9,红,104041,破旧渡口,
1040415,EZ,10,红,104041,破旧渡口,
1040421,。。。有第二波,5,红,104042,破旧渡口,
1040422,换成僵尸了,3,红,104042,破旧渡口,
1040424,没有比食尸鬼强好吧,8,红,104042,破旧渡口,
1040425,轻松,11,红,104042,破旧渡口,
1040431,还来,3,红,104043,破旧渡口,
1040432,来啊互相伤害啊,4,红,104043,破旧渡口,
1040434,破旧渡口,9,红,104043,破旧渡口,
1040435,破旧渡口,10,红,104043,破旧渡口,
1040511,三带一,3,红,104051,突袭芬里斯岛,3
1040513,有点硬,5,红,104051,突袭芬里斯岛,
1040514,这死的姿势有点搞笑,8,红,104051,突袭芬里斯岛,
1040515,僵硬,11,红,104051,突袭芬里斯岛,
1040611,狼和熊怎么勾搭上的,4,红,104061,披着熊皮的狼,1
1040612,狼呢,4,红,104061,披着熊皮的狼,
1040613,这看不出来是熊皮吧,6,红,104061,披着熊皮的狼,
1040614,这就是熊啊,9,红,104061,披着熊皮的狼,
1040615,熊弟啊,10,红,104061,披着熊皮的狼,
1040711,小胡子法师又来了,5,红,104071,调查安伯米尔,1
1040712,火法的对决,3,红,104071,调查安伯米尔,
1040713,好像打不过,5,红,104071,调查安伯米尔,
1040714,EM,8,红,104071,调查安伯米尔,
1040715,这波我很强,11,红,104071,调查安伯米尔,
1040811,狼人666666,4,红,104081,埃利姆矿洞,1
1040812,矿洞里为什么有狼人,4.3,红,104081,埃利姆矿洞,
1040813,这是矿工么,6,红,104081,埃利姆矿洞,
1040814,狼人变个身看看,9,红,104081,埃利姆矿洞,
1040815,不怎么强,10,红,104081,埃利姆矿洞,
1040911,我只知道盘丝洞,3,红,104091,粘丝洞,1
1040912,我还以为是蜘蛛怪,3,红,104091,粘丝洞,
1040913,前面蜘蛛怪的别跑,5,红,104091,粘丝洞,
1040914,比前面那个熊厉害啊,8,红,104091,粘丝洞,
1040915,熊的血好多,11,红,104091,粘丝洞,
1041011,影牙堡主之子,3.6,红,104101,焚木村的毁灭,1
1041012,意思是影牙堡主也是狼人,4,红,104101,焚木村的毁灭,
1041013,你没打过魔兽么,6,红,104101,焚木村的毁灭,
1041014,影牙是带本刷级的那个吧,9,红,104101,焚木村的毁灭,
1041015,对的 小号在门口等大号带院子里杀,10,红,104101,焚木村的毁灭,
1050111,十区主宰之剑的有没有,3.6,红,105011,主宰之剑,1
1050112,主宰之剑LM到此一游,3,红,105011,主宰之剑,
1050113,干特么的LM狗,5,红,105011,主宰之剑,
1050114,打特么的BL猪,6,红,105011,主宰之剑,
1050115,主宰之剑毕竟PVP大服,11,红,105011,主宰之剑,
1050211,就一个怪吗,4.5,红,105021,挖掘场,1
1050212,不是boss呀,4,红,105021,挖掘场,
1050213,真硬,6,红,105021,挖掘场,
1050214,肉盾一个,12,红,105021,挖掘场,
1050215,我打了7个回合,12,红,105021,挖掘场,
1050311,熊战士,3.8,红,105031,黑木熊怪营地,1
1050312,爪子略厉害,3,红,105031,黑木熊怪营地,
1050313,肚子有点大好吧,5,红,105031,黑木熊怪营地,
1050314,你以为玩熊战就是开个V上去啪啪啪吗,8,红,105031,黑木熊怪营地,
1050315,前排有点刚不住,11,红,105031,黑木熊怪营地,
1050411,鸟德,2.9,红,105041,古树之林,1
1050412,这动作好鬼畜啊,4,红,105041,古树之林,
1050413,壮哉我大萌德,6,红,105041,古树之林,
1050414,后面的是猫德么,9,红,105041,古树之林,
1050511,萨特很强,2.8,红,105051,亚米萨兰,1
1050512,XXX被中立生物杀死,3,红,105051,亚米萨兰,
1050513,大萨不削  dota必亡,5,红,105051,亚米萨兰,
1050514,后面的女妖名字像个暗夜精灵,8,红,105051,亚米萨兰,
1050611,哇啦哇啦哇啦,3.5,红,105061,长桥码头,1
1050612,看到鱼人就不爽,4,红,105061,长桥码头,
1050613,鱼人和人鱼是两回事,6,红,105061,长桥码头,
1050614,我打炉石就有鱼人卡组,9,红,105061,长桥码头,
1050615,鱼人牌都过时了,10,红,105061,长桥码头,
1050711,大萨又是你,2.9,红,105071,巴萨兰,1
1050712,这个大萨是个术士,3,红,105071,巴萨兰,
1050713,还是个恶魔术,5,红,105071,巴萨兰,
1050714,术士不是糖门滚吗,8,红,105071,巴萨兰,
1050811,这就是人鱼了,2.8,红,105081,洞中的蘑菇,3
1050812,小娜迦,4,红,105081,洞中的蘑菇,
1050813,看到小娜迦就想先去趟WC,6,红,105081,洞中的蘑菇,
1050814,膀胱局代名词,9,红,105081,洞中的蘑菇,
1050821,真正的鱼人永不败啊,3.5,红,105082,洞中的蘑菇,
1050822,1234 再来一次,3,红,105082,洞中的蘑菇,
1050823,分身斧小娜迦,5,红,105082,洞中的蘑菇,
1050824,那你意思是上一轮是幻象符,8,红,105082,洞中的蘑菇,
1050831,小娜迦的哥哥来了,2.7,红,105083,洞中的蘑菇,
1050832,娜迦战士,4,红,105083,洞中的蘑菇,
1050833,叉子好猛,6,红,105083,洞中的蘑菇,
1050834,这里不掉蘑菇啊,9,红,105083,洞中的蘑菇,
1050911,这也有暮光之锤的,2.5,红,105091,玛塞斯特拉,1
1050912,中间那个好像是冰法,3,红,105091,玛塞斯特拉,
1050913,还没见过奥法怪,5,红,105091,玛塞斯特拉,
1050914,我的魔法会撕裂你,8,红,105091,玛塞斯特拉,
1050915,打得不错,11,红,105091,玛塞斯特拉,
1051011,boss名字挺长,2.5,红,105101,奥萨拉克斯塔,1
1051012,看图标是毁灭术,4,红,105101,奥萨拉克斯塔,
1051013,烈焰风暴+暴风雪,6,红,105101,奥萨拉克斯塔,
1051014,冰火两重天,9,红,105101,奥萨拉克斯塔,
1051015,这个boss不强,10,红,105101,奥萨拉克斯塔,
1060111,对面四条单身狗,2.5,红,106011,淤泥沼泽,1
1060112,单身狗何必互相伤害,3,红,106011,淤泥沼泽,
1060113,为什么我会打不过几条狗,5,红,106011,淤泥沼泽,
1060115,这弹幕写得肚子好饿,10,红,106011,淤泥沼泽,
1060211,挖矿挖矿,2.5,红,106021,玉石矿洞,1
1060212,地精科技 震撼人心,3,红,106021,玉石矿洞,
1060213,时间就是金钱,5,红,106021,玉石矿洞,
1060214,地精有这么高 不科学,8,红,106021,玉石矿洞,
1060311,这怪一脸都是胡子吗,2.5,红,106031,平衡器,1
1060312,缠绕一下就没了,4,红,106031,平衡器,
1060313,好绿啊  大树人,6,红,106031,平衡器,
1060314,不懂事啊 一个劲缠我的凡妮莎,9,红,106031,平衡器,
1060315, 这树人可以,10,红,106031,平衡器,
1060411,这是霸王龙吧,2.5,红,106041,被偷走的银币,1
1060412,这迅猛龙看起来一点都不迅猛,3,红,106041,被偷走的银币,
1060413,跑得起来么,5,红,106041,被偷走的银币,
1060414,喝了三鹿奶粉了头好大,8,红,106041,被偷走的银币,
1060415,两百斤只含头,11,红,106041,被偷走的银币,
1060511,一群鸟人,2.5,红,106051,无水岭,1
1060512,什么鸟人 人家是鹰身人,4,红,106051,无水岭,
1060513,我记得北贫瘠左上有任务,6,红,106051,无水岭,
1060514,现在7.0的鹰身人好烦,9,红,106051,无水岭,
1060515,对啊 好吵伤害还高,10,红,106051,无水岭,
1060611,就这小池子里还有海龟,2.5,红,106061,遗忘之池,1
1060612,杰尼龟就有,3,红,106061,遗忘之池,
1060613,有点打不动了是我装备太差么,5,红,106061,遗忘之池,
1060614,装备要强化的,8,红,106061,遗忘之池,
1060615,装备要去副本打,11,红,106061,遗忘之池,
1060711,复什么仇,2.3,红,106071,复仇的怒火,1
1060712,我要让对面没机会出手,4,红,106071,复仇的怒火,
1060713,五个钢背兽,6,红,106071,复仇的怒火,
1060714,刚正面的钢背兽,9,红,106071,复仇的怒火,
1060715,菊花猪你正面不行的,10,红,106071,复仇的怒火,
1060811,哪个勇士 我只知道金州勇士,2.8,红,106081,勇士岛,3
1060812,这不是几个小海盗么,3,红,106081,勇士岛,
1060813,一下一趴了啊,5,红,106081,勇士岛,
1060814,全男的诶,8,红,106081,勇士岛,
1060815,汉子很寂寞么,11,红,106081,勇士岛,
1060821,这不也有女的么,2.6,红,106082,勇士岛,
1060822,有点急 怕扛不住第三波,4,红,106082,勇士岛,
1060823,对面的阿姨生气了,6,红,106082,勇士岛,
1060824,有点凶,9,红,106082,勇士岛,
1060825,哟哟哟！,10,红,106082,勇士岛,
1060831,看运气了啊,2.9,红,106083,勇士岛,
1060832,GG,3,红,106083,勇士岛,
1060833,你们弱啊 我稳稳过,5,红,106083,勇士岛,
1060834,你多少级了,8,红,106083,勇士岛,
1060835,我的小黑怎么老是死啊,11,红,106083,勇士岛,
1060911,大树下有什么,2.5,红,106091,大树下,1
1060912,有狮子,4,红,106091,大树下,
1060913,辛巴,6,红,106091,大树下,
1060914,北贫瘠那只稀有狮子叫什么来着,9,红,106091,大树下,
1060915,修玛,10,红,106091,大树下,
1061011,这任务当初还挺难做的,2.3,红,106101,人马无双,1
1061012,过来的都觉得自己开无双了吧,3,红,106101,人马无双,
1061013,就是出自三国无双啊,5,红,106101,人马无双,
1061014,这个简单多了233,8,红,106101,人马无双,
1061015,我的猎人当初自己打的,11,红,106101,人马无双,
1070111,矮人一点也不矮,3.1,红,107011,撕裂者山谷,1
1070112,我还以为撕裂者是什么怪,4,红,107011,撕裂者山谷,
1070113,这矮人打人好粗糙,6,红,107011,撕裂者山谷,
1070114,少年，你很强,9,红,107011,撕裂者山谷,
1070115,不是七个小矮人不幸福,10,红,107011,撕裂者山谷,
1070211,又鱼人,3.5,红,107021,止水湖,1
1070212,我要报警了,3,红,107021,止水湖,
1070213,这鱼人还带了血瓶,5,红,107021,止水湖,
1070214,论魔兽里最不喜欢的怪,8,红,107021,止水湖,
1070215,喂妖妖灵，这边鱼人超神了,11,红,107021,止水湖,
1070311,童话故事三只小猪,3.2,红,107031,湖边大道,1
1070312,需要一个一石二鸟之计,4,红,107031,湖边大道,
1070313,打人并不疼,6,红,107031,湖边大道,
1070314,我的英雄好弱,9,红,107031,湖边大道,
1070315,我抽了个霜狼督军 很强,10,红,107031,湖边大道,
1070411,黑龙宝宝,3.1,红,107041,三角路口,1
1070412,宠物战斗还挺强的,3,红,107041,三角路口,
1070413,我有黑龙妹妹坐骑你们呢,5,红,107041,三角路口,
1070414,两年没刷到的路过,8,红,107041,三角路口,
1070415, 装B坐骑来了！,11,红,107041,三角路口,
1070511,又是野猪boss,3.2,红,107051,湖畔镇,1
1070512,上次还是个公主,4,红,107051,湖畔镇,
1070513,吃个烧烤,6,红,107051,湖畔镇,
1070514,烤乳猪 可以的,9,红,107051,湖畔镇,
1070515,die die die,10,红,107051,湖畔镇,
1070611,野猪之后是豺狼人似曾相识,3.5,红,107061,赤脊峡谷,1
1070612,刷完这个图就睡觉,3,红,107061,赤脊峡谷,
1070613,胖头狼,5,红,107061,赤脊峡谷,
1070614,怒气回得有点慢,8,红,107061,赤脊峡谷,
1070615,我觉得奶妈好弱,11,红,107061,赤脊峡谷,
1070711,上次的撕裂者是矮人,3.6,红,107071,撕裂者营地,1
1070712,现在长高了,4,红,107071,撕裂者营地,
1070713,丑还是一样丑的,6,红,107071,撕裂者营地,
1070714,打了这么多所以撕裂者到底是什么,9,红,107071,撕裂者营地,
1070715, 哎哟，不错噢,10,红,107071,撕裂者营地,
1070811,是个三波图,3.7,红,107081,奥瑟尔伐木场,3
1070812,我怎么连第一波都过不去的样子,3,红,107081,奥瑟尔伐木场,
1070813,比前一个图是难了不少啊,5,红,107081,奥瑟尔伐木场,
1070814,我觉得我差不多吧,8,红,107081,奥瑟尔伐木场,
1070815,我要抽守望者,11,红,107081,奥瑟尔伐木场,
1070821,难得糊涂啊,3.6,红,107082,奥瑟尔伐木场,
1070822,黑石山跑过来的兽人么,4,红,107082,奥瑟尔伐木场,
1070823,我要抽守望者,6,红,107082,奥瑟尔伐木场,
1070824,玄不救非氪不改命,9,红,107082,奥瑟尔伐木场,
1070825,前面那兄弟你够啦,10,红,107082,奥瑟尔伐木场,
1070831,那我许愿阿克,2.6,红,107083,奥瑟尔伐木场,
1070832,卧槽我抽到了 回来还愿,3,红,107083,奥瑟尔伐木场,
1070833,过了过了,5,红,107083,奥瑟尔伐木场,
1070834,我要抽守望者,8,红,107083,奥瑟尔伐木场,
1070835,兄弟你抽不到了,11,红,107083,奥瑟尔伐木场,
1070911,亲儿子法师无处不在,3.5,红,107091,伊尔加拉之塔,1
1070912,看这小胡子,4,红,107091,伊尔加拉之塔,
1070913,你会的我都会啊,6,红,107091,伊尔加拉之塔,
1070914,变个羊,9,红,107091,伊尔加拉之塔,
1070915,打得不错,10,红,107091,伊尔加拉之塔,
1071011,推完这个图了去打dota有一起的么,3.7,红,107101,石堡,1
1071012,打不动boss,3,红,107101,石堡,
1071013,dota的带我一个rainland_x,5,红,107101,石堡,
1071014,。。。boss好强,8,红,107101,石堡,
1071015,这boss打我两刀一个,11,红,107101,石堡,
1080111,进新图了瞬间打不过,3.5,红,108011,萨提纳尔,1
1080112,我要EM了,4,红,108011,萨提纳尔,
1080113,许愿大天狗,6,红,108011,萨提纳尔,
1080114,大天狗的你跑错剧场了,9,红,108011,萨提纳尔,
1080115,不会波的大萨都这么凶,10,红,108011,萨提纳尔,
1080211,6个满,3.7,红,108021,战歌伐木场,1
1080212,名字简单战斗力还是有点啊,3,红,108021,战歌伐木场,
1080213,兽人永不为奴,5,红,108021,战歌伐木场,
1080214,就是几个弱鸡啦,8,红,108021,战歌伐木场,
1080215, 我的伐木机强无敌,11,红,108021,战歌伐木场,
1080311,这是哪个术士这么不负责,2.9,红,108031,屠魔峡谷,1
1080312,一家的宝宝跑出来了,4,红,108031,屠魔峡谷,
1080313,没大哥啊,6,红,108031,屠魔峡谷,
1080314,地狱火呢,9,红,108031,屠魔峡谷,
1080315,魅魔妹妹到我碗里来,10,红,108031,屠魔峡谷,
1080411,水元素？,2.7,红,108041,密斯特拉湖,1
1080412,这冰冻的几率是不是太高了,3,红,108041,密斯特拉湖,
1080413,冻住不许走,5,红,108041,密斯特拉湖,
1080414,前面的你错了是冻住不洗澡,8,红,108041,密斯特拉湖,
1080415,守望屁股的带带我,11,红,108041,密斯特拉湖,
1080511,这个熊有横扫啊,2.7,红,108051,坠星湖,1
1080512,这关我卡了好久了,4,红,108051,坠星湖,
1080513,友情提示 前排放肉一点的,6,红,108051,坠星湖,
1080514,后排放输出高的 比较好过,8,红,108051,坠星湖,
1080515,谢谢前面的  我好像要过了,10,红,108051,坠星湖,
1080611,6个拍拍熊,2.9,红,108061,隐藏的神殿,1
1080612,这伤害吓人啊,3,红,108061,隐藏的神殿,
1080613,GG,5,红,108061,隐藏的神殿,
1080614,我也跪了,8,红,108061,隐藏的神殿,
1080615,我打不过,11,红,108061,隐藏的神殿,
1080711,想起了被冰得死去活来的时候,3.9,红,108071,月亮井,1
1080712,一轮没打死一个,4,红,108071,月亮井,
1080713,反而冰不住？,8,红,108071,月亮井,
1080714,我没被冰居然,9,红,108071,月亮井,
1080715,还是没打过,10,红,108071,月亮井,
1080811,看到熊我就害怕,2.9,红,108081,阿斯特兰纳,3
1080812,皮糙肉厚爪子猛,3,红,108081,阿斯特兰纳,
1080813,这图还是三波的,5,红,108081,阿斯特兰纳,
1080814,阿斯特兰纳,8,红,108081,阿斯特兰纳,
1080821,五只 等下是六只吧,2.8,红,108082,阿斯特兰纳,
1080822,有点累,4,红,108082,阿斯特兰纳,
1080823,半血了都,6,红,108082,阿斯特兰纳,
1080824, 有点凶残啊,9,红,108082,阿斯特兰纳,
1080831,还真是六只,2.7,红,108083,阿斯特兰纳,
1080832,和熊对刚不过啊,3,红,108083,阿斯特兰纳,
1080834,这地儿在灰谷中间吧,8,红,108083,阿斯特兰纳,
1080835,胜败乃兵家常事 少侠请重新来过,11,红,108083,阿斯特兰纳,
1080911,鱼人还是不败,2.9,红,108091,佐拉姆海岸,1
1080912,娜迦再临,4,红,108091,佐拉姆海岸,
