Table:CsvCommanderSkill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,pro:s,icon:s,icon_circle:s,desc:s,attackType:AttackType,isAoyi:b,EtargetOrder:SkillTargetSelOrder,MtargetOrder:SkillTargetSelOrder,EtargetFilter:SkillTargetFilter,MtargetFilter:SkillTargetFilter,EselNum,MselNum,extraAttack,extraSameActor:b,EextraOrder:SkillTargetSelOrder,MextraOrder:SkillTargetSelOrder,EextraFilter:SkillTargetFilter,MextraFilter:SkillTargetFilter,noMotion4ExtraAttack:b,extraAttackDelay:a,buffTIDs:a,attackMotion,attackEffectTid:a,hurtEffectTid,hurtEffectTidOnMy,hurtUIEffectTid,bloodNumDelay:b,bloodNumDelayOnRecover:b,shakeScreen:a,specialEffectTids:s,coolDown,skillFactor1,skillFactor2,skillFactor3,skillFactor4,skillFactor5,skillFactor6,skillFactorToECommand,skillFactor7,skillFactor8,skillFactor9,skillFactor10,skillFactor11,skillFactor12,skillFactorToMCommand,canUseWhenOneAllDead:b,active_skill_buff:s,para1:a
30001,群体驱散,牧师,SkillIcons/quntiqusan_01,SkillIcons/quntiqusan_02,驱散我方英雄所有负面状态,法术,否,对位并且前排优先,对位并且前排优先,活的,活的,0,6,,,对位并且前排优先,对位并且前排优先,活的,活的,,,40007,2,20363,,,,,,,AttackMotionA:20361;AttackMotionA2:20362,0,,,,,,,,,,,,,,,否,,
30002,吸血鬼的拥抱,牧师,SkillIcons/xixueguideyongbao_01,SkillIcons/xixueguideyongbao_02,使对其的所有治疗效果转变为伤害,法术,否,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,40006,2,20522,,,1001,,,"20,20,0,1,1",AttackMotionA:20521;AttackMotionA2:20523;,2,,,,,,,,,,,,,,,否,,
30003,治疗之环,牧师,SkillIcons/zhiliaozhihuan_01,SkillIcons/zhiliaozhihuan_02,为我方的血量百分比最低的3个英雄恢复一定血量,法术,否,按血量从低到高,按血量从低到高,活的,活的,0,3,,,按血量从低到高,按血量从低到高,活的,活的,,,,1,"20751,20752",,55,,,,"20,20,0,1,1",,1,,,,,,,,9500,9500,9500,,,,,否,,
30004,神圣新星,牧师,SkillIcons/shenshengxinxing_01,SkillIcons/shenshengxinxing_02,治疗我方全体目标并伤害敌方全体目标,法术,是,对位并且前排优先,对位并且前排优先,活的,活的,6,6,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,2,53,56,55,,,,,AttackMotionA:54,0,10400,10400,10400,10400,10400,10400,,5200,5200,5200,5200,5200,5200,,否,,
40001,宁神射击,猎人,SkillIcons/ningshensheji_01,SkillIcons/ningshensheji_02,造成一定伤害并驱散对手的狂暴状态,法术,否,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,40008,1,"10231,10232",10233,,,,,,,1,30000,,,,,,,,,,,,,,否,,
40002,冰冻陷阱,猎人,SkillIcons/bingdongxianjing_01,SkillIcons/bingdongxianjing_02,使下一个敌方英雄攻击时被冰冻,物理,否,对位并且前排优先,对位并且前排优先,活的,活的,0,6,,,对位并且前排优先,对位并且前排优先,活的,活的,,,40009,3,20542,,,,,,"20,20,0,1,1",AttackMotionA:20541,3,,,,,,,,,,,,,,,否,,
40003,杀戮命令,猎人,SkillIcons/shalumingling_01,SkillIcons/shalumingling_02,攻击敌方全体后排,物理,否,按位置大到小,按位置大到小,第一个活的那一排,第一个活的那一排,3,0,,,按位置大到小,按位置大到小,第一个活的那一排,第一个活的那一排,,,,2,20645,20352,,,,,"20,20,0,1,1",AttackEnd:20646;PetAttackEffect:20351,1,18000,18000,18000,,,,,,,,,,,,否,,
40004,猎人印记,猎人,SkillIcons/lierenyinji_01,SkillIcons/lierenyinji_02,使己方所有英雄集火该目标，并提高对其伤害,法术,是,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,40010,2,,,,,,,,,0,,,,,,,,,,,,,,,否,,
50001,洞察圣印,圣骑士,SkillIcons/dongchashengyin_01,SkillIcons/dongchashengyin_02,使自己的所有英雄出手时，恢复与英雄攻击相关的一定血量,物理,否,按位置小到大,按位置小到大,本方指挥官,本方指挥官,0,1,,,按位置小到大,按位置小到大,本方指挥官,本方指挥官,,,40011,1,1024,,,,,,"20,20,0,1,1",,1,,,,,,,,,,,,,,,否,,
50002,保护圣印,圣骑士,SkillIcons/baohushengyin_01,SkillIcons/baohushengyin_02,提升己方所有英雄的最终免伤,物理,否,按位置小到大,按位置小到大,本方指挥官,本方指挥官,0,1,,,按位置小到大,按位置小到大,本方指挥官,本方指挥官,,,40012,1,1025,,,,,,"20,20,0,1,1",,1,,,,,,,,,,,,,,,否,,
50003,复仇圣印,圣骑士,SkillIcons/fuchoushengyin_01,SkillIcons/fuchoushengyin_02,提升己方所有英雄的最终伤害,物理,否,按位置小到大,按位置小到大,本方指挥官,本方指挥官,0,1,,,按位置小到大,按位置小到大,本方指挥官,本方指挥官,,,40013,1,1026,,,,,,"20,20,0,1,1",,1,,,,,,,,,,,,,,,否,,
50004,审判,圣骑士,SkillIcons/shenpan_01,SkillIcons/shenpan_02,"释放所有的圣印效果，根据圣印层数对敌方群体造成一定伤害，并根据自己最后一个圣印效果，决定最后的技能附加效果,洞察：额外恢复我方全体一定血量；保护：额外恢复我方全体英雄一定怒气；复仇：有几率使敌方眩晕",物理,是,按位置小到大,按位置小到大,活的,活的,6,0,,,按位置小到大,按位置小到大,活的,活的,,,40014,2,20734,20735,,,,,"20,20,0,1,1",AttackMotionA:20731;AttackMotionA2:20732;AttackMotionA3:20733,0,6000,6000,6000,6000,6000,6000,,,,,,,,,否,TrialByFinalSkill,"1000,2000,3000,3500,4000,4500,5000,5500,"
60001,闪电链 ,萨满,SkillIcons/shandianlian_01,SkillIcons/shandianlian_02,攻击一个敌方目标，并随机链接到其他几个敌方目标,法术,否,手动,手动,活的,活的,1,0,5,否,随机,随机,活的,活的,是,,,1,20652,20653,,,,,"20,20,0,1,1",AttackMotionA:20651,1,5000,4400,3800,3200,2600,2000,,,,,,,,,否,,
60002,风怒图腾,萨满,SkillIcons/fengnututeng_01,SkillIcons/fengnututeng_02,使我方的所有英雄有一定几率普通攻击触发两次,法术,否,按位置小到大,按位置小到大,本方指挥官,本方指挥官,0,1,,,按位置小到大,按位置小到大,本方指挥官,本方指挥官,,,40016,1,,,,,,,"20,20,0,1,1",AttackMotionA:20621,3,,,,,,,,,,,,,,,否,,
60003,治疗链,萨满,SkillIcons/zhiliaolian_01,SkillIcons/zhiliaolian_02,为血量最少的我方英雄治疗，并随机治疗几个其他单位,法术,否,按血量从低到高,按血量从低到高,活的,活的,0,1,5,否,随机,随机,活的,活的,是,,,1,20322,,20323,,,,"20,20,0,1,1",AttackMotionA:20321,1,,,,,,,,6300,5700,5100,4500,3900,3300,,否,,
60004,嗜血,萨满,SkillIcons/shixue_01,SkillIcons/shixue_02,提升我方所有英雄的攻击和暴击,法术,是,按位置小到大,按位置小到大,活的,活的,0,6,,,随机,随机,活的,活的,,,40018,2,"20701,20702",,,1001,,,"20,20,0,1,1",,0,,,,,,,,,,,,,,,否,,
70001,横扫,德鲁伊,SkillIcons/hengsao_01,SkillIcons/hengsao_02,攻击敌方全体前排，造成物理伤害,物理,否,按位置小到大,按位置小到大,第一个活的那一排,第一个活的那一排,3,0,,,按位置小到大,按位置小到大,第一个活的那一排,第一个活的那一排,,,,1,20351,20352,,,,,"20,20,0,1,1",TransModel:115;TransModelEffect:20644,0,20000,20000,20000,,,,,,,,,,,,否,,
70002,激活,德鲁伊,SkillIcons/jihuo_01,SkillIcons/jihuo_02,随机为我方2个英雄恢复50点怒气,法术,否,对位并且前排优先,随机,活的,活的,0,2,,,对位并且前排优先,随机,活的,活的,,,40019,2,20533,,,,,,"20,20,0,1,1",AttackMotionA:20531;AttackMotionA2:20532,2,,,,,,,,,,,,,,,否,,
70003,纠缠根须,德鲁伊,SkillIcons/genxuchanrao_01,SkillIcons/genxuchanrao_02,对一个敌方英雄造成一定伤害，并有较大概率缠绕其一回合,法术,否,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,40020,2,20391,20392,,,,,"20,20,0,1,1",,3,20000,,,,,,,,,,,,,,否,,
70004,战复,德鲁伊,SkillIcons/zhanfu_01,SkillIcons/zhanfu_02,随机复活我方一个死亡的英雄，并为其恢复一定量的生命，如果没有阵亡的英雄，则为血量最少的一个英雄恢复所有生命,法术,是,按位置小到大,按位置小到大,本方指挥官,本方指挥官,0,1,,,按位置小到大,按位置小到大,本方指挥官,本方指挥官,,,40021,3,,,20613,,,,"20,20,0,1,1",AttackMotionA:20611;AttackMotionA2:20612,0,,,,,,,,,,,,,,,否,,
80001,法力燃烧,术士,SkillIcons/faliranshao_01,SkillIcons/faliranshao_02,对敌方单体造成一定伤害，并降低怒气,法术,否,手动,手动,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,"30001,",1,20645,91,,,,,,AttackEnd:20646,2,20700,,,,,,,,,,,,,,否,,
80002,腐蚀术,术士,SkillIcons/fushishu_01,SkillIcons/fushishu_02,使所有敌人进入中毒状态,法术,否,按位置小到大,按位置小到大,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,"40024,",1,,20742,,,,,"20,20,0,1,1",AttackMotionA:20741,2,,,,,,,,,,,,,,,否,,
80003,火焰之雨,术士,SkillIcons/huoyanzhiyu_01,SkillIcons/huoyanzhiyu_02,对敌方全体英雄造成法术伤害，并持续三波,法术,否,对位并且前排优先,对位并且前排优先,活的,活的,6,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,"1000,1000",,3,,,,,,,,AttackMotionA:20691;AttackMotionA2:20692;AttackMotionA3:20693,2,3500,3500,3500,3500,3500,3500,,,,,,,,,否,,
80004,恶魔变形,术士,SkillIcons/emobianxing_01,SkillIcons/emobianxing_02,变成一个恶魔，变身后重置所有普通技能CD，恢复一定的能量，并提升技能效果,法术,是,对位并且前排优先,随机,本方指挥官,本方指挥官,0,1,,,对位并且前排优先,随机,本方指挥官,本方指挥官,,,40026,1,90,,,,,,"20,20,0,1,1",,0,,,,,,,,,,,,,,,否,,
90001,剑刃乱舞,盗贼,SkillIcons/jianrenluanwu_01,SkillIcons/jianrenluanwu_02,随机对敌人进行3次攻击,法术,否,随机,随机,活的,活的,1,0,2,是,随机,随机,活的,活的,,,,1,,8,,,,,,,2,18000,18000,18000,,,,,,,,,,,,否,,
90002,冷血,盗贼,SkillIcons/lengxue_01,SkillIcons/lengxue_02,随机指定一个我方英雄，使其在下两个回合的暴击率提升100%,法术,否,随机,随机,活的,活的,0,1,,,随机,随机,活的,活的,,,40028,2,"20772,20773",,,,,,,AttackMotionA:20771,2,,,,,,,,,,,,,,,否,,
90003,闪避,盗贼,SkillIcons/shanbi_01,SkillIcons/shanbi_02,提升我方后排英雄的闪避率两个回合,法术,否,按位置大到小,按位置大到小,第一个活的那一排,第一个活的那一排,0,3,,,按位置大到小,按位置大到小,第一个活的那一排,第一个活的那一排,,,40027,2,20782,,,,,,"20,20,0,1,1",AttackMotionA:20781,0,,,,,,,,,,,,,,,否,,
90004,菊花茶,盗贼,SkillIcons/juhuacha_01,SkillIcons/juhuacha_02,恢复盗贼自身1000点能量值，并恢复我方全体英雄50点怒气,法术,是,按位置小到大,按位置小到大,活的英雄和指挥官,活的英雄和指挥官,0,7,,,按位置小到大,按位置小到大,活的英雄和指挥官,活的英雄和指挥官,,,40030,2,,,,,,,,,2,,,,,,,,,,,,,,,否,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,未启用的技能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,神圣风暴,圣骑士,SkillIcons/linshiziyuan_04,SkillIcons/linshiziyuan_04,全体攻击对方，并给己方回血,法术,否,对位并且前排优先,随机,活的,活的,6,6,,,对位并且前排优先,随机,活的,活的,,,,1,,63,,,,是,,,2,5200,5200,5200,5200,5200,5200,,2400,2400,2400,2400,2400,2400,,否,,
#,圣光术,圣骑士,SkillIcons/linshiziyuan_02,SkillIcons/linshiziyuan_02,指向释放技能，治疗己方一个英雄,法术,否,按血量从低到高,按血量从低到高,活的,活的,0,1,,,按血量从低到高,按血量从低到高,活的,活的,,,,2,73,,74,,,是,,,2,,,,,,,,10500,,,,,,,否,,
#,死亡缠绕,死亡骑士,SkillIcons/linshiziyuan_01,SkillIcons/linshiziyuan_01,指向释放技能，攻击敌方单体英雄,法术,否,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,9,10,,,,,"20,20,0,1,1",,2,34500,,,,,,,,,,,,,,否,,
#,死亡缠绕,死亡骑士,SkillIcons/linshiziyuan_02,SkillIcons/linshiziyuan_02,指向释放技能，治疗己方一个英雄,法术,否,手动,手动,活的,活的,0,1,,,手动,手动,活的,活的,,,,1,9,10,,,,,,,2,,,,,,,,10500,,,,,,,否,,
#,亡灵大军,死亡骑士,SkillIcons/linshiziyuan_03,SkillIcons/linshiziyuan_03,召唤己方已阵亡英雄的英灵，继续战斗,法术,是,对位并且前排优先,随机,死的,死的,0,5,,,对位并且前排优先,随机,死的,死的,,,40005,2,11,,,,,,,,0,6000,6000,6000,6000,6000,6000,,6000,6000,6000,6000,6000,6000,,是,,
#,临时配置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,背刺,盗贼,SkillIcons/linshiziyuan_04,SkillIcons/linshiziyuan_04,指向释放技能，攻击敌方单体英雄,物理,否,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,40003,2,18,,,1001,,,,SpecialA:16;Blink2Target:17,2,34500,,,,,,,,,,,,,,否,,
#,剑刃乱舞,盗贼,SkillIcons/linshiziyuan_01,SkillIcons/linshiziyuan_01,对随机敌方单体英雄造成伤害，共攻击6次,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,40004,1,8,,,1001,,,,,0,9000,,,,,,,,,,,,,,否,,
#,背刺,盗贼,SkillIcons/linshiziyuan_02,SkillIcons/linshiziyuan_02,指向释放技能，攻击敌方单体英雄,物理,否,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,2,18,,,,,,,SpecialA:16;Blink2Target:17,2,34500,,,,,,,,,,,,,,否,,
#,背刺,盗贼,SkillIcons/linshiziyuan_03,SkillIcons/linshiziyuan_03,指向释放技能，攻击敌方单体英雄,物理,否,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,2,18,,,,,,,SpecialA:16;Blink2Target:17,2,34500,,,,,,,,,,,,,,否,,
#,回春术,,SkillIcons/linshiziyuan_02,SkillIcons/linshiziyuan_02,指向释放技能，治疗己方一个英雄,法术,否,按血量从低到高,按血量从低到高,活的,活的,0,1,,,按血量从低到高,按血量从低到高,活的,活的,,,,1,1,,,,,,,,2,,,,,,,,10500,,,,,,,否,,
#,宁静,,SkillIcons/linshiziyuan_03,SkillIcons/linshiziyuan_03,治疗己方所有英雄,法术,是,对位并且前排优先,随机,活的,活的,0,5,,,对位并且前排优先,随机,活的,活的,,,,2,4,,,,,,,,0,,,,,,,,3200,3200,3200,3200,3200,3200,,否,,
#,雷霆一击,,SkillIcons/linshiziyuan_04,SkillIcons/linshiziyuan_04,指向释放技能，攻击敌方单体英雄,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,2,1,,,,,,,,0,34500,,,,,,,,,,,,,,否,,
#,背刺,,SkillIcons/linshiziyuan_01,SkillIcons/linshiziyuan_01,指向释放技能，攻击敌方单体英雄,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,2,1,,,,,,,,0,34500,,,,,,,,,,,,,,否,,
#,月火术,玛法里奥,SkillIcons/yuehuoshu_01,SkillIcons/yuehuoshu_02,指向释放技能，对敌方单个英雄造成大量伤害,法术,否,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,66,67,,,,,,AttackMotionA:64;AttackMotionA2:65,4,34500,,,,,,,,,,,,,,否,,
#,破甲攻击,加尔鲁什,SkillIcons/lierenyinji_01,SkillIcons/lierenyinji_02,指向释放技能，对敌方单个英雄造成大量伤害,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
#,神圣刷新,,SkillIcons/shenshengxinxing_01,SkillIcons/shenshengxinxing_02,指向释放技能，对敌方单个英雄造成大量伤害,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
#以下为仅仅示意所用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600001,刀扇,盗贼,SkillIcons/daoshan_01,SkillIcons/daoshan_01,对敌方一排造成物理伤害，并有几率降低50点怒气,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
600002,毒刃,盗贼,SkillIcons/duren_01,SkillIcons/duren_01,对敌方单体造成物理伤害，并使其中毒,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
600003,剑刃乱舞,盗贼,SkillIcons/jianrenluanwu_01,SkillIcons/jianrenluanwu_01,随机对敌方造成3次单体攻击效果,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
600004,剔骨,盗贼,SkillIcons/tigu_01,SkillIcons/tigu_01,对敌方单体造成物理伤害,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700001,生命虹吸,术士,SkillIcons/shengminghongxi_01,SkillIcons/shengminghongxi_01,对敌方单体造成法术伤害，并吸收一定的生命,法术,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
700002,腐蚀术,术士,SkillIcons/fushishu_01,SkillIcons/fushishu_01,随机造成敌方3个单位中毒,法术,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
700003,腐臭蜂群,术士,SkillIcons/fuchoufengqun_01,SkillIcons/fuchoufengqun_01,攻击一排敌人并降低其攻击,法术,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
700004,恶魔变形,术士,SkillIcons/emobianxing_01,SkillIcons/emobianxing_01,变成一个恶魔，变身后重置所有技能的cd，恢复一定数量的能量，并提升技能效果,法术,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800001,横扫,德鲁伊,SkillIcons/hengsao_01,SkillIcons/hengsao_01,对敌方一排造成一定伤害,物理,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
800002,激活,德鲁伊,SkillIcons/jihuo_01,SkillIcons/jihuo_01,随机为我方3个英雄恢复50点怒气,法术,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
800003,纠缠根须,德鲁伊,SkillIcons/genxuchanrao_01,SkillIcons/genxuchanrao_01,对一个敌方英雄造成一定伤害，并缠绕其一回合,法术,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
800004,战复,德鲁伊,SkillIcons/zhanfu_01,SkillIcons/zhanfu_01,随机复活我方一个死亡的英雄，并为其恢复一定量的生命，如果没有阵亡的英雄，则为血量最少的一个英雄恢复所有生命,法术,是,手动,手动,活的,活的,1,0,,,手动,手动,活的,活的,,,,1,10201,10202,,,,,"20,20,0,1,1",,0,34500,,,,,,,,,,,,,,否,,
