Table:CsvTimeLimitExchange,,,,,,,,,
tid,item1,num1,item2,num2,e_item,e_num,type:TimeLimitExchangeType,limit_times,show_level
18,18,10,2,,,,,,
19,19,10,2,,,,,,
20,20,10,2,,,,,,
21,21,10,3,,,,,,
22,22,10,3,,,,,,
23,23,10,3,,,,,,
24,24,10,3,,,,,,
25,25,10,3,,,,,,
26,26,10,4,,,,,,
27,27,10,4,,,,,,
28,28,10,4,,,,,,
29,29,10,4,,,,,,
30,30,10,4,,,,,,
31,31,10,5,,,,,,
32,32,10,5,,,,,,
33,33,10,5,,,,,,
34,34,10,5,,,,,,
35,35,10,5,,,,,,
36,36,10,6,,,,,,
37,37,10,6,,,,,,
38,38,10,6,,,,,,
39,39,10,6,,,,,,
40,40,10,6,,,,,,
41,41,10,7,,,,,,
42,42,10,7,,,,,,
43,43,10,7,,,,,,
44,44,10,7,,,,,,
45,45,10,7,,,,,,
46,46,10,8,,,,,,
47,47,10,8,,,,,,
48,48,10,8,,,,,,
49,49,10,8,,,,,,
50,50,10,8,,,,,,
51,51,10,9,,,,,,
52,52,10,9,,,,,,
53,53,10,9,,,,,,
54,54,10,9,,,,,,
55,55,10,9,,,,,,
56,56,10,10,,,,,,
57,57,10,10,,,,,,
58,58,10,10,,,,,,
59,59,10,10,,,,,,
60,60,10,10,,,,,,
61,61,10,11,,,,,,
62,62,10,11,,,,,,
63,63,10,11,,,,,,
64,64,10,11,,,,,,
65,65,10,11,,,,,,
66,66,10,12,,,,,,
67,67,10,12,,,,,,
68,68,10,12,,,,,,
69,69,10,12,,,,,,
70,70,10,12,,,,,,
71,71,10,13,,,,,,
72,72,10,13,,,,,,
73,73,10,13,,,,,,
74,74,10,13,,,,,,
75,75,10,13,,,,,,
76,76,10,14,,,,,,
77,77,10,14,,,,,,
78,78,10,14,,,,,,
79,79,10,14,,,,,,
80,80,10,14,,,,,,
81,81,10,15,,,,,,
82,82,10,15,,,,,,
83,83,10,15,,,,,,
84,84,10,15,,,,,,
85,85,10,15,,,,,,
