Table:CsvOccasionalWelfare,,,,,,,,,,
tid,level,item_1,item_1_count,description1:s,item_2,item_2_count,description2:s,paid_refresh,price_type,price
70002,70,11121,5,风蛇的拥抱碎片,11122,5,烈焰之环碎片,250,1,600
70003,70,2006,5,暴风摄政王碎片,2005,5,银白十字军碎片,900,1,400
70004,70,2014,5,霜狼督军碎片,2009,5,大主教碎片,900,1,400
70005,70,2017,5,基丹碎片,2024,5,暗矛巨魔,900,1,400
70006,70,2026,5,山丘之王碎片,2015,5,天灾首领碎片,900,1,400
70007,70,2029,5,守望者碎片,2021,5,符文图腾碎片,900,1,400
70008,70,2030,5,刺客碎片,2018,5,恐惧魔王碎片,900,1,400
70009,70,40041,1,初级技能经验书,50013,1,100000铜币,400,1,50
70010,70,40041,1,初级技能经验书,50016,1,1000战魂,500,1,50
70011,70,40007,1,高级召唤石,50021,1,200英魂,1000,1,160
70012,70,40013,1,体力丹（小）,40016,1,精力丹（小）,1000,1,50
70013,70,200021,1,中级格挡之一,200121,1,中级抵抗之一,200,1,400
70014,70,200221,1,中级命中之一,200822,1,中级韧性之二,200,1,400
70015,70,201121,1,中级法术攻击之一,200921,1,中级物理攻击之一,200,1,400
70016,70,201221,1,中级法术防御之一,201021,1,中级物理防御之一,200,1,400
70017,70,200621,1,中级速度之一,200721,1,中级血量之一,200,1,400
70018,70,201321,1,中级穿透之一,200721,1,中级血量之一,200,1,400
#,,,,,,,,,,
80001,80,11120,5,踏云腿甲碎片,11123,5,闪避之靴碎片,250,1,600
80002,80,11121,5,风蛇的拥抱碎片,11122,5,烈焰之环碎片,250,1,600
80003,80,2006,5,暴风摄政王碎片,2005,5,银白十字军碎片,900,1,400
80004,80,2014,5,霜狼督军碎片,2009,5,大主教碎片,900,1,400
80005,80,2017,5,基丹碎片,2024,5,暗矛巨魔,900,1,400
80006,80,2026,5,山丘之王碎片,2015,5,天灾首领碎片,900,1,400
80007,80,2029,5,守望者碎片,2021,5,符文图腾碎片,900,1,400
80008,80,2030,5,刺客碎片,2018,5,恐惧魔王碎片,900,1,400
80009,80,40041,1,初级技能经验书,50013,1,100000铜币,400,1,50
80010,80,40041,1,初级技能经验书,50016,1,1000战魂,500,1,50
80011,80,40007,1,高级召唤石,50021,1,200英魂,1000,1,160
80012,80,40013,1,体力丹（小）,40016,1,精力丹（小）,1000,1,50
80013,80,200021,1,中级格挡之一,200121,1,中级抵抗之一,200,1,400
80014,80,200221,1,中级命中之一,200822,1,中级韧性之二,200,1,400
80015,80,201121,1,中级法术攻击之一,200921,1,中级物理攻击之一,200,1,400
80016,80,201221,1,中级法术防御之一,201021,1,中级物理防御之一,200,1,400
80017,80,200621,1,中级速度之一,200721,1,中级血量之一,200,1,400
80018,80,201321,1,中级穿透之一,200721,1,中级血量之一,200,1,400
#,,,,,,,,,,
90001,90,11142,5,奥兰纳的拥抱碎片,11145,5,纳尔维之盔碎片,250,1,1200
90002,90,11146,5,熔岩犬皮靴碎片,11143,5,泰坦护腿碎片,250,1,1200
90003,90,2006,5,暴风摄政王碎片,2005,5,银白十字军碎片,900,1,400
90004,90,2014,5,霜狼督军碎片,2009,5,大主教碎片,900,1,400
90005,90,2017,5,基丹碎片,2024,5,暗矛巨魔,900,1,400
90006,90,2026,5,山丘之王碎片,2015,5,天灾首领碎片,900,1,400
90007,90,2029,5,守望者碎片,2021,5,符文图腾碎片,900,1,400
90008,90,2030,5,刺客碎片,2018,5,恐惧魔王碎片,900,1,400
90009,90,40041,1,初级技能经验书,50013,1,100000铜币,400,1,50
90010,90,40041,1,初级技能经验书,50016,1,1000战魂,500,1,50
90011,90,40007,1,高级召唤石,50021,1,200英魂,1000,1,160
90012,90,40013,1,体力丹（小）,40016,1,精力丹（小）,1000,1,50
90013,90,200021,1,中级格挡之一,200121,1,中级抵抗之一,200,1,400
90014,90,200221,1,中级命中之一,200822,1,中级韧性之二,200,1,400
90015,90,201121,1,中级法术攻击之一,200921,1,中级物理攻击之一,200,1,400
90016,90,201221,1,中级法术防御之一,201021,1,中级物理防御之一,200,1,400
90017,90,200621,1,中级速度之一,200721,1,中级血量之一,200,1,400
90018,90,201321,1,中级穿透之一,200721,1,中级血量之一,200,1,400
#,,,,,,,,,,
100001,100,11142,5,奥兰纳的拥抱碎片,11145,5,纳尔维之盔碎片,250,1,1200
100002,100,11146,5,熔岩犬皮靴碎片,11143,5,泰坦护腿碎片,250,1,1200
100003,100,2006,5,暴风摄政王碎片,2005,5,银白十字军碎片,900,1,400
100004,100,2014,5,霜狼督军碎片,2009,5,大主教碎片,900,1,400
100005,100,2017,5,基丹碎片,2024,5,暗矛巨魔,900,1,400
100006,100,2026,5,山丘之王碎片,2015,5,天灾首领碎片,900,1,400
100007,100,2029,5,守望者碎片,2021,5,符文图腾碎片,900,1,400
100008,100,2030,5,刺客碎片,2018,5,恐惧魔王碎片,900,1,400
100009,100,40041,1,初级技能经验书,50013,1,100000铜币,400,1,50
100010,100,40041,1,初级技能经验书,50016,1,1000战魂,500,1,50
100011,100,40007,1,高级召唤石,50021,1,200英魂,1000,1,160
100012,100,40013,1,体力丹（小）,40016,1,精力丹（小）,1000,1,50
100013,100,200021,1,中级格挡之一,200121,1,中级抵抗之一,200,1,400
100014,100,200221,1,中级命中之一,200822,1,中级韧性之二,200,1,400
100015,100,201121,1,中级法术攻击之一,200921,1,中级物理攻击之一,200,1,400
100016,100,201221,1,中级法术防御之一,201021,1,中级物理防御之一,200,1,400
100017,100,200621,1,中级速度之一,200721,1,中级血量之一,200,1,400
100018,100,201321,1,中级穿透之一,200721,1,中级血量之一,200,1,400
#,,,,,,,,,,
