Table:CsvAchievement,,,,,,,,,,,,,,,,
tid,type:AchievementType,achieve_desc:s,icon_path:s,condition_type,appear_condition,completion_condition,is_repeat:b,is_phypower:b,award1,award1_number,award2,award2_number,award3,award3_number,award4,award4_number
40004,通关征战地图,通关第29张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,28,29,0,0,107,50000,108,1000,,,,
40004,通关征战地图,通关第30张征战地图所有副本（一星难度）,DailyTask/rcrw_maoxian,1,29,30,0,0,107,50000,108,1000,,,,
50000,强化装备,装备强化1次,DailyTask/rcrw_qianghua,1,0,1,0,0,107,10000,,,,,,
50001,强化装备,装备强化5次,DailyTask/rcrw_qianghua,1,1,5,0,0,107,20000,,,,,,
50002,强化装备,装备强化50次,DailyTask/rcrw_qianghua,1,5,50,0,0,107,20000,,,,,,
50003,强化装备,装备强化200次,DailyTask/rcrw_qianghua,1,50,200,0,0,107,20000,,,,,,
50004,强化装备,装备强化500次,DailyTask/rcrw_qianghua,1,200,500,0,0,107,20000,,,,,,
50005,强化装备,装备强化1000次,DailyTask/rcrw_qianghua,1,500,1000,0,0,107,50000,,,,,,
60000,橙色英雄,拥有1个橙色英雄,DailyTask/rcrw_yingxiong,1,0,1,0,0,108,1000,,,,,,
60001,橙色英雄,拥有2个橙色英雄,DailyTask/rcrw_yingxiong,1,1,2,0,0,108,1000,,,,,,
60002,橙色英雄,拥有3个橙色英雄,DailyTask/rcrw_yingxiong,1,2,3,0,0,108,1000,,,,,,
60003,橙色英雄,拥有4个橙色英雄,DailyTask/rcrw_yingxiong,1,3,4,0,0,108,1000,,,,,,
60004,橙色英雄,拥有5个橙色英雄,DailyTask/rcrw_yingxiong,1,4,5,0,0,108,1000,,,,,,
60005,橙色英雄,拥有6个橙色英雄,DailyTask/rcrw_yingxiong,1,5,6,0,0,108,1000,,,,,,
60006,橙色英雄,拥有7个橙色英雄,DailyTask/rcrw_yingxiong,1,6,7,0,0,108,1000,,,,,,
60007,橙色英雄,拥有8个橙色英雄,DailyTask/rcrw_yingxiong,1,7,8,0,0,108,1000,,,,,,
60008,橙色英雄,拥有9个橙色英雄,DailyTask/rcrw_yingxiong,1,8,9,0,0,108,1000,,,,,,
60009,橙色英雄,拥有10个橙色英雄,DailyTask/rcrw_yingxiong,1,9,10,0,0,108,1000,,,,,,
60010,橙色英雄,拥有11个橙色英雄,DailyTask/rcrw_yingxiong,1,10,11,0,0,108,1000,,,,,,
60011,橙色英雄,拥有12个橙色英雄,DailyTask/rcrw_yingxiong,1,11,12,0,0,108,1000,,,,,,
60012,橙色英雄,拥有13个橙色英雄,DailyTask/rcrw_yingxiong,1,12,13,0,0,108,1000,,,,,,
60013,橙色英雄,拥有14个橙色英雄,DailyTask/rcrw_yingxiong,1,13,14,0,0,108,1000,,,,,,
60014,橙色英雄,拥有15个橙色英雄,DailyTask/rcrw_yingxiong,1,14,15,0,0,108,1000,,,,,,
60015,橙色英雄,拥有16个橙色英雄,DailyTask/rcrw_yingxiong,1,15,16,0,0,108,1000,,,,,,
60016,橙色英雄,拥有17个橙色英雄,DailyTask/rcrw_yingxiong,1,16,17,0,0,108,1000,,,,,,
60017,橙色英雄,拥有18个橙色英雄,DailyTask/rcrw_yingxiong,1,17,18,0,0,108,1000,,,,,,
60018,橙色英雄,拥有19个橙色英雄,DailyTask/rcrw_yingxiong,1,18,19,0,0,108,1000,,,,,,
60019,橙色英雄,拥有20个橙色英雄,DailyTask/rcrw_yingxiong,1,19,20,0,0,108,1000,,,,,,
60020,橙色英雄,拥有21个橙色英雄,DailyTask/rcrw_yingxiong,1,20,21,0,0,108,1000,,,,,,
60021,橙色英雄,拥有22个橙色英雄,DailyTask/rcrw_yingxiong,1,21,22,0,0,108,1000,,,,,,
60022,橙色英雄,拥有23个橙色英雄,DailyTask/rcrw_yingxiong,1,22,23,0,0,108,1000,,,,,,
60023,橙色英雄,拥有24个橙色英雄,DailyTask/rcrw_yingxiong,1,23,24,0,0,108,1000,,,,,,
60024,橙色英雄,拥有25个橙色英雄,DailyTask/rcrw_yingxiong,1,24,25,0,0,108,1000,,,,,,
60025,橙色英雄,拥有26个橙色英雄,DailyTask/rcrw_yingxiong,1,25,26,0,0,108,1000,,,,,,
60026,橙色英雄,拥有27个橙色英雄,DailyTask/rcrw_yingxiong,1,26,27,0,0,108,1000,,,,,,
60027,橙色英雄,拥有28个橙色英雄,DailyTask/rcrw_yingxiong,1,27,28,0,0,108,1000,,,,,,
60028,橙色英雄,拥有29个橙色英雄,DailyTask/rcrw_yingxiong,1,28,29,0,0,108,1000,,,,,,
60029,橙色英雄,拥有30个橙色英雄,DailyTask/rcrw_yingxiong,1,29,30,0,0,108,1000,,,,,,
