Table:CsvItem,,,,,,,,,,,,,,,,,
tid,name:s,type:ItemType,max_num,desc:s,icon_path:s,icon_path_s:s,icon_path_t:s,is_sell:b,sell_price,display_color:ItemColor,para1,para2,para3,para4,sort_order,need_level,is_use:b
2023,盘牙女王,英雄碎片,999999,集齐50个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,橙,1023,50,,,2,1,0
2024,暗矛巨魔,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/wojin_01,-1,-1,1,100,橙,1024,50,,,2,1,0
2025,地狱咆哮,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/geluomudiyupaoxiao_01,-1,-1,1,100,橙,1025,50,,,2,1,0
2026,山丘之王,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/shanqiuzhiwang_01,-1,-1,1,100,橙,1026,50,,,2,1,0
2027,牛头人酋长,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/kaienxueti_01,-1,-1,1,100,橙,1027,50,,,2,1,0
2028,恶魔猎手,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/yilidan_01,-1,-1,1,100,橙,1028,50,,,2,1,0
2029,守望者,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/maweiyingge_01,-1,-1,1,100,橙,1029,50,,,2,1,0
2030,刺客,英雄碎片,999999,集齐50个可以合成对应的英雄,FacePng/jialuona_01,-1,-1,1,100,橙,1030,50,,,2,1,0
2101,萨萨里安,英雄碎片,999999,集齐30个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,紫,1101,30,,,2,1,0
2102,男爵,英雄碎片,999999,集齐30个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,紫,1102,30,,,2,1,0
2103,寇尔提拉,英雄碎片,999999,集齐30个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,紫,1103,30,,,2,1,0
2104,影牙指挥官,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/zhihuiguansipuleiwaer_01,-1,-1,1,100,紫,1104,30,,,2,1,0
2105,血色指挥官,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/leinuomogelaini_01,-1,-1,1,100,紫,1105,30,,,2,1,0
2106,大帝,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/suoruisendadi_01,-1,-1,1,100,紫,1106,30,,,2,1,0
2107,大检察官,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/huaitemaien_01,-1,-1,1,100,紫,1107,30,,,2,1,0
2108,铁炉堡公主,英雄碎片,999999,集齐30个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,紫,1108,30,,,2,1,0
2109,审讯官,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/wuyi_01,-1,-1,1,100,紫,1109,30,,,2,1,0
2110,奥法师,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/aofashiduan_01,-1,-1,1,100,紫,1110,30,,,2,1,0
2111,巫妖,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/laisishuangyu_01,-1,-1,1,100,紫,1111,30,,,2,1,0
2112,影牙堡主,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/alugao_01,-1,-1,1,100,紫,1112,30,,,2,1,0
2113,预言者,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/yuyanzhejiamalan_01,-1,-1,1,100,紫,1113,30,,,2,1,0
2114,水占师,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePngI/shuizanshiweileisa_01,-1,-1,1,100,紫,1114,30,,,2,1,0
2115,督军,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePngI/antusuer_01,-1,-1,1,100,紫,1115,30,,,2,1,0
2116,加丁,英雄碎片,999999,集齐30个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,紫,1116,30,,,2,1,0
2117,灰葬男爵,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/huizangnanjue_01,-1,-1,1,100,紫,1117,30,,,2,1,0
2118,巴纳扎尔,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/kongjumowang_01,-1,-1,1,100,紫,1118,30,,,2,1,0
2119,熊神,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/wusuoke_01,-1,-1,1,100,紫,1119,30,,,2,1,0
2120,被诅咒的塞雷布拉斯,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/beizuzhoudesaileibulasi_01,-1,-1,1,100,紫,1120,30,,,2,1,0
2121,la,英雄碎片,999999,集齐30个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,紫,1121,30,,,2,1,0
2122,荆棘谷猎手,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/hemitenaixinwali_01,-1,-1,1,100,紫,1122,30,,,2,1,0
2123,凋零者,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/xunquanzhe_01,-1,-1,1,100,紫,1123,30,,,2,1,0
2124,沙顶酋长,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/wukezishading_01,-1,-1,1,100,紫,1124,30,,,2,1,0
2125,赫洛德,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/heluode_01,-1,-1,1,100,紫,1125,30,,,2,1,0
2126,天赋防护,英雄碎片,999999,集齐30个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,紫,1126,30,,,2,1,0
2127,黑手,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/leideheishou_01,-1,-1,1,100,紫,1127,30,,,2,1,0
2128,大范,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/fankelifu_01,-1,-1,1,100,紫,1128,30,,,2,1,0
2129,厄运王子,英雄碎片,999999,集齐30个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,紫,1129,30,,,2,1,0
2130,凡妮莎,英雄碎片,999999,集齐30个可以合成对应的英雄,FacePng/fannishafankelifu_01,-1,-1,1,100,紫,1130,30,,,2,1,0
2201,,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1201,15,,,2,1,0
2202,摩拉迪姆,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1202,15,,,2,1,0
2203,,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1203,15,,,2,1,0
2204,托尔贝恩王子,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1204,15,,,2,1,0
2205,法莫斯队长,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/famosiduizhang_01,-1,-1,1,100,蓝,1205,15,,,2,1,0
2206,弗诺斯达克维尔,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/funuosidakeweier_01,-1,-1,1,100,蓝,1206,15,,,2,1,0
2207,,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1207,15,,,2,1,0
2208,,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1208,15,,,2,1,0
2209,审讯官,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1209,15,,,2,1,0
2210,图勒鸦爪,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/tuleyazhua_01,-1,-1,1,100,蓝,1210,15,,,2,1,0
2211,工匠吉兹洛克,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1211,15,,,2,1,0
2212,曲奇船长,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/quqi_01,-1,-1,1,100,蓝,1212,15,,,2,1,0
2213,加加恩火锤,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/jiajiaenhuochui_01,-1,-1,1,100,蓝,1213,15,,,2,1,0
2214,卡尔加刺肋,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/yezhurenfashi_01,-1,-1,1,100,蓝,1214,15,,,2,1,0
2215,10,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1215,15,,,2,1,0
2216,11,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1216,15,,,2,1,0
2217,埃瑟里克斯·纳拉辛,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/aiselikesinalaxin_01,-1,-1,1,100,蓝,1217,15,,,2,1,0
2218,12,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1218,15,,,2,1,0
2219,13,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1219,15,,,2,1,0
2220,14,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1220,15,,,2,1,0
2221,15,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1221,15,,,2,1,0
2222,16,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1222,15,,,2,1,0
2223,驯犬者,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/xunquanzhe_01,-1,-1,1,100,蓝,1223,15,,,2,1,0
2224,18,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1224,15,,,2,1,0
2225,老瞎眼,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/laoxiayan_01,-1,-1,1,100,蓝,1225,15,,,2,1,0
2226,19,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1226,15,,,2,1,0
2227,霍格,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/chailangren_01,-1,-1,1,100,蓝,1227,15,,,2,1,0
2228,斯塔文,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/sitawen_01,-1,-1,1,100,蓝,1228,15,,,2,1,0
2229,20,英雄碎片,999999,集齐15个可以合成对应的英雄,BattleUI/auto,-1,-1,1,100,蓝,1229,15,,,2,1,0
2230,卡利夫·斯科比斯汀,英雄碎片,999999,集齐15个可以合成对应的英雄,FacePng/kalifu_01,-1,-1,1,100,蓝,1230,15,,,2,1,0
#,,,,,,,,,,,,,,,,,
#以下是技能书,参数1是对应buff索引（1开始，pskill_info.csv）,参数2是技能书有几个碎片,,,,,,,,,,,,,,,
#,参数3是换算成多少经验,参数4是级别（1，2，3，4）,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
20001,初级格挡,技能书,1,学习后可增加一定格挡几率（触发时，减少受到的物理伤害）,Icon/20001gedang_lv_64,Icon/20001gedang_lv_32,-1,1,100,绿,1,3,20,1,2,1,1
20002,中级格挡,技能书,1,学习后可增加较高的格挡几率（触发时，减少受到的物理伤害）,Icon/20002gedang_lan_64,Icon/20002gedang_lan_32,-1,1,1000,蓝,1,4,100,2,3,1,1
20003,高级格挡,技能书,1,学习后大幅度增加格挡几率（触发时，减少受到的物理伤害）,Icon/20003gedang_zi_64,Icon/20003gedang_zi_32,-1,1,10000,紫,1,6,500,3,4,1,1
#20004,神级格挡,技能书,1,神级格挡,Icon/20004gedang_cheng_64,Icon/20004gedang_cheng_32,-1,1,20000,橙,1,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20011,初级抵抗,技能书,1,学习后可增加一定抵抗几率（触发时，减少受到的法术伤害）,Icon/20011dikang_lv_64,Icon/20011dikang_lv_32,-1,1,100,绿,2,3,20,1,2,1,1
20012,中级抵抗,技能书,1,学习后可增加较高抵抗几率（触发时，减少受到的法术伤害）,Icon/20012dikang_lan_64,Icon/20012dikang_lan_32,-1,1,1000,蓝,2,4,100,2,3,1,1
20013,高级抵抗,技能书,1,学习后大幅度增加抵抗几率（触发时，减少受到的法术伤害）,Icon/20013dikang_zi_64,Icon/20013dikang_zi_32,-1,1,10000,紫,2,6,500,3,4,1,1
#20014,神级抵抗,技能书,1,神级抵抗,Icon/20014dikang_cheng_64,Icon/20014dikang_cheng_32,-1,1,20000,橙,2,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20021,初级命中,技能书,1,学习后增加一定命中概率,Icon/20021mingzhong_lv_64,Icon/20021mingzhong_lv_32,-1,1,100,绿,3,3,20,1,2,1,1
20022,中级命中,技能书,1,学习后增加较高命中概率,Icon/20022mingzhong_lan_64,Icon/20022mingzhong_lan_32,-1,1,1000,蓝,3,4,100,2,3,1,1
20023,高级命中,技能书,1,学习后大幅度增加命中概率,Icon/20023mingzhong_zi_64,Icon/20023mingzhong_zi_32,-1,1,10000,紫,3,6,500,3,4,1,1
#20024,神级命中,技能书,1,神级命中,Icon/20024mingzhong_cheng_64,Icon/20024mingzhong_cheng_32,-1,1,20000,橙,3,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20031,初级闪避,技能书,1,学习后增加一定闪避概率,Icon/20031shanbi_lv_64,Icon/20031shanbi_lv_32,-1,1,100,绿,4,3,20,1,2,1,1
20032,中级闪避,技能书,1,学习后增加较高闪避概率,Icon/20032shanbi_lan_64,Icon/20032shanbi_lan_32,-1,1,1000,蓝,4,4,100,2,3,1,1
20033,高级闪避,技能书,1,学习后大幅度增加闪避概率,Icon/20033shanbi_zi_64,Icon/20033shanbi_zi_32,-1,1,10000,紫,4,6,500,3,4,1,1
#20034,神级闪避,技能书,1,神级闪避,Icon/20034shanbi_cheng_64,Icon/20034shanbi_cheng_32,-1,1,20000,橙,4,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20041,初级暴击,技能书,1,学习后增加一定暴击概率,Icon/20041baoji_lv_64,Icon/20041baoji_lv_32,-1,1,100,绿,5,3,20,1,2,1,1
20042,中级暴击,技能书,1,学习后增加较高的暴击概率,Icon/20042baoji_lan_64,Icon/20042baoji_lan_32,-1,1,1000,蓝,5,4,100,2,3,1,1
20043,高级暴击,技能书,1,学习后大幅度增加暴击概率,Icon/20043baoji_zi_64,Icon/20043baoji_zi_32,-1,1,10000,紫,5,6,500,3,4,1,1
#20044,神级暴击,技能书,1,神级暴击,Icon/20044baoji_cheng_64,Icon/20044baoji_cheng_32,-1,1,20000,橙,5,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20051,初级暴伤,技能书,1,学习后，触发暴击时会增加一定暴击伤害,Icon/20051baoshang_lv_64,Icon/20051baoshang_lv_32,-1,1,100,绿,6,3,20,1,2,1,1
20052,中级暴伤,技能书,1,学习后，触发暴击时会增加较高暴击伤害,Icon/20052baoshang_lan_64,Icon/20052baoshang_lan_32,-1,1,1000,蓝,6,4,100,2,3,1,1
20053,高级暴伤,技能书,1,学习后，触发暴击时会大幅度增加暴击伤害,Icon/20053baoshang_zi_64,Icon/20053baoshang_zi_32,-1,1,10000,紫,6,6,500,3,4,1,1
#20054,神级暴伤,技能书,1,神级暴伤,Icon/20054baoshang_cheng_64,Icon/20054baoshang_cheng_32,-1,1,20000,橙,6,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20061,初级速度,技能书,1,学习后可增加一定速度,Icon/20061sudu_lv_64,Icon/20061sudu_lv_32,-1,1,100,绿,7,3,20,1,2,1,1
20062,中级速度,技能书,1,学习后可增加较多的速度,Icon/20062sudu_lan_64,Icon/20062sudu_lan_32,-1,1,1000,蓝,7,4,100,2,3,1,1
20063,高级速度,技能书,1,学习后可大幅度增加速度,Icon/20063sudu_zi_64,Icon/20063sudu_zi_32,-1,1,10000,紫,7,6,500,3,4,1,1
#20064,神级速度,技能书,1,神级速度,Icon/20064sudu_cheng_64,Icon/20064sudu_cheng_32,-1,1,20000,橙,7,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20071,初级血量,技能书,1,学习后可增加一定血量,Icon/20071xueliang_lv_64,Icon/20071xueliang_lv_32,-1,1,100,绿,8,3,20,1,2,1,1
20072,中级血量,技能书,1,学习后可增加较多血量,Icon/20072xueliang_lan_64,Icon/20072xueliang_lan_32,-1,1,1000,蓝,8,4,100,2,3,1,1
20073,高级血量,技能书,1,学习后可大幅度增加血量,Icon/20073xueliang_zi_64,Icon/20073xueliang_zi_32,-1,1,10000,紫,8,6,500,3,4,1,1
#20074,神级血量,技能书,1,神级血量,Icon/20074xueliang_cheng_64,Icon/20074xueliang_cheng_32,-1,1,20000,橙,8,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20081,初级韧性,技能书,1,学习后可降低敌方暴击概率,Icon/20081renxing_lv_64,Icon/20081renxing_lv_32,-1,1,100,绿,9,3,20,1,2,1,1
20082,中级韧性,技能书,1,学习后可较多降低敌方暴击概率,Icon/20082renxing_lan_64,Icon/20082renxing_lan_32,-1,1,1000,蓝,9,4,100,2,3,1,1
20083,高级韧性,技能书,1,学习后可大幅度降低敌方暴击概率,Icon/20083renxing_zi_64,Icon/20083renxing_zi_32,-1,1,10000,紫,9,6,500,3,4,1,1
#20084,神级韧性,技能书,1,神级韧性,Icon/20084renxing_cheng_64,Icon/20084renxing_cheng_32,-1,1,20000,橙,9,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20091,初级物攻,技能书,1,学习后可增加一定物理攻击,Icon/20091wuligongji_lv_64,Icon/20091wuligongji_lv_32,-1,1,100,绿,10,3,20,1,2,1,1
20092,中级物攻,技能书,1,学习后可增加较多的物理攻击,Icon/20092wuligongji_lan_64,Icon/20092wuligongji_lan_32,-1,1,1000,蓝,10,4,100,2,3,1,1
20093,高级物攻,技能书,1,学习后可大幅度增加物理攻击,Icon/20093wuligongji_zi_64,Icon/20093wuligongji_zi_32,-1,1,10000,紫,10,6,500,3,4,1,1
#20094,神级物攻,技能书,1,神级物理攻击,Icon/20094wuligongji_cheng_64,Icon/20094wuligongji_cheng_32,-1,1,20000,橙,10,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20101,初级物防,技能书,1,学习后可增加一定物理防御,Icon/20101wulifangyu_lv_64,Icon/20101wulifangyu_lv_32,-1,1,100,绿,11,3,20,1,2,1,1
20102,中级物防,技能书,1,学习后可增加较多的物理防御,Icon/20102wulifangyu_lan_64,Icon/20102wulifangyu_lan_32,-1,1,1000,蓝,11,4,100,2,3,1,1
20103,高级物防,技能书,1,学习后可大幅度增加物理防御,Icon/20103wulifangyu_zi_64,Icon/20103wulifangyu_zi_32,-1,1,10000,紫,11,6,500,3,4,1,1
#20104,神级物防,技能书,1,神级物理防御,Icon/20104wulifangyu_cheng_64,Icon/20104wulifangyu_cheng_32,-1,1,20000,橙,11,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20111,初级法攻,技能书,1,学习后可增加一定法术攻击,Icon/20111fashugongji_lv_64,Icon/20111fashugongji_lv_32,-1,1,100,绿,12,3,20,1,2,1,1
20112,中级法攻,技能书,1,学习后可增加较多法术攻击,Icon/20112fashugongji_lan_64,Icon/20112fashugongji_lan_32,-1,1,1000,蓝,12,4,100,2,3,1,1
20113,高级法攻,技能书,1,学习后可大幅度增加法术攻击,Icon/20113fashugongji_zi_64,Icon/20113fashugongji_zi_32,-1,1,10000,紫,12,6,500,3,4,1,1
#20114,神级法攻,技能书,1,神级法术攻击,Icon/20114fashugongji_cheng_64,Icon/20114fashugongji_cheng_32,-1,1,20000,橙,12,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20121,初级法防,技能书,1,学习后可增加一定法术防御,Icon/20121fashufangyu_lv_64,Icon/20121fashufangyu_lv_32,-1,1,100,绿,13,3,20,1,2,1,1
20122,中级法防,技能书,1,学习后可增加较多法术防御,Icon/20122fashufangyu_lan_64,Icon/20122fashufangyu_lan_32,-1,1,1000,蓝,13,4,100,2,3,1,1
20123,高级法防,技能书,1,学习后可大幅度提升法术防御,Icon/20123fashufangyu_zi_64,Icon/20123fashufangyu_zi_32,-1,1,10000,紫,13,6,500,3,4,1,1
#20124,神级法防,技能书,1,神级法术防御,Icon/20124fashufangyu_cheng_64,Icon/20124fashufangyu_cheng_32,-1,1,20000,橙,13,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20131,初级穿透,技能书,1,学习后可降低敌方格挡、抵抗概率,Icon/20131chuantou_lv_64,Icon/20131chuantou_lv_32,-1,1,100,绿,14,3,20,1,2,1,1
20132,中级穿透,技能书,1,学习后可较多的降低敌方发生格挡、抵抗的概率,Icon/20132chuantou_lan_64,Icon/20132chuantou_lan_32,-1,1,1000,蓝,14,4,100,2,3,1,1
20133,高级穿透,技能书,1,学习后可大幅度降低敌方发生格挡、抵抗的概率,Icon/20133chuantou_zi_64,Icon/20133chuantou_zi_32,-1,1,10000,紫,14,6,500,3,4,1,1
#20134,神级穿透,技能书,1,神级穿透,Icon/20134chuantou_cheng_64,Icon/20134chuantou_cheng_32,-1,1,20000,橙,14,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
20141,初级回复,技能书,1,学习后可治疗相关技能效果得到一定增强,Icon/20141huifu_lv_64,Icon/20141huifu_lv_32,-1,1,100,绿,15,3,20,1,2,1,1
20142,中级回复,技能书,1,学习后可治疗相关技能效果得到较高增强,Icon/20142huifu_lan_64,Icon/20142huifu_lan_32,-1,1,1000,蓝,15,4,100,2,3,1,1
20143,高级回复,技能书,1,学习后可治疗相关技能效果得到大幅度增强,Icon/20143huifu_zi_64,Icon/20143huifu_zi_32,-1,1,10000,紫,15,6,500,3,4,1,1
#20144,神级回复,技能书,1,神级回复,Icon/20144huifu_cheng_64,Icon/20144huifu_cheng_32,-1,1,20000,橙,15,8,500,4,5,1,1
#,,,,,,,,,,,,,,,,,
