Table:CsvVIPAward,,,,,,,,,
tid,name:s,items:a,items_count:a,vip_limit,vip_level,need_exp,buy_price,ori_price,vip_benefit:s
15,VIP15礼包,"31090,40043,110007,60001,","1,1,1,10",10,15,200000,18880,600000,1、可购买超值VIP15级福利礼包\n2、每日购买7个精力丹\n3、每日购买80个氪金宝箱\n4、包裹格子增加60个\n5、英雄包裹增加60个\n6、增加每日购买副本次数7次\n7、增加神秘商店免费刷新次数9次\n8、增加奇遇商店刷新次数15次\n9、增加6次购买军团boss挑战次数\n10、增加竞技场免费挑战次数4次\n11、领取每日VIP15级礼包\n12、包含VIP1~14级所有功能
,,,,,,,,,
Table:CsvVIPEverydayAward,,,,,,,,,
tid,name:s,items:a,items_count:a,,,,,,
#,名字,奖励物品列表,奖励物品数量列表,,,,,,
#,,最多四个,最多四个,,,,,,
1,VIP0每日礼包,201,50,,,,,,
2,VIP1每日礼包,"107,108,201,","50000,500,50",,,,,,
3,VIP2每日礼包,"107,108,201,","60000,600,75,",,,,,,
4,VIP3每日礼包,"107,108,201,","80000,700,100,",,,,,,
5,VIP4每日礼包,"107,108,201,","100000,800,125,",,,,,,
6,VIP5每日礼包,"107,108,201,40012,","120000,900,150,1,",,,,,,
7,VIP6每日礼包,"107,108,201,40012,","140000,1000,175,1",,,,,,
8,VIP7每日礼包,"107,108,201,40012,","160000,1100,200,1",,,,,,
9,VIP8每日礼包,"107,108,201,40012,","180000,1200,225,1",,,,,,
10,VIP9每日礼包,"107,108,201,40012,","200000,1300,250,1,",,,,,,
11,VIP10每日礼包,"107,108,201,40012,","220000,1400,275,1,",,,,,,
12,VIP11每日礼包,"107,108,201,40012,","230000,1450,280,1,",,,,,,
13,VIP12每日礼包,"107,108,201,40012,","240000,1500,285,1,",,,,,,
14,VIP13每日礼包,"107,108,201,40012,","250000,1550,290,1,",,,,,,
15,VIP14每日礼包,"107,108,201,40012,","260000,1600,295,1,",,,,,,
16,VIP15每日礼包,"107,108,201,40012,","270000,1650,300,1,",,,,,,
