Table:CsvTreasurebox,,,,
tid,item_id,item_get,item_get_probability,level
316,60002,50007,500,1
317,60002,50010,200,1
318,60002,50011,200,1
319,60002,50015,300,1
320,60002,50014,700,1
321,60002,200012,5,1
322,60002,200112,5,1
323,60002,200212,5,1
324,60002,200312,5,1
325,60002,200412,5,1
326,60002,200512,5,1
327,60002,200612,5,1
328,60002,200712,5,1
329,60002,200812,5,1
330,60002,200912,5,1
331,60002,201012,5,1
332,60002,201112,5,1
333,60002,201212,5,1
334,60002,201312,5,1
335,60002,201512,5,1
336,60002,70001,525,1
337,60002,910007,75,1
338,60002,910012,75,1
339,60002,910003,150,1
340,60002,910004,150,1
341,60002,910005,150,1
342,60002,40053,150,1
343,60002,50052,150,1
#,,,,1
344,60003,11011,10,1
345,60003,11012,10,1
346,60003,11013,10,1
347,60003,11014,10,1
348,60003,11021,10,1
349,60003,11022,10,1
350,60003,11023,10,1
351,60003,11024,10,1
352,60003,11031,10,1
353,60003,11032,10,1
354,60003,11034,10,1
355,60003,11035,10,1
356,60003,11041,10,1
357,60003,11042,10,1
358,60003,11043,10,1
359,60003,11044,10,1
360,60003,11061,10,1
361,60003,11062,10,1
362,60003,11065,10,1
363,60003,11066,10,1
364,60003,11071,10,1
365,60003,11073,10,1
366,60003,11074,10,1
367,60003,11075,10,1
368,60003,2205,500,1
369,60003,2210,500,1
370,60003,2212,500,1
371,60003,2217,500,1
372,60003,2225,500,1
373,60003,2228,500,1
374,60003,90001,300,1
375,60003,90002,300,1
376,60003,90003,300,1
377,60003,50002,260,1
378,60003,50006,800,1
379,60003,50019,200,1
380,60003,50018,800,1
381,60003,50020,1400,1
382,60003,50014,600,1
383,60003,910003,200,1
384,60003,910004,200,1
385,60003,910005,200,1
386,60003,40053,1200,1
#,,,,1
401,60006,100890,7,1
402,60006,100900,7,1
403,60006,100910,7,1
404,60006,100920,7,1
405,60006,100930,7,1
406,60006,100940,8,1
407,60006,101180,1,1
408,60006,101190,1,1
409,60006,101200,1,1
410,60006,101210,1,1
411,60006,101220,1,1
412,60006,101230,1,1
413,60006,101240,1,1
414,60006,11089,39,1
415,60006,11090,39,1
416,60006,11091,39,1
417,60006,11092,39,1
418,60006,11093,39,1
419,60006,11094,39,1
420,60006,11118,38,1
421,60006,11119,38,1
422,60006,11120,38,1
423,60006,11121,38,1
424,60006,11122,38,1
425,60006,11123,38,1
426,60006,11124,38,1
427,60006,11141,8,1
428,60006,11142,8,1
429,60006,11143,9,1
430,60006,11144,8,1
431,60006,11145,8,1
432,60006,11146,9,1
433,60006,100110,60,1
434,60006,100120,60,1
435,60006,100130,60,1
436,60006,100140,60,1
437,60006,100210,60,1
438,60006,100220,60,1
439,60006,100230,60,1
440,60006,100240,60,1
441,60006,100310,30,1
442,60006,100320,30,1
443,60006,100340,30,1
444,60006,100350,30,1
445,60006,100410,30,1
446,60006,100420,30,1
447,60006,100430,30,1
448,60006,100440,30,1
449,60006,100610,10,1
450,60006,100620,10,1
451,60006,100650,10,1
452,60006,100660,10,1
453,60006,100710,10,1
454,60006,100730,10,1
455,60006,100740,10,1
456,60006,100750,10,1
457,60006,11011,120,1
458,60006,11012,120,1
459,60006,11013,120,1
460,60006,11014,120,1
461,60006,11021,120,1
462,60006,11022,120,1
463,60006,11023,120,1
464,60006,11024,120,1
465,60006,11031,60,1
466,60006,11032,60,1
467,60006,11034,60,1
468,60006,11035,60,1
469,60006,11041,60,1
470,60006,11042,60,1
471,60006,11043,60,1
472,60006,11044,60,1
473,60006,11061,20,1
474,60006,11062,20,1
475,60006,11065,20,1
476,60006,11066,20,1
477,60006,11071,20,1
478,60006,11073,20,1
479,60006,11074,20,1
480,60006,11075,20,1
481,60006,2005,100,1
482,60006,2006,100,1
483,60006,2014,100,1
484,60006,2017,100,1
485,60006,2024,100,1
486,60006,2026,100,1
487,60006,2029,100,1
488,60006,2030,100,1
489,60006,2117,200,1
490,60006,2104,200,1
491,60006,2105,200,1
492,60006,2107,200,1
493,60006,2112,200,1
494,60006,2122,200,1
495,60006,2128,200,1
496,60006,2130,200,1
497,60006,90007,500,1
498,60006,90008,500,1
499,60006,90009,500,1
500,60006,40051,10,1
501,60006,40012,100,1
502,60006,50004,300,1
503,60006,50008,500,1
504,60006,50012,190,1
505,60006,50011,200,1
506,60006,50015,500,1
507,60006,50016,500,1
508,60006,200012,20,1
509,60006,200112,20,1
510,60006,200212,20,1
511,60006,200312,20,1
512,60006,200412,20,1
513,60006,200512,20,1
514,60006,200612,20,1
515,60006,200712,20,1
516,60006,200812,20,1
517,60006,200912,20,1
518,60006,201012,20,1
519,60006,201112,20,1
520,60006,201212,20,1
521,60006,201312,20,1
522,60006,201512,20,1
523,60006,70001,500,1
#,,,,1
524,60005,11089,10,1
525,60005,11090,11,1
526,60005,11091,11,1
527,60005,11092,11,1
528,60005,11093,11,1
529,60005,11094,11,1
530,60005,11118,5,1
531,60005,11119,5,1
532,60005,11120,5,1
533,60005,11121,5,1
534,60005,11122,5,1
535,60005,11123,5,1
536,60005,11124,5,1
537,60005,100110,15,1
538,60005,100120,15,1
539,60005,100130,15,1
540,60005,100140,15,1
541,60005,100210,15,1
542,60005,100220,15,1
543,60005,100230,15,1
544,60005,100240,15,1
545,60005,100310,7,1
546,60005,100320,7,1
547,60005,100340,8,1
548,60005,100350,8,1
549,60005,100410,7,1
550,60005,100420,8,1
551,60005,100430,7,1
552,60005,100440,8,1
553,60005,100610,2,1
554,60005,100620,3,1
555,60005,100650,2,1
556,60005,100660,3,1
557,60005,100710,2,1
558,60005,100730,3,1
559,60005,100740,2,1
560,60005,100750,3,1
561,60005,11011,120,1
562,60005,11012,120,1
563,60005,11013,120,1
564,60005,11014,120,1
565,60005,11021,120,1
566,60005,11022,100,1
567,60005,11023,100,1
568,60005,11024,100,1
569,60005,11031,100,1
570,60005,11032,100,1
571,60005,11034,100,1
572,60005,11035,100,1
573,60005,11041,100,1
574,60005,11042,100,1
575,60005,11043,100,1
576,60005,11044,100,1
577,60005,11061,100,1
578,60005,11062,100,1
579,60005,11065,100,1
580,60005,11066,100,1
581,60005,11071,100,1
582,60005,11073,100,1
583,60005,11074,100,1
584,60005,11075,100,1
585,60005,2117,220,1
586,60005,2104,220,1
587,60005,2105,220,1
588,60005,2107,220,1
589,60005,2112,230,1
590,60005,2122,230,1
591,60005,2128,230,1
592,60005,2130,230,1
593,60005,2205,83,1
594,60005,2210,83,1
595,60005,2212,83,1
596,60005,2217,83,1
597,60005,2225,84,1
598,60005,2228,84,1
599,60005,90007,166,1
600,60005,90008,167,1
601,60005,90009,167,1
602,60005,90004,500,1
603,60005,90005,500,1
604,60005,90006,500,1
605,60005,40009,200,1
606,60005,50003,200,1
607,60005,50007,500,1
608,60005,50010,200,1
609,60005,50011,200,1
610,60005,50015,300,1
611,60005,50014,700,1
612,60005,200012,5,1
613,60005,200112,5,1
614,60005,200212,5,1
615,60005,200312,5,1
616,60005,200412,5,1
617,60005,200512,5,1
618,60005,200612,5,1
619,60005,200712,5,1
620,60005,200812,5,1
621,60005,200912,5,1
622,60005,201012,5,1
623,60005,201112,5,1
624,60005,201212,5,1
625,60005,201312,5,1
626,60005,201512,5,1
627,60005,70001,525,1
#,,,,1
628,60004,11011,10,1
629,60004,11012,10,1
630,60004,11013,10,1
631,60004,11014,10,1
632,60004,11021,10,1
633,60004,11022,10,1
634,60004,11023,10,1
635,60004,11024,10,1
636,60004,11031,10,1
637,60004,11032,10,1
638,60004,11034,10,1
639,60004,11035,10,1
640,60004,11041,10,1
641,60004,11042,10,1
642,60004,11043,10,1
643,60004,11044,10,1
644,60004,11061,10,1
645,60004,11062,10,1
646,60004,11065,10,1
647,60004,11066,10,1
648,60004,11071,10,1
649,60004,11073,10,1
650,60004,11074,10,1
651,60004,11075,10,1
652,60004,2205,500,1
653,60004,2210,500,1
654,60004,2212,500,1
655,60004,2217,500,1
656,60004,2225,500,1
657,60004,2228,500,1
658,60004,90001,900,1
659,60004,90002,900,1
660,60004,90003,900,1
661,60004,50002,260,1
662,60004,50006,800,1
663,60004,50019,200,1
664,60004,50018,800,1
665,60004,50020,1400,1
666,60004,50014,600,1
#,,,,1
701,100001,100110,2500,1
702,100001,100120,2500,1
703,100001,100130,2500,1
704,100001,100140,2500,1
705,100002,100890,1666,1
706,100002,100900,1666,1
707,100002,100910,1667,1
708,100002,100920,1667,1
709,100002,100930,1667,1
710,100002,100940,1667,1
711,100003,100890,770,1
712,100003,100900,770,1
713,100003,100910,770,1
714,100003,100920,769,1
715,100003,100930,769,1
716,100003,100940,769,1
717,100003,101180,769,1
718,100003,101190,769,1
719,100003,101200,769,1
720,100003,101210,769,1
721,100003,101220,769,1
722,100003,101230,769,1
723,100003,101240,769,1
