Table:CsvAlchemyAward,,,,,
tid,name:s,type:AlchemyType,items:a,items_count:a,cost_diamond
5015,第五天(宗师炼金术),宗师炼金术,"103,20003,40043,","1000,1,2,",0
#抵抗,,,最多四个,最多四个,
6001,第一天(初级炼金术),初级炼金术,"103,107,","200,100000,",1000
6002,第二天(初级炼金术),初级炼金术,"103,70001,108,","200,5,1000,",0
6003,第三天(初级炼金术),初级炼金术,"103,40007,108,","200,1,1000,",0
6004,第四天(初级炼金术),初级炼金术,"103,40007,107,","200,1,100000,",0
6005,第五天(初级炼金术),初级炼金术,"103,20011,40041,","200,1,3,",0
6006,第一天(大师炼金术),大师炼金术,"103,107,","600,150000,",3000
6007,第二天(大师炼金术),大师炼金术,"103,70001,108,","600,10,1500,",0
6008,第三天(大师炼金术),大师炼金术,"103,40007,107,","600,1,150000,",0
6009,第四天(大师炼金术),大师炼金术,"103,20011,40041,","600,1,3,",0
6010,第五天(大师炼金术),大师炼金术,"103,20012,40042,","600,1,1,",0
6011,第一天(宗师炼金术),宗师炼金术,"103,107,","1000,200000,",5000
6012,第二天(宗师炼金术),宗师炼金术,"103,70001,108,","1000,15,2000,",0
6013,第三天(宗师炼金术),宗师炼金术,"103,20011,40042,","1000,1,1,",0
6014,第四天(宗师炼金术),宗师炼金术,"103,20012,40042,","1000,1,1,",0
6015,第五天(宗师炼金术),宗师炼金术,"103,20013,40043,","1000,1,2,",0
#命中,,,最多四个,最多四个,
7001,第一天(初级炼金术),初级炼金术,"103,107,","200,100000,",1000
7002,第二天(初级炼金术),初级炼金术,"103,70001,108,","200,5,1000,",0
7003,第三天(初级炼金术),初级炼金术,"103,40007,108,","200,1,1000,",0
7004,第四天(初级炼金术),初级炼金术,"103,40007,107,","200,1,100000,",0
7005,第五天(初级炼金术),初级炼金术,"103,20021,40041,","200,1,3,",0
7006,第一天(大师炼金术),大师炼金术,"103,107,","600,150000,",3000
7007,第二天(大师炼金术),大师炼金术,"103,70001,108,","600,10,1500,",0
7008,第三天(大师炼金术),大师炼金术,"103,40007,107,","600,1,150000,",0
7009,第四天(大师炼金术),大师炼金术,"103,20021,40041,","600,1,3,",0
7010,第五天(大师炼金术),大师炼金术,"103,20022,40042,","600,1,1,",0
7011,第一天(宗师炼金术),宗师炼金术,"103,107,","1000,200000,",5000
7012,第二天(宗师炼金术),宗师炼金术,"103,70001,108,","1000,15,2000,",0
7013,第三天(宗师炼金术),宗师炼金术,"103,20021,40042,","1000,1,1,",0
7014,第四天(宗师炼金术),宗师炼金术,"103,20022,40042,","1000,1,1,",0
7015,第五天(宗师炼金术),宗师炼金术,"103,20023,40043,","1000,1,2,",0
#技能书版本,,,,,
8001,第一天(初级炼金术),初级炼金术,"103,107,","200,100000,",1000
8002,第二天(初级炼金术),初级炼金术,"103,70001,108,","200,5,1000,",0
8003,第三天(初级炼金术),初级炼金术,"103,70001,108,","200,5,1000,",0
8004,第四天(初级炼金术),初级炼金术,"103,40041,107,","200,1,100000,",0
8005,第五天(初级炼金术),初级炼金术,"103,40007,40041,","200,1,5,",0
8006,第一天(大师炼金术),大师炼金术,"103,107,","600,150000,",3000
8007,第二天(大师炼金术),大师炼金术,"103,70001,108,","600,10,1500,",0
8008,第三天(大师炼金术),大师炼金术,"103,70001,107,","600,10,150000,",0
8009,第四天(大师炼金术),大师炼金术,"103,40041,70001,","600,5,5,",0
8010,第五天(大师炼金术),大师炼金术,"103,40007,40042,","600,1,2,",0
8011,第一天(宗师炼金术),宗师炼金术,"103,107,","1000,200000,",5000
8012,第二天(宗师炼金术),宗师炼金术,"103,70001,108,","1000,15,2000,",0
8013,第三天(宗师炼金术),宗师炼金术,"103,40042,107,","1000,1,200000,",0
8014,第四天(宗师炼金术),宗师炼金术,"103,40042,70001,","1000,3,10,",0
8015,第五天(宗师炼金术),宗师炼金术,"103,40043,40007,","1000,4,1,",0
