Table:CsvEpigraph,,,,,,,,,,
tid,HeroTid,Layer,Index,Exp,TotalExp,BuffTids:a,SkillTid1,SkillTid2,item_tid:a,num:a
99,1010,1,9,150,610,11013,,10171,40054,1
100,1010,2,1,,,,,,,
101,1011,1,1,30,0,11001,,,107,100000
102,1011,1,2,50,30,11002,,,107,120000
103,1011,1,3,70,80,11003,,,107,150000
104,1011,1,4,100,150,11007,,,107,180000
105,1011,1,5,60,250,11004,,,107,120000
106,1011,1,6,80,310,11005,,,107,150000
107,1011,1,7,100,390,11006,,,107,180000
108,1011,1,8,120,490,11008,,,107,200000
109,1011,1,9,150,610,11013,,10181,40054,1
110,1011,2,1,,,,,,,
111,1012,1,1,30,0,11001,,,107,100000
112,1012,1,2,50,30,11002,,,107,120000
113,1012,1,3,70,80,11003,,,107,150000
114,1012,1,4,100,150,11007,,,107,180000
115,1012,1,5,60,250,11004,,,107,120000
116,1012,1,6,80,310,11005,,,107,150000
117,1012,1,7,100,390,11006,,,107,180000
118,1012,1,8,120,490,11008,,,107,200000
119,1012,1,9,150,610,11013,,10051,40054,1
120,1012,2,1,,,,,,,
121,1013,1,1,30,0,11001,,,107,100000
122,1013,1,2,50,30,11002,,,107,120000
123,1013,1,3,70,80,11003,,,107,150000
124,1013,1,4,100,150,11007,,,107,180000
125,1013,1,5,60,250,11004,,,107,120000
126,1013,1,6,80,310,11005,,,107,150000
127,1013,1,7,100,390,11006,,,107,180000
128,1013,1,8,120,490,11008,,,107,200000
129,1013,1,9,150,610,11013,,10191,40054,1
130,1013,2,1,,,,,,,
131,1014,1,1,30,0,11001,,,107,100000
132,1014,1,2,50,30,11002,,,107,120000
133,1014,1,3,70,80,11003,,,107,150000
134,1014,1,4,100,150,11007,,,107,180000
135,1014,1,5,60,250,11004,,,107,120000
136,1014,1,6,80,310,11005,,,107,150000
137,1014,1,7,100,390,11006,,,107,180000
138,1014,1,8,120,490,11008,,,107,200000
139,1014,1,9,150,610,11013,,10091,40054,1
140,1014,2,1,,,,,,,
141,1015,1,1,30,0,11001,,,107,100000
142,1015,1,2,50,30,11002,,,107,120000
143,1015,1,3,70,80,11003,,,107,150000
144,1015,1,4,100,150,11010,,,107,180000
145,1015,1,5,60,250,11004,,,107,120000
146,1015,1,6,80,310,11005,,,107,150000
147,1015,1,7,100,390,11006,,,107,180000
148,1015,1,8,120,490,11012,,,107,200000
149,1015,1,9,150,610,11013,,10081,40054,1
150,1015,2,1,,,,,,,
151,1016,1,1,30,0,11001,,,107,100000
152,1016,1,2,50,30,11002,,,107,120000
153,1016,1,3,70,80,11003,,,107,150000
154,1016,1,4,100,150,11007,,,107,180000
155,1016,1,5,60,250,11004,,,107,120000
156,1016,1,6,80,310,11005,,,107,150000
157,1016,1,7,100,390,11006,,,107,180000
158,1016,1,8,120,490,11008,,,107,200000
159,1016,1,9,150,610,11013,,10371,40054,1
160,1016,2,1,,,,,,,
161,1017,1,1,30,0,11001,,,107,100000
162,1017,1,2,50,30,11002,,,107,120000
163,1017,1,3,70,80,11003,,,107,150000
164,1017,1,4,100,150,11007,,,107,180000
165,1017,1,5,60,250,11004,,,107,120000
166,1017,1,6,80,310,11005,,,107,150000
167,1017,1,7,100,390,11006,,,107,180000
168,1017,1,8,120,490,11008,,,107,200000
169,1017,1,9,150,610,11013,,10201,40054,1
170,1017,2,1,,,,,,,
171,1018,1,1,30,0,11001,,,107,100000
172,1018,1,2,50,30,11002,,,107,120000
173,1018,1,3,70,80,11003,,,107,150000
174,1018,1,4,100,150,11010,,,107,180000
175,1018,1,5,60,250,11004,,,107,120000
176,1018,1,6,80,310,11005,,,107,150000
177,1018,1,7,100,390,11006,,,107,180000
178,1018,1,8,120,490,11012,,,107,200000
179,1018,1,9,150,610,11013,,10481,40054,1
180,1018,2,1,,,,,,,
181,1019,1,1,30,0,11001,,,107,100000
182,1019,1,2,50,30,11002,,,107,120000
183,1019,1,3,70,80,11003,,,107,150000
184,1019,1,4,100,150,11010,,,107,180000
185,1019,1,5,60,250,11004,,,107,120000
186,1019,1,6,80,310,11005,,,107,150000
187,1019,1,7,100,390,11006,,,107,180000
188,1019,1,8,120,490,11012,,,107,200000
189,1019,1,9,150,610,11013,,10071,40054,1
190,1019,2,1,,,,,,,
191,1020,1,1,30,0,11001,,,107,100000
192,1020,1,2,50,30,11002,,,107,120000
193,1020,1,3,70,80,11003,,,107,150000
194,1020,1,4,100,150,11007,,,107,180000
195,1020,1,5,60,250,11004,,,107,120000
196,1020,1,6,80,310,11005,,,107,150000
197,1020,1,7,100,390,11006,,,107,180000
198,1020,1,8,120,490,11008,,,107,200000
199,1020,1,9,150,610,11013,,10431,40054,1
200,1020,2,1,,,,,,,
201,1021,1,1,30,0,11001,,,107,100000
202,1021,1,2,50,30,11002,,,107,120000
203,1021,1,3,70,80,11003,,,107,150000
204,1021,1,4,100,150,11010,,,107,180000
205,1021,1,5,60,250,11004,,,107,120000
206,1021,1,6,80,310,11005,,,107,150000
207,1021,1,7,100,390,11006,,,107,180000
208,1021,1,8,120,490,11012,,,107,200000
209,1021,1,9,150,610,11013,,10031,40054,1
210,1021,2,1,,,,,,,
211,1022,1,1,30,0,11001,,,107,100000
212,1022,1,2,50,30,11002,,,107,120000
213,1022,1,3,70,80,11003,,,107,150000
214,1022,1,4,100,150,11007,,,107,180000
215,1022,1,5,60,250,11004,,,107,120000
216,1022,1,6,80,310,11005,,,107,150000
217,1022,1,7,100,390,11006,,,107,180000
218,1022,1,8,120,490,11008,,,107,200000
219,1022,1,9,150,610,11013,,10231,40054,1
220,1022,2,1,,,,,,,
221,1023,1,1,30,0,11001,,,107,100000
222,1023,1,2,50,30,11002,,,107,120000
223,1023,1,3,70,80,11003,,,107,150000
224,1023,1,4,100,150,11007,,,107,180000
225,1023,1,5,60,250,11004,,,107,120000
226,1023,1,6,80,310,11005,,,107,150000
227,1023,1,7,100,390,11006,,,107,180000
228,1023,1,8,120,490,11008,,,107,200000
229,1023,1,9,150,610,11013,,10271,40054,1
230,1023,2,1,,,,,,,
231,1024,1,1,30,0,11001,,,107,100000
232,1024,1,2,50,30,11002,,,107,120000
233,1024,1,3,70,80,11003,,,107,150000
234,1024,1,4,100,150,11009,,,107,180000
235,1024,1,5,60,250,11004,,,107,120000
236,1024,1,6,80,310,11005,,,107,150000
237,1024,1,7,100,390,11006,,,107,180000
238,1024,1,8,120,490,11011,,,107,200000
239,1024,1,9,150,610,11013,,10401,40054,1
240,1024,2,1,,,,,,,
241,1025,1,1,30,0,11001,,,107,100000
242,1025,1,2,50,30,11002,,,107,120000
243,1025,1,3,70,80,11003,,,107,150000
244,1025,1,4,100,150,11007,,,107,180000
245,1025,1,5,60,250,11004,,,107,120000
246,1025,1,6,80,310,11005,,,107,150000
247,1025,1,7,100,390,11006,,,107,180000
248,1025,1,8,120,490,11008,,,107,200000
249,1025,1,9,150,610,11013,,10241,40054,1
250,1025,2,1,,,,,,,
251,1026,1,1,30,0,11001,,,107,100000
252,1026,1,2,50,30,11002,,,107,120000
253,1026,1,3,70,80,11003,,,107,150000
254,1026,1,4,100,150,11009,,,107,180000
255,1026,1,5,60,250,11004,,,107,120000
256,1026,1,6,80,310,11005,,,107,150000
257,1026,1,7,100,390,11006,,,107,180000
258,1026,1,8,120,490,11011,,,107,200000
259,1026,1,9,150,610,11013,,10021,40054,1
260,1026,2,1,,,,,,,
261,1027,1,1,30,0,11001,,,107,100000
262,1027,1,2,50,30,11002,,,107,120000
263,1027,1,3,70,80,11003,,,107,150000
264,1027,1,4,100,150,11007,,,107,180000
265,1027,1,5,60,250,11004,,,107,120000
266,1027,1,6,80,310,11005,,,107,150000
267,1027,1,7,100,390,11006,,,107,180000
268,1027,1,8,120,490,11008,,,107,200000
269,1027,1,9,150,610,11013,,10421,40054,1
270,1027,2,1,,,,,,,
271,1028,1,1,30,0,11001,,,107,100000
272,1028,1,2,50,30,11002,,,107,120000
273,1028,1,3,70,80,11003,,,107,150000
274,1028,1,4,100,150,11007,,,107,180000
275,1028,1,5,60,250,11004,,,107,120000
276,1028,1,6,80,310,11005,,,107,150000
277,1028,1,7,100,390,11006,,,107,180000
278,1028,1,8,120,490,11008,,,107,200000
279,1028,1,9,150,610,11013,,10011,40054,1
280,1028,2,1,,,,,,,
281,1029,1,1,30,0,11001,,,107,100000
282,1029,1,2,50,30,11002,,,107,120000
283,1029,1,3,70,80,11003,,,107,150000
284,1029,1,4,100,150,11007,,,107,180000
285,1029,1,5,60,250,11004,,,107,120000
286,1029,1,6,80,310,11005,,,107,150000
287,1029,1,7,100,390,11006,,,107,180000
288,1029,1,8,120,490,11008,,,107,200000
289,1029,1,9,150,610,11013,,10111,40054,1
290,1029,2,1,,,,,,,
291,1030,1,1,30,0,11001,,,107,100000
292,1030,1,2,50,30,11002,,,107,120000
293,1030,1,3,70,80,11003,,,107,150000
294,1030,1,4,100,150,11007,,,107,180000
295,1030,1,5,60,250,11004,,,107,120000
296,1030,1,6,80,310,11005,,,107,150000
297,1030,1,7,100,390,11006,,,107,180000
298,1030,1,8,120,490,11008,,,107,200000
299,1030,1,9,150,610,11013,,10291,40054,1
300,1030,2,1,,,,,,,
