Table:CsvHeroSkill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,pro:s,icon:s,desc:s,attackType:AttackType,isNormal:b,isNuqi:b,requireNuqi,EtargetOrder:SkillTargetSelOrder,MtargetOrder:SkillTargetSelOrder,EtargetFilter:SkillTargetFilter,MtargetFilter:SkillTargetFilter,EselNum,MselNum,extraAttack,extraSameActor:b,EextraOrder:SkillTargetSelOrder,MextraOrder:SkillTargetSelOrder,EextraFilter:SkillTargetFilter,MextraFilter:SkillTargetFilter,noMotion4ExtraAttack:b,noEffect4ExtraAttack:b,sameAim4ExtraAttack:b,extraAttackDelay:a,buffTIDs:a,attackMotion,attackEffectTid:a,hurtEffectTid,hurtEffectTidOnMy,bloodNumDelayOnRecover:b,hurtUIEffectTid,shakeScreen:a,dodgeTime,specialEffectTids:s,skillFactor1,skillFactor2,skillFactor3,skillFactor4,skillFactor5,skillFactor6,skillFactor7,skillFactor8,skillFactor9,skillFactor10,skillFactor11,skillFactor12,active_skill_buff:s,para1:a,nuqi_effect,r_nuqi_effect,ignore_buffs:a
1018,暴风雪,克总,SkillIcons/baofengxue,对敌方全体造成3波27%的法术伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,,,"250, 700",,2,,,,,,,,AttackMotionA2:2,2700,2700,2700,2700,2700,2700,,,,,,,,,30001,30002,
1019,闪电链,萨尔,SkillIcons/shandianlian,对敌方随机目标造成110%的法术伤害，并延展到其他3个随机目标身上，每次效果下降,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,3,否,随机,随机,活的,活的,是,,,,,1,20652,20653,,,,,,AttackMotionA:20651,11000,10000,9000,8000,,,,,,,,,,,30001,30002,
1020,烧尽,,SkillIcons/shaojin,对敌方一列目标造成153%的法术伤害，如果敌方正处于燃烧状态则额外造成20%的伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,2,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,,1,"10271,10272",10273,,,,,,,15300,13300,,,,,,,,,,,BurnOut,2000,30001,30002,
#,战争践踏,,SkillIcons/linshiziyuan_01,,,,是,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,翼龙钉刺,,SkillIcons/yilongdingci,对敌方后排单体造成210%的物理伤害，并有60%的几率使其眩晕,物理,,是,100,对位并且后排优先,对位并且后排优先,活的,活的,1,0,,,对位并且后排优先,对位并且后排优先,活的,活的,,,,,"30029,",1,20552,20553,,,,,,AttackMotionA:20551,21000,,,,,,,,,,,,,,30001,30002,
1024,旋风斩,黑铁矮人男，黑手,SkillIcons/xuanfengzhan,对敌方全部目标造成75%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,2,52,,,,,,,,7500,7500,7500,7500,7500,7500,,,,,,,,,30001,30002,
1025,酸性吐息,伊兰尼库斯,SkillIcons/linshiziyuan_04,对敌方全部目标造成64%的法术伤害，并有30%的几率附加中毒状态两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30015,",2,"70,71,72",,,,,,,,6400,6400,6400,6400,6400,6400,,,,,,,,,30001,30002,
1026,喝药,鱼人,SkillIcons/linshiziyuan_01,治疗自身相当于攻击力105%的生命值,法术,,是,100,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,1,0,,,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,,,,,,2,78,,,,,,,,,,,,,,10500,,,,,,,,30001,30002,
1027,杀戮命令,驯犬者,SkillIcons/shalumingling,优先攻击敌方后排全体单位，造成115%的物理伤害,物理,,是,100,对位并且后排优先,对位并且后排优先,第一个活的那一排,第一个活的那一排,3,0,,,对位并且后排优先,对位并且后排优先,第一个活的那一排,第一个活的那一排,,,,,,2,20645,91,,,,,,AttackEnd:20646,11500,11500,11500,,,,,,,,,,,,30001,30002,
1028,神圣风暴,血色指挥官,SkillIcons/shenshengfengbao,对敌方一排目标造成87%的物理伤害，并为除自己外的其他己方英雄恢复相当于攻击力14%的生命值,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,除攻击者,3,6,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,除攻击者,,,,,,2,62,,55,是,,,,,8700,8700,8700,,,,1350,1350,1350,1350,1350,,,,30001,30002,
1029,剔骨,刺客、梵妮莎大范,SkillIcons/tigu,对敌方单体目标造成220%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,1,,20582,,,,,,AttackMotionA:20581,22000,,,,,,,,,,,,,,30001,30002,
1030,法力燃烧,地狱犬,SkillIcons/linshiziyuan_02,对敌方单体目标造成207%的法术伤害，并降低50点怒气,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30001,",2,"30,33,37",31,,,,,,AttackMotionA:29,20700,,,,,,,,,,,,,,30001,30002,
1031,雷霆一击加强版,霍格,SkillIcons/linshiziyuan_01,对敌方全体目标造成72%的物理伤害，并有35%的几率使其眩晕,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,6,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30006,",1,21,,,,,,,,7200,7200,7200,7200,7200,7200,,,,,,,,,30001,30002,
1032,群体变形术,影牙堡主,SkillIcons/bianxingshu,将所有敌人变形4回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"20002,20003,",1,14,15,,,,,,,,,,,,,,,,,,,,,30001,30002,
1033,治疗祷言,艾茉拉铜须,SkillIcons/zhiliaodaoyan,治疗己方全体英雄相当于攻击力 34%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,6,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,1,20373,,55,,,,,AttackMotionA2:20372,,,,,,,3400,3400,3400,3400,3400,3400,,,30001,30002,
1034,生命虹吸,暮光首领,SkillIcons/shengminghongxi,对敌方单体目标造成207%的法术伤害，并恢复伤害值100%的生命值,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30024,",,,,,,,,,,20700,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,心灵震爆,巫医、大主教,SkillIcons/xinlingzhenbao,对敌方单体目标造成200%的法术伤害，并有70%的几率使其沉默,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30025,",2,20642,20643,,,,"20,20,0,10,10",,AttackMotionA:20641,20000,,,,,,,,,,,,,,30001,30002,
1037,吸取生命,暮光首领、黑暗院长,SkillIcons/xiqushengming,对敌方造成50%的法术伤害，并恢复伤害值100%的生命值，攻击3次,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,是,是,"150, 150","30024,",2,"20591,20592",20593,,,,,,,5000,,,,,,,,,,,,,,30001,30002,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,天灾打击,摩拉迪姆,SkillIcons/tianzaidaji,对敌方单体目标造成230%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,1,20373,,,,,,,,23000,,,,,,,,,,,,,,30001,30002,
1040,威慑,乌克兹沙顶、沃金,SkillIcons/weishe,在一回合内提升45%格挡、45%抵抗以及22%闪避，并给两边的同伴加25怒气,物理,,是,100,按位置小到大,按位置小到大,攻击者自己,攻击者自己,0,1,,,按位置小到大,按位置小到大,攻击者自己,攻击者自己,,,,,"30021,30022,30023,30031",2,20601,,,,,,,,,,,,,,,,,,,,,,30001,30002,
1041,小群体变形术,阿鲁高,SkillIcons/linshiziyuan_01,将所有敌人变形2回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"20040,20041,",1,14,15,,,,,,,,,,,,,,,,,,,,,30001,30002,
1042,冲锋,豺狼人、凯恩血蹄,SkillIcons/chongfeng,"攻击敌方血量最多的目标,对其造成210%的物理伤害，并有60%的几率使其眩晕",物理,,是,100,按血量从高到低,按血量从高到低,活的,活的,1,0,,,按血量从高到低,按血量从高到低,活的,活的,,,,,"30019,",2,,20632,,,,,,Run2Target:20631,21000,,,,,,,,,,,,,,30001,30002,
1043,飓风,塞纳留斯、被诅咒的塞雷布拉斯,SkillIcons/jufeng,对敌方全部目标造成3波25%的法术伤害，并有50%的几率降低怒气25点,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,,,"500, 500","30016,",2,,,,,,,,AttackMotionA:20671;AttackMotionA2:20672;AttackMotionA3:20673,2500,2500,2500,2500,2500,2500,,,,,,,,,30001,30002,
#,痛苦诅咒,黑暗院长加丁、寇加尔,SkillIcons/tongkuzuzhou,对当前目标和其他随机两个目标造成110%的法术伤害，并有60%的几率使其中毒,法术,,是,100,第一个对位前排后面随机,第一个对位前排后面随机,活的,活的,3,0,,,随机,随机,活的,活的,是,,,,"30013,",2,20721,20722,,,,,,,11000,11000,11000,,,,,,,,,,,,30001,30002,
1045,霍格冲锋,豺狼人、凯恩血蹄,SkillIcons/chongfeng,对敌方血量最多的一个目标造成207%的物理伤害，并使其眩晕,物理,,是,100,按血量从高到低,按血量从高到低,活的,活的,1,0,,,按血量从高到低,按血量从高到低,活的,活的,,,,,"30032,",2,,20632,,,,,,Run2Target:20631,20700,,,,,,,,,,,,,,30001,30002,
1046,死亡缠绕,天灾战士,SkillIcons/shengliaoshu,对敌方血量最少的一个目标造成200%的物理伤害,物理,,是,100,按血量从低到高,按血量从低到高,活的,活的,1,0,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,2,9,10,,,,"20,20,0,1,1",,,20000,,,,,,,,,,,,,,30001,30002,
1047,圣疗术,,SkillIcons/shengliaoshu,治疗己方生命值最低的英雄相当于攻击力105%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,1,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,1,73,,74,,,,,,,,,,,,10500,,,,,,,,30001,30002,
1048,腐臭蜂群,,SkillIcons/fuchoufengqun,对敌方一排目标造成117%的法术伤害，并降低其10%的攻击，持续两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,3,,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30017,",1,10241,,,,,,,,11700,11700,11700,,,,,,,,,,,,30001,30002,
1049,血液沸腾,塔隆血魔,SkillIcons/xueyefeiteng,对敌方全部目标造成75%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,2,,,,,,,,,7500,7500,7500,7500,7500,7500,,,,,,,,,30001,30002,
1050,致死打击,战士,SkillIcons/zhisidaji_01,对敌方单体目标造成207%的物理伤害，并降低其受到治疗量35%，持续四回合,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"10164,10165,",1,10291,10292,,,,"20,20,0,1,1",,,20700,,,,,,,,,,,,,,30001,30002,
1051,破甲攻击,战士,SkillIcons/pojiagongji_01,对敌方单体目标造成207%的物理伤害，并降低其10%的护甲，持续四回合,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"10166,10167,",1,10201,10202,,,,"20,20,0,1,1",,,20700,,,,,,,,,,,,,,30001,30002,
1052,凛风冲击 ,死亡骑士,SkillIcons/linshiziyuan_02,对敌方全部目标造成72%的物理伤害，并冰冻两回合,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,30049,2,20902,,,,,,,AttackMotionA:20901,7200,7200,7200,7200,7200,7200,,,,,,,,,30001,30002,
1053,凶猛撕咬,德鲁伊,SkillIcons/siyao,对敌方随机单体目标造成210%的物理伤害，并有70%几率缴械2回合,物理,,是,100,随机,随机,活的,活的,1,0,,,随机,随机,活的,活的,,,,,30050,1,,,,,,,,,21000,,,,,,,,,,,,,,30001,30002,
#铭文增强怒气技能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,剑刃乱舞Ⅱ,大范2,SkillIcons/jianrenluanwu,对敌方单体目标造成118%的物理伤害，攻击3次,物理,,是,100,随机,随机,活的,活的,1,0,2,是,随机,随机,活的,活的,,,,,,2,,8,,,,,,,11800,11800,11800,,,,,,,,,,,,30001,30002,
10021,风暴之锤Ⅱ,山丘之王,SkillIcons/fengbaozhichui,对敌方一排目标造成127%的物理伤害并有20%的几率造成眩晕,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,3,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30008,",2,6,7,,,,"20,20,0,10,10",,,12636,12636,12636,,,,,,,,,,,,30001,30002,
10031,宁静Ⅱ,月之女祭司,SkillIcons/ningjing,引导技能，治疗己方全体相当于攻击力13%的生命值，持续3次,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,6,2,是,按血量从低到高,按血量从低到高,活的,活的,是,,,,,2,4,,,,,,,,,,,,,,1231,1231,1231,1231,1231,1231,,,30001,30002,
10041,烧尽Ⅱ,基丹,SkillIcons/shaojin,对敌方一列目标造成143%的法术伤害，并有53%的几率附加燃烧状态两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,2,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,"30051,",1,"10271,10272",10273,,,,,,,14280,12600,,,,,,,,,,,,,30001,30002,
10051,烈焰风暴Ⅱ,逐日者,SkillIcons/lieyanfengbao,对敌方全体目标造成67%的法术伤害，并有33%的几率附加燃烧状态两回合,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,"30052,",2,1008,,,,,,,AttackMotionA:1007,6720,6720,6720,6720,6720,6720,,,,,,,,,30001,30002,
10061,神圣新星Ⅱ,大检察官,SkillIcons/shenshengxinxing,对敌方全体目标造成41%的法术伤害，治疗己方全体相当于攻击力18%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,6,6,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,2,53,56,55,,,,,AttackMotionA:54,4050,4050,4050,4050,4050,4050,1836,1836,1836,1836,1836,1836,,,30001,30002,
10071,圣盾术Ⅱ,大帝,SkillIcons/shengdunshu,为自己添加无敌效果一回合（至多抵挡3次伤害），并驱散身上所有debuff,物理,,是,100,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,0,1,,,对位并且前排优先,对位并且前排优先,攻击者自己,攻击者自己,,,,,"30053,30009,",2,,,,,,,,AttackMotionA2:48,,,,,,,,,,,,,,,30001,30002,
10081,治疗链Ⅱ,天灾首领,SkillIcons/zhiliaolian,治疗己方生命值最低英雄相当于攻击力63%的生命值，并会随机延展到其他2个英雄身上，每次效果下降,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,1,2,否,随机,随机,活的,活的,是,,,,,1,20322,,20323,,,,,AttackMotionA:20321,,,,,,,6264,5724,4860,,,,,,30001,30002,
10091,风暴打击Ⅱ,霜狼督军,SkillIcons/fengbaodaji,对敌方一列目标造成180%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,3,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,,1,83,84,,,,"20,20,0,15,10",,,18000,15800,,,,,,,,,,,,,30001,30002,
10101,放气Ⅱ,瑟莱德丝公主,SkillIcons/linshiziyuan_02,对敌方全部目标造成81%的法术伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,2,60,61,,,,,,,8100,8100,8100,8100,8100,8100,,,,,,,,,30001,30002,
10111,刀扇Ⅱ,守望者,SkillIcons/daoshan,对敌方一排目标造成126%的物理伤害，并有50%的几率降低25点怒气,物理,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,3,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一排,活的,,,,,"30016,",2,10301,,,,,,,,12636,12636,12636,,,,,,,,,,,,30001,30002,
10121,伏击Ⅱ,刺客,SkillIcons/fuji,对敌方单体目标造成248%的物理伤害,物理,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,,,对位并且前排优先,对位并且前排优先,活的,活的,,,,,,1,,,,,,"20,20,0,10,10",,,24840,,,,,,,,,,,,,,30001,30002,
10131,治疗之环Ⅱ,神仙姐姐,SkillIcons/zhiliaozhihuan,治疗己方生命值最低的三个英雄相当于攻击力57%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,3,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,1,,,,,,,,,,,,,,,5724,5724,5724,,,,,,30001,30002,
#,#,冰锥术,SkillIcons/bingzhuishu,对敌方一列目标造成170%的法术伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,2,0,,,对位并且前排优先,对位并且前排优先,第一个活的那一列,活的,,,,,,1,"42,43",44,,,,,500,AttackMotionA:43,18360,16200,,,,,,,,,,,,,30001,30002,
10151,圣疗术Ⅱ,,SkillIcons/shengliaoshu,为己方一个英雄恢复相当于攻击力113%的生命值,法术,,是,100,按血量从低到高,按血量从低到高,活的,活的,0,1,,,按血量从低到高,按血量从低到高,活的,活的,,,,,,2,73,,74,,,,,,,,,,,,11340,,,,,,,,30001,30002,
#,噬灵瘟疫Ⅱ,,SkillIcons/linshiziyuan_04,,,,是,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30001,30002,
10171,奥术飞弹Ⅱ,大法师,SkillIcons/aoshufeidan,对敌方单体目标造成118%的法术伤害，攻击3次,法术,,是,100,随机,随机,活的,活的,1,0,2,是,随机,随机,活的,活的,是,,,,,2,20663,20664,,,,,,AttackMotionA:20661;AttackMotionA2:20662,11800,11800,11800,,,,,,,,,,,,30001,30002,
10181,暴风雪Ⅱ,克总,SkillIcons/baofengxue,对敌方全体造成3波29%的法术伤害,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,6,0,2,是,对位并且前排优先,对位并且前排优先,活的,活的,是,,,"250, 700",,2,,,,,,,,AttackMotionA2:2,2916,2916,2916,2916,2916,2916,,,,,,,,,30001,30002,
10191,闪电链Ⅱ,萨尔,SkillIcons/shandianlian,对敌方随机目标造成119%的法术伤害，并延展到其他3个随机目标身上，每次效果下降,法术,,是,100,对位并且前排优先,对位并且前排优先,活的,活的,1,0,3,否,随机,随机,活的,活的,是,,,,,1,20652,20653,,,,,,AttackMotionA:20651,11880,10800,9720,8640,,,,,,,,,,,30001,30002,
