Table:CsvISHeroAward,,,
tid,need_score,items:a,items_count:a
20103,"2012,50044,40022,107,","50,1,25,450000,",350
20104,"2012,50024,40022,107,","50,40,20,420000,",300
20105,"2012,50024,40022,107,","50,40,20,400000,",300
20106,"2012,50024,40022,107,","50,40,15,390000,",300
20107,"2012,50024,40022,107,","40,30,15,380000,",200
20108,"2012,50024,40022,107,","40,30,15,370000,",200
20109,"2012,50024,40022,107,","40,30,15,360000,",200
20110,"2012,50024,40022,107,","40,30,15,350000,",200
20111,"2012,50024,40022,107,","30,20,10,340000,",100
20112,"2012,50024,40022,107,","30,20,10,330000,",100
20113,"2012,50024,40022,107,","30,20,10,320000,",100
20114,"2012,50024,40022,107,","30,20,10,310000,",100
20115,"2012,50024,40022,107,","30,20,10,300000,",100
20116,"2012,50024,40022,107,","30,20,10,290000,",100
20117,"2012,50024,40022,107,","30,20,10,280000,",100
20118,"2012,50024,40022,107,","30,20,10,270000,",100
20119,"2012,50024,40022,107,","30,20,10,260000,",100
20120,"2012,50024,40022,107,","30,20,10,250000,",100
20121,"2012,50024,40022,107,","20,10,5,240000,",50
20122,"2012,50024,40022,107,","20,10,5,230000,",50
20123,"2012,50024,40022,107,","20,10,5,220000,",50
20124,"2012,50024,40022,107,","20,10,5,210000,",50
20125,"2012,50024,40022,107,","20,10,5,200000,",50
20126,"2012,50024,40022,107,","20,10,5,190000,",50
20127,"2012,50024,40022,107,","20,10,5,180000,",50
20128,"2012,50024,40022,107,","20,10,5,170000,",50
20129,"2012,50024,40022,107,","20,10,5,160000,",50
20130,"2012,50024,40022,107,","20,10,5,150000,",50
#,,,
30101,"2027,50044,40022,107,","50,2,30,500000,",400
30102,"2027,50044,40022,107,","50,1,25,480000,",350
30103,"2027,50044,40022,107,","50,1,25,450000,",350
30104,"2027,50024,40022,107,","50,40,20,420000,",300
30105,"2027,50024,40022,107,","50,40,20,400000,",300
30106,"2027,50024,40022,107,","50,40,15,390000,",300
30107,"2027,50024,40022,107,","40,30,15,380000,",200
30108,"2027,50024,40022,107,","40,30,15,370000,",200
30109,"2027,50024,40022,107,","40,30,15,360000,",200
30110,"2027,50024,40022,107,","40,30,15,350000,",200
30111,"2027,50024,40022,107,","30,20,10,340000,",100
30112,"2027,50024,40022,107,","30,20,10,330000,",100
30113,"2027,50024,40022,107,","30,20,10,320000,",100
30114,"2027,50024,40022,107,","30,20,10,310000,",100
30115,"2027,50024,40022,107,","30,20,10,300000,",100
30116,"2027,50024,40022,107,","30,20,10,290000,",100
30117,"2027,50024,40022,107,","30,20,10,280000,",100
30118,"2027,50024,40022,107,","30,20,10,270000,",100
30119,"2027,50024,40022,107,","30,20,10,260000,",100
30120,"2027,50024,40022,107,","30,20,10,250000,",100
30121,"2027,50024,40022,107,","20,10,5,240000,",50
30122,"2027,50024,40022,107,","20,10,5,230000,",50
30123,"2027,50024,40022,107,","20,10,5,220000,",50
30124,"2027,50024,40022,107,","20,10,5,210000,",50
30125,"2027,50024,40022,107,","20,10,5,200000,",50
30126,"2027,50024,40022,107,","20,10,5,190000,",50
30127,"2027,50024,40022,107,","20,10,5,180000,",50
30128,"2027,50024,40022,107,","20,10,5,170000,",50
30129,"2027,50024,40022,107,","20,10,5,160000,",50
30130,"2027,50024,40022,107,","20,10,5,150000,",50
#,,,
40101,"2020,50044,40022,107,","50,2,30,500000,",400
40102,"2020,50044,40022,107,","50,1,25,480000,",350
40103,"2020,50044,40022,107,","50,1,25,450000,",350
40104,"2020,50024,40022,107,","50,40,20,420000,",300
40105,"2020,50024,40022,107,","50,40,20,400000,",300
40106,"2020,50024,40022,107,","50,40,15,390000,",300
40107,"2020,50024,40022,107,","40,30,15,380000,",200
40108,"2020,50024,40022,107,","40,30,15,370000,",200
40109,"2020,50024,40022,107,","40,30,15,360000,",200
40110,"2020,50024,40022,107,","40,30,15,350000,",200
40111,"2020,50024,40022,107,","30,20,10,340000,",100
40112,"2020,50024,40022,107,","30,20,10,330000,",100
40113,"2020,50024,40022,107,","30,20,10,320000,",100
40114,"2020,50024,40022,107,","30,20,10,310000,",100
40115,"2020,50024,40022,107,","30,20,10,300000,",100
40116,"2020,50024,40022,107,","30,20,10,290000,",100
40117,"2020,50024,40022,107,","30,20,10,280000,",100
40118,"2020,50024,40022,107,","30,20,10,270000,",100
40119,"2020,50024,40022,107,","30,20,10,260000,",100
40120,"2020,50024,40022,107,","30,20,10,250000,",100
40121,"2020,50024,40022,107,","20,10,5,240000,",50
40122,"2020,50024,40022,107,","20,10,5,230000,",50
40123,"2020,50024,40022,107,","20,10,5,220000,",50
40124,"2020,50024,40022,107,","20,10,5,210000,",50
40125,"2020,50024,40022,107,","20,10,5,200000,",50
40126,"2020,50024,40022,107,","20,10,5,190000,",50
40127,"2020,50024,40022,107,","20,10,5,180000,",50
40128,"2020,50024,40022,107,","20,10,5,170000,",50
40129,"2020,50024,40022,107,","20,10,5,160000,",50
40130,"2020,50024,40022,107,","20,10,5,150000,",50
#,,,
50101,"2025,50044,40022,107,","50,2,30,500000,",400
50102,"2025,50044,40022,107,","50,1,25,480000,",350
50103,"2025,50044,40022,107,","50,1,25,450000,",350
50104,"2025,50024,40022,107,","50,40,20,420000,",300
50105,"2025,50024,40022,107,","50,40,20,400000,",300
50106,"2025,50024,40022,107,","50,40,15,390000,",300
50107,"2025,50024,40022,107,","40,30,15,380000,",200
50108,"2025,50024,40022,107,","40,30,15,370000,",200
50109,"2025,50024,40022,107,","40,30,15,360000,",200
50110,"2025,50024,40022,107,","40,30,15,350000,",200
50111,"2025,50024,40022,107,","30,20,10,340000,",100
50112,"2025,50024,40022,107,","30,20,10,330000,",100
50113,"2025,50024,40022,107,","30,20,10,320000,",100
50114,"2025,50024,40022,107,","30,20,10,310000,",100
50115,"2025,50024,40022,107,","30,20,10,300000,",100
50116,"2025,50024,40022,107,","30,20,10,290000,",100
50117,"2025,50024,40022,107,","30,20,10,280000,",100
50118,"2025,50024,40022,107,","30,20,10,270000,",100
50119,"2025,50024,40022,107,","30,20,10,260000,",100
50120,"2025,50024,40022,107,","30,20,10,250000,",100
50121,"2025,50024,40022,107,","20,10,5,240000,",50
50122,"2025,50024,40022,107,","20,10,5,230000,",50
50123,"2025,50024,40022,107,","20,10,5,220000,",50
50124,"2025,50024,40022,107,","20,10,5,210000,",50
50125,"2025,50024,40022,107,","20,10,5,200000,",50
50126,"2025,50024,40022,107,","20,10,5,190000,",50
50127,"2025,50024,40022,107,","20,10,5,180000,",50
50128,"2025,50024,40022,107,","20,10,5,170000,",50
50129,"2025,50024,40022,107,","20,10,5,160000,",50
50130,"2025,50024,40022,107,","20,10,5,150000,",50
#,,,
60101,"2004,50044,40022,107,","50,2,30,500000,",400
60102,"2004,50044,40022,107,","50,1,25,480000,",350
60103,"2004,50044,40022,107,","50,1,25,450000,",350
60104,"2004,50024,40022,107,","50,40,20,420000,",300
60105,"2004,50024,40022,107,","50,40,20,400000,",300
60106,"2004,50024,40022,107,","50,40,15,390000,",300
60107,"2004,50024,40022,107,","40,30,15,380000,",200
60108,"2004,50024,40022,107,","40,30,15,370000,",200
60109,"2004,50024,40022,107,","40,30,15,360000,",200
60110,"2004,50024,40022,107,","40,30,15,350000,",200
60111,"2004,50024,40022,107,","30,20,10,340000,",100
60112,"2004,50024,40022,107,","30,20,10,330000,",100
60113,"2004,50024,40022,107,","30,20,10,320000,",100
60114,"2004,50024,40022,107,","30,20,10,310000,",100
60115,"2004,50024,40022,107,","30,20,10,300000,",100
60116,"2004,50024,40022,107,","30,20,10,290000,",100
60117,"2004,50024,40022,107,","30,20,10,280000,",100
60118,"2004,50024,40022,107,","30,20,10,270000,",100
60119,"2004,50024,40022,107,","30,20,10,260000,",100
60120,"2004,50024,40022,107,","30,20,10,250000,",100
60121,"2004,50024,40022,107,","20,10,5,240000,",50
60122,"2004,50024,40022,107,","20,10,5,230000,",50
60123,"2004,50024,40022,107,","20,10,5,220000,",50
60124,"2004,50024,40022,107,","20,10,5,210000,",50
60125,"2004,50024,40022,107,","20,10,5,200000,",50
60126,"2004,50024,40022,107,","20,10,5,190000,",50
60127,"2004,50024,40022,107,","20,10,5,180000,",50
60128,"2004,50024,40022,107,","20,10,5,170000,",50
60129,"2004,50024,40022,107,","20,10,5,160000,",50
60130,"2004,50024,40022,107,","20,10,5,150000,",50
