Table:CsvItem,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,type:ItemType,max_num,desc:s,icon_path:s,icon_path_s:s,is_sell:b,sell_price,display_color:ItemColor,sort_order,equip_limited_lv,exchange_cost,exchange_limited_lv,equip_main_attr0:AttrType,equip_standard_value0,equip_inc_value0,equip_main_attr1:AttrType,equip_standard_value1,equip_inc_value1,const_type1:ConstType,const_type2:ConstType,is_use:b
31024,仙女座,星座,1,法防+72，每升一级法防+72,Icon/xzxt_xz_xn,Constellation/xzxt_b,0,0,蓝,0,0,0,0,法术防御,72,72,无,0,0,法防型,无,1
31025,凤凰座,星座,1,血量+400，每升一级血量+400,Icon/xzxt_xz_fh,Constellation/xzxt_b,0,0,蓝,0,0,0,0,血量,400,400,无,0,0,血量型,无,1
31026,天马座,星座,1,命中+0.5%，每升一级命中+0.5%,Icon/xzxt_xz_tm,Constellation/xzxt_b,0,0,蓝,0,0,0,0,命中,50,50,无,0,0,命中型,无,1
31027,独角兽座,星座,1,闪避+0.5%，每升一级闪避+0.5%,Icon/xzxt_xz_djs,Constellation/xzxt_b,0,0,蓝,0,0,0,0,闪避,50,50,无,0,0,闪避型,无,1
31028,水蛇座,星座,1,暴击+1%，每升一级暴击+1%,Icon/xzxt_xz_ss,Constellation/xzxt_b,0,0,蓝,0,0,0,0,暴击,100,100,无,0,0,暴击型,无,1
31029,幼狮座,星座,1,格挡+1%，每升一级格挡+1%,Icon/xzxt_xz_ys,Constellation/xzxt_b,0,0,蓝,0,0,0,0,格挡,100,100,无,0,0,格挡型,无,1
31030,变色龙座,星座,1,抵抗+1%，每升一级抵抗+1%,Icon/xzxt_xz_bsl,Constellation/xzxt_b,0,0,蓝,0,0,0,0,抵抗,100,100,无,0,0,抵抗型,无,1
#,天狼座,星座,1,,Icon/xzxt_Aries,Constellation/xzxt_b,0,0,蓝,0,0,0,99999,,0,0,无,0,0,,,1
#,蓝12,星座,1,,Icon/xzxt_Aquarius,Constellation/xzxt_b,0,0,蓝,0,0,0,99999,,0,0,无,0,0,,,1
#,蓝13,星座,1,,Icon/xzxt_Aries,Constellation/xzxt_b,0,0,蓝,0,0,0,99999,,0,0,无,0,0,,,1
#,蓝14,星座,1,,Icon/xzxt_Cancer,Constellation/xzxt_b,0,0,蓝,0,0,0,99999,,0,0,无,0,0,,,1
#,蓝15,星座,1,,Icon/xzxt_Capricorn,Constellation/xzxt_b,0,0,蓝,0,0,0,99999,,0,0,无,0,0,,,1
31041,天鹰座,星座,1,物攻+240，每升一级物攻+240,Icon/xzxt_xz_ty,Constellation/xzxt_p,0,0,紫,0,0,5,0,物理攻击,240,240,无,0,0,物攻型,无,1
31042,白鲸座,星座,1,法攻+240，每升一级法攻+240,Icon/xzxt_xz_bj,Constellation/xzxt_p,0,0,紫,0,0,5,0,法术攻击,240,240,无,0,0,法攻型,无,1
31043,蜥蜴座,星座,1,物防+144，每升一级物防+144,Icon/xzxt_xz_xy,Constellation/xzxt_p,0,0,紫,0,0,5,0,物理防御,144,144,无,0,0,物防型,无,1
31044,半人马座,星座,1,法防+144，每升一级法防+144,Icon/xzxt_xz_brm,Constellation/xzxt_p,0,0,紫,0,0,5,0,法术防御,144,144,无,0,0,法防型,无,1
31045,猎犬座,星座,1,速度+120，每升一级速度+120,Icon/xzxt_xz_lq,Constellation/xzxt_p,0,0,紫,0,0,5,0,速度,120,120,无,0,0,速度型,无,1
31046,乌鸦座,星座,1,血量+800，每升一级血量+800,Icon/xzxt_xz_wy,Constellation/xzxt_p,0,0,紫,0,0,5,0,血量,800,800,无,0,0,血量型,无,1
31047,天箭座,星座,1,命中+1%，每升一级命中+1%,Icon/xzxt_xz_tj,Constellation/xzxt_p,0,0,紫,0,0,5,0,命中,100,100,无,0,0,命中型,无,1
31048,御夫座,星座,1,闪避+1%，每升一级闪避+1%,Icon/xzxt_xz_yf,Constellation/xzxt_p,0,0,紫,0,0,5,0,闪避,100,100,无,0,0,闪避型,无,1
31049,地狱犬座,星座,1,暴击+2%，每升一级暴击+2%,Icon/xzxt_xz_dyq,Constellation/xzxt_p,0,0,紫,0,0,5,0,暴击,200,200,无,0,0,暴击型,无,1
31050,银蝇座,星座,1,格挡+2%，每升一级格挡+2%,Icon/xzxt_xz_yy,Constellation/xzxt_p,0,0,紫,0,0,5,0,格挡,200,200,无,0,0,格挡型,无,1
31051,武仙座,星座,1,抵抗+2%，每升一级抵抗+2%,Icon/xzxt_xz_xw,Constellation/xzxt_p,0,0,紫,0,0,5,0,抵抗,200,200,无,0,0,抵抗型,无,1
31052,蜘蛛座,星座,1,穿透+2%，每升一级穿透+2%,Icon/xzxt_xz_zz,Constellation/xzxt_p,0,0,紫,0,0,5,0,穿透,200,200,无,0,0,穿透型,无,1
#,仙王座,星座,1,,Icon/xzxt_Cancer,Constellation/xzxt_p,0,0,紫,0,0,5,99999,,0,0,无,0,0,,,1
#,英仙座,星座,1,,Icon/xzxt_Cancer,Constellation/xzxt_p,0,0,紫,0,0,5,99999,,0,0,无,0,0,,,1
#,天琴座,星座,1,,Icon/xzxt_Aquarius,Constellation/xzxt_p,0,0,紫,0,0,5,99999,,0,0,无,0,0,,,1
#,紫16,星座,1,,Icon/xzxt_Aries,Constellation/xzxt_p,0,0,紫,0,0,5,99999,,0,0,无,0,0,,,1
#,紫17,星座,1,,Icon/xzxt_Cancer,Constellation/xzxt_p,0,0,紫,0,0,5,99999,,0,0,无,0,0,,,1
31061,摩羯座,星座,1,物攻+480，每升一级物攻+480,Icon/xzxt_Capricorn,Constellation/xzxt_o,0,0,橙,0,0,20,0,物理攻击,480,480,无,0,0,物攻型,无,1
31062,金牛座,星座,1,法攻+480，每升一级法攻+480,Icon/xzxt_Taurus,Constellation/xzxt_o,0,0,橙,0,0,20,0,法术攻击,480,480,无,0,0,法攻型,无,1
31063,双子座,星座,1,物防+288，每升一级物防+288,Icon/xzxt_Gemini,Constellation/xzxt_o,0,0,橙,0,0,20,50,物理防御,288,288,无,0,0,物防型,无,1
31064,巨蟹座,星座,1,法防+288，每升一级法防+288,Icon/xzxt_Cancer,Constellation/xzxt_o,0,0,橙,0,0,20,50,法术防御,288,288,无,0,0,法防型,无,1
31065,狮子座,星座,1,血量+1600，每升一级血量+1600,Icon/xzxt_Leo,Constellation/xzxt_o,0,0,橙,0,0,20,0,血量,1600,1600,无,0,0,血量型,无,1
31066,射手座,星座,1,命中+2%，每升一级命中+2%,Icon/xzxt_Sagittarius ,Constellation/xzxt_o,0,0,橙,0,0,20,50,命中,200,200,无,0,0,命中型,无,1
31067,白羊座,星座,1,闪避+2%，每升一级闪避+2%,Icon/xzxt_Aries,Constellation/xzxt_o,0,0,橙,0,0,20,50,闪避,200,200,无,0,0,闪避型,无,1
31068,天蝎座,星座,1,暴击+3%，每升一级暴击+3%,Icon/xzxt_Scorpio,Constellation/xzxt_o,0,0,橙,0,0,20,50,暴击,300,300,无,0,0,暴击型,无,1
31069,处女座,星座,1,韧性+3%，每升一级韧性+3%,Icon/xzxt_Virgo,Constellation/xzxt_o,0,0,橙,0,0,20,50,韧性,300,300,无,0,0,韧性型,无,1
31070,天秤座,星座,1,格挡+3%，每升一级格挡+3%,Icon/xzxt_Libra,Constellation/xzxt_o,0,0,橙,0,0,20,50,格挡,300,300,无,0,0,格挡型,无,1
31071,水瓶座,星座,1,抵抗+3%，每升一级抵抗+3%,Icon/xzxt_Aquarius,Constellation/xzxt_o,0,0,橙,0,0,20,50,抵抗,300,300,无,0,0,抵抗型,无,1
31072,双鱼座,星座,1,穿透+3%，每升一级穿透+3%,Icon/xzxt_Pisces,Constellation/xzxt_o,0,0,橙,0,0,20,50,穿透,300,300,无,0,0,穿透型,无,1
31073,蛇夫座,星座,1,暴击加伤+3%，每升一级暴击加伤+3%,Icon/xzxt_xz_sf,Constellation/xzxt_o,0,0,橙,0,0,20,99999,暴伤,300,300,无,0,0,暴伤型,无,1
31074,鲸鱼座,星座,1,速度+240，每升一级速度+240,Icon/xzxt_Aquarius,Constellation/xzxt_o,0,0,橙,0,0,20,50,速度,240,240,无,0,0,速度型,无,1
#,橙15,星座,1,,Icon/xzxt_Aries,Constellation/xzxt_o,0,0,橙,0,0,20,99999,,0,0,无,0,0,,,1
#,橙16,星座,1,,Icon/xzxt_Cancer,Constellation/xzxt_o,0,0,橙,0,0,20,99999,,0,0,无,0,0,,,1
#,橙17,星座,1,,Icon/xzxt_Capricorn,Constellation/xzxt_o,0,0,橙,0,0,20,99999,,0,0,无,0,0,,,1
31081,战神阿瑞斯,星座,1,物攻+480，物防+288，每升一级物攻+480，物防+288,Icon/xzxt_zhanshenaruisi,Constellation/xzxt_r,0,0,红,0,0,100,99999,物理攻击,480,480,物理防御,288,288,物攻型,物防型,1
31082,女神雅典娜,星座,1,法攻+480，法防+288，每升一级法攻+480，法防+288,Icon/xzxt_nvshenyadianna,Constellation/xzxt_r,0,0,红,0,0,100,99999,法术攻击,480,480,法术防御,288,288,法攻型,法防型,1
31083,赫拉克勒斯,星座,1,,Icon/xzxt_Aquarius,Constellation/xzxt_r,0,0,红,0,0,100,99999,物理防御,576,576,无,0,0,物防型,无,1
31084,天后赫拉,星座,1,格挡+3%，抵抗+3%，每升一级格挡+3%，抵抗+3%,Icon/xzxt_tianhouhela,Constellation/xzxt_r,0,0,红,0,0,100,99999,格挡,300,300,抵抗,300,300,格挡型,抵抗型,1
31085,月神阿尔忒弥斯,星座,1,,Icon/xzxt_Cancer,Constellation/xzxt_r,0,0,红,0,0,100,99999,速度,480,480,无,0,0,速度型,无,1
31086,爱神维纳斯,星座,1,血量+1600，速度+240，每升一级血量+1600，速度+240,Icon/xzxt_aishenweinasi,Constellation/xzxt_r,0,0,红,0,0,100,99999,血量,1600,1600,速度,240,240,血量型,速度型,1
31087,太阳神阿波罗,星座,1,命中+2%，穿透+3%，每升一级命中+2%，穿透+3%,Icon/xzxt_taiyangshenaboluo,Constellation/xzxt_r,0,0,红,0,0,100,99999,命中,200,200,穿透,300,300,命中型,穿透型,1
31088,海皇波塞冬,星座,1,闪避+2%，韧性+3%，每升一级闪避+2%，韧性+3%,Icon/xzxt_haihuangbosaidong,Constellation/xzxt_r,0,0,红,0,0,100,99999,闪避,200,200,韧性,300,300,闪避型,韧性型,1
31089,红9,星座,1,,Icon/xzxt_Cancer,Constellation/xzxt_r,0,0,红,0,0,100,99999,闪避,200,200,韧性,300,300,闪避型,韧性型,1
31090,雷神宙斯,星座,1,暴击+3%，暴伤+3%，每升一级暴击+3%，暴伤+3%,Icon/xzxt_leishenzhousi,Constellation/xzxt_r,0,0,红,0,0,100,99999,暴击,300,300,暴伤,300,300,暴击型,暴伤型,1
#,红11,星座,1,,Icon/xzxt_Aquarius,Constellation/xzxt_r,0,0,红,0,0,100,99999,,0,0,无,0,0,,,1
#,红12,星座,1,,Icon/xzxt_Aries,Constellation/xzxt_r,0,0,红,0,0,100,99999,,0,0,无,0,0,,,1
#,红13,星座,1,,Icon/xzxt_Cancer,Constellation/xzxt_r,0,0,红,0,0,100,99999,,0,0,无,0,0,,,1
#,红14,星座,1,,Icon/xzxt_Capricorn,Constellation/xzxt_r,0,0,红,0,0,100,99999,,0,0,无,0,0,,,1
#,红15,星座,1,,Icon/xzxt_Aquarius,Constellation/xzxt_r,0,0,红,0,0,100,99999,,0,0,无,0,0,,,1
#,红16,星座,1,,Icon/xzxt_Aries,Constellation/xzxt_r,0,0,红,0,0,100,99999,,0,0,无,0,0,,,1
#,红17,星座,1,,Icon/xzxt_Aquarius,Constellation/xzxt_r,0,0,红,0,0,100,99999,,0,0,无,0,0,,,1
