Table:CsvFlipCardAward,,,,,,
tid,name:s,cost_diamond,type:WordToTreasureType,item_id,item_count,word_type:WordType
7005,第五张牌,100,道具,108,200,
7006,第六张牌,200,道具,108,200,
7007,第七张牌,200,道具,40021,2,
7008,第八张牌,300,道具,40021,2,
7009,第九张牌,400,字,,,魔
7010,第十张牌,500,字,,,兽
7011,第十一张牌,600,字,,,世
7012,第十二张牌,800,字,,,界
7013,第十三张牌,1000,字,,,英
7014,第十四张牌,1400,字,,,雄
7015,第十五张牌,1400,字,,,传
7016,第十六张牌,1400,字,,,说
,,,,,,
Table:CsvWordToTreasureAward,,,,,,
tid,name:s,item_id,item_count,,,
#集字换宝---闪避不卖,,,,,,
1017,魔兽世界英雄传说,50045,1,,,
1018,魔兽世界,200321,1,,,
1019,英雄传说,200322,1,,,
1020,单个文字,103,100,,,
#集字换宝---命中,,,,,,
2017,魔兽世界英雄传说,50046,1,,,
2018,魔兽世界,200221,1,,,
2019,英雄传说,200222,1,,,
2020,单个文字,103,100,,,
#集字换宝---暴击不卖,,,,,,
3017,魔兽世界英雄传说,50047,1,,,
3018,魔兽世界,200421,1,,,
3019,英雄传说,200422,1,,,
3020,单个文字,103,100,,,
#集字换宝---韧性,,,,,,
4017,魔兽世界英雄传说,50048,1,,,
4018,魔兽世界,200821,1,,,
4019,英雄传说,200822,1,,,
4020,单个文字,103,100,,,
#集字换宝---格挡,,,,,,
5017,魔兽世界英雄传说,50049,1,,,
5018,魔兽世界,200021,1,,,
5019,英雄传说,200022,1,,,
5020,单个文字,103,100,,,
#集字换宝---穿透,,,,,,
6017,魔兽世界英雄传说,50050,1,,,
6018,魔兽世界,201321,1,,,
6019,英雄传说,201322,1,,,
6020,单个文字,103,100,,,
#集字换宝---抵抗,,,,,,
7017,魔兽世界英雄传说,50051,1,,,
7018,魔兽世界,200121,1,,,
7019,英雄传说,200122,1,,,
7020,单个文字,103,100,,,
