Table:CsvPSkillInfo,,,,,,,,,,,,,,,
tid,name:s,lv_exp,total_exp,attr:AttrType,attr_p,attr_v,color:ItemColor,icon:s,upgradeCostMoney,upgradeCostBookTID:a,upgradeCostBookCount:a,decomposeCostDiamond,decomposeGainItemTID:a,decomposeGainItemCount:a,desc:s
1201,中级格挡,25,-1,格挡,100,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,","1,1,",格挡+1%
1202,中级格挡,40,25,格挡,130,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,","1,1,",格挡+1.3%
1203,中级格挡,60,65,格挡,160,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,","1,1,",格挡+1.6%
1204,中级格挡,80,125,格挡,190,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40041,","1,1,1,",格挡+1.9%
1205,中级格挡,100,205,格挡,225,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40041,","1,1,2,",格挡+2.25%
1206,中级格挡,125,305,格挡,260,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40041,","1,1,3,",格挡+2.6%
1207,中级格挡,150,430,格挡,295,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40041,","1,1,4,",格挡+2.95%
1208,中级格挡,175,580,格挡,330,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40042,","1,1,1,",格挡+3.3%
1209,中级格挡,200,755,格挡,365,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40042,40041,","1,1,1,2,",格挡+3.65%
1210,中级格挡,225,955,格挡,400,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40042,40041,","1,1,1,4,",格挡+4%
1211,中级格挡,255,1180,格挡,450,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40041,","1,1,1,1,",格挡+4.5%
1212,中级格挡,285,1435,格挡,500,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40041,","1,1,1,4,",格挡+5%
1213,中级格挡,315,1720,格挡,550,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40042,40041,","1,1,1,1,2,",格挡+5.5%
1214,中级格挡,345,2035,格挡,600,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,","1,1,2,",格挡+6%
1215,中级格挡,375,2380,格挡,650,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40041,","1,1,2,3,",格挡+6.5%
1216,中级格挡,410,2755,格挡,700,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40042,40041,","1,1,2,1,2,",格挡+7%
1217,中级格挡,445,3165,格挡,750,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40041,","1,1,3,1,",格挡+7.5%
1218,中级格挡,480,3610,格挡,800,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40042,40041,","1,1,3,1,1,",格挡+8%
1219,中级格挡,515,4090,格挡,850,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,","1,1,4,",格挡+8.5%
1220,中级格挡,550,4605,格挡,900,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40042,40041,","1,1,4,1,1,",格挡+9%
1221,中级格挡,590,5155,格挡,960,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40041,","1,1,5,1,",格挡+9.6%
1222,中级格挡,630,5745,格挡,1020,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40042,40041,","1,1,5,1,2,",格挡+10.2%
1223,中级格挡,670,6375,格挡,1080,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40041,","1,1,6,3,",格挡+10.8%
1224,中级格挡,710,7045,格挡,1140,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,","1,1,7,",格挡+11.4%
1225,中级格挡,750,7755,格挡,1200,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40042,40041,","1,1,7,1,2,",格挡+12%
1226,中级格挡,795,8505,格挡,1260,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40042,","1,1,8,1,",格挡+12.6%
1227,中级格挡,840,9300,格挡,1320,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40041,","1,1,9,3,",格挡+13.2%
1228,中级格挡,885,10140,格挡,1380,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40041,","1,1,10,1,",格挡+13.8%
1229,中级格挡,930,11025,格挡,1440,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,","1,1,11,",格挡+14.4%
1230,中级格挡,975,11955,格挡,1500,,蓝,Icon/20002gedang_lan_64,300000,20003,1,200,"20002,20001,40043,40042,40041,","1,1,11,1,4,",格挡+15%
1301,高级格挡,50,-1,格挡,200,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,","1,1,1,",格挡+2%
1302,高级格挡,80,50,格挡,260,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,","1,1,1,",格挡+2.6%
1303,高级格挡,120,130,格挡,320,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40041,","1,1,1,1,",格挡+3.2%
1304,高级格挡,160,250,格挡,380,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40041,","1,1,1,2,",格挡+3.8%
1305,高级格挡,200,410,格挡,450,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40041,","1,1,1,4,",格挡+4.5%
1306,高级格挡,250,610,格挡,520,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40042,40041,","1,1,1,1,1,",格挡+5.2%
1307,高级格挡,300,860,格挡,590,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40042,40041,","1,1,1,1,3,",格挡+5.9%
1308,高级格挡,350,1160,格挡,660,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,1,1,",格挡+6.6%
1309,高级格挡,400,1510,格挡,730,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40042,","1,1,1,1,1,",格挡+7.3%
1310,高级格挡,450,1910,格挡,800,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40042,40041,","1,1,1,1,1,4,",格挡+8%
1311,高级格挡,510,2360,格挡,900,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,2,3,",格挡+9%
1312,高级格挡,570,2870,格挡,1000,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40042,40041,","1,1,1,2,1,3,",格挡+10%
1313,高级格挡,630,3440,格挡,1100,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,3,4,",格挡+11%
1314,高级格挡,690,4070,格挡,1200,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,","1,1,1,4,",格挡+12%
1315,高级格挡,750,4760,格挡,1300,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40042,40041,","1,1,1,4,1,2,",格挡+13%
1316,高级格挡,820,5510,格挡,1400,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40042,","1,1,1,5,1,",格挡+14%
1317,高级格挡,890,6330,格挡,1500,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,6,3,",格挡+15%
1318,高级格挡,960,7220,格挡,1600,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,7,2,",格挡+16%
1319,高级格挡,1030,8180,格挡,1700,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,8,1,",格挡+17%
1320,高级格挡,1100,9210,格挡,1800,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,9,2,",格挡+18%
1321,高级格挡,1180,10310,格挡,1920,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,10,3,",格挡+19.2%
1322,高级格挡,1260,11490,格挡,2040,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,11,4,",格挡+20.4%
1323,高级格挡,1340,12750,格挡,2160,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40042,40041,","1,1,1,12,1,2,",格挡+21.6%
1324,高级格挡,1420,14090,格挡,2280,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,","1,1,1,14,",格挡+22.8%
1325,高级格挡,1500,15510,格挡,2400,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40042,","1,1,1,15,1,",格挡+24%
1326,高级格挡,1590,17010,格挡,2520,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,","1,1,1,17,",格挡+25.2%
1327,高级格挡,1680,18600,格挡,2640,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40042,40041,","1,1,1,18,1,1,",格挡+26.4%
1328,高级格挡,1770,20280,格挡,2760,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40041,","1,1,1,20,2,",格挡+27.6%
1329,高级格挡,1860,22050,格挡,2880,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,","1,1,1,22,",格挡+28.8%
1330,高级格挡,1950,23910,格挡,3000,,紫,Icon/20003gedang_zi_64,500000,20004,1,300,"20003,20002,20001,40043,40042,40041,","1,1,1,23,1,4,",格挡+30%
#抵抗,,,,,,,,,,,,,,,
2101,初级抵抗,12,-1,抵抗,50,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,","1,",抵抗+0.5%
2102,初级抵抗,20,12,抵抗,65,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,","1,",抵抗+0.65%
2103,初级抵抗,30,32,抵抗,80,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,","1,",抵抗+0.8%
2104,初级抵抗,40,62,抵抗,95,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,","1,",抵抗+0.95%
2105,初级抵抗,50,102,抵抗,112,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40041,","1,1,",抵抗+1.12%
2106,初级抵抗,62,152,抵抗,130,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40041,","1,1,",抵抗+1.3%
2107,初级抵抗,75,214,抵抗,147,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40041,","1,2,",抵抗+1.47%
2108,初级抵抗,87,289,抵抗,165,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40041,","1,2,",抵抗+1.65%
2109,初级抵抗,100,376,抵抗,182,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40041,","1,3,",抵抗+1.82%
2110,初级抵抗,112,476,抵抗,200,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40041,","1,4,",抵抗+2%
2111,初级抵抗,127,588,抵抗,225,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40042,","1,1,",抵抗+2.25%
2112,初级抵抗,142,715,抵抗,250,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40042,40041,","1,1,2,",抵抗+2.5%
2113,初级抵抗,157,857,抵抗,275,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40042,40041,","1,1,3,",抵抗+2.75%
2114,初级抵抗,172,1014,抵抗,300,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,","1,1,",抵抗+3%
2115,初级抵抗,187,1186,抵抗,325,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40041,","1,1,1,",抵抗+3.25%
2116,初级抵抗,205,1373,抵抗,350,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40041,","1,1,3,",抵抗+3.5%
2117,初级抵抗,222,1578,抵抗,375,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40042,","1,1,1,",抵抗+3.75%
2118,初级抵抗,240,1800,抵抗,400,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40042,40041,","1,1,1,3,",抵抗+4%
2119,初级抵抗,257,2040,抵抗,425,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,","1,2,",抵抗+4.25%
2120,初级抵抗,275,2297,抵抗,450,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40041,","1,2,2,",抵抗+4.5%
2121,初级抵抗,295,2572,抵抗,480,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40042,","1,2,1,",抵抗+4.8%
2122,初级抵抗,315,2867,抵抗,510,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40042,40041,","1,2,1,3,",抵抗+5.1%
2123,初级抵抗,335,3182,抵抗,540,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40041,","1,3,1,",抵抗+5.4%
2124,初级抵抗,355,3517,抵抗,570,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40042,","1,3,1,",抵抗+5.7%
2125,初级抵抗,375,3872,抵抗,600,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40042,40041,","1,3,1,3,",抵抗+6%
2126,初级抵抗,397,4247,抵抗,630,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40041,","1,4,2,",抵抗+6.3%
2127,初级抵抗,420,4644,抵抗,660,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40042,40041,","1,4,1,1,",抵抗+6.6%
2128,初级抵抗,442,5064,抵抗,690,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,","1,5,",抵抗+6.9%
2129,初级抵抗,465,5506,抵抗,720,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40042,","1,5,1,",抵抗+7.2%
2130,初级抵抗,487,5971,抵抗,750,,绿,Icon/20011dikang_lv_64,100000,20012,1,100,"20011,40043,40042,40041,","1,5,1,4,",抵抗+7.5%
2201,中级抵抗,25,-1,抵抗,100,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,","1,1,",抵抗+1%
2202,中级抵抗,40,25,抵抗,130,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,","1,1,",抵抗+1.3%
2203,中级抵抗,60,65,抵抗,160,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,","1,1,",抵抗+1.6%
2204,中级抵抗,80,125,抵抗,190,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40041,","1,1,1,",抵抗+1.9%
2205,中级抵抗,100,205,抵抗,225,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40041,","1,1,2,",抵抗+2.25%
2206,中级抵抗,125,305,抵抗,260,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40041,","1,1,3,",抵抗+2.6%
2207,中级抵抗,150,430,抵抗,295,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40041,","1,1,4,",抵抗+2.95%
2208,中级抵抗,175,580,抵抗,330,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40042,","1,1,1,",抵抗+3.3%
2209,中级抵抗,200,755,抵抗,365,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40042,40041,","1,1,1,2,",抵抗+3.65%
2210,中级抵抗,225,955,抵抗,400,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40042,40041,","1,1,1,4,",抵抗+4%
2211,中级抵抗,255,1180,抵抗,450,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40041,","1,1,1,1,",抵抗+4.5%
2212,中级抵抗,285,1435,抵抗,500,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40041,","1,1,1,4,",抵抗+5%
2213,中级抵抗,315,1720,抵抗,550,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40042,40041,","1,1,1,1,2,",抵抗+5.5%
2214,中级抵抗,345,2035,抵抗,600,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,","1,1,2,",抵抗+6%
2215,中级抵抗,375,2380,抵抗,650,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40041,","1,1,2,3,",抵抗+6.5%
2216,中级抵抗,410,2755,抵抗,700,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40042,40041,","1,1,2,1,2,",抵抗+7%
2217,中级抵抗,445,3165,抵抗,750,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40041,","1,1,3,1,",抵抗+7.5%
2218,中级抵抗,480,3610,抵抗,800,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40042,40041,","1,1,3,1,1,",抵抗+8%
2219,中级抵抗,515,4090,抵抗,850,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,","1,1,4,",抵抗+8.5%
2220,中级抵抗,550,4605,抵抗,900,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40042,40041,","1,1,4,1,1,",抵抗+9%
2221,中级抵抗,590,5155,抵抗,960,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40041,","1,1,5,1,",抵抗+9.6%
2222,中级抵抗,630,5745,抵抗,1020,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40042,40041,","1,1,5,1,2,",抵抗+10.2%
2223,中级抵抗,670,6375,抵抗,1080,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40041,","1,1,6,3,",抵抗+10.8%
2224,中级抵抗,710,7045,抵抗,1140,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,","1,1,7,",抵抗+11.4%
2225,中级抵抗,750,7755,抵抗,1200,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40042,40041,","1,1,7,1,2,",抵抗+12%
2226,中级抵抗,795,8505,抵抗,1260,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40042,","1,1,8,1,",抵抗+12.6%
2227,中级抵抗,840,9300,抵抗,1320,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40041,","1,1,9,3,",抵抗+13.2%
2228,中级抵抗,885,10140,抵抗,1380,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40041,","1,1,10,1,",抵抗+13.8%
2229,中级抵抗,930,11025,抵抗,1440,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,","1,1,11,",抵抗+14.4%
2230,中级抵抗,975,11955,抵抗,1500,,蓝,Icon/20012dikang_lan_64,300000,20013,1,200,"20012,20011,40043,40042,40041,","1,1,11,1,4,",抵抗+15%
2301,高级抵抗,50,-1,抵抗,200,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,","1,1,1,",抵抗+2%
2302,高级抵抗,80,50,抵抗,260,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,","1,1,1,",抵抗+2.6%
2303,高级抵抗,120,130,抵抗,320,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40041,","1,1,1,1,",抵抗+3.2%
2304,高级抵抗,160,250,抵抗,380,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40041,","1,1,1,2,",抵抗+3.8%
2305,高级抵抗,200,410,抵抗,450,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40041,","1,1,1,4,",抵抗+4.5%
2306,高级抵抗,250,610,抵抗,520,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40042,40041,","1,1,1,1,1,",抵抗+5.2%
2307,高级抵抗,300,860,抵抗,590,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40042,40041,","1,1,1,1,3,",抵抗+5.9%
2308,高级抵抗,350,1160,抵抗,660,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40041,","1,1,1,1,1,",抵抗+6.6%
2309,高级抵抗,400,1510,抵抗,730,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40042,","1,1,1,1,1,",抵抗+7.3%
2310,高级抵抗,450,1910,抵抗,800,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40042,40041,","1,1,1,1,1,4,",抵抗+8%
2311,高级抵抗,510,2360,抵抗,900,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40041,","1,1,1,2,3,",抵抗+9%
2312,高级抵抗,570,2870,抵抗,1000,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40042,40041,","1,1,1,2,1,3,",抵抗+10%
2313,高级抵抗,630,3440,抵抗,1100,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40041,","1,1,1,3,4,",抵抗+11%
2314,高级抵抗,690,4070,抵抗,1200,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,","1,1,1,4,",抵抗+12%
2315,高级抵抗,750,4760,抵抗,1300,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40042,40041,","1,1,1,4,1,2,",抵抗+13%
2316,高级抵抗,820,5510,抵抗,1400,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40042,","1,1,1,5,1,",抵抗+14%
2317,高级抵抗,890,6330,抵抗,1500,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40041,","1,1,1,6,3,",抵抗+15%
2318,高级抵抗,960,7220,抵抗,1600,,紫,Icon/20013dikang_zi_64,500000,20014,1,300,"20013,20012,20011,40043,40041,","1,1,1,7,2,",抵抗+16%
