Table:CsvExpeditionBattle,,,,,,,,,,,,,
tid,name:s,diff_num,map:s,award_score:a,boss_face_tid,body_dire,talk:s,sweep_acce_cost,vectory_type,vectory_param,drop_group1,drop_group2,drop_group3
70401,荒野之心,3,YinSongSenLin,"50,100,150,",48,118,死亡超过2人，你便输了，准备好了吗？,5,1,2,451,452,453
70402,亡者农场,3,YinSongSenLin,"50,100,150,",91,118,死亡超过2人，你便输了，准备好了吗？,5,1,2,451,452,453
70403,豺狼人的脓液,3,YinSongSenLin,"50,100,150,",127,118,死亡超过2人，你便输了，准备好了吗？,5,1,2,451,452,453
70404,破旧渡口,3,YinSongSenLin,"50,100,150,",108,118,死亡超过2人，你便输了，准备好了吗？,5,1,2,451,452,453
70405,突袭芬里斯岛,3,YinSongSenLin,"50,100,150,",131,118,死亡超过2人，你便输了，准备好了吗？,5,1,2,451,452,453
70501,披着熊皮的狼,3,YinSongSenLin,"50,100,150,",115,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
70502,调查安伯米尔,3,YinSongSenLin,"50,100,150,",130,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
70503,埃利姆矿洞,3,YinSongSenLin,"50,100,150,",20,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
70504,粘丝洞,3,YinSongSenLin,"50,100,150,",115,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
70505,焚木村的毁灭,3,YinSongSenLin,"50,100,150,",20,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
70601,主宰之剑,3,HeiHaiAn,"50,100,150,",147,118,死亡超过1人，你便输了，准备好了吗？,5,1,1,451,452,453
70602,挖掘场,3,HeiHaiAn,"50,100,150,",76,118,死亡超过1人，你便输了，准备好了吗？,5,1,1,451,452,453
70603,黑木熊怪营地,3,HeiHaiAn,"50,100,150,",126,118,死亡超过1人，你便输了，准备好了吗？,5,1,1,451,452,453
70604,古树之林,3,HeiHaiAn,"50,100,150,",136,118,死亡超过1人，你便输了，准备好了吗？,5,1,1,451,452,453
70605,亚米萨兰,3,HeiHaiAn,"50,100,150,",91,118,死亡超过1人，你便输了，准备好了吗？,5,1,1,451,452,453
70701,长桥码头,3,HeiHaiAn,"50,100,150,",16,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
70702,巴萨兰,3,HeiHaiAn,"50,100,150,",37,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
70703,洞中的蘑菇,3,HeiHaiAn,"50,100,150,",40,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
70704,玛塞斯特拉,3,HeiHaiAn,"50,100,150,",138,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
70705,奥萨拉克斯塔,3,HeiHaiAn,"50,100,150,",133,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
70801,淤泥沼泽,3,PinJiZhiDi,"50,100,150,",50,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
70802,玉石矿洞,3,PinJiZhiDi,"50,100,150,",24,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
70803,平衡器,3,PinJiZhiDi,"50,100,150,",144,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
70804,被偷走的银币,3,PinJiZhiDi,"50,100,150,",73,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
70805,无水岭,3,PinJiZhiDi,"50,100,150,",132,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
70901,遗忘之池,3,PinJiZhiDi,"50,100,150,",65,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
70902,复仇的怒火,3,PinJiZhiDi,"50,100,150,",52,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
70903,勇士岛,3,PinJiZhiDi,"50,100,150,",38,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
70904,大树下,3,PinJiZhiDi,"50,100,150,",139,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
70905,人马无双,3,PinJiZhiDi,"50,100,150,",98,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71001,撕裂者山谷,3,ChiJiShan,"50,100,150,",26,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71002,止水湖,3,ChiJiShan,"50,100,150,",16,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71003,湖边大道,3,ChiJiShan,"50,100,150,",110,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71004,三角路口,3,ChiJiShan,"50,100,150,",100,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71005,湖畔镇,3,ChiJiShan,"50,100,150,",114,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71101,赤脊峡谷,3,ChiJiShan,"50,100,150,",127,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71102,撕裂者营地,3,ChiJiShan,"50,100,150,",169,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71103,奥瑟尔伐木场,3,ChiJiShan,"50,100,150,",176,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71104,伊尔加拉之塔,3,ChiJiShan,"50,100,150,",130,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71105,石堡,3,ChiJiShan,"50,100,150,",174,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71201,萨提纳尔,3,HuiGu,"50,100,150,",37,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71202,战歌伐木场,3,HuiGu,"50,100,150,",26,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71203,屠魔峡谷,3,HuiGu,"50,100,150,",13,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71204,密斯特拉湖,3,HuiGu,"50,100,150,",69,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71205,坠星湖,3,HuiGu,"50,100,150,",115,118,想要在5回合内击败我？没那么容易！,5,3,5,451,452,453
71301,隐藏的神殿,3,HuiGu,"50,100,150,",126,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71302,月亮井,3,HuiGu,"50,100,150,",69,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71303,阿斯特兰纳,3,HuiGu,"50,100,150,",115,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71304,佐拉姆海岸,3,HuiGu,"50,100,150,",128,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71305,鞭笞者沃尔沙,3,HuiGu,"50,100,150,",193,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71401,米奈希尔港,3,ShiDi,"50,100,150,",16,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71402,黑水沼泽,3,ShiDi,"50,100,150,",83,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71403,维尔加挖掘场,3,ShiDi,"50,100,150,",73,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71404,藓皮沼泽,3,ShiDi,"50,100,150,",127,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71405,怒牙营地,3,ShiDi,"50,100,150,",169,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71501,怒牙营地,3,BeiJunXiuDaoYuan,"50,100,150,",83,118,想要在4回合内击败我？没那么容易！,5,3,4,451,452,453
71502,日落沼泽,3,WenYiZhiDi,"50,100,150,",73,118,想要在4回合内击败我？没那么容易！,5,3,4,451,452,453
71503,恐龙岭,3,XiBuHuangYe,"50,100,150,",26,118,想要在4回合内击败我？没那么容易！,5,3,4,451,452,453
71504,恶铁岭,3,BeiJunXiuDaoYuan,"50,100,150,",26,118,想要在4回合内击败我？没那么容易！,5,3,4,451,452,453
71505,丹莫德,3,WenYiZhiDi,"50,100,150,",78,118,想要在4回合内击败我？没那么容易！,5,3,4,451,452,453
71601,盐沫沼泽,3,XiBuHuangYe,"50,100,150,",108,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71602,丧钟镇,3,WenYiZhiDi,"50,100,150,",80,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71603,血色营地,3,WenYiZhiDi,"50,100,150,",43,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71604,索利丹农场,3,WenYiZhiDi,"50,100,150,",127,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71605,阿加曼德磨坊,3,WenYiZhiDi,"50,100,150,",16,118,必须零伤亡击败我，才算你们胜利！,5,1,0,451,452,453
71701,北部海岸,3,WenYiZhiDi,"50,100,150,",16,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71702,澈水湖,3,WenYiZhiDi,"50,100,150,",99,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71703,布瑞尔,3,WenYiZhiDi,"50,100,150,",6,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71704,洛丹伦废墟,3,WenYiZhiDi,"50,100,150,",91,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71705,巴尼尔农场,3,WenYiZhiDi,"50,100,150,",45,118,如果总生命值低于70%，你便输了！,5,2,70,451,452,453
71801,法奥之墓,3,WenYiZhiDi,"50,100,150,",193,118,血色十字军已经从天灾林地北部的废塔出发，穿过了法奥之墓。,90,1,1,451,452,453
71802,东部海滩,3,AiErWenSenLin,"50,100,150,",193,118,这些文件显示，东部海滩的纳迦打算趁机占领镇子。,91,1,1,451,452,453
71803,希尔斯农场,3,AiErWenSenLin,"50,100,150,",193,118,从这里往西边方向进发，你的目标是希尔斯布莱德平原最北边的农场。,92,1,1,451,452,453
71804,丹加洛克,3,AiErWenSenLin,"50,100,150,",193,118,你能帮我个忙，去丹加洛克查探闹鬼事件吗？就在遥远的东南方。,93,1,1,451,452,453
71805,奈杉德哨塔,3,AiErWenSenLin,"50,100,150,",193,118,在奈杉德哨岗杀死你撞见的所有豺狼人。这也算是为世界除害！,94,1,1,451,452,453
71901,敦霍尔登城堡,3,AiErWenSenLin,"50,100,150,",193,118,经由黑暗女王黑暗游侠授权，辛迪加组织的全部成员都将被处死！,95,1,1,451,452,453
71902,被感染的熊,3,AiErWenSenLin,"50,100,150,",193,118,去处理掉那些被感染的熊，保护营地的安全。 ,96,1,1,451,452,453
71903,塔伦米尔,3,AiErWenSenLin,"50,100,150,",193,118,不过呆在阴冷的屋子里这么多天，我的脑筋都快打结了，让我们以“破除天灾”之名找点乐子吧。,97,1,1,451,452,453
71904,镇魂之药,3,AiErWenSenLin,"50,100,150,",193,118,我的研究表明，暴烈的山地狮的血液能让天灾兵团失魂落魄，请给我找一点来，让我们做点有趣的事吧。,98,1,1,451,452,453
71905,霜狼的帮助,3,AiErWenSenLin,"50,100,150,",193,118,我要你前往奥特兰克山谷，寻求霜狼氏族的帮助。,99,1,1,451,452,453
72001,雪人的毛发,3,AiErWenSenLin,"50,100,150,",193,118,去西边的洞穴击败雪人，收集雪人的毛发，然后带回来给我就好啦。,100,1,1,451,452,453
72002,甜水绿洲,3,PinJiZhiDi,"50,100,150,",193,118,南边到底发生了些什么呢？根据你在遗忘之池的发现，那些绿洲可能是发现问题的关键。,101,1,1,451,452,453
72003,前沿哨所,3,PinJiZhiDi,"50,100,150,",193,118,野猪人是卡利姆多的本土物种之一。这种浑身长刺的小混蛋足以让我憎恨这片大陆了。,102,1,1,451,452,453
72004,前沿哨所,3,PinJiZhiDi,"50,100,150,",193,118,野猪人是卡利姆多的本土物种之一。这种浑身长刺的小混蛋足以让我憎恨这片大陆了。,103,1,1,451,452,453
72005,前沿哨所,3,PinJiZhiDi,"50,100,150,",193,118,野猪人是卡利姆多的本土物种之一。这种浑身长刺的小混蛋足以让我憎恨这片大陆了。,104,1,1,451,452,453
