Table:CsvEquipUpgrade,,,,,,,,,,,,,,,,,,,,,,,,
tid,after_tid,lv_limited,cost,item1_tid,item1_count,item2_tid,item2_count,item3_tid,item3_count,item4_tid,item4_count,item5_tid,item5_count,rebrith_tid,return_item1_tid,return_item1_count,return_item2_tid,return_item2_count,return_item3_tid,return_item3_count,return_item4_tid,return_item4_count,return_item5_tid,return_item5_count
100620,100621,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100630,100631,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100640,100641,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100650,100651,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100660,100661,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100710,100711,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100720,100721,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100730,100731,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100740,100741,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100750,100751,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100760,100761,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100810,100811,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100820,100821,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100830,100831,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100840,100841,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100850,100851,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100860,100861,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100870,100871,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100880,100881,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100890,100891,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100900,100901,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100910,100911,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100920,100921,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100930,100931,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100940,100941,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100950,100951,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100960,100961,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100970,100971,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100980,100981,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
100990,100991,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101000,101001,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101010,101011,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101020,101021,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101030,101031,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101040,101041,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101050,101051,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101060,101061,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101070,101071,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101080,101081,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101090,101091,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101100,101101,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101110,101111,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101120,101121,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101130,101131,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101140,101141,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101150,101151,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101160,101161,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101170,101171,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101180,101181,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101190,101191,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101200,101201,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101210,101211,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101220,101221,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101230,101231,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101240,101241,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101250,101251,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101260,101261,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101270,101271,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101280,101281,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101290,101291,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101300,101301,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101310,101311,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101320,101321,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101330,101331,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101340,101341,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101350,101351,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101360,101361,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101370,101371,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101380,101381,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101390,101391,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101400,101401,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101410,101411,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101420,101421,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101430,101431,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101440,101441,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101450,101451,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101460,101461,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101470,101471,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101480,101481,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101490,101491,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101500,101501,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101510,101511,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
101520,101521,25,10000,41011,10,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
100111,100112,35,30000,41011,25,41012,5,,,,,,,100110,41011,10,0,0,0,0,0,0,,
100121,100122,35,30000,41011,25,41012,5,,,,,,,100120,41011,10,0,0,0,0,0,0,,
100131,100132,35,30000,41011,25,41012,5,,,,,,,100130,41011,10,0,0,0,0,0,0,,
100141,100142,35,30000,41011,25,41012,5,,,,,,,100140,41011,10,0,0,0,0,0,0,,
100151,100152,35,30000,41011,25,41012,5,,,,,,,100150,41011,10,0,0,0,0,0,0,,
100161,100162,35,30000,41011,25,41012,5,,,,,,,100160,41011,10,0,0,0,0,0,0,,
100211,100212,35,30000,41011,25,41012,5,,,,,,,100210,41011,10,0,0,0,0,0,0,,
100221,100222,35,30000,41011,25,41012,5,,,,,,,100220,41011,10,0,0,0,0,0,0,,
100231,100232,35,30000,41011,25,41012,5,,,,,,,100230,41011,10,0,0,0,0,0,0,,
100241,100242,35,30000,41011,25,41012,5,,,,,,,100240,41011,10,0,0,0,0,0,0,,
100251,100252,35,30000,41011,25,41012,5,,,,,,,100250,41011,10,0,0,0,0,0,0,,
100261,100262,35,30000,41011,25,41012,5,,,,,,,100260,41011,10,0,0,0,0,0,0,,
100311,100312,35,30000,41011,25,41012,5,,,,,,,100310,41011,10,0,0,0,0,0,0,,
100321,100322,35,30000,41011,25,41012,5,,,,,,,100320,41011,10,0,0,0,0,0,0,,
100331,100332,35,30000,41011,25,41012,5,,,,,,,100330,41011,10,0,0,0,0,0,0,,
100341,100342,35,30000,41011,25,41012,5,,,,,,,100340,41011,10,0,0,0,0,0,0,,
100351,100352,35,30000,41011,25,41012,5,,,,,,,100350,41011,10,0,0,0,0,0,0,,
100361,100362,35,30000,41011,25,41012,5,,,,,,,100360,41011,10,0,0,0,0,0,0,,
100411,100412,35,30000,41011,25,41012,5,,,,,,,100410,41011,10,0,0,0,0,0,0,,
100421,100422,35,30000,41011,25,41012,5,,,,,,,100420,41011,10,0,0,0,0,0,0,,
100431,100432,35,30000,41011,25,41012,5,,,,,,,100430,41011,10,0,0,0,0,0,0,,
100441,100442,35,30000,41011,25,41012,5,,,,,,,100440,41011,10,0,0,0,0,0,0,,
100451,100452,35,30000,41011,25,41012,5,,,,,,,100450,41011,10,0,0,0,0,0,0,,
100461,100462,35,30000,41011,25,41012,5,,,,,,,100460,41011,10,0,0,0,0,0,0,,
100511,100512,35,30000,41011,25,41012,5,,,,,,,100510,41011,10,0,0,0,0,0,0,,
100521,100522,35,30000,41011,25,41012,5,,,,,,,100520,41011,10,0,0,0,0,0,0,,
100531,100532,35,30000,41011,25,41012,5,,,,,,,100530,41011,10,0,0,0,0,0,0,,
100541,100542,35,30000,41011,25,41012,5,,,,,,,100540,41011,10,0,0,0,0,0,0,,
100551,100552,35,30000,41011,25,41012,5,,,,,,,100550,41011,10,0,0,0,0,0,0,,
100561,100562,35,30000,41011,25,41012,5,,,,,,,100560,41011,10,0,0,0,0,0,0,,
100611,100612,35,30000,41011,25,41012,5,,,,,,,100610,41011,10,0,0,0,0,0,0,,
100621,100622,35,30000,41011,25,41012,5,,,,,,,100620,41011,10,0,0,0,0,0,0,,
100631,100632,35,30000,41011,25,41012,5,,,,,,,100630,41011,10,0,0,0,0,0,0,,
100641,100642,35,30000,41011,25,41012,5,,,,,,,100640,41011,10,0,0,0,0,0,0,,
100651,100652,35,30000,41011,25,41012,5,,,,,,,100650,41011,10,0,0,0,0,0,0,,
100661,100662,35,30000,41011,25,41012,5,,,,,,,100660,41011,10,0,0,0,0,0,0,,
100711,100712,35,30000,41011,25,41012,5,,,,,,,100710,41011,10,0,0,0,0,0,0,,
100721,100722,35,30000,41011,25,41012,5,,,,,,,100720,41011,10,0,0,0,0,0,0,,
100731,100732,35,30000,41011,25,41012,5,,,,,,,100730,41011,10,0,0,0,0,0,0,,
100741,100742,35,30000,41011,25,41012,5,,,,,,,100740,41011,10,0,0,0,0,0,0,,
100751,100752,35,30000,41011,25,41012,5,,,,,,,100750,41011,10,0,0,0,0,0,0,,
100761,100762,35,30000,41011,25,41012,5,,,,,,,100760,41011,10,0,0,0,0,0,0,,
100811,100812,35,30000,41011,25,41012,5,,,,,,,100810,41011,10,0,0,0,0,0,0,,
100821,100822,35,30000,41011,25,41012,5,,,,,,,100820,41011,10,0,0,0,0,0,0,,
100831,100832,35,30000,41011,25,41012,5,,,,,,,100830,41011,10,0,0,0,0,0,0,,
100841,100842,35,30000,41011,25,41012,5,,,,,,,100840,41011,10,0,0,0,0,0,0,,
100851,100852,35,30000,41011,25,41012,5,,,,,,,100850,41011,10,0,0,0,0,0,0,,
100861,100862,35,30000,41011,25,41012,5,,,,,,,100860,41011,10,0,0,0,0,0,0,,
100871,100872,35,30000,41011,25,41012,5,,,,,,,100870,41011,10,0,0,0,0,0,0,,
100881,100882,35,30000,41011,25,41012,5,,,,,,,100880,41011,10,0,0,0,0,0,0,,
100891,100892,35,30000,41011,25,41012,5,,,,,,,100890,41011,10,0,0,0,0,0,0,,
100901,100902,35,30000,41011,25,41012,5,,,,,,,100900,41011,10,0,0,0,0,0,0,,
100911,100912,35,30000,41011,25,41012,5,,,,,,,100910,41011,10,0,0,0,0,0,0,,
100921,100922,35,30000,41011,25,41012,5,,,,,,,100920,41011,10,0,0,0,0,0,0,,
100931,100932,35,30000,41011,25,41012,5,,,,,,,100930,41011,10,0,0,0,0,0,0,,
100941,100942,35,30000,41011,25,41012,5,,,,,,,100940,41011,10,0,0,0,0,0,0,,
100951,100952,35,30000,41011,25,41012,5,,,,,,,100950,41011,10,0,0,0,0,0,0,,
100961,100962,35,30000,41011,25,41012,5,,,,,,,100960,41011,10,0,0,0,0,0,0,,
100971,100972,35,30000,41011,25,41012,5,,,,,,,100970,41011,10,0,0,0,0,0,0,,
100981,100982,35,30000,41011,25,41012,5,,,,,,,100980,41011,10,0,0,0,0,0,0,,
100991,100992,35,30000,41011,25,41012,5,,,,,,,100990,41011,10,0,0,0,0,0,0,,
101001,101002,35,30000,41011,25,41012,5,,,,,,,101000,41011,10,0,0,0,0,0,0,,
101011,101012,35,30000,41011,25,41012,5,,,,,,,101010,41011,10,0,0,0,0,0,0,,
101021,101022,35,30000,41011,25,41012,5,,,,,,,101020,41011,10,0,0,0,0,0,0,,
101031,101032,35,30000,41011,25,41012,5,,,,,,,101030,41011,10,0,0,0,0,0,0,,
101041,101042,35,30000,41011,25,41012,5,,,,,,,101040,41011,10,0,0,0,0,0,0,,
101051,101052,35,30000,41011,25,41012,5,,,,,,,101050,41011,10,0,0,0,0,0,0,,
101061,101062,35,30000,41011,25,41012,5,,,,,,,101060,41011,10,0,0,0,0,0,0,,
101071,101072,35,30000,41011,25,41012,5,,,,,,,101070,41011,10,0,0,0,0,0,0,,
101081,101082,35,30000,41011,25,41012,5,,,,,,,101080,41011,10,0,0,0,0,0,0,,
101091,101092,35,30000,41011,25,41012,5,,,,,,,101090,41011,10,0,0,0,0,0,0,,
101101,101102,35,30000,41011,25,41012,5,,,,,,,101100,41011,10,0,0,0,0,0,0,,
101111,101112,35,30000,41011,25,41012,5,,,,,,,101110,41011,10,0,0,0,0,0,0,,
101121,101122,35,30000,41011,25,41012,5,,,,,,,101120,41011,10,0,0,0,0,0,0,,
101131,101132,35,30000,41011,25,41012,5,,,,,,,101130,41011,10,0,0,0,0,0,0,,
101141,101142,35,30000,41011,25,41012,5,,,,,,,101140,41011,10,0,0,0,0,0,0,,
101151,101152,35,30000,41011,25,41012,5,,,,,,,101150,41011,10,0,0,0,0,0,0,,
101161,101162,35,30000,41011,25,41012,5,,,,,,,101160,41011,10,0,0,0,0,0,0,,
101171,101172,35,30000,41011,25,41012,5,,,,,,,101170,41011,10,0,0,0,0,0,0,,
101181,101182,35,30000,41011,25,41012,5,,,,,,,101180,41011,10,0,0,0,0,0,0,,
101191,101192,35,30000,41011,25,41012,5,,,,,,,101190,41011,10,0,0,0,0,0,0,,
101201,101202,35,30000,41011,25,41012,5,,,,,,,101200,41011,10,0,0,0,0,0,0,,
101211,101212,35,30000,41011,25,41012,5,,,,,,,101210,41011,10,0,0,0,0,0,0,,
101221,101222,35,30000,41011,25,41012,5,,,,,,,101220,41011,10,0,0,0,0,0,0,,
101231,101232,35,30000,41011,25,41012,5,,,,,,,101230,41011,10,0,0,0,0,0,0,,
101241,101242,35,30000,41011,25,41012,5,,,,,,,101240,41011,10,0,0,0,0,0,0,,
101251,101252,35,30000,41011,25,41012,5,,,,,,,101250,41011,10,0,0,0,0,0,0,,
101261,101262,35,30000,41011,25,41012,5,,,,,,,101260,41011,10,0,0,0,0,0,0,,
101271,101272,35,30000,41011,25,41012,5,,,,,,,101270,41011,10,0,0,0,0,0,0,,
101281,101282,35,30000,41011,25,41012,5,,,,,,,101280,41011,10,0,0,0,0,0,0,,
101291,101292,35,30000,41011,25,41012,5,,,,,,,101290,41011,10,0,0,0,0,0,0,,
101301,101302,35,30000,41011,25,41012,5,,,,,,,101300,41011,10,0,0,0,0,0,0,,
101311,101312,35,30000,41011,25,41012,5,,,,,,,101310,41011,10,0,0,0,0,0,0,,
101321,101322,35,30000,41011,25,41012,5,,,,,,,101320,41011,10,0,0,0,0,0,0,,
101331,101332,35,30000,41011,25,41012,5,,,,,,,101330,41011,10,0,0,0,0,0,0,,
101341,101342,35,30000,41011,25,41012,5,,,,,,,101340,41011,10,0,0,0,0,0,0,,
101351,101352,35,30000,41011,25,41012,5,,,,,,,101350,41011,10,0,0,0,0,0,0,,
101361,101362,35,30000,41011,25,41012,5,,,,,,,101360,41011,10,0,0,0,0,0,0,,
101371,101372,35,30000,41011,25,41012,5,,,,,,,101370,41011,10,0,0,0,0,0,0,,
101381,101382,35,30000,41011,25,41012,5,,,,,,,101380,41011,10,0,0,0,0,0,0,,
101391,101392,35,30000,41011,25,41012,5,,,,,,,101390,41011,10,0,0,0,0,0,0,,
101401,101402,35,30000,41011,25,41012,5,,,,,,,101400,41011,10,0,0,0,0,0,0,,
101411,101412,35,30000,41011,25,41012,5,,,,,,,101410,41011,10,0,0,0,0,0,0,,
101421,101422,35,30000,41011,25,41012,5,,,,,,,101420,41011,10,0,0,0,0,0,0,,
101431,101432,35,30000,41011,25,41012,5,,,,,,,101430,41011,10,0,0,0,0,0,0,,
101441,101442,35,30000,41011,25,41012,5,,,,,,,101440,41011,10,0,0,0,0,0,0,,
101451,101452,35,30000,41011,25,41012,5,,,,,,,101450,41011,10,0,0,0,0,0,0,,
101461,101462,35,30000,41011,25,41012,5,,,,,,,101460,41011,10,0,0,0,0,0,0,,
101471,101472,35,30000,41011,25,41012,5,,,,,,,101470,41011,10,0,0,0,0,0,0,,
101481,101482,35,30000,41011,25,41012,5,,,,,,,101480,41011,10,0,0,0,0,0,0,,
101491,101492,35,30000,41011,25,41012,5,,,,,,,101490,41011,10,0,0,0,0,0,0,,
101501,101502,35,30000,41011,25,41012,5,,,,,,,101500,41011,10,0,0,0,0,0,0,,
101511,101512,35,30000,41011,25,41012,5,,,,,,,101510,41011,10,0,0,0,0,0,0,,
101521,101522,35,30000,41011,25,41012,5,,,,,,,101520,41011,10,0,0,0,0,0,0,,
#,,,,,,,,,,,,,,错误:520,41011,0,0,0,0,0,0,0,,
100112,100113,45,60000,41011,50,41012,10,41013,5,,,,,100110,41011,35,41012,5,0,0,0,0,,
100122,100123,45,60000,41011,50,41012,10,41013,5,,,,,100120,41011,35,41012,5,0,0,0,0,,
100132,100133,45,60000,41011,50,41012,10,41013,5,,,,,100130,41011,35,41012,5,0,0,0,0,,
100142,100143,45,60000,41011,50,41012,10,41013,5,,,,,100140,41011,35,41012,5,0,0,0,0,,
100152,100153,45,60000,41011,50,41012,10,41013,5,,,,,100150,41011,35,41012,5,0,0,0,0,,
100162,100163,45,60000,41011,50,41012,10,41013,5,,,,,100160,41011,35,41012,5,0,0,0,0,,
100212,100213,45,60000,41011,50,41012,10,41013,5,,,,,100210,41011,35,41012,5,0,0,0,0,,
100222,100223,45,60000,41011,50,41012,10,41013,5,,,,,100220,41011,35,41012,5,0,0,0,0,,
100232,100233,45,60000,41011,50,41012,10,41013,5,,,,,100230,41011,35,41012,5,0,0,0,0,,
100242,100243,45,60000,41011,50,41012,10,41013,5,,,,,100240,41011,35,41012,5,0,0,0,0,,
100252,100253,45,60000,41011,50,41012,10,41013,5,,,,,100250,41011,35,41012,5,0,0,0,0,,
100262,100263,45,60000,41011,50,41012,10,41013,5,,,,,100260,41011,35,41012,5,0,0,0,0,,
100312,100313,45,60000,41011,50,41012,10,41013,5,,,,,100310,41011,35,41012,5,0,0,0,0,,
100322,100323,45,60000,41011,50,41012,10,41013,5,,,,,100320,41011,35,41012,5,0,0,0,0,,
100332,100333,45,60000,41011,50,41012,10,41013,5,,,,,100330,41011,35,41012,5,0,0,0,0,,
100342,100343,45,60000,41011,50,41012,10,41013,5,,,,,100340,41011,35,41012,5,0,0,0,0,,
100352,100353,45,60000,41011,50,41012,10,41013,5,,,,,100350,41011,35,41012,5,0,0,0,0,,
100362,100363,45,60000,41011,50,41012,10,41013,5,,,,,100360,41011,35,41012,5,0,0,0,0,,
100412,100413,45,60000,41011,50,41012,10,41013,5,,,,,100410,41011,35,41012,5,0,0,0,0,,
100422,100423,45,60000,41011,50,41012,10,41013,5,,,,,100420,41011,35,41012,5,0,0,0,0,,
100432,100433,45,60000,41011,50,41012,10,41013,5,,,,,100430,41011,35,41012,5,0,0,0,0,,
100442,100443,45,60000,41011,50,41012,10,41013,5,,,,,100440,41011,35,41012,5,0,0,0,0,,
100452,100453,45,60000,41011,50,41012,10,41013,5,,,,,100450,41011,35,41012,5,0,0,0,0,,
100462,100463,45,60000,41011,50,41012,10,41013,5,,,,,100460,41011,35,41012,5,0,0,0,0,,
100512,100513,45,60000,41011,50,41012,10,41013,5,,,,,100510,41011,35,41012,5,0,0,0,0,,
100522,100523,45,60000,41011,50,41012,10,41013,5,,,,,100520,41011,35,41012,5,0,0,0,0,,
100532,100533,45,60000,41011,50,41012,10,41013,5,,,,,100530,41011,35,41012,5,0,0,0,0,,
100542,100543,45,60000,41011,50,41012,10,41013,5,,,,,100540,41011,35,41012,5,0,0,0,0,,
100552,100553,45,60000,41011,50,41012,10,41013,5,,,,,100550,41011,35,41012,5,0,0,0,0,,
100562,100563,45,60000,41011,50,41012,10,41013,5,,,,,100560,41011,35,41012,5,0,0,0,0,,
100612,100613,45,60000,41011,50,41012,10,41013,5,,,,,100610,41011,35,41012,5,0,0,0,0,,
100622,100623,45,60000,41011,50,41012,10,41013,5,,,,,100620,41011,35,41012,5,0,0,0,0,,
100632,100633,45,60000,41011,50,41012,10,41013,5,,,,,100630,41011,35,41012,5,0,0,0,0,,
100642,100643,45,60000,41011,50,41012,10,41013,5,,,,,100640,41011,35,41012,5,0,0,0,0,,
100652,100653,45,60000,41011,50,41012,10,41013,5,,,,,100650,41011,35,41012,5,0,0,0,0,,
100662,100663,45,60000,41011,50,41012,10,41013,5,,,,,100660,41011,35,41012,5,0,0,0,0,,
100712,100713,45,60000,41011,50,41012,10,41013,5,,,,,100710,41011,35,41012,5,0,0,0,0,,
100722,100723,45,60000,41011,50,41012,10,41013,5,,,,,100720,41011,35,41012,5,0,0,0,0,,
100732,100733,45,60000,41011,50,41012,10,41013,5,,,,,100730,41011,35,41012,5,0,0,0,0,,
100742,100743,45,60000,41011,50,41012,10,41013,5,,,,,100740,41011,35,41012,5,0,0,0,0,,
100752,100753,45,60000,41011,50,41012,10,41013,5,,,,,100750,41011,35,41012,5,0,0,0,0,,
100762,100763,45,60000,41011,50,41012,10,41013,5,,,,,100760,41011,35,41012,5,0,0,0,0,,
100812,100813,45,60000,41011,50,41012,10,41013,5,,,,,100810,41011,35,41012,5,0,0,0,0,,
100822,100823,45,60000,41011,50,41012,10,41013,5,,,,,100820,41011,35,41012,5,0,0,0,0,,
100832,100833,45,60000,41011,50,41012,10,41013,5,,,,,100830,41011,35,41012,5,0,0,0,0,,
100842,100843,45,60000,41011,50,41012,10,41013,5,,,,,100840,41011,35,41012,5,0,0,0,0,,
100852,100853,45,60000,41011,50,41012,10,41013,5,,,,,100850,41011,35,41012,5,0,0,0,0,,
100862,100863,45,60000,41011,50,41012,10,41013,5,,,,,100860,41011,35,41012,5,0,0,0,0,,
100872,100873,45,60000,41011,50,41012,10,41013,5,,,,,100870,41011,35,41012,5,0,0,0,0,,
100882,100883,45,60000,41011,50,41012,10,41013,5,,,,,100880,41011,35,41012,5,0,0,0,0,,
100892,100893,45,60000,41011,50,41012,10,41013,5,,,,,100890,41011,35,41012,5,0,0,0,0,,
100902,100903,45,60000,41011,50,41012,10,41013,5,,,,,100900,41011,35,41012,5,0,0,0,0,,
100912,100913,45,60000,41011,50,41012,10,41013,5,,,,,100910,41011,35,41012,5,0,0,0,0,,
100922,100923,45,60000,41011,50,41012,10,41013,5,,,,,100920,41011,35,41012,5,0,0,0,0,,
100932,100933,45,60000,41011,50,41012,10,41013,5,,,,,100930,41011,35,41012,5,0,0,0,0,,
100942,100943,45,60000,41011,50,41012,10,41013,5,,,,,100940,41011,35,41012,5,0,0,0,0,,
100952,100953,45,60000,41011,50,41012,10,41013,5,,,,,100950,41011,35,41012,5,0,0,0,0,,
100962,100963,45,60000,41011,50,41012,10,41013,5,,,,,100960,41011,35,41012,5,0,0,0,0,,
100972,100973,45,60000,41011,50,41012,10,41013,5,,,,,100970,41011,35,41012,5,0,0,0,0,,
100982,100983,45,60000,41011,50,41012,10,41013,5,,,,,100980,41011,35,41012,5,0,0,0,0,,
100992,100993,45,60000,41011,50,41012,10,41013,5,,,,,100990,41011,35,41012,5,0,0,0,0,,
101002,101003,45,60000,41011,50,41012,10,41013,5,,,,,101000,41011,35,41012,5,0,0,0,0,,
101012,101013,45,60000,41011,50,41012,10,41013,5,,,,,101010,41011,35,41012,5,0,0,0,0,,
101022,101023,45,60000,41011,50,41012,10,41013,5,,,,,101020,41011,35,41012,5,0,0,0,0,,
101032,101033,45,60000,41011,50,41012,10,41013,5,,,,,101030,41011,35,41012,5,0,0,0,0,,
101042,101043,45,60000,41011,50,41012,10,41013,5,,,,,101040,41011,35,41012,5,0,0,0,0,,
101052,101053,45,60000,41011,50,41012,10,41013,5,,,,,101050,41011,35,41012,5,0,0,0,0,,
101062,101063,45,60000,41011,50,41012,10,41013,5,,,,,101060,41011,35,41012,5,0,0,0,0,,
101072,101073,45,60000,41011,50,41012,10,41013,5,,,,,101070,41011,35,41012,5,0,0,0,0,,
101082,101083,45,60000,41011,50,41012,10,41013,5,,,,,101080,41011,35,41012,5,0,0,0,0,,
101092,101093,45,60000,41011,50,41012,10,41013,5,,,,,101090,41011,35,41012,5,0,0,0,0,,
