Table:CsvBuff,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,type:BuffType,desc:s,icon:s,i#__固定加成__,attr1:AttrType,attr1_p,attr1_v,attr2:AttrType,attr2_p,attr2_v,attr3:AttrType,attr3_p,attr3_v,i#__special_effect__,result1:s,para1:a,s#para1_desc,cover_buffs:a,add_effect_tids:a,rem_effect_tids:a,a#__other_params__,commanderGiftLevel,preBuffTid,canUseWhenlDead:b,i#rate
10054,增强,英雄天赋,己方每阵亡一人，均会提升自身的物理攻击和暴击,Icon/zengqiang_01,,,,,,,,,,,,ps_teamOnDieEnhance,"700,400,",增加的X3物理百分比，暴击率,,,,,,,,
10055,痛苦,英雄天赋,以自身每回合均会损失当前血量的10%为代价，换取攻击的大幅提升,Icon/tongku_01,,,,,,,,,,,,ps_hurtSelfAddAttack,"1000,700,2800",每回合掉当前血量百分比，增幅X3，X3上限,,,,,,,,
10056,平衡,英雄天赋,受到伤害时，有一定几率将本次伤害转化为自身血量,Icon/pingheng_01,,,,,,,,,,,,ps_transHurtToRecover,"1000,5000,3,",触发几率，伤害转回血百分比，次数限制,,,,,,,,
10057,野兽,英雄天赋,野兽的每次技能攻击均会为你恢复相当于伤害值10%的血量,Icon/yeshou_01,,,,,,,,,,,,ps_recoverOnUseSkill,"1000,",通过攻击力算出回血,,,,,,,,
10058,武器,英雄天赋,使你所有装备的附加属性和镶嵌属性获得额外的50%加成,Icon/wuqi_01,,,,,,,,,,,,equip_enlargeEquipAddattr,"5000,",加成万分比,,,,,,,,
10059,战斗,英雄天赋,每出手一次，均会提升自己的物理攻防,Icon/zhandou_01,,,,,,,,,,,,ps_addPhyattrOnAttack,"270,1800,230,1600","X3,X3上限，X4，X4上限",,,,,,,,
10060,警戒,英雄天赋,在场上的前3次受到的伤害减少,Icon/tianfushu_01,,,,,,,,,,,,ps_reduceHurtInTheFristXTimes,"3,3000,",次数，X4百分比,,,,,,,,
10061,凌弱,英雄天赋,自身生命百分比高于对手，则伤害增加20%,Icon/tianfushu_01,,,,,,,,,,,,ps_bullying,"2000,",X3,,,,,,,,
10062,愤怒,英雄天赋,自身生命百分比低于对手，则伤害增加20%,Icon/tianfushu_01,,,,,,,,,,,,ps_anger,"2000,",X3,,,,,,,,
10063,恃强,英雄天赋,自身生命百分比高于对手，则受伤减少20%,Icon/tianfushu_01,,,,,,,,,,,,ps_relyOnForce,"2000,",X4,,,,,,,,
10064,忍耐,英雄天赋,自身生命百分比低于对手，则受伤减少20%,Icon/tianfushu_01,,,,,,,,,,,,ps_endurance,"2000,",X4,,,,,,,,
10065,最终伤害+100,英雄天赋,最终伤害+100,Icon/tianfushu_01,,最终伤害增加,,100,,,,,,,,,,,,,,,,,,
10066,血量+200,英雄天赋,血量+200,Icon/tianfushu_01,,血量,,200,,,,,,,,,,,,,,,,,,
10067,重击,英雄天赋,普通技能与怒气技能的眩晕几率提高15%,Icon/tianfushu_01,,,,,,,,,,,,ps_addBuffOnNormalAttack,"1500,100671,3",眩晕概率，几回合,,,,,,,,
10068,速度+50,英雄天赋,速度+50,Icon/tianfushu_01,,速度,,50,,,,,,,,,,,,,,,,,,
10069,最终免伤+100,英雄天赋,最终免伤+100,Icon/tianfushu_01,,最终伤害减免,,100,,,,,,,,,,,,,,,,,,
10070,死亡之怒,英雄天赋,死亡后释放一次怒气技能,Icon/tianfushu_01,,,,,,,,,,,,ps_useSkillOnDie,,,,,,,,,,
10071,攻击+100,英雄天赋,攻击+100,Icon/tianfushu_01,,攻击,,100,,,,,,,,,,,,,,,,,,
10072,暴击+10%,英雄天赋,暴击+10%,Icon/tianfushu_01,,暴击,1000,,,,,,,,,,,,,,,,,,,
10073,暴伤+30%,英雄天赋,暴伤+30%,Icon/tianfushu_01,,暴伤,3000,,,,,,,,,,,,,,,,,,,
10074,攻击+800,英雄天赋,攻击+800,Icon/tianfushu_01,,攻击,,800,,,,,,,,,,,,,,,,,,
10075,防护,英雄天赋,格挡+10%，物理免伤+5%，免疫中毒效果,Icon/fanghu_01,,格挡,1000,,X4物理,500,,,,,,ps_rejectBuff,"30026,40024,30013,30046,30014,30015,30057,",免疫buff id列表,,,,,,,,
10076,免疫昏迷,英雄天赋,免疫昏迷,,,,,,,,,,,,,ps_rejectBuff,"10067,100671,30006,30008,30029,30032,",免疫buff id列表,,,,,,,,
10077,免疫变形,英雄天赋,免疫变形,,,,,,,,,,,,,ps_rejectBuff,"20002,20003,40001,40002,",免疫buff id列表,,,,,,,,
10078,命中+5%,英雄天赋,命中+5%,Icon/tianfushu_01,,命中,500,,,,,,,,,,,,,,,,,,,
10079,命中+10%,英雄天赋,命中+10%,Icon/tianfushu_01,,命中,1000,,,,,,,,,,,,,,,,,,,
10080,命中+20%,英雄天赋,命中+20%,Icon/tianfushu_01,,命中,2000,,,,,,,,,,,,,,,,,,,
10081,闪避+4%,英雄天赋,闪避+4%,Icon/tianfushu_01,,闪避,400,,,,,,,,,,,,,,,,,,,
10082,闪避+8%,英雄天赋,闪避+8%,Icon/tianfushu_01,,闪避,800,,,,,,,,,,,,,,,,,,,
10083,闪避+16%,英雄天赋,闪避+16%,Icon/tianfushu_01,,闪避,1600,,,,,,,,,,,,,,,,,,,
10084,格挡+4%,英雄天赋,格挡+4%,Icon/tianfushu_01,,格挡,400,,,,,,,,,,,,,,,,,,,
10085,格挡+8%,英雄天赋,格挡+8%,Icon/tianfushu_01,,格挡,800,,,,,,,,,,,,,,,,,,,
10086,格挡+12%,英雄天赋,格挡+12%,Icon/tianfushu_01,,格挡,1200,,,,,,,,,,,,,,,,,,,
10087,格挡+16%,英雄天赋,格挡+16%,Icon/tianfushu_01,,格挡,1600,,,,,,,,,,,,,,,,,,,
10088,暴击+4%,英雄天赋,暴击+4%,Icon/tianfushu_01,,暴击,400,,,,,,,,,,,,,,,,,,,
10089,暴击+8%,英雄天赋,暴击+8%,Icon/tianfushu_01,,暴击,800,,,,,,,,,,,,,,,,,,,
10090,暴击+16%,英雄天赋,暴击+16%,Icon/tianfushu_01,,暴击,1600,,,,,,,,,,,,,,,,,,,
10091,抵抗+4%,英雄天赋,抵抗+4%,Icon/tianfushu_01,,抵抗,400,,,,,,,,,,,,,,,,,,,
10092,抵抗+8%,英雄天赋,抵抗+8%,Icon/tianfushu_01,,抵抗,800,,,,,,,,,,,,,,,,,,,
10093,抵抗+16%,英雄天赋,抵抗+16%,Icon/tianfushu_01,,抵抗,1600,,,,,,,,,,,,,,,,,,,
10094,穿透+5%,英雄天赋,穿透+5%,Icon/tianfushu_01,,穿透,500,,,,,,,,,,,,,,,,,,,
10095,穿透+10%,英雄天赋,穿透+10%,Icon/tianfushu_01,,穿透,1000,,,,,,,,,,,,,,,,,,,
10096,穿透+20%,英雄天赋,穿透+20%,Icon/tianfushu_01,,穿透,2000,,,,,,,,,,,,,,,,,,,
10097,韧性+5%,英雄天赋,韧性+5%,Icon/tianfushu_01,,韧性,500,,,,,,,,,,,,,,,,,,,
10098,韧性+10%,英雄天赋,韧性+10%,Icon/tianfushu_01,,韧性,1000,,,,,,,,,,,,,,,,,,,
10099,韧性+20%,英雄天赋,韧性+20%,Icon/tianfushu_01,,韧性,2000,,,,,,,,,,,,,,,,,,,
10100,治疗效果+5%,英雄天赋,治疗效果+5%,Icon/tianfushu_01,,X19,500,,,,,,,,,,,,,,,,,,,
10101,狂暴2,英雄天赋,每受到一次伤害，则都会提升自己的防御,Icon/tianfushu_01,,,,,,,,,,,,ps_survival,"4000,50000,","X4,X4上限",,,,,,,,
10102,小boss,英雄天赋,不会被添加部分debuff,Icon/tianfushu_01,,,,,,,,,,,,ps_rejectBuff,"30006,30008,30029,30032,30018,30033,30019,30042,100671,20040,20041,101121,30006,30035,30043",拒绝的buff tid列表,,,,,,,,
10103,复原,英雄天赋,每杀死一个敌方英雄，为自己恢复最大生命的20%,Icon/tianfushu_01,,,,,,,,,,,,ps_recoverOnKill,"2000,0,",Hp万分比，值,,,,,,,,
10104,物理免伤+10%,英雄天赋,物理免伤+10%,Icon/tianfushu_01,,X4物理,1000,,,,,,,,,,,,,,,,,,,
10105,治疗效果+10%,英雄天赋,治疗效果+10%,Icon/tianfushu_01,,X19,1000,,,,,,,,,,,,,,,,,,,
10106,闪避+5%,英雄天赋,闪避+5%,Icon/tianfushu_01,,闪避,500,,,,,,,,,,,,,,,,,,,
10107,命中+6%,英雄天赋,命中+6%,Icon/tianfushu_01,,命中,600,,,,,,,,,,,,,,,,,,,
10108,纯净,英雄天赋,治疗量增加200，且释放普通技能时，100%驱散目标身上所有负面状态,Icon/tianfushu_01,,攻击,,200,,,,,,,,ps_pure,"30002,",,,,,,,,,
10109,小狂暴1,英雄天赋,每受到一次伤害，则都会提升自己的攻击,Icon/tianfushu_01,,,,,,,,,,,,ps_fury,"1500,15000,","X3,X3上限",,20711,20712,,,,,
10110,小狂暴2,英雄天赋,每受到一次伤害，则都会提升自己的防御,Icon/tianfushu_01,,,,,,,,,,,,ps_survival,"1500,15000,","X4,X4上限",,,,,,,,
10111,吸血鬼之触,英雄天赋,释放怒气攻击时可以随机为己方除自己以外的一个英雄恢复100点怒气,Icon/tianfushu_01,,,,,,,,,,,,ps_vampiricTouch,"2,1,100",类型：1表示只有普通技能触发，2表示只有怒气技能触发 3所有技能都触发几个英雄，恢复多少怒气,,,,,,,,
10112,冰霜,英雄天赋,免疫冰冻，并且攻击有较低几率冻结目标,Icon/bingshuang_01,,,,,,,,,,,,ps_frost,"101121,600,101122,",冰冻bufftid，触发几率，免疫bufftid,,,,,,,,
10113,深结,英雄天赋,增加冰冻几率，且自身伤害不会破冰,Icon/tianfushu_01,,,,,,,,,,,,ps_deepFreeze,"300,",,,,,,,,,
10114,狂暴,英雄天赋,每受到一次伤害，则都会提升自己的攻击,Icon/kuangbao_01,,,,,,,,,,,,ps_fury,"375,2600,","X3,X3上限",,20711,20712,,,,,
10115,鲁莽,英雄天赋,以牺牲自己的韧性为代价，获得暴击和暴伤的加成,Icon/tianfushu_01,,暴击,1500,,暴伤,3000,,韧性,-1200,,,,,,,,,,,,,
10116,法力燃烧,英雄天赋,最终伤害提升10%，每次攻击均可以从敌人身上偷取10点怒气,Icon/tianfushu_01,,X3,1000,,,,,,,,,ps_stealMp,"10,10,",减少对方MP，增加自己MP,,,,,,,,
10117,斩杀,英雄天赋,敌方生命低于50%，伤害增加30%,Icon/tianfushu_01,,,,,,,,,,,,ps_beheaded,"5000, 3000",血量少于万分比的时候生效，X3增加多少,,,,,,,,
10118,戒律,英雄天赋,免疫敌方的第一次群体技能伤害,Icon/jielv_01,,,,,,,,,,,,ps_noHurtOnAttackGroup,"3, 5000",免疫几次群体攻击， 触发几率,,,,,,,,
10119,法术免伤+10%,英雄天赋,法术免伤+10%,Icon/tianfushu_01,,X4法术,1000,,,,,,,,,,,,,,,,,,,
10120,碎冰,英雄天赋,当你的攻击造成被冻结的目标苏醒时，额外造成20%的伤害,Icon/tianfushu_01,,,,,,,,,,,,ps_addX3OnAttackFrozen,"2000,",X3,,,,,,,,
10121,夜幕,英雄天赋,当目标处于中毒状态时，你对其的伤害提高10%，目标对你的伤害减少10%,Icon/tianfushu_01,,,,,,,,,,,,ps_curtainOfDarkness,"1000,1000,","X3,X4",,,,,,,,
10122,枭兽形态,英雄天赋,变成枭兽形态，提升自身8%的暴击和10%的法防，并提升己方其他英雄4%的暴击和5%的法防,Icon/tianfushu_01,,暴击,800,,法术防御,1000,,,,,,ps_addap1s,"16,400,10,500",属性枚举值，加多少万分比，属性枚举值，加多少万分比,,,,,,,,
10123,毁灭Ⅱ,英雄天赋,每杀死一个敌方英雄，均会再次进行一次怒气攻击,Icon/huimie_01,,,,,,,,,,,,ps_1MoreSkillAttackOnKill,,,"10015,",,,,,,,
10124,生存Ⅱ,英雄天赋,血量越少，所受伤害就越低。每闪避敌人一次攻击，则减少敌人50点怒气；每格挡或抵抗一次攻击，则减少敌人25点怒气。,Icon/shengcun_01,,,,,,,,,,,,ps_survival_enhanced,"50,25,",闪避减少MP，格挡抵抗减少MP,"10005,",,,,,,,
10125,狂暴Ⅱ,英雄天赋,每受到一次伤害，则都会提升自己的攻击；血量越低，暴击和受治疗量就越高。,Icon/kuangbao_01,,,,,,,,,,,,ps_fury_enhanced,"375,2600,1500,1800,","X3,X3上限,暴击,暴击上限,受治疗效果,受治疗效果上限","10114,",20711,20712,,,,,
10126,刺杀Ⅱ,英雄天赋,发动怒气技能时，对血量最少的一个目标造成伤害。如果敌人处于中毒状态，则本次攻击必定命中，且造成200%的伤害,Icon/cisha_01,,,,,,,,,,,,ps_alwaysAttackLowestHpEnemy_enhanced,"1,10000,",X3,"10009,",,,,,,,
10127,惩戒Ⅱ,英雄天赋,受到伤害时，60%几率反弹60%的伤害,Icon/chengjie_01,,,,,,,,,,,,ps_discipline,"6000,6000,",反弹几率，反弹系数,"10053,",,,,,,,
10128,防护Ⅱ,英雄天赋,格挡和抵抗增加15%，物理免伤+5%，免疫中毒效果,Icon/fanghu_01,,格挡,1500,,抵抗,1500,,X4物理,500,,,ps_rejectBuff,"30026,40024,30013,30046,30014,30015,30057,",免疫buff id列表,"10017,10075,",,,,,,,
10129,神圣Ⅱ,英雄天赋,使你所有的伤害和治疗效果增加20%,Icon/shensheng_01,,X19,2000,,X3,2000,,,,,,,,,"10011,",,,,,,,
10130,暗影Ⅱ,英雄天赋,获得暗影形态，法术伤害提高15%，物理免伤提高15%,Icon/anying_01,,X3,1500,,X4物理,1500,,,,,,,,,"10012,",,,,,,,
10131,奥秘Ⅱ,英雄天赋,释放怒气技能后，有100%的几率恢复50点怒气,Icon/aoshu_01,,,,,,,,,,,,ps_recoverMpOnMpSkill,"10000,50,",概率，怒气值,"10013,",,,,,,,
10132,冰霜Ⅱ,英雄天赋,免疫冰冻，并且攻击有一定几率冻结目标,Icon/bingshuang_01,,,,,,,,,,,,ps_frost,"101121,1000,101122",冰冻bufftid，触发几率，免疫bufftid,"10112,",,,,,,,
10133,火焰Ⅱ,英雄天赋,免疫燃烧效果，燃烧效果增加50%,Icon/huoyan_01,,,,,,,,,,,,ps_EleFire,"5000,30027,30010,30045,30011,30012,30034,100221,100281",火元素伤增强万分比，免疫buff id列表,"10014,",,,,,,,
10134,元素Ⅱ,英雄天赋,第一次攻击造成额外150%伤害,Icon/yuansu_01,,,,,,,,,,,,ps_firstAttack+X3,"15000,",X3,"10003,",,,,,,,
10135,增强Ⅱ,英雄天赋,己方每阵亡一人，均会提升自身的物理攻击、物理防御、韧性和暴击,Icon/zengqiang_01,,,,,,,,,,,,ps_teamOnDieEnhance,"700,400,700,500,",增加的X3物理百分比，暴击率，物理防御X4_phy，韧性,"10054,",,,,,,,
10136,恢复Ⅱ,英雄天赋,提升15%的治疗量和受治疗量,Icon/huifu_02,,治疗效果,1500,,受治疗效果,1500,,,,,,,,,"10051,",,,,,,,
10137,痛苦Ⅱ,英雄天赋,以自身每回合均会损失当前血量的5%为代价，换取攻击的大幅提升,Icon/tongku_01,,,,,,,,,,,,ps_hurtSelfAddAttack,"500,700,2800",每回合掉当前血量百分比，增幅X3，X3上限,"10055,",,,,,,,
10138,平衡Ⅱ,英雄天赋,受到伤害时，有一定几率将本次伤害转化为自身血量。假如一次攻击会杀死半神，则本次伤害必定触发一次平衡效果。,Icon/pingheng_01,,,,,,,,,,,,ps_transHurtToRecover_enhanced,"1000,5000,3,1",触发几率，伤害转回血百分比，次数限制，必定触发次数,"10056,",,,,,,,
10139,射击Ⅱ,英雄天赋,提升15%的命中和10%的暴击,Icon/sheji_01,,命中,1500,,暴击,1000,,,,,,,,,"10001,",,,,,,,
10140,武器Ⅱ,英雄天赋,使你的武器附加属性和镶嵌属性获得额外的100%加成,Icon/wuqi_01,,,,,,,,,,,,equip_enlargeEquipAddattr,"10000,",加成百分比,"10058,",,,,,,,
10141,战斗Ⅱ,英雄天赋,每一次出手，均会提升自身的物攻、物防、穿透和命中,Icon/zhandou_01,,,,,,,,,,,,ps_addPhyattrOnAttack_enhanced,"270,1800,230,1600,300,2000,300,2000","X3,X3上限，X4，X4上限","10059,",,,,,,,
10142,敏锐Ⅱ,英雄天赋,提升15%的命中和10%的闪避,Icon/minrui_01,,命中,1500,,闪避,1000,,,,,,,,,"10030,",,,,,,,
10143,免疫致死打击效果,英雄天赋,免疫致死打击效果,,,,,,,,,,,,,ps_rejectBuff,"40003,41001,10165,10164",免疫buff id列表,,,,,,,,
10144,免疫减速,英雄天赋,免疫减速,,,,,,,,,,,,,ps_rejectBuff,"30020,30047",免疫buff id列表,,,,,,,,
10145,免疫中毒、燃烧,英雄天赋,免疫中毒、燃烧,,,,,,,,,,,,,ps_rejectBuff,"30027,30010,30045,30011,30012,30034,100221,100281,30026,40024,30013,30046,30014,30015,30057,",免疫buff id列表,,,,,,,,
10146,免疫破甲、降低怒气,英雄天赋,免疫破甲、降低怒气,,,,,,,,,,,,,ps_rejectBuff,"40004,30048,10166,10167,41002,30001,30039,30044,30016,30030,",免疫buff id列表,,,,,,,,
10147,免疫缠绕,英雄天赋,免疫缠绕,,,,,,,,,,,,,ps_rejectBuff,"30018,30033,40020,",免疫buff id列表,,,,,,,,
