Table:CsvItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,type:ItemType,max_num,desc:s,icon_path:s,icon_path_s:s,is_sell:b,sell_price,display_color:ItemColor,para1,para2,para3,sort_order,need_level,is_use:b,equip_type:EquipType,equip_limited_lv,equip_main_attr0:AttrType,equip_standard_value0,equip_inc_value0,equip_main_attr1:AttrType,equip_standard_value1,equip_inc_value1,equip_side_attr:AttrType,can_upgrade:b,occupation_type:OccupationType,addAttr1,Probability1,addAttr2,Probability2,punch_cost_id:a,punch_cost_num:a,punch_num,equip_grade,extraction_cost,appriasal_cost
100530,护腿,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,裤子,1,血量,240,18,,,,,1,全部,1005301,6000,1005302,4000,40051,5,2,,5,4
100540,铠甲,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,48,3,,,,,1,全部,1005401,6000,1005402,4000,40051,5,2,,5,4
100550,头盔,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,48,3,,,,,1,全部,1005501,6000,1005502,4000,40051,5,2,,5,4
100560,迅捷长靴,装备,1,,Icon/xunjiechangxue,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,40,3,,,,,1,全部,1005601,6000,1005602,4000,40051,5,2,,5,4
100610,破坏者,装备,1,,Icon/pohuaizhe,,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,100,7,,,,,1,物理,1006101,5500,1006102,4500,40051,5,2,6,5,4
100620,幻影法杖,装备,1,,Icon/huanyingfazhang,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,100,7,,,,,1,法术,1006201,5500,1006202,4500,40051,5,2,6,5,4
100630,护腿,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,裤子,1,血量,300,21,,,,,1,全部,1006301,5500,1006302,4500,40051,5,2,6,5,4
100640,铠甲,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,60,4,,,,,1,全部,1006401,5500,1006402,4500,40051,5,2,6,5,4
100650,主教之冠,装备,1,,Icon/zhujiaozhiguan,,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,60,4,,,,,1,全部,1006501,5500,1006502,4500,40051,5,2,6,5,4
100660,血色十字军战靴,装备,1,,Icon/xueseshizijunzhanxue,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,50,3,,,,,1,全部,1006601,5500,1006602,4500,40051,5,2,6,5,4
100710,尸体制造者,装备,1,,Icon/shitizhizaozhe,,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,120,7,,,,,1,物理,1007101,5500,1007102,4500,40051,5,2,6,5,4
100720,法杖,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,120,7,,,,,1,法术,1007201,5500,1007202,4500,40051,5,2,6,5,4
100730,野兽护腿,装备,1,,Icon/yeshouhutui,,1,1000,蓝,,,,0,1,1,裤子,1,血量,360,21,,,,,1,全部,1007301,5500,1007302,4500,40051,5,2,6,5,4
100740,巫妖法袍,装备,1,,Icon/wuyaofapao,,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,72,4,,,,,1,全部,1007401,5500,1007402,4500,40051,5,2,6,5,4
100750,冰铁之盔,装备,1,,Icon/bingtiezhikui,,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,72,4,,,,,1,全部,1007501,5500,1007502,4500,40051,5,2,6,5,4
100760,之靴,装备,1,,Icon/jingyan,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,60,3,,,,,1,全部,1007601,5500,1007602,4500,40051,5,2,6,5,4
100810,加加恩的火枪,装备,1,,Icon/jiajiaendehuoqiang,,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,120,8,,,,,1,物理,1008101,5000,1008102,5000,40051,5,2,8,5,4
100820,鲁恩乌的长靴,装备,1,,Icon/luenwudechangxue,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,60,4,,,,,1,全部,1008201,5000,1008202,5000,40051,5,2,8,5,4
100830,石化蜥蜴皮裤,装备,1,,Icon/shihuaxiyipiku,,1,1000,蓝,,,,0,1,1,裤子,1,血量,360,24,,,,,1,全部,1008301,5000,1008302,5000,40051,5,2,8,5,4
100840,格瑞姆洛克的部族法衣,装备,1,,Icon/geruimuluokedebuzufayi,,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,72,4,,,,,1,全部,1008401,5000,1008402,5000,40051,5,2,8,5,4
100850,大坏蛋面具,装备,1,,Icon/dahuaidanmianju,,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,72,4,,,,,1,全部,1008501,5000,1008502,5000,40051,5,2,8,5,4
100860,霉运巫毒之皮,装备,1,,Icon/meiyunwuduzhipi,,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,72,4,,,,,1,全部,1008601,5000,1008602,5000,40051,5,2,8,5,4
100870,霉运巫毒之裙,装备,1,,Icon/meiyunwuduzhiqun,,1,1000,蓝,,,,0,1,1,裤子,1,血量,360,24,,,,,1,全部,1008701,5000,1008702,5000,40051,5,2,8,5,4
100880,祖穆拉恩的能量法杖,装备,1,,Icon/zumulaendenengliangfazhang,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,120,8,,,,,1,法术,1008801,5000,1008802,5000,40051,5,2,8,5,4
100890,乔丹法杖,装备,1,,Icon/qiaodanfazhang,,1,2000,紫,,,,0,1,1,武器,1,法术攻击,200,10,,,,,1,法术,1008902,10000,,0,40051,7,3,10,7,8
100900,一闪,装备,1,,Icon/yishan,,1,2000,紫,,,,0,1,1,武器,1,物理攻击,200,10,,,,,1,物理,1009002,10000,,0,40051,7,3,10,7,8
100910,法力风暴护腿,装备,1,,Icon/falifengbaohutui,,1,2000,紫,,,,0,1,1,裤子,1,血量,600,30,,,,,1,全部,1009102,10000,,0,40051,7,3,10,7,8
100920,狮心头盔,装备,1,,Icon/shixintoukui,,1,2000,紫,,,,0,1,1,头盔,1,法术防御,120,6,,,,,1,全部,1009202,10000,,0,40051,7,3,10,7,8
100930,洞察法袍,装备,1,,Icon/dongchafapao,,1,2000,紫,,,,0,1,1,铠甲,1,物理防御,120,6,,,,,1,全部,1009302,10000,,0,40051,7,3,10,7,8
100940,黑色龙鳞战靴,装备,1,,Icon/heiselonglinzhanxue,,1,2000,紫,,,,0,1,1,鞋子,1,速度,100,5,,,,,1,全部,1009402,10000,,0,40051,7,3,10,7,8
100950,厄运钟摆,装备,1,,Icon/eyunzhongbai,,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,160,10,,,,,1,物理,1009501,5000,1009502,5000,40051,5,2,10,5,4
100960,瑟莱德丝之眼,装备,1,,Icon/selaidesizhiyan,,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,96,6,,,,,1,全部,1009601,5000,1009602,5000,40051,5,2,10,5,4
100970,白鳄长靴,装备,1,,Icon/baiechangxue,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,80,5,,,,,1,全部,1009701,5000,1009702,5000,40051,5,2,10,5,4
100980,诺克赛恩魔杖,装备,1,,Icon/nuokesaienmozhang,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,160,10,,,,,1,法术,1009801,5000,1009802,5000,40051,5,2,10,5,4
100990,风鳞布裙,装备,1,,Icon/fenglinbuqun,,1,1000,蓝,,,,0,1,1,裤子,1,血量,480,30,,,,,1,全部,1009901,5000,1009902,5000,40051,5,2,10,5,4
101000,哈卡之塔,装备,1,,Icon/hakazhita,,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,160,10,,,,,1,法术,1010001,5000,1010002,5000,40051,5,2,10,5,4
101010,溅血胫甲,装备,1,,Icon/jianxuejingjia,,1,1000,蓝,,,,0,1,1,鞋子,1,速度,80,5,,,,,1,全部,1010101,5000,1010102,5000,40051,5,2,10,5,4
101180,亮木法杖,装备,1,,Icon/liangmufazhang,,1,2000,紫,,,,0,1,1,武器,1,法术攻击,240,15,,,,,1,法术,1011802,10000,,0,40051,9,3,15,9,12
101190,斩首者康恩,装备,1,,Icon/zhanshouzhekangen,,1,2000,紫,,,,0,1,1,武器,1,物理攻击,240,15,,,,,1,物理,1011902,10000,,0,40051,9,3,15,9,12
101200,踏云腿甲,装备,1,,Icon/tayuntuijia,,1,2000,紫,,,,0,1,1,裤子,1,血量,720,45,,,,,1,全部,1012002,10000,,0,40051,9,3,15,9,12
101210,风蛇的拥抱,装备,1,,Icon/fengshedeyongbao,,1,2000,紫,,,,0,1,1,铠甲,1,物理防御,144,9,,,,,1,全部,1012102,10000,,0,40051,9,3,15,9,12
101220,烈焰之环,装备,1,,Icon/lieyanzhihuan,,1,2000,紫,,,,0,1,1,头盔,1,法术防御,144,9,,,,,1,全部,1012202,10000,,0,40051,9,3,15,9,12
101230,闪避之靴,装备,1,,Icon/shanbichangxue,,1,2000,紫,,,,0,1,1,鞋子,1,速度,120,7,,,,,1,全部,1012302,10000,,0,40051,9,3,15,9,12
101240,龙之召唤,装备,1,,Icon/longzhizhaohuan,,1,2000,紫,,,,0,1,1,武器,1,物理攻击,240,15,,,,,1,物理,1012402,10000,,0,40051,9,3,15,9,12
101410,院长之杖,装备,1,,Icon/yuanzhangzhizhang,,1,2000,紫,,,,0,1,1,武器,1,法术攻击,260,18,,,,,1,法术,1014102,10000,,,40051,11,3,20,11,16
101420,奥兰纳的拥抱,装备,1,,Icon/aolannadeyongbao,,1,2000,紫,,,,0,1,1,铠甲,1,物理防御,156,11,,,,,1,全部,1014202,10000,,,40051,11,3,20,11,16
101430,泰坦护腿,装备,1,,Icon/taitanhutui,,1,2000,紫,,,,0,1,1,裤子,1,血量,780,54,,,,,1,全部,1014302,10000,,,40051,11,3,20,11,16
101440,瑞文戴尔之剑,装备,1,,Icon/ruiwendaierzhijian,,1,2000,紫,,,,0,1,1,武器,1,物理攻击,260,18,,,,,1,物理,1014402,10000,,,40051,11,3,20,11,16
101450,纳尔维之盔,装备,1,,Icon/naerweizhikui,,1,2000,紫,,,,0,1,1,头盔,1,法术防御,156,11,,,,,1,全部,1014502,10000,,,40051,11,3,20,11,16
101460,熔岩犬皮靴,装备,1,,Icon/rongyanquanpixue,,1,2000,紫,,,,0,1,1,鞋子,1,速度,130,9,,,,,1,全部,1014602,10000,,,40051,11,3,20,11,16
101470,毁灭之刃,装备,1,,Icon/huimiezhiren,,1,2000,紫,,,,0,1,1,武器,1,物理攻击,260,22,,,,,1,物理,1014702,10000,,,40051,13,3,25,13,20
101480,生命赐予者头盔,装备,1,,Icon/shengmingciyuzhezhikui,,1,2000,紫,,,,0,1,1,头盔,1,法术防御,156,13,,,,,1,全部,1014802,10000,,,40051,13,3,25,13,20
101490,烈焰行者重靴,装备,1,,Icon/lieyanxingzhezhongxue,,1,2000,紫,,,,0,1,1,鞋子,1,速度,130,11,,,,,1,全部,1014902,10000,,,40051,13,3,25,13,20
101500,统御法杖,装备,1,,Icon/tongyufazhang,,1,2000,紫,,,,0,1,1,武器,1,法术攻击,260,22,,,,,1,法术,1015002,10000,,,40051,13,3,25,13,20
101510,火蜥蜴鳞片短裤,装备,1,,Icon/huoxiyilinpianduanku,,1,2000,紫,,,,0,1,1,裤子,1,血量,780,66,,,,,1,全部,1015102,10000,,,40051,13,3,25,13,20
101520,波动长袍,装备,1,,Icon/bodongchangpao,,1,2000,紫,,,,0,1,1,铠甲,1,物理防御,156,13,,,,,1,全部,1015202,10000,,,40051,13,3,25,13,20
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
#,格瑞克的布制法衣,装备,1,,Icon/dianjinshi,,1,2000,紫,,,,0,1,1,武器,1,物理攻击,240,16,,,,,1,物理,,,,0,40051,1,3,15,1,20
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20
100111,残酷倒钩,装备,1,0,Icon/cankudaogou,0,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,120,4,,,,,1,物理,,,,,40051,5,2,2,5,4
100121,曲奇的烧火棍,装备,1,0,Icon/quqidechuihuo,0,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,120,4,,,,,1,法术,,,,,40051,5,2,2,5,4
100131,黑暗迪菲亚护腿,装备,1,0,Icon/heiandifeiyahutui,0,1,1000,蓝,,,,0,1,1,裤子,1,血量,360,12,,,,,1,全部,,,,,40051,5,2,2,5,4
100141,黑暗迪菲亚护甲,装备,1,0,Icon/heiandifeiyahujia,0,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,72,2,,,,,1,全部,,,,,40051,5,2,2,5,4
100151,头盔,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,72,2,,,,,1,全部,,,,,40051,5,2,2,5,4
100161,靴,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,鞋子,1,速度,60,2,,,,,1,全部,,,,,40051,5,2,2,5,4
100211,毒蛇,装备,1,0,Icon/dushe,0,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,140,4,,,,,1,物理,,,,,40051,5,2,2,5,4
100221,生命之根,装备,1,0,Icon/shengmingzhigen,0,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,140,4,,,,,1,法术,,,,,40051,5,2,2,5,4
100231,尖牙护腿,装备,1,0,Icon/jianyahutui,0,1,1000,蓝,,,,0,1,1,裤子,1,血量,420,12,,,,,1,全部,,,,,40051,5,2,2,5,4
100241,尖牙外套,装备,1,0,Icon/jianyawaitao,0,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,84,2,,,,,1,全部,,,,,40051,5,2,2,5,4
100251,头盔,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,84,2,,,,,1,全部,,,,,40051,5,2,2,5,4
100261,靴,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,鞋子,1,速度,70,2,,,,,1,全部,,,,,40051,5,2,2,5,4
100311,曲刃战斧,装备,1,0,Icon/qurenzhanfu,0,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,150,5,,,,,1,物理,,,,,40051,5,2,4,5,4
100321,奥杜之杖,装备,1,0,Icon/aoduzhizhang,0,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,150,5,,,,,1,法术,,,,,40051,5,2,4,5,4
100331,护腿,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,裤子,1,血量,450,15,,,,,1,全部,,,,,40051,5,2,4,5,4
100341,影牙堡主法袍,装备,1,0,Icon/alugaofapao,0,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,90,3,,,,,1,全部,,,,,40051,5,2,4,5,4
100351,追随者眼罩,装备,1,0,Icon/zhuisuizheyanzhao,0,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,90,3,,,,,1,全部,,,,,40051,5,2,4,5,4
100361,靴,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,鞋子,1,速度,70,2,,,,,1,全部,,,,,40051,5,2,4,5,4
100411,纳迦穿心者,装备,1,0,Icon/najiachuanxinzhe,0,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,170,5,,,,,1,物理,,,,,40051,5,2,4,5,4
100421,梦游者魔棒,装备,1,0,Icon/mengyouzhemobang,0,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,170,5,,,,,1,法术,,,,,40051,5,2,4,5,4
100431,凝望短裤,装备,1,0,Icon/ningwangduanku,0,1,1000,蓝,,,,0,1,1,裤子,1,血量,510,15,,,,,1,全部,,,,,40051,5,2,4,5,4
100441,海龟护甲,装备,1,0,Icon/haiguihujia,0,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,102,3,,,,,1,全部,,,,,40051,5,2,4,5,4
100451,头盔,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,96,3,,,,,1,全部,,,,,40051,5,2,4,5,4
100461,靴,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,鞋子,1,速度,80,2,,,,,1,全部,,,,,40051,5,2,4,5,4
100611,破坏者,装备,1,0,Icon/pohuaizhe,0,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,200,7,,,,,1,物理,,,,,40051,5,2,6,5,4
100621,幻影法杖,装备,1,0,Icon/huanyingfazhang,0,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,200,7,,,,,1,法术,,,,,40051,5,2,6,5,4
100631,护腿,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,裤子,1,血量,570,21,,,,,1,全部,,,,,40051,5,2,6,5,4
100641,铠甲,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,114,4,,,,,1,全部,,,,,40051,5,2,6,5,4
100651,主教之冠,装备,1,0,Icon/zhujiaozhiguan,0,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,120,4,,,,,1,全部,,,,,40051,5,2,6,5,4
100661,血色十字军战靴,装备,1,0,Icon/xueseshizijunzhanxue,0,1,1000,蓝,,,,0,1,1,鞋子,1,速度,100,3,,,,,1,全部,,,,,40051,5,2,6,5,4
100711,尸体制造者,装备,1,0,Icon/shitizhizaozhe,0,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,220,7,,,,,1,物理,,,,,40051,5,2,6,5,4
100721,法杖,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,210,7,,,,,1,法术,,,,,40051,5,2,6,5,4
100731,野兽护腿,装备,1,0,Icon/yeshouhutui,0,1,1000,蓝,,,,0,1,1,裤子,1,血量,660,21,,,,,1,全部,,,,,40051,5,2,6,5,4
100741,巫妖法袍,装备,1,0,Icon/wuyaofapao,0,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,132,4,,,,,1,全部,,,,,40051,5,2,6,5,4
100751,冰铁之盔,装备,1,0,Icon/bingtiezhikui,0,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,132,4,,,,,1,全部,,,,,40051,5,2,6,5,4
100761,之靴,装备,1,0,Icon/jingyan,0,1,1000,蓝,,,,0,1,1,鞋子,1,速度,110,3,,,,,1,全部,,,,,40051,5,2,6,5,4
100811,加加恩的火枪,装备,1,0,Icon/jiajiaendehuoqiang,0,1,1000,蓝,,,,0,1,1,武器,1,物理攻击,220,8,,,,,1,物理,,,,,40051,5,2,8,5,4
100821,鲁恩乌的长靴,装备,1,0,Icon/luenwudechangxue,0,1,1000,蓝,,,,0,1,1,鞋子,1,速度,110,4,,,,,1,全部,,,,,40051,5,2,8,5,4
100831,石化蜥蜴皮裤,装备,1,0,Icon/shihuaxiyipiku,0,1,1000,蓝,,,,0,1,1,裤子,1,血量,660,24,,,,,1,全部,,,,,40051,5,2,8,5,4
100841,格瑞姆洛克的部族法衣,装备,1,0,Icon/geruimuluokedebuzufayi,0,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,132,4,,,,,1,全部,,,,,40051,5,2,8,5,4
100851,大坏蛋面具,装备,1,0,Icon/dahuaidanmianju,0,1,1000,蓝,,,,0,1,1,头盔,1,法术防御,132,4,,,,,1,全部,,,,,40051,5,2,8,5,4
100861,霉运巫毒之皮,装备,1,0,Icon/meiyunwuduzhipi,0,1,1000,蓝,,,,0,1,1,铠甲,1,物理防御,132,4,,,,,1,全部,,,,,40051,5,2,8,5,4
100871,霉运巫毒之裙,装备,1,0,Icon/meiyunwuduzhiqun,0,1,1000,蓝,,,,0,1,1,裤子,1,血量,660,24,,,,,1,全部,,,,,40051,5,2,8,5,4
100881,祖穆拉恩的能量法杖,装备,1,0,Icon/zumulaendenengliangfazhang,0,1,1000,蓝,,,,0,1,1,武器,1,法术攻击,220,8,,,,,1,法术,,,,,40051,5,2,8,5,4
100891,乔丹法杖,装备,1,0,Icon/qiaodanfazhang,0,1,2000,紫,,,,0,1,1,武器,1,法术攻击,330,10,,,,,1,法术,,,,,40051,7,3,10,7,8
100901,一闪,装备,1,0,Icon/yishan,0,1,2000,紫,,,,0,1,1,武器,1,物理攻击,330,10,,,,,1,物理,,,,,40051,7,3,10,7,8
