Table:CsvGuide,,,,,,,,,,,,,,,,
tid,name:s,whenAdd:WhenAddGuide,whenAddParam:s,trigger:GuideTrigger,triggerParam:s,doWhat:GuideDoWhat,doWhatParam:s,presentation:GuidePresentation,delay:f,isShowMask:b,keepMask,finishCond:GuideFinishCond,finishCondParam:s,actionAfterAdd:s,actionBeforeDo:s,actionAfterDo:s
1002,上阵英雄_点第3个格子,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/pos3,默认,0.5,1,2,,,,,
1003,上阵英雄_点上阵按钮,,,界面显示时,r_HeroSel,点按钮,r_HeroSel/herosel_up,默认,0,1,2,队伍英雄数量,3,,,
1004,上阵英雄_点关闭,,,上一个结束时,,点按钮,HeroInfoUI/close,默认,0,1,1,,,,,
#,,,,,,,,,,,,,,,,
1100,做4号任务_点链接,,4,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
1101,领取4号任务奖励,,,界面显示时,TaskGotUI,点按钮,TaskGotUI/ok,默认,0.5,,1,任务已提交,4,,1,
#,,,,,,,,,,,,,,,,
1200,做5号任务_点链接,,5,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
1201,领取5号任务奖励,,,界面显示时,TaskGotUI,点按钮,TaskGotUI/ok,默认,0.5,,1,任务已提交,5,,1,
1202,关闭升级界面,,,界面显示时,CommanderLevelUp,点按钮,CommanderLevelUp/Allot1,默认,0,1,1,,,,,close:LevelUp
#,,,,,,,,,,,,,,,,
1300,做6号任务_点链接,,6,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
1301,做6号任务_点战斗,,6,界面显示时,BattleReady,点按钮,BattleReady/battle1,默认,,1,,进入战斗,10103,,,
#,,,,,,,,,,,,,,,,
#4级:升级第三个英雄,,,,,,,,,,,,,,,,
1400,提交6号任务_点链接,,6,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
1401,领取6号任务奖励,,6,界面显示时,TaskGotUI,点按钮,TaskGotUI/ok,默认,0.5,,1,任务已提交,6,,1,
1402,关闭升级界面,,,界面显示时,CommanderLevelUp,点按钮,CommanderLevelUp/Allot1,默认,0,1,1,,,,,close:LevelUp
#,,,,,,,,,,,,,,,,
1500,升级英雄_说话,,,界面显示时,MainCityUI,说话,7,默认,0.3,,1,,,,,
1501,升级英雄_开队伍界面,,,上一个结束时,,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
1502,升级英雄_点第3个格子,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/pos3,默认,0.5,1,2,,,,,
1503,升级英雄_点升级页面,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/levelup,默认,0,1,2,,,,,
1504,升级英雄_点经验书,,,界面显示时,r_LevelUp,点按钮,r_LevelUp/levelbook,默认,0,1,2,队伍第a个英雄等于b级,"2,3",,,
1505,升级英雄_点关闭,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/close,默认,0,1,1,,,,,
#,,,,,,,,,,,,,,,,
1600,做7号任务_点链接,,7,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
1601,做7号任务_点战斗,,7,界面显示时,BattleReady,点按钮,BattleReady/battle1,默认,,1,,进入战斗,10104,,,
#,,,,,,,,,,,,,,,,
1700,提交7号任务_点链接,,7,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
1701,领取7号任务奖励,,7,界面显示时,TaskGotUI,点按钮,TaskGotUI/ok,默认,0.5,,1,任务已提交,7,,1,
1702,关闭升级界面,,,界面显示时,CommanderLevelUp,点按钮,CommanderLevelUp/Allot1,默认,0,1,1,,,,,close:LevelUp
#,,,,,,,,,,,,,,,,
1800,做8号任务_点链接,,8,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
1801,做8号任务_点战斗,,8,界面显示时,BattleReady,点按钮,BattleReady/battle1,默认,,1,,进入战斗,10105,,,
#,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#5级:领取通关宝箱,,,,,,,,,,,,,,,,
1900,领取通关宝箱_点宝箱,,101051,界面显示时,BattleMapUI,点按钮,BattleMapUI/box,默认,0.3,1,1,,,,,
1901,领取通关宝箱_点领取,,,界面显示时,BattleBoxReward,点按钮,BattleBoxReward/receive,默认,0.5,0,1,已领取第a个冒险地图第b个宝箱,"0,0",,,
1902,领取通关宝箱_关闭冒险界面,,,界面显示时,ConquerMapUI,点按钮,ConquerMapUI/close,默认,0.5,1,1,,,,,
#,,,,,,,,,,,,,,,,
1950,领取通关宝箱_打开冒险界面,,,界面显示时,MainCityUI,点按钮,MainCityUI/conquer,默认,0.3,1,1,,,,,
1951,领取通关宝箱_切回第1张地图,,,界面显示时,BattleMapUI,点按钮,BattleMapUI/left,默认,0.3,1,2,,,,,
1952,领取通关宝箱_点宝箱,,,界面显示时,BattleMapUI,点按钮,BattleMapUI/box,默认,0.3,1,1,,,,,
1953,领取通关宝箱_点领取,,,界面显示时,BattleBoxReward,点按钮,BattleBoxReward/receive,默认,0.5,,1,已领取第a个冒险地图第b个宝箱,"0,0",,,
1954,领取通关宝箱_关闭冒险界面,,,界面显示时,ConquerMapUI,点按钮,ConquerMapUI/close,默认,0.5,1,1,,,,,
#,,,,,,,,,,,,,,,,
2000,穿装备_说话,,,界面显示时,MainCityUI,说话,1002,默认,1,,1,,,,,
2001,穿装备_开队伍界面,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
2002,穿装备_点第3个格子,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/pos3,默认,0.5,1,2,,,,,
2003,穿装备_点一键装备,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/onekeyequip,默认,0.5,1,2,队伍第a个英雄有b装备,"2,0",,,
2004,穿装备_点武器,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/weapon,默认,0,1,2,,,,,
2005,穿装备_点强化,,,界面显示时,r_EquipInfo,点按钮,r_EquipInfo/enhance,默认,0,1,2,,,,,
2006,穿装备_点自动强化,,,界面显示时,r_EnhanceEquip,点按钮,r_EnhanceEquip/autoenhance,默认,0,1,2,队伍第a个英雄装备类型b强化至少c级,"2,0,2",,,
2007,穿装备_点关闭,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/close,默认,0,1,1,,,,,
#,,,,,,,,,,,,,,,,
2050,穿装备_开队伍界面,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
2051,穿装备_点第3个格子,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/pos3,默认,0.5,1,2,,,,,
2052,穿装备_点武器,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/weapon,默认,0,1,2,,,,,
2053,穿装备_点强化,,,界面显示时,r_EquipInfo,点按钮,r_EquipInfo/enhance,默认,0,1,2,,,,,
2054,穿装备_点自动强化,,,界面显示时,r_EnhanceEquip,点按钮,r_EnhanceEquip/autoenhance,默认,0,1,2,队伍第a个英雄装备类型b强化至少c级,"2,0,2",,,
2055,穿装备_点关闭,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/close,默认,0,1,1,,,,,
#,,,,,,,,,,,,,,,,
2100,提交8号任务_点链接,,,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
2101,领取8号任务奖励,,,界面显示时,TaskGotUI,点按钮,TaskGotUI/ok,默认,0.5,,1,任务已提交,8,,1,
#,,,,,,,,,,,,,,,,
2200,觉醒指挥官_说话,,,界面显示时,MainCityUI,说话,1003,默认,0.3,,1,,,,,
2201,觉醒指挥官_开指挥官界面,,,上一个结束时,,点按钮,MainCityUI/commander,默认,0.3,1,1,,,,,
2202,觉醒指挥官_点觉醒按钮,,,界面显示时,CommanderInfo,点按钮,CommanderInfo/growth,默认,,1,1,,,,,
2203,觉醒指挥官_点激活按钮,,,界面显示时,CommanderGrowth,点按钮,CommanderGrowth/activate,默认,1,1,1,拥有指挥官,2,,,
2204,觉醒指挥官_关闭获得英雄界面,,,界面显示时,CommanderGet,点按钮,CommanderGet/ok,默认,1,,1,,,,,
2205,觉醒指挥官_点激活按钮,,,界面显示时,CommanderGrowth,点按钮,CommanderGrowth/activate,默认,1,1,1,指挥官觉醒已激活,"2,1",,,
2206,觉醒指挥官_关闭获得技能界面,,,界面显示时,CommanderGetSkill,点按钮,CommanderGetSkill/ok,默认,1,,1,,,,,
2207,觉醒指挥官_关闭觉醒,,,界面显示时,CommanderGrowth,点按钮,CommanderGrowth/close,默认,0.3,1,1,,,,,
2208,觉醒指挥官_点指挥官列表,,,界面显示时,CommanderInfo,点按钮,CommanderInfo/commander,默认,0.3,1,1,,,,,
2209,觉醒指挥官_点牧师,,,界面显示时,CommanderList,点按钮,CommanderList/2,默认,0.5,1,2,当前指挥官,2,,,
2210,觉醒指挥官_点关闭,,,界面显示时,CommanderList,点按钮,CommanderList/close,默认,0.3,1,1,,,,,
2211,觉醒指挥官_关闭指挥官,,,界面显示时,CommanderInfo,点按钮,CommanderInfo/close,默认,0.3,1,1,,,,,
#,,,,,,,,,,,,,,,,
2300,觉醒指挥官_开指挥官界面,,,界面显示时,MainCityUI,点按钮,MainCityUI/commander,默认,0.3,1,1,,,,,
2301,觉醒指挥官_点觉醒按钮,,,界面显示时,CommanderInfo,点按钮,CommanderInfo/growth,默认,,1,1,,,,,
2302,觉醒指挥官_点激活按钮,,,界面显示时,CommanderGrowth,点按钮,CommanderGrowth/activate,默认,1,1,1,指挥官觉醒已激活,"2,1",,,
2303,觉醒指挥官_关闭获得技能界面,,,界面显示时,CommanderGetSkill,点按钮,CommanderGetSkill/ok,默认,1,,1,,,,,
2304,觉醒指挥官_关闭觉醒,,,界面显示时,CommanderGrowth,点按钮,CommanderGrowth/close,默认,0.3,1,1,,,,,
2305,觉醒指挥官_点指挥官列表,,,界面显示时,CommanderInfo,点按钮,CommanderInfo/commander,默认,0.3,1,1,,,,,
2306,觉醒指挥官_点牧师,,,界面显示时,CommanderList,点按钮,CommanderList/2,默认,0.5,1,2,当前指挥官,2,,,
2307,觉醒指挥官_点关闭,,,界面显示时,CommanderList,点按钮,CommanderList/close,默认,0.3,1,1,,,,,
2308,觉醒指挥官_关闭指挥官,,,界面显示时,CommanderInfo,点按钮,CommanderInfo/close,默认,0.3,1,1,,,,,
#,,,,,,,,,,,,,,,,
2400,觉醒指挥官_开指挥官界面,,,界面显示时,MainCityUI,点按钮,MainCityUI/commander,默认,0.3,1,1,,,,,
2401,觉醒指挥官_点指挥官列表,,,界面显示时,CommanderInfo,点按钮,CommanderInfo/commander,默认,0.3,1,1,,,,,
2402,觉醒指挥官_点牧师,,,界面显示时,CommanderList,点按钮,CommanderList/2,默认,0.5,1,2,当前指挥官,2,,,
2403,觉醒指挥官_点关闭,,,界面显示时,CommanderList,点按钮,CommanderList/close,默认,0.3,1,1,,,,,
2404,觉醒指挥官_关闭指挥官,,,界面显示时,CommanderInfo,点按钮,CommanderInfo/close,默认,0.3,1,1,,,,,
#,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
2500,做9号任务_点链接,,9,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
2501,领取9号任务奖励,,9,界面显示时,TaskGotUI,点按钮,TaskGotUI/ok,默认,0.5,,1,任务已提交,9,,1,
#,,,,,,,,,,,,,,,,
2600,做10号任务_点链接,,10,界面显示时,MainCityUI,点按钮,MainCityUI/taskpanel,默认,0.3,1,1,,,,,
2601,做10号任务_点战斗,,10,界面显示时,BattleReady,点按钮,BattleReady/battle1,默认,,1,,进入战斗,10201,,,
#,,,,,,,,,,,,,,,,
2650,战斗提示_说话,,102011,技能可用时,30001,说话,2004,默认,,,,,,,,
2651,战斗提示点击技能,,102011,上一个结束时,,点技能按钮,30001,默认,0,,0,,,,,
2652,战斗提示点击技能,,,技能可用时,30001,点技能按钮,30001,默认,0,,0,,,,,
#,,,,,,,,,,,,,,,,
2700,还原指挥官_说话,,102011,界面显示时,MainCityUI,说话,1007,默认,0.3,,1,,,,,
2701,还原指挥官_开队伍界面,,,上一个结束时,,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
2702,还原指挥官_点阵型,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/Formation,默认,0.5,1,1,,,,,
2703,还原指挥官_点法师,,,界面显示时,CombatFormationUI,点按钮,CombatFormationUI/ActorFace1,默认,0.5,1,2,当前指挥官,1,,,
2704,还原指挥官_关闭阵型,,,界面显示时,CombatFormationUI,点按钮,CombatFormationUI/back,默认,0.3,1,1,,,,,
2705,还原指挥官_关闭队伍,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/close,默认,0.3,1,0,,,,,
2706,结束指引_对话,,,上一个结束时,,延迟,0.5,默认,0,,0,,,,,
2707,结束指引_对话,,,上一个结束时,,说话,2003,默认,0.3,,0,,,,,
#,,,,,,,,,,,,,,,,
5000,Demo指引使用火球术_说话,,,技能可用时,10001,说话,101,默认,,,,,,,,
5001,Demo指引使用火球术_使用技能,,,上一个结束时,,拖技能按钮到角色,10001/90000116,默认,,,,,,,,
5002,Demo指引使用暴击雪_说话,,,技能可用时,10002,说话,102,默认,,,,,,,,
5003,Demo指引使用暴击雪_使用技能,,,上一个结束时,,拖技能按钮到角色,10002/90000115,默认,,,,,,,,
5004,Demo指引使用变形术_说话,,,技能可用时,10003,说话,103,默认,,,,,,,speed:0,
5005,Demo指引使用变形术_使用技能,,,上一个结束时,,拖技能按钮到角色,10003/90000115,默认,,,,,,,,speed:1
5006,Demo指引使用炎爆术_使用技能,,,技能可用时,10004,拖技能按钮到角色,10004/90000115,默认,,,,,,,,
#,,,,,,,,,,,,,,,,
6000,自动战斗_说话,,6,界面显示时,BattleSceneUI,说话,1017,默认,0.3,,1,,,,speed:0,
6001,自动战斗,,,上一个结束时,,点按钮,BattleSceneUI/autofight,默认,0,1,,,,,,speed:1
#,,,,,,,,,,,,,,,,
#6999,指引神秘商店_说话,,7,界面显示时,MainCityUI,说话,1016,默认,0.3,,1,,,,,
#7000,指引神秘商店,,,界面显示时,MainCityUI,点按钮,MainCityUI/store,默认,0.3,1,1,,,,,
#7001,指引神秘商店2,,,界面显示时,ShopUI,点按钮,ShopUI/mysteryshop,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
8000,加速2_说话,,8,界面显示时,BattleSceneUI,说话,1001,默认,0.3,,1,,,,speed:0,
8001,加速2,,,上一个结束时,,点按钮,BattleSceneUI/speedup,默认,0,1,,,,,,speed:1
#,,,,,,,,,,,,,,,,
9000,上阵第4个英雄_说话,,9,界面显示时,MainCityUI,说话,1018,默认,0.8,,1,,,,,
9001,上阵第4个英雄,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
9002,上阵第4个英雄,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/pos4,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
10000,英雄进阶与培养_说话,,10,界面显示时,MainCityUI,说话,1004,默认,0.3,,1,,,,,
10001,英雄进阶与培养,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
10002,英雄进阶与培养2,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/pos2,默认,0.5,1,2,,,,,
10003,英雄进阶与培养3,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/upgrade,默认,0.3,1,,,,,,
#,,,,,,,,,,,,,,,,
11000,竞技场_说话,,11,界面显示时,MainCityUI,说话,1016,默认,0.3,,1,,,,,
11001,竞技场,,,界面显示时,MainCityUI,点按钮,MainCityUI/competition,默认,0.3,1,,,,,,
#,,,,,,,,,,,,,,,,
12000,日常任务_说话,,12,界面显示时,MainCityUI,说话,1011,默认,0.3,,1,,,,,
12001,日常任务,,,界面显示时,MainCityUI,点按钮,MainCityUI/dailytask,默认,0.3,1,,,,,,
####,,,,,,,,,,,,,,,,
####,,,,,,,,,,,,,,,,
####,,,,,,,,,,,,,,,,
13000,抢夺_说话,,13,界面显示时,MainCityUI,说话,1006,默认,0.3,,1,,,,,
13001,抢夺_活动入口,,,界面显示时,MainCityUI,点按钮,MainCityUI/activitydoor,默认,0.5,1,1,,,,,
13002,抢夺,,,界面显示时,ActivityDoorUI,点按钮,ActivityDoorUI/rob,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
13100,抢夺_第3格,,,界面显示时,RobTreasureUI,点按钮,RobTreasureUI/item3,默认,0.5,1,,,,,,
13101,抢夺_进战斗,,,界面显示时,RandomOpponentUI,点按钮,RandomOpponentUI/rob0,默认,0.8,1,,,,,,
#,,,,,,,,,,,,,,,,
13200,抢夺_合成,,,界面显示时,MainCityUI,点按钮,RobTreasureUI/compose,默认,0.5,1,,,,,,
13201,抢夺合成_确定,,,界面显示时,ComposeMsgUI,点按钮,ComposeMsgUI/ok,默认,1,,1,,,,,
13202,抢夺_关闭,,,界面显示时,RobTreasureUI,点按钮,RobTreasureUI/close,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
13300,装备技能书_说话,,,界面显示时,MainCityUI,说话,1005,默认,0.3,,1,,,,,
13301,装备技能书,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
13302,装备技能书,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/pskill,默认,0.5,1,,,,,,
####,,,,,,,,,,,,,,,,
####,,,,,,,,,,,,,,,,
####,,,,,,,,,,,,,,,,
18000,占星_说话,,18,界面显示时,MainCityUI,说话,1010,默认,0.3,,1,,,,,
18001,占星,,,界面显示时,MainCityUI,点按钮,MainCityUI/constallation,默认,0.3,1,1,,,,,
18002,占星,,,界面显示时,ConstellationUI,点按钮,ConstellationUI/draw,默认,0.3,1,2,,,,,
18003,占星,,,界面显示时,ConstellationUI,点按钮,ConstellationUI/draw,默认,0.3,1,2,,,,,
18004,占星,,,界面显示时,ConstellationUI,点按钮,ConstellationUI/draw,默认,0.3,1,2,,,,,
18005,占星,,,界面显示时,ConstellationUI,点按钮,ConstellationUI/draw,默认,0.3,1,2,,,,,
18006,占星,,,界面显示时,ConstellationUI,点按钮,ConstellationUI/draw,默认,0.3,1,2,,,,,
#,,,,,,,,,,,,,,,,
18100,占星_拾取,,,界面显示时,ConstellationUI,点按钮,ConstellationUI/pick,默认,1,1,2,,,,,
#,,,,,,,,,,,,,,,,
18200,占星_装备,,,界面显示时,ConstellationUI,点按钮,ConstellationUI/equip,默认,0.3,1,,,,,,
#,,,,,,,,,,,,,,,,
19000,祭祀_说话,,19,界面显示时,MainCityUI,说话,1008,默认,0.3,,1,,,,,
19001,祭祀,,,界面显示时,MainCityUI,点按钮,MainCityUI/sacrifice,默认,0.3,1,,,,,,
#,,,,,,,,,,,,,,,,
22000,富甲天下_说话,,22,界面显示时,MainCityUI,说话,1020,默认,0.3,,1,,,,,
22001,富甲天下,,,界面显示时,MainCityUI,点按钮,MainCityUI/activitydoor,默认,0.3,1,1,,,,,
22002,富甲天下,,,界面显示时,ActivityDoorUI,点按钮,ActivityDoorUI/treasure,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
24000,好感_说话,,24,界面显示时,MainCityUI,说话,1009,默认,0.3,,1,,,,,
24001,好感,,,界面显示时,MainCityUI,点按钮,MainCityUI/favor,默认,0.3,1,,,,,,
#,,,,,,,,,,,,,,,,
28000,远征_说话,,28,界面显示时,MainCityUI,说话,1019,默认,0.3,,1,,,,,
28001,远征_活动入口,,,界面显示时,MainCityUI,点按钮,MainCityUI/activitydoor,默认,0.3,1,1,,,,,
28002,远征,,,界面显示时,ActivityDoorUI,点按钮,ActivityDoorUI/expedition,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
29000,军团_说话,,29,界面显示时,MainCityUI,说话,1013,默认,0.3,,1,,,,,
29001,军团,,,界面显示时,MainCityUI,点按钮,MainCityUI/armygroup,默认,0.3,1,,,,,,
#,,,,,,,,,,,,,,,,
32000,八芒星_说话,,32,界面显示时,MainCityUI,说话,1012,默认,0.3,,1,,,,,
32001,八芒星,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
32002,八芒星2,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/star,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
34000,答题_说话,,34,界面显示时,MainCityUI,说话,1021,默认,0.3,,1,,,,,
34001,答题_活动入口,,,界面显示时,MainCityUI,点按钮,MainCityUI/activitydoor,默认,0.3,1,1,,,,,
34002,答题,,,界面显示时,ActivityDoorUI,点按钮,ActivityDoorUI/question,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
52000,擂台_说话,,52,界面显示时,MainCityUI,说话,1014,默认,0.3,,1,,,,,
52001,擂台_活动入口,,,界面显示时,MainCityUI,点按钮,MainCityUI/activitydoor,默认,0.3,1,1,,,,,
52002,擂台,,,界面显示时,ActivityDoorUI,点按钮,ActivityDoorUI/arena,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
58000,挂机系统_说话,,58,界面显示时,MainCityUI,说话,1015,默认,0.3,,1,,,,,
58001,挂机系统,,,界面显示时,MainCityUI,点按钮,MainCityUI/collection,默认,0.3,1,,,,,,
#,,,,,,,,,,,,,,,,
61000,精英副本_说话,,61,界面显示时,MainCityUI,说话,1022,默认,0.3,,1,,,,,
61001,精英副本_活动入口,,,界面显示时,MainCityUI,点按钮,MainCityUI/activitydoor,默认,0.3,1,1,,,,,
61002,精英副本,,,界面显示时,ActivityDoorUI,点按钮,ActivityDoorUI/elitebattle,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
63000,洗练功能_说话,,63,界面显示时,MainCityUI,说话,1027,默认,0.3,,1,,,,,
63001,洗练功能_活动入口,,,界面显示时,MainCityUI,点按钮,MainCityUI/team,默认,0.3,1,1,,,,,
63002,洗练功能_点武器,,,界面显示时,HeroInfoUI,点按钮,HeroInfoUI/weapon,默认,0.5,1,,,,,,
#,,,,,,,,,,,,,,,,
66000,试练_说话,,66,界面显示时,MainCityUI,说话,1023,默认,0.3,,1,,,,,
