Table:CsvEquipEnhance,,,,
tid,cost,accum_cost,critical_rate,critical_rate2
10002068,7413,162527,500,250
10002069,7635,169940,500,250
10002070,7861,177575,500,250
10002071,8091,185436,500,250
10002072,8323,193527,500,250
10002073,8559,201850,500,250
10002074,8798,210409,500,250
10002075,9040,219207,500,250
10002076,9286,228247,500,250
10002077,9535,237533,500,250
10002078,9786,247068,500,250
10002079,10041,256854,500,250
10002080,11260,266895,500,250
10002081,12868,278155,200,100
10002082,14496,291023,200,100
10002083,16144,305519,200,100
10002084,17811,321663,200,100
10002085,19499,339474,200,100
10002086,21206,358973,200,100
10002087,22933,380179,200,100
10002088,24681,403112,200,100
10002089,26447,427793,200,100
10002090,28234,454240,200,100
10002091,30041,482474,200,100
10002092,31868,512515,200,100
10002093,33714,544383,200,100
10002094,35580,578097,200,100
10002095,37467,613677,200,100
10002096,39373,651144,200,100
10002097,41298,690517,200,100
10002098,43244,731815,200,100
10002099,45210,775059,200,100
10002100,47196,820269,200,100
10002101,49201,867465,200,100
10002102,51226,916666,200,100
10002103,53271,967892,200,100
10002104,55336,1021163,200,100
10002105,57421,1076499,200,100
10002106,59526,1133920,200,100
10002107,61651,1193446,200,100
10002108,63795,1255097,200,100
10002109,65960,1318892,200,100
10002110,68144,1384852,200,100
10002111,70348,1452996,200,100
10002112,72572,1523344,200,100
10002113,74816,1595916,200,100
10002114,77080,1670732,200,100
10002115,79363,1747812,200,100
10002116,81667,1827175,200,100
10002117,83990,1908842,200,100
10002118,86333,1992832,200,100
10002119,88697,2079165,200,100
10002120,91576,2167862,200,100
10002121,94777,2259438,200,100
10002122,98005,2354215,200,100
10002123,101259,2452220,200,100
10002124,104539,2553479,200,100
10002125,107847,2658018,200,100
10002126,111180,2765865,200,100
10002127,114540,2877045,200,100
10002128,117927,2991585,200,100
10002129,121340,3109512,200,100
10002130,124779,3230852,200,100
10002131,128245,3355631,200,100
10002132,131738,3483876,200,100
10002133,135257,3615614,200,100
10002134,138802,3750871,200,100
10002135,142374,3889673,200,100
10002136,145973,4032047,200,100
10002137,149598,4178020,200,100
10002138,153249,4327618,200,100
10002139,156927,4480867,200,100
10002140,160632,4637794,200,100
10002141,164362,4798426,200,100
10002142,168120,4962788,200,100
10002143,171904,5130908,200,100
10002144,175714,5302812,200,100
10002145,179551,5478526,200,100
10002146,183415,5658077,200,100
10002147,187305,5841492,200,100
10002148,191221,6028797,200,100
10002149,195164,6220018,200,100
10002150,199134,6415182,200,100
10002151,203129,6614316,200,100
10002152,207152,6817445,200,100
10002153,211201,7024597,200,100
10002154,215276,7235798,200,100
10002155,219378,7451074,200,100
10002156,223507,7670452,200,100
10002157,227661,7893959,200,100
10002158,231843,8121620,200,100
10002159,236051,8353463,200,100
10002160,241444,8589514,200,100
10002161,248097,8830958,100,50
10002162,254792,9079055,100,50
10002163,261527,9333847,100,50
10002164,268305,9595374,100,50
10002165,275123,9863679,100,50
10002166,281983,10138802,100,50
10002167,288885,10420785,100,50
10002168,295827,10709670,100,50
10002169,302812,11005497,100,50
10002170,309837,11308309,100,50
10002171,316904,11618146,100,50
10002172,324012,11935050,100,50
10002173,331162,12259062,100,50
10002174,338353,12590224,100,50
10002175,345586,12928577,100,50
10002176,352860,13274163,100,50
10002177,360175,13627023,100,50
10002178,367532,13987198,100,50
10002179,374930,14354730,100,50
10002180,382370,14729660,100,50
10002181,389851,15112030,100,50
10002182,397373,15501881,100,50
10002183,404937,15899254,100,50
10002184,412542,16304191,100,50
10002185,420189,16716733,100,50
10002186,427877,17136922,100,50
10002187,435606,17564799,100,50
10002188,443377,18000405,100,50
10002189,451189,18443782,100,50
10002190,459043,18894971,100,50
10002191,466938,19354014,100,50
10002192,474874,19820952,100,50
10002193,482852,20295826,100,50
10002194,490871,20778678,100,50
10002195,498932,21269549,100,50
10002196,507034,21768481,100,50
10002197,515177,22275515,100,50
10002198,523362,22790692,100,50
10002199,531588,23314054,100,50
10002200,543996,23845642,100,50
10002201,563925,24389638,100,50
10003001,27,0,2000,1000
10003002,28,27,2000,1000
10003003,31,55,2000,1000
10003004,38,86,2000,1000
10003005,47,124,2000,1000
10003006,60,171,2000,1000
10003007,76,231,2000,1000
10003008,94,307,2000,1000
10003009,115,401,2000,1000
10003010,140,516,2000,1000
10003011,167,656,2000,1000
10003012,197,823,2000,1000
10003013,230,1020,2000,1000
10003014,267,1250,2000,1000
10003015,306,1517,2000,1000
10003016,348,1823,2000,1000
10003017,393,2171,2000,1000
10003018,441,2564,2000,1000
10003019,492,3005,2000,1000
10003020,546,3497,2000,1000
10003021,602,4043,1500,750
10003022,662,4645,1500,750
10003023,725,5307,1500,750
10003024,791,6032,1500,750
10003025,859,6823,1500,750
10003026,931,7682,1500,750
10003027,1005,8613,1500,750
10003028,1083,9618,1500,750
10003029,1163,10701,1500,750
10003030,1247,11864,1500,750
10003031,1333,13111,1000,500
10003032,1422,14444,1000,500
10003033,1515,15866,1000,500
10003034,1610,17381,1000,500
10003035,1708,18991,1000,500
10003036,1809,20699,1000,500
10003037,1913,22508,1000,500
10003038,2020,24421,1000,500
10003039,2130,26441,1000,500
10003040,2243,28571,1000,500
10003041,2359,30814,1000,500
10003042,2478,33173,1000,500
10003043,2599,35651,1000,500
10003044,2724,38250,1000,500
10003045,2852,40974,1000,500
10003046,2982,43826,1000,500
10003047,3116,46808,1000,500
10003048,3253,49924,1000,500
10003049,3392,53177,1000,500
10003050,3535,56569,1000,500
10003051,3680,60104,1000,500
10003052,3828,63784,1000,500
10003053,3980,67612,1000,500
10003054,4134,71592,1000,500
10003055,4291,75726,1000,500
10003056,4451,80017,1000,500
10003057,4614,84468,1000,500
10003058,4780,89082,1000,500
10003059,4949,93862,1000,500
10003060,5121,98811,1000,500
10003061,5297,103932,500,250
10003062,5475,109229,500,250
10003063,5657,114704,500,250
10003064,5841,120361,500,250
10003065,6028,126202,500,250
10003066,6218,132230,500,250
10003067,6411,138448,500,250
10003068,6607,144859,500,250
10003069,6805,151466,500,250
10003070,7007,158271,500,250
10003071,7211,165278,500,250
10003072,7419,172489,500,250
10003073,7629,179908,500,250
10003074,7841,187537,500,250
10003075,8058,195378,500,250
10003076,8276,203436,500,250
10003077,8498,211712,500,250
10003078,8723,220210,500,250
10003079,8950,228933,500,250
10003080,10036,237883,500,250
10003081,11469,247919,200,100
10003082,12920,259388,200,100
10003083,14389,272308,200,100
10003084,15875,286697,200,100
10003085,17379,302572,200,100
10003086,18901,319951,200,100
10003087,20441,338852,200,100
10003088,21998,359293,200,100
10003089,23573,381291,200,100
10003090,25165,404864,200,100
10003091,26776,430029,200,100
10003092,28404,456805,200,100
10003093,30049,485209,200,100
10003094,31713,515258,200,100
10003095,33394,546971,200,100
10003096,35093,580365,200,100
10003097,36809,615458,200,100
10003098,38544,652267,200,100
10003099,40296,690811,200,100
10003100,42066,731107,200,100
10003101,43853,773173,200,100
10003102,45658,817026,200,100
10003103,47481,862684,200,100
10003104,49322,910165,200,100
10003105,51180,959487,200,100
10003106,53056,1010667,200,100
10003107,54950,1063723,200,100
10003108,56861,1118673,200,100
10003109,58790,1175534,200,100
10003110,60737,1234324,200,100
10003111,62701,1295061,200,100
10003112,64684,1357762,200,100
10003113,66684,1422446,200,100
10003114,68701,1489130,200,100
10003115,70737,1557831,200,100
10003116,72790,1628568,200,100
10003117,74861,1701358,200,100
10003118,76949,1776219,200,100
10003119,79056,1853168,200,100
10003120,81622,1932224,200,100
10003121,84475,2013846,200,100
10003122,87352,2098321,200,100
10003123,90252,2185673,200,100
10003124,93176,2275925,200,100
10003125,96124,2369101,200,100
10003126,99095,2465225,200,100
10003127,102090,2564320,200,100
10003128,105108,2666410,200,100
10003129,108150,2771518,200,100
10003130,111216,2879668,200,100
10003131,114305,2990884,200,100
10003132,117418,3105189,200,100
10003133,120555,3222607,200,100
10003134,123715,3343162,200,100
10003135,126899,3466877,200,100
10003136,130106,3593776,200,100
10003137,133337,3723882,200,100
10003138,136591,3857219,200,100
10003139,139870,3993810,200,100
10003140,143172,4133680,200,100
10003141,146497,4276852,200,100
10003142,149846,4423349,200,100
10003143,153219,4573195,200,100
10003144,156615,4726414,200,100
10003145,160035,4883029,200,100
10003146,163478,5043064,200,100
10003147,166945,5206542,200,100
10003148,170436,5373487,200,100
10003149,173951,5543923,200,100
10003150,177489,5717874,200,100
10003151,181050,5895363,200,100
10003152,184635,6076413,200,100
10003153,188244,6261048,200,100
10003154,191877,6449292,200,100
10003155,195533,6641169,200,100
10003156,199212,6836702,200,100
10003157,202916,7035914,200,100
10003158,206642,7238830,200,100
10003159,210393,7445472,200,100
10003160,215200,7655865,200,100
10003161,221130,7871065,100,50
10003162,227097,8092195,100,50
10003163,233100,8319292,100,50
10003164,239141,8552392,100,50
10003165,245218,8791533,100,50
10003166,251333,9036751,100,50
10003167,257484,9288084,100,50
10003168,263672,9545568,100,50
10003169,269897,9809240,100,50
10003170,276159,10079137,100,50
10003171,282458,10355296,100,50
10003172,288794,10637754,100,50
10003173,295166,10926548,100,50
10003174,301576,11221714,100,50
10003175,308022,11523290,100,50
10003176,314506,11831312,100,50
10003177,321026,12145818,100,50
10003178,327583,12466844,100,50
10003179,334177,12794427,100,50
10003180,340808,13128604,100,50
10003181,347476,13469412,100,50
10003182,354180,13816888,100,50
10003183,360922,14171068,100,50
10003184,367701,14531990,100,50
10003185,374516,14899691,100,50
10003186,381368,15274207,100,50
10003187,388258,15655575,100,50
10003188,395184,16043833,100,50
10003189,402147,16439017,100,50
10003190,409147,16841164,100,50
10003191,416184,17250311,100,50
10003192,423257,17666495,100,50
10003193,430368,18089752,100,50
10003194,437515,18520120,100,50
10003195,444700,18957635,100,50
10003196,451921,19402335,100,50
10003197,459179,19854256,100,50
10003198,466475,20313435,100,50
10003199,473807,20779910,100,50
10003200,484866,21253717,100,50
10003201,502629,21738583,100,50
10004001,22,0,2000,1000
10004002,23,22,2000,1000
10004003,26,45,2000,1000
10004004,31,71,2000,1000
10004005,39,102,2000,1000
10004006,50,141,2000,1000
10004007,63,191,2000,1000
10004008,78,254,2000,1000
10004009,96,332,2000,1000
10004010,116,428,2000,1000
10004011,138,544,2000,1000
10004012,164,682,2000,1000
10004013,191,846,2000,1000
10004014,221,1037,2000,1000
10004015,253,1258,2000,1000
10004016,288,1511,2000,1000
10004017,326,1799,2000,1000
10004018,365,2125,2000,1000
10004019,408,2490,2000,1000
10004020,452,2898,2000,1000
10004021,500,3350,1500,750
10004022,549,3850,1500,750
10004023,601,4399,1500,750
10004024,656,5000,1500,750
10004025,712,5656,1500,750
10004026,772,6368,1500,750
10004027,834,7140,1500,750
10004028,898,7974,1500,750
10004029,965,8872,1500,750
10004030,1034,9837,1500,750
10004031,1105,10871,1000,500
10004032,1179,11976,1000,500
10004033,1256,13155,1000,500
10004034,1335,14411,1000,500
10004035,1416,15746,1000,500
10004036,1500,17162,1000,500
10004037,1586,18662,1000,500
10004038,1675,20248,1000,500
10004039,1766,21923,1000,500
10004040,1860,23689,1000,500
10004041,1956,25549,1000,500
10004042,2055,27505,1000,500
10004043,2156,29560,1000,500
10004044,2259,31716,1000,500
10004045,2365,33975,1000,500
10004046,2473,36340,1000,500
10004047,2584,38813,1000,500
10004048,2697,41397,1000,500
10004049,2813,44094,1000,500
10004050,2931,46907,1000,500
10004051,3052,49838,1000,500
10004052,3175,52890,1000,500
10004053,3300,56065,1000,500
10004054,3428,59365,1000,500
10004055,3558,62793,1000,500
10004056,3691,66351,1000,500
10004057,3826,70042,1000,500
10004058,3964,73868,1000,500
10004059,4104,77832,1000,500
10004060,4247,81936,1000,500
10004061,4392,86183,500,250
10004062,4541,90575,500,250
10004063,4691,95116,500,250
10004064,4843,99807,500,250
10004065,4999,104650,500,250
10004066,5156,109649,500,250
10004067,5317,114805,500,250
10004068,5479,120122,500,250
10004069,5643,125601,500,250
10004070,5810,131244,500,250
10004071,5980,137054,500,250
10004072,6152,143034,500,250
10004073,6326,149186,500,250
10004074,6503,155512,500,250
10004075,6682,162015,500,250
10004076,6863,168697,500,250
10004077,7047,175560,500,250
10004078,7233,182607,500,250
10004079,7422,189840,500,250
10004080,8323,197262,500,250
10004081,9511,205585,200,100
10004082,10714,215096,200,100
10004083,11932,225810,200,100
10004084,13165,237742,200,100
10004085,14412,250907,200,100
10004086,15674,265319,200,100
10004087,16951,280993,200,100
10004088,18242,297944,200,100
10004089,19548,316186,200,100
10004090,20869,335734,200,100
10004091,22204,356603,200,100
10004092,23554,378807,200,100
10004093,24919,402361,200,100
10004094,26298,427280,200,100
10004095,27693,453578,200,100
10004096,29101,481271,200,100
10004097,30525,510372,200,100
10004098,31963,540897,200,100
10004099,33416,572860,200,100
10004100,34884,606276,200,100
10004101,36366,641160,200,100
10004102,37863,677526,200,100
10004103,39374,715389,200,100
10004104,40901,754763,200,100
10004105,42442,795664,200,100
10004106,43997,838106,200,100
10004107,45568,882103,200,100
10004108,47153,927671,200,100
10004109,48753,974824,200,100
10004110,50367,1023577,200,100
10004111,51996,1073944,200,100
10004112,53640,1125940,200,100
10004113,55299,1179580,200,100
10004114,56972,1234879,200,100
10004115,58660,1291851,200,100
10004116,60362,1350511,200,100
10004117,62080,1410873,200,100
10004118,63812,1472953,200,100
10004119,65558,1536765,200,100
10004120,67687,1602323,200,100
10004121,70053,1670010,200,100
10004122,72438,1740063,200,100
10004123,74843,1812501,200,100
10004124,77268,1887344,200,100
10004125,79713,1964612,200,100
10004126,82176,2044325,200,100
10004127,84660,2126501,200,100
10004128,87163,2211161,200,100
10004129,89686,2298324,200,100
10004130,92228,2388010,200,100
10004131,94790,2480238,200,100
10004132,97371,2575028,200,100
10004133,99972,2672399,200,100
10004134,102593,2772371,200,100
10004135,105233,2874964,200,100
10004136,107893,2980197,200,100
10004137,110572,3088090,200,100
10004138,113271,3198662,200,100
10004139,115989,3311933,200,100
10004140,118728,3427922,200,100
10004141,121485,3546650,200,100
10004142,124262,3668135,200,100
10004143,127059,3792397,200,100
10004144,129876,3919456,200,100
10004145,132712,4049332,200,100
10004146,135567,4182044,200,100
10004147,138442,4317611,200,100
10004148,141337,4456053,200,100
10004149,144252,4597390,200,100
10004150,147186,4741642,200,100
10004151,150139,4888828,200,100
10004152,153112,5038967,200,100
10004153,156105,5192079,200,100
10004154,159117,5348184,200,100
10004155,162149,5507301,200,100
10004156,165200,5669450,200,100
10004157,168271,5834650,200,100
10004158,171362,6002921,200,100
10004159,174472,6174283,200,100
10004160,178459,6348755,200,100
10004161,183376,6527214,100,50
10004162,188324,6710590,100,50
10004163,193303,6898914,100,50
10004164,198312,7092217,100,50
10004165,203352,7290529,100,50
10004166,208422,7493881,100,50
10004167,213523,7702303,100,50
10004168,218655,7915826,100,50
10004169,223817,8134481,100,50
10004170,229010,8358298,100,50
10004171,234233,8587308,100,50
10004172,239487,8821541,100,50
10004173,244772,9061028,100,50
10004174,250087,9305800,100,50
10004175,255433,9555887,100,50
10004176,260809,9811320,100,50
10004177,266216,10072129,100,50
10004178,271654,10338345,100,50
10004179,277122,10609999,100,50
10004180,282621,10887121,100,50
10004181,288151,11169742,100,50
10004182,293711,11457893,100,50
10004183,299301,11751604,100,50
10004184,304922,12050905,100,50
10004185,310574,12355827,100,50
10004186,316257,12666401,100,50
10004187,321970,12982658,100,50
10004188,327713,13304628,100,50
10004189,333487,13632341,100,50
10004190,339292,13965828,100,50
10004191,345128,14305120,100,50
10004192,350994,14650248,100,50
10004193,356890,15001242,100,50
10004194,362818,15358132,100,50
10004195,368775,15720950,100,50
10004196,374764,16089725,100,50
10004197,380783,16464489,100,50
10004198,386832,16845272,100,50
10004199,392913,17232104,100,50
10004200,402084,17625017,100,50
10004201,416814,18027101,100,50
10005001,22,0,2000,1000
10005002,23,22,2000,1000
10005003,26,45,2000,1000
10005004,31,71,2000,1000
10005005,39,102,2000,1000
10005006,50,141,2000,1000
10005007,63,191,2000,1000
10005008,78,254,2000,1000
10005009,96,332,2000,1000
10005010,116,428,2000,1000
10005011,138,544,2000,1000
10005012,164,682,2000,1000
10005013,191,846,2000,1000
10005014,221,1037,2000,1000
10005015,253,1258,2000,1000
10005016,288,1511,2000,1000
10005017,326,1799,2000,1000
10005018,365,2125,2000,1000
10005019,408,2490,2000,1000
10005020,452,2898,2000,1000
10005021,500,3350,1500,750
10005022,549,3850,1500,750
10005023,601,4399,1500,750
10005024,656,5000,1500,750
10005025,712,5656,1500,750
10005026,772,6368,1500,750
10005027,834,7140,1500,750
10005028,898,7974,1500,750
10005029,965,8872,1500,750
10005030,1034,9837,1500,750
10005031,1105,10871,1000,500
10005032,1179,11976,1000,500
10005033,1256,13155,1000,500
10005034,1335,14411,1000,500
10005035,1416,15746,1000,500
10005036,1500,17162,1000,500
10005037,1586,18662,1000,500
10005038,1675,20248,1000,500
10005039,1766,21923,1000,500
10005040,1860,23689,1000,500
10005041,1956,25549,1000,500
10005042,2055,27505,1000,500
10005043,2156,29560,1000,500
10005044,2259,31716,1000,500
10005045,2365,33975,1000,500
10005046,2473,36340,1000,500
10005047,2584,38813,1000,500
10005048,2697,41397,1000,500
10005049,2813,44094,1000,500
10005050,2931,46907,1000,500
10005051,3052,49838,1000,500
10005052,3175,52890,1000,500
10005053,3300,56065,1000,500
10005054,3428,59365,1000,500
10005055,3558,62793,1000,500
10005056,3691,66351,1000,500
10005057,3826,70042,1000,500
10005058,3964,73868,1000,500
10005059,4104,77832,1000,500
10005060,4247,81936,1000,500
10005061,4392,86183,500,250
10005062,4541,90575,500,250
10005063,4691,95116,500,250
10005064,4843,99807,500,250
10005065,4999,104650,500,250
10005066,5156,109649,500,250
10005067,5317,114805,500,250
10005068,5479,120122,500,250
10005069,5643,125601,500,250
10005070,5810,131244,500,250
10005071,5980,137054,500,250
10005072,6152,143034,500,250
10005073,6326,149186,500,250
10005074,6503,155512,500,250
10005075,6682,162015,500,250
10005076,6863,168697,500,250
10005077,7047,175560,500,250
10005078,7233,182607,500,250
10005079,7422,189840,500,250
10005080,8323,197262,500,250
10005081,9511,205585,200,100
10005082,10714,215096,200,100
10005083,11932,225810,200,100
10005084,13165,237742,200,100
10005085,14412,250907,200,100
10005086,15674,265319,200,100
10005087,16951,280993,200,100
10005088,18242,297944,200,100
10005089,19548,316186,200,100
10005090,20869,335734,200,100
10005091,22204,356603,200,100
10005092,23554,378807,200,100
10005093,24919,402361,200,100
10005094,26298,427280,200,100
10005095,27693,453578,200,100
10005096,29101,481271,200,100
10005097,30525,510372,200,100
10005098,31963,540897,200,100
10005099,33416,572860,200,100
10005100,34884,606276,200,100
10005101,36366,641160,200,100
10005102,37863,677526,200,100
10005103,39374,715389,200,100
10005104,40901,754763,200,100
10005105,42442,795664,200,100
10005106,43997,838106,200,100
10005107,45568,882103,200,100
10005108,47153,927671,200,100
10005109,48753,974824,200,100
10005110,50367,1023577,200,100
10005111,51996,1073944,200,100
10005112,53640,1125940,200,100
10005113,55299,1179580,200,100
10005114,56972,1234879,200,100
10005115,58660,1291851,200,100
10005116,60362,1350511,200,100
10005117,62080,1410873,200,100
10005118,63812,1472953,200,100
10005119,65558,1536765,200,100
10005120,67687,1602323,200,100
10005121,70053,1670010,200,100
10005122,72438,1740063,200,100
10005123,74843,1812501,200,100
10005124,77268,1887344,200,100
10005125,79713,1964612,200,100
10005126,82176,2044325,200,100
10005127,84660,2126501,200,100
10005128,87163,2211161,200,100
10005129,89686,2298324,200,100
10005130,92228,2388010,200,100
10005131,94790,2480238,200,100
10005132,97371,2575028,200,100
10005133,99972,2672399,200,100
10005134,102593,2772371,200,100
10005135,105233,2874964,200,100
10005136,107893,2980197,200,100
10005137,110572,3088090,200,100
10005138,113271,3198662,200,100
10005139,115989,3311933,200,100
10005140,118728,3427922,200,100
10005141,121485,3546650,200,100
