Table:CsvHeroUpgrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,hero_id,trans_times,trans_discription:s,color:ItemColor,name:s,intel_p,intel_i,intel_e,intel_a,freepoint,fightingspirit,buff_id,needlevel,needmoney,needitem1,needitem2,needitem3,needitem4,needitem5,amount1,amount2,amount3,amount4,amount5,return_spirit,return_item1,return_item2,return_item3,return_item4,return_item5,return_item6,return_item7,return_item8,return_item9,return_item10,return_item11,return_item12,return_item13,return_item14,return_item15,return_item16,return_item17,return_item18,return_item19,return_item20,return_amount1,return_amount2,return_amount3,return_amount4,return_amount5,return_amount6,return_amount7,return_amount8,return_amount9,return_amount10,return_amount11,return_amount12,return_amount13,return_amount14,return_amount15,return_amount16,return_amount17,return_amount18,return_amount19,return_amount20,needHeroTID,needHeroCount
100109,1001,9,＋9,红,巫妖王,440,440,440,330,60,3200,10153,75,2000000,42012,42013,42024,42101,,1600,1600,2400,900,,150390,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,,,,,,,2001,92,92,40,20,250,2410,2100,100,160,2600,340,700,1300,0,0,0,0,0,0,650,1001,4
100110,1001,10,＋10,红,巫妖王,480,480,480,360,60,4000,10153,80,2200000,42012,42013,42025,42101,,1800,1800,3200,1000,,193590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,,,,,,2001,92,92,40,20,250,4010,3700,100,160,3500,340,700,1300,2400,0,0,0,0,0,850,1001,5
100111,1001,11,＋11,红,巫妖王,520,520,520,390,60,6000,10153,85,2400000,42012,42013,42031,42101,,2400,2400,4200,1800,,247590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,,,,,2001,92,92,40,20,250,5810,5500,100,160,4500,340,700,1300,2400,3200,0,0,0,0,1100,1001,5
100112,1001,12,＋12,红,巫妖王,560,560,560,420,60,10000,10153,999,2600000,42012,42013,42032,,,3000,3000,5000,,,328590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,42031,,,,2001,92,92,40,20,250,8210,7900,100,160,6300,340,700,1300,2400,3200,4200,0,0,0,1350,1001,5
100200,1002,0,,橙,大领主,78,83,88,51,0,240,10112,1,100000,42001,42002,,,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100201,1002,1,＋1,橙,大领主,117,124,132,76,60,240,10153,15,200000,42001,42002,42003,,0,30,30,20,,,0,42001,42002,,,,,,,,,,,,,,,,,,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
100202,1002,2,＋2,橙,大领主,156,166,176,102,60,500,10153,25,300000,42001,42002,42003,42004,0,50,50,20,20,,3240,42001,42002,42003,,,,,,,,,,,,,,,,,,42,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1002,1
100203,1002,3,＋3,橙,大领主,195,207,220,127,60,900,10153,35,400000,42011,42012,42013,,0,100,100,80,,,9990,42001,42002,42003,42004,,,,,,,,,,,,,,,,2002,92,92,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1002,1
100204,1002,4,＋4,橙,大领主,234,249,264,153,60,1400,10002,45,500000,42011,42012,42013,42014,0,150,150,100,100,,22140,42001,42002,42003,42004,42011,42012,42013,,,,,,,,,,,,,2002,92,92,40,20,100,100,80,0,0,0,0,0,0,0,0,0,0,0,0,100,1002,2
100205,1002,5,＋5,橙,大领主,273,290,308,178,60,2000,10153,55,1000000,42011,42013,42015,42101,0,400,160,160,500,,41040,42001,42002,42003,42004,42011,42012,42013,42014,,,,,,,,,,,,2002,92,92,40,20,250,250,180,100,0,0,0,0,0,0,0,0,0,0,0,200,1002,3
100206,1002,6,＋6,红,大领主,312,332,352,204,60,1500,10132,60,1200000,42012,42013,42021,42101,0,360,360,340,600,,68040,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,,,,,,,,,,2002,92,92,40,20,650,250,340,100,160,500,0,0,0,0,0,0,0,0,0,350,1002,1
100207,1002,7,＋7,红,大领主,351,373,396,229,60,2000,10153,65,1500000,42012,42013,42022,42101,0,500,500,700,700,,88290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,,,,,,,,,2002,92,92,40,20,650,610,700,100,160,1100,340,0,0,0,0,0,0,0,0,400,1002,2
100208,1002,8,＋8,红,大领主,390,415,440,255,60,2600,10153,70,1800000,42012,42013,42023,42101,0,900,900,1300,800,,115290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,,,,,,,,2002,92,92,40,20,650,1110,1200,100,160,1800,340,700,0,0,0,0,0,0,0,500,1002,3
100209,1002,9,＋9,红,大领主,429,456,484,280,60,3200,10153,75,2000000,42012,42013,42024,42101,0,1600,1600,2400,900,,150390,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,,,,,,,2002,92,92,40,20,650,2010,2100,100,160,2600,340,700,1300,0,0,0,0,0,0,650,1002,4
100210,1002,10,＋10,红,大领主,468,498,528,306,60,4000,10153,80,2200000,42012,42013,42025,42101,0,1800,1800,3200,1000,,193590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,,,,,,2002,92,92,40,20,650,3610,3700,100,160,3500,340,700,1300,2400,0,0,0,0,0,850,1002,5
100211,1002,11,＋11,红,大领主,507,539,572,331,60,6000,10153,85,2400000,42012,42013,42031,42101,0,2400,2400,4200,1800,,247590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,,,,,2002,92,92,40,20,650,5410,5500,100,160,4500,340,700,1300,2400,3200,0,0,0,0,1100,1002,5
100212,1002,12,＋12,红,大领主,546,581,616,357,60,10000,10153,999,2600000,42012,42013,42032,,0,3000,3000,5000,,,328590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,42031,,,,2002,92,92,40,20,650,7810,7900,100,160,6300,340,700,1300,2400,3200,4200,0,0,0,1350,1002,5
100300,1003,0,,橙,塔隆,82,70,88,60,0,240,10007,1,100000,42001,42002,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100301,1003,1,＋1,橙,塔隆,123,105,132,90,60,240,10032,15,200000,42001,42002,42003,,,30,30,20,,,0,42001,42002,,,,,,,,,,,,,,,,,,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
100302,1003,2,＋2,橙,塔隆,164,140,176,120,60,500,10119,25,300000,42001,42002,42003,42004,,50,50,20,20,,3240,42001,42002,42003,,,,,,,,,,,,,,,,,,42,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1003,1
100303,1003,3,＋3,橙,塔隆,205,175,220,150,60,900,10238,35,400000,42011,42012,42013,,,100,100,80,,,9990,42001,42002,42003,42004,,,,,,,,,,,,,,,,2003,92,92,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1003,1
100304,1003,4,＋4,橙,塔隆,246,210,264,180,60,1400,10002,45,500000,42011,42012,42013,42014,,150,150,100,100,,22140,42001,42002,42003,42004,42011,42012,42013,,,,,,,,,,,,,2003,92,92,40,20,100,100,80,0,0,0,0,0,0,0,0,0,0,0,0,100,1003,2
100305,1003,5,＋5,橙,塔隆,287,245,308,210,60,2000,10163,55,1000000,42012,42013,42015,42101,,400,160,160,500,,41040,42001,42002,42003,42004,42011,42012,42013,42014,,,,,,,,,,,,2003,92,92,40,20,250,250,180,100,0,0,0,0,0,0,0,0,0,0,0,200,1003,3
100306,1003,6,＋6,红,塔隆,328,280,352,240,60,1500,10237,60,1200000,42012,42013,42021,42101,,360,360,340,600,,68040,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,,,,,,,,,,2003,92,92,40,20,250,650,340,100,160,500,0,0,0,0,0,0,0,0,0,350,1003,1
100307,1003,7,＋7,红,塔隆,369,315,396,270,60,2000,10153,65,1500000,42012,42013,42022,42101,,500,500,700,700,,88290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,,,,,,,,,2003,92,92,40,20,250,1010,700,100,160,1100,340,0,0,0,0,0,0,0,0,400,1003,2
100308,1003,8,＋8,红,塔隆,410,350,440,300,60,2600,10092,70,1800000,42012,42013,42023,42101,,900,900,1300,800,,115290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,,,,,,,,2003,92,92,40,20,250,1510,1200,100,160,1800,340,700,0,0,0,0,0,0,0,500,1003,3
100309,1003,9,＋9,红,塔隆,451,385,484,330,60,3200,10048,75,2000000,42012,42013,42024,42101,,1600,1600,2400,900,,150390,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,,,,,,,2003,92,92,40,20,250,2410,2100,100,160,2600,340,700,1300,0,0,0,0,0,0,650,1003,4
100310,1003,10,＋10,红,塔隆,492,420,528,360,60,4000,10153,80,2200000,42012,42013,42025,42101,,1800,1800,3200,1000,,193590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,,,,,,2003,92,92,40,20,250,4010,3700,100,160,3500,340,700,1300,2400,0,0,0,0,0,850,1003,5
100311,1003,11,＋11,红,塔隆,533,455,572,390,60,6000,10153,85,2400000,42012,42013,42031,42101,,2400,2400,4200,1800,,247590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,,,,,2003,92,92,40,20,250,5810,5500,100,160,4500,340,700,1300,2400,3200,0,0,0,0,1100,1003,5
100312,1003,12,＋12,红,塔隆,574,490,616,420,60,10000,10153,999,2600000,42012,42013,42032,,,3000,3000,5000,,,328590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,42031,,,,2003,92,92,40,20,250,8210,7900,100,160,6300,340,700,1300,2400,3200,4200,0,0,0,1350,1003,5
100400,1004,0,,橙,单体奶,82,90,120,68,0,240,10011,1,100000,42001,42002,,,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100401,1004,1,＋1,橙,单体奶,123,135,165,102,80,240,10032,15,200000,42001,42002,42003,,0,30,30,20,,,0,42001,42002,,,,,,,,,,,,,,,,,,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
100402,1004,2,＋2,橙,单体奶,164,180,210,136,80,500,10104,25,300000,42001,42002,42003,42004,0,50,50,20,20,,3240,42001,42002,42003,,,,,,,,,,,,,,,,,,42,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1004,1
100403,1004,3,＋3,橙,单体奶,205,225,255,170,80,900,10098,35,400000,42011,42012,42013,,0,100,100,80,,,9990,42001,42002,42003,42004,,,,,,,,,,,,,,,,2004,92,92,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1004,1
100404,1004,4,＋4,橙,单体奶,246,270,300,204,80,1400,10002,45,500000,42011,42012,42013,42014,0,150,150,100,100,,22140,42001,42002,42003,42004,42011,42012,42013,,,,,,,,,,,,,2004,92,92,40,20,100,100,80,0,0,0,0,0,0,0,0,0,0,0,0,100,1004,2
100405,1004,5,＋5,橙,单体奶,287,315,345,238,80,2000,10151,55,1000000,42011,42013,42015,42101,0,400,160,160,500,,41040,42001,42002,42003,42004,42011,42012,42013,42014,,,,,,,,,,,,2004,92,92,40,20,250,250,180,100,0,0,0,0,0,0,0,0,0,0,0,200,1004,3
100406,1004,6,＋6,红,单体奶,328,360,390,272,80,1500,10129,60,1200000,42012,42013,42021,42101,0,360,360,340,600,,68040,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,,,,,,,,,,2004,92,92,40,20,650,250,340,100,160,500,0,0,0,0,0,0,0,0,0,350,1004,1
100407,1004,7,＋7,红,单体奶,369,405,435,306,80,2000,10153,65,1500000,42012,42013,42022,42101,0,500,500,700,700,,88290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,,,,,,,,,2004,92,92,40,20,650,610,700,100,160,1100,340,0,0,0,0,0,0,0,0,400,1004,2
100408,1004,8,＋8,红,单体奶,410,450,480,340,80,2600,10085,70,1800000,42012,42013,42023,42101,0,900,900,1300,800,,115290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,,,,,,,,2004,92,92,40,20,650,1110,1200,100,160,1800,340,700,0,0,0,0,0,0,0,500,1004,3
100409,1004,9,＋9,红,单体奶,451,495,525,374,80,3200,10048,75,2000000,42012,42013,42024,42101,0,1600,1600,2400,900,,150390,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,,,,,,,2004,92,92,40,20,650,2010,2100,100,160,2600,340,700,1300,0,0,0,0,0,0,650,1004,4
100410,1004,10,＋10,红,单体奶,492,540,570,408,80,4000,10153,80,2200000,42012,42013,42025,42101,0,1800,1800,3200,1000,,193590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,,,,,,2004,92,92,40,20,650,3610,3700,100,160,3500,340,700,1300,2400,0,0,0,0,0,850,1004,5
100411,1004,11,＋11,红,单体奶,533,585,615,442,80,6000,10153,85,2400000,42012,42013,42031,42101,0,2400,2400,4200,1800,,247590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,,,,,2004,92,92,40,20,650,5410,5500,100,160,4500,340,700,1300,2400,3200,0,0,0,0,1100,1004,5
100412,1004,12,＋12,红,单体奶,574,630,660,476,80,10000,10153,999,2600000,42012,42013,42032,,0,3000,3000,5000,,,328590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,42031,,,,2004,92,92,40,20,650,7810,7900,100,160,6300,340,700,1300,2400,3200,4200,0,0,0,1350,1004,5
100500,1005,0,,橙,银白十字军,83,73,81,63,0,240,10053,1,100000,42001,42002,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100501,1005,1,＋1,橙,银白十字军,124,109,121,94,60,240,10071,15,200000,42001,42002,42003,,,30,30,20,,,0,42001,42002,,,,,,,,,,,,,,,,,,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
100502,1005,2,＋2,橙,银白十字军,166,146,162,126,60,500,10092,25,300000,42001,42002,42003,42004,,50,50,20,20,,3240,42001,42002,42003,,,,,,,,,,,,,,,,,,42,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1005,1
100503,1005,3,＋3,橙,银白十字军,207,182,202,157,60,900,10048,35,400000,42011,42012,42013,,,100,100,80,,,9990,42001,42002,42003,42004,,,,,,,,,,,,,,,,2005,92,92,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1005,1
100504,1005,4,＋4,橙,银白十字军,249,219,243,189,60,1400,10002,45,500000,42011,42012,42013,42014,,150,150,100,100,,22140,42001,42002,42003,42004,42011,42012,42013,,,,,,,,,,,,,2005,92,92,40,20,100,100,80,0,0,0,0,0,0,0,0,0,0,0,0,100,1005,2
100505,1005,5,＋5,橙,银白十字军,290,255,283,220,60,2000,10156,55,1000000,42012,42013,42015,42101,,400,160,160,500,,41040,42001,42002,42003,42004,42011,42012,42013,42014,,,,,,,,,,,,2005,92,92,40,20,250,250,180,100,0,0,0,0,0,0,0,0,0,0,0,200,1005,3
100506,1005,6,＋6,红,银白十字军,332,292,324,252,60,1500,10127,60,1200000,42012,42013,42021,42101,,360,360,340,600,,68040,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,,,,,,,,,,2005,92,92,40,20,250,650,340,100,160,500,0,0,0,0,0,0,0,0,0,350,1005,1
100507,1005,7,＋7,红,银白十字军,373,328,364,283,60,2000,10153,65,1500000,42012,42013,42022,42101,,500,500,700,700,,88290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,,,,,,,,,2005,92,92,40,20,250,1010,700,100,160,1100,340,0,0,0,0,0,0,0,0,400,1005,2
100508,1005,8,＋8,红,银白十字军,415,365,405,315,60,2600,10119,70,1800000,42012,42013,42023,42101,,900,900,1300,800,,115290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,,,,,,,,2005,92,92,40,20,250,1510,1200,100,160,1800,340,700,0,0,0,0,0,0,0,500,1005,3
100509,1005,9,＋9,红,银白十字军,456,401,445,346,60,3200,10064,75,2000000,42012,42013,42024,42101,,1600,1600,2400,900,,150390,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,,,,,,,2005,92,92,40,20,250,2410,2100,100,160,2600,340,700,1300,0,0,0,0,0,0,650,1005,4
100510,1005,10,＋10,红,银白十字军,498,438,486,378,60,4000,10153,80,2200000,42012,42013,42025,42101,,1800,1800,3200,1000,,193590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,,,,,,2005,92,92,40,20,250,4010,3700,100,160,3500,340,700,1300,2400,0,0,0,0,0,850,1005,5
100511,1005,11,＋11,红,银白十字军,539,474,526,409,60,6000,10153,85,2400000,42012,42013,42031,42101,,2400,2400,4200,1800,,247590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,,,,,2005,92,92,40,20,250,5810,5500,100,160,4500,340,700,1300,2400,3200,0,0,0,0,1100,1005,5
100512,1005,12,＋12,红,银白十字军,581,511,567,441,60,10000,10153,999,2600000,42012,42013,42032,,,3000,3000,5000,,,328590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,42031,,,,2005,92,92,40,20,250,8210,7900,100,160,6300,340,700,1300,2400,3200,4200,0,0,0,1350,1005,5
100600,1006,0,,橙,暴风摄政王,84,71,85,60,0,240,10017,1,100000,42001,42002,,,0,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100601,1006,1,＋1,橙,暴风摄政王,126,106,127,90,60,240,10033,15,200000,42001,42002,42003,,0,30,30,20,,,0,42001,42002,,,,,,,,,,,,,,,,,,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
100602,1006,2,＋2,橙,暴风摄政王,168,142,170,120,60,500,10098,25,300000,42001,42002,42003,42004,0,50,50,20,20,,3240,42001,42002,42003,,,,,,,,,,,,,,,,,,42,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1006,1
100603,1006,3,＋3,橙,暴风摄政王,210,177,212,150,60,900,10048,35,400000,42011,42012,42013,,0,100,100,80,,,9990,42001,42002,42003,42004,,,,,,,,,,,,,,,,2006,92,92,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1006,1
100604,1006,4,＋4,橙,暴风摄政王,252,213,255,180,60,1400,10002,45,500000,42011,42012,42013,42014,0,150,150,100,100,,22140,42001,42002,42003,42004,42011,42012,42013,,,,,,,,,,,,,2006,92,92,40,20,100,100,80,0,0,0,0,0,0,0,0,0,0,0,0,100,1006,2
100605,1006,5,＋5,橙,暴风摄政王,294,248,297,210,60,2000,10162,55,1000000,42011,42013,42015,42101,0,400,160,160,500,,41040,42001,42002,42003,42004,42011,42012,42013,42014,,,,,,,,,,,,2006,92,92,40,20,250,250,180,100,0,0,0,0,0,0,0,0,0,0,0,200,1006,3
100606,1006,6,＋6,红,暴风摄政王,336,284,340,240,60,1500,10128,60,1200000,42012,42013,42021,42101,0,360,360,340,600,,68040,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,,,,,,,,,,2006,92,92,40,20,650,250,340,100,160,500,0,0,0,0,0,0,0,0,0,350,1006,1
100607,1006,7,＋7,红,暴风摄政王,378,319,382,270,60,2000,10153,65,1500000,42012,42013,42022,42101,0,500,500,700,700,,88290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,,,,,,,,,2006,92,92,40,20,650,610,700,100,160,1100,340,0,0,0,0,0,0,0,0,400,1006,2
100608,1006,8,＋8,红,暴风摄政王,420,355,425,300,60,2600,10119,70,1800000,42012,42013,42023,42101,0,900,900,1300,800,,115290,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,,,,,,,,2006,92,92,40,20,650,1110,1200,100,160,1800,340,700,0,0,0,0,0,0,0,500,1006,3
100609,1006,9,＋9,红,暴风摄政王,462,390,467,330,60,3200,10063,75,2000000,42012,42013,42024,42101,0,1600,1600,2400,900,,150390,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,,,,,,,2006,92,92,40,20,650,2010,2100,100,160,2600,340,700,1300,0,0,0,0,0,0,650,1006,4
100610,1006,10,＋10,红,暴风摄政王,504,426,510,360,60,4000,10153,80,2200000,42012,42013,42025,42101,0,1800,1800,3200,1000,,193590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,,,,,,2006,92,92,40,20,650,3610,3700,100,160,3500,340,700,1300,2400,0,0,0,0,0,850,1006,5
100611,1006,11,＋11,红,暴风摄政王,546,461,552,390,60,6000,10153,85,2400000,42012,42013,42031,42101,0,2400,2400,4200,1800,,247590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,,,,,2006,92,92,40,20,650,5410,5500,100,160,4500,340,700,1300,2400,3200,0,0,0,0,1100,1006,5
100612,1006,12,＋12,红,暴风摄政王,588,497,595,420,60,10000,10153,999,2600000,42012,42013,42032,,0,3000,3000,5000,,,328590,42001,42002,42003,42004,42011,42012,42013,42014,42015,42101,42021,42022,42023,42024,42025,42031,,,,2006,92,92,40,20,650,7810,7900,100,160,6300,340,700,1300,2400,3200,4200,0,0,0,1350,1006,5
100700,1007,0,,橙,艾萨拉,83,80,82,61,0,240,10011,1,100000,42001,42002,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100701,1007,1,＋1,橙,艾萨拉,124,120,123,91,60,240,10153,15,200000,42001,42002,42003,,,30,30,20,,,0,42001,42002,,,,,,,,,,,,,,,,,,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
100702,1007,2,＋2,橙,艾萨拉,166,160,164,122,60,500,10153,25,300000,42001,42002,42003,42004,,50,50,20,20,,3240,42001,42002,42003,,,,,,,,,,,,,,,,,,42,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1007,1
100703,1007,3,＋3,橙,艾萨拉,207,200,205,152,60,900,10153,35,400000,42011,42012,42013,,,100,100,80,,,9990,42001,42002,42003,42004,,,,,,,,,,,,,,,,2007,92,92,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1007,1
100704,1007,4,＋4,橙,艾萨拉,249,240,246,183,60,1400,10002,45,500000,42011,42012,42013,42014,,150,150,100,100,,22140,42001,42002,42003,42004,42011,42012,42013,,,,,,,,,,,,,2007,92,92,40,20,100,100,80,0,0,0,0,0,0,0,0,0,0,0,0,100,1007,2
100705,1007,5,＋5,橙,艾萨拉,290,280,287,213,60,2000,10153,55,1000000,42012,42013,42015,42101,,400,160,160,500,,41040,42001,42002,42003,42004,42011,42012,42013,42014,,,,,,,,,,,,2007,92,92,40,20,250,250,180,100,0,0,0,0,0,0,0,0,0,0,0,200,1007,3
